"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.849500012E-3,-2.735529942E-1,4.437054348E-1,-7.996008933E-1,9.544984767E-1
1.580850000E-2,7.680273905E-2,6.377493793E-1,-7.234783316E-1,9.674935802E-1
2.576850003E-2,5.157954277E-1,7.739684540E-1,-8.615591598E-1,1.267815553E0
3.572850002E-2,2.906558076E-1,6.470838743E-1,-6.838067275E-1,9.852867499E-1
4.568850002E-2,-2.287525050E-1,7.727434623E-1,-8.658566074E-3,8.059374280E-1
5.564850001E-2,-4.104756352E-2,1.140360834E0,6.515277582E-1,1.314000059E0
6.560850001E-2,2.641866318E-1,1.170948204E0,1.037033517E0,1.586301607E0
7.556750003E-2,6.217198954E-1,1.252340861E0,1.076667114E0,1.764682786E0
8.552750002E-2,1.126690336E0,1.448873965E0,8.788809514E-1,2.034968945E0
9.548750002E-2,1.759094922E0,1.431755072E0,4.924735522E-1,2.320962673E0
1.054475000E-1,2.256432188E0,1.299813235E0,2.957790466E-1,2.620779638E0
1.154075000E-1,2.595974885E0,1.086106274E0,2.310457098E-1,2.823489784E0
1.253675000E-1,2.821086548E0,8.062865996E-1,1.482655084E-1,2.937789994E0
1.353265000E-1,2.954402480E0,4.621750349E-1,-6.076660395E-2,2.990951747E0
1.452865000E-1,3.025825342E0,1.634402025E-1,-3.866225402E-1,3.054800924E0
1.552465000E-1,3.020684470E0,-1.867372638E-1,-6.999304247E-1,3.106333542E0
1.652065000E-1,2.797094252E0,-5.542365217E-1,-9.568103027E-1,3.007723447E0
1.751665000E-1,2.568017592E0,-8.412804312E-1,-1.198965722E0,2.956346719E0
1.851265000E-1,2.291870554E0,-1.101832945E0,-1.492956709E0,2.948834721E0
1.950855000E-1,2.142741266E0,-1.309744731E0,-1.711703385E0,3.039193951E0
2.050455000E-1,2.042486807E0,-1.550081082E0,-1.732062221E0,3.094275885E0
2.150055000E-1,1.939238427E0,-1.745849955E0,-1.582778127E0,3.051855885E0
2.249655000E-1,1.795808273E0,-1.914552652E0,-1.354652517E0,2.953899567E0
2.349255000E-1,1.661137395E0,-2.159697753E0,-1.033284794E0,2.913991986E0
2.448855000E-1,1.524844207E0,-2.582567804E0,-7.622629130E-1,3.094487206E0
2.548445000E-1,1.387386107E0,-2.860557885E0,-5.562783329E-1,3.227549722E0
2.648045000E-1,1.229884337E0,-3.225737552E0,-2.643631446E-1,3.462352684E0
2.747645000E-1,9.779451368E-1,-3.715986823E0,-5.002991002E-2,3.842842406E0
2.847245000E-1,7.385224865E-1,-4.077269906E0,2.538861036E-3,4.143615788E0
2.946845000E-1,5.686681809E-1,-4.396171201E0,-1.267091266E-1,4.434609332E0
3.046445000E-1,4.744671247E-1,-4.705428098E0,-3.991870737E-1,4.746106084E0
3.146035000E-1,3.161756880E-1,-4.975343174E0,-6.434404743E-1,5.026730787E0
3.245635000E-1,1.651654235E-1,-5.300288150E0,-8.755562246E-1,5.374656528E0
3.345235000E-1,1.558767559E-1,-5.606785161E0,-1.273973805E0,5.751812468E0
3.444835000E-1,1.960027617E-1,-5.826936339E0,-1.883175323E0,6.126822462E0
3.544435000E-1,1.546504486E-1,-5.977299829E0,-2.374811554E0,6.433642819E0
3.644035000E-1,5.672778592E-2,-5.893743702E0,-2.665949684E0,6.468904125E0
3.743635000E-1,-5.921351038E-2,-5.838802679E0,-2.809918658E0,6.480028227E0
3.843225000E-1,-2.755635593E-1,-5.720679567E0,-2.902092996E0,6.420611633E0
3.942825000E-1,-6.251180048E-1,-5.305436624E0,-2.869367300E0,6.063967265E0
4.042425000E-1,-1.279427503E0,-5.115381650E0,-2.267473632E0,5.739817142E0
4.142025000E-1,-2.335550424E0,-5.002331582E0,-1.144353313E0,5.638054766E0
4.241625000E-1,-3.799368996E0,-4.696330415E0,2.589742045E-1,6.046303976E0
