"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.931124983E-3,3.710796542E-1,-5.761068624E-1,-2.577203568E0,2.666754105E0
1.689112498E-2,2.424336009E-1,-9.157482308E-1,-2.509599815E0,2.682435480E0
2.685212498E-2,6.212016128E-2,-1.176846875E0,-2.543876193E0,2.803592975E0
3.681212501E-2,-7.494715440E-1,-1.470108129E0,-2.613898939E0,3.091179900E0
4.677312498E-2,-1.351543260E0,-1.690435892E0,-2.651768432E0,3.422881608E0
5.673312501E-2,-1.240429352E0,-1.785444961E0,-2.824819703E0,3.564559585E0
6.669412498E-2,-5.553701507E-1,-1.804304570E0,-2.881203818E0,3.444602507E0
7.665512498E-2,-1.561295749E-1,-1.731676304E0,-2.747546409E0,3.251475132E0
8.661512498E-2,-4.654603661E-1,-1.274887725E0,-2.524728316E0,2.866399332E0
9.657612498E-2,-7.102204279E-1,-7.502439612E-1,-2.136711763E0,2.373355476E0
1.065361250E-1,5.769133396E-2,-6.570773506E-1,-2.146814582E0,2.245861034E0
1.164971250E-1,2.650719003E-1,-2.961328214E-1,-2.706593680E0,2.735618231E0
1.264581250E-1,1.327220012E-1,-2.502432883E-2,-3.487272398E0,3.489886836E0
1.364181250E-1,4.677136637E-2,1.218366784E-1,-4.022948104E0,4.025064370E0
1.463791250E-1,9.458470657E-2,2.862966353E-1,-4.334720473E0,4.345194312E0
1.563391250E-1,-9.250090510E-2,4.918473154E-1,-4.750928791E0,4.777216195E0
1.663001250E-1,-2.471308885E-1,4.170181578E-1,-5.078328429E0,5.101411320E0
1.762611250E-1,-1.519379253E-1,3.255671203E-1,-5.225171894E0,5.237508989E0
1.862211250E-1,3.248347566E-2,4.457537144E-1,-4.818203346E0,4.838887789E0
1.961821250E-1,-1.303022772E-1,9.454795682E-1,-3.304106029E0,3.439189868E0
2.061421250E-1,-5.913316964E-1,1.735857648E0,-1.928862543E0,2.661463067E0
2.161031250E-1,-6.959132414E-1,2.263469458E0,-9.025931650E-1,2.534218548E0
2.260631250E-1,-7.537366493E-1,2.826759224E0,-3.490770203E-1,2.946275855E0
2.360241250E-1,-5.924803088E-1,3.358201545E0,-2.053887123E-1,3.416245755E0
2.459851250E-1,6.974043544E-2,3.317878853E0,-3.926335144E-1,3.341757755E0
2.559451250E-1,4.398021625E-1,3.350365984E0,-2.489545619E-1,3.388267484E0
2.659061250E-1,4.731930895E-1,3.664928059E0,5.809998125E-1,3.740744600E0
2.758661250E-1,6.981321135E-1,3.545673804E0,1.458741142E0,3.897065163E0
2.858271250E-1,5.678683914E-1,3.697059094E0,2.922433121E0,4.746718424E0
2.957881250E-1,4.379741767E-2,4.064981398E0,4.439576837E0,6.019620791E0
3.057481250E-1,-2.698597101E-1,4.339034256E0,5.661108719E0,7.137800394E0
3.157091250E-1,-8.765350850E-2,4.365428880E0,6.305780032E0,7.669909664E0
3.256691250E-1,4.138183787E-1,3.821802716E0,6.165711150E0,7.265907764E0
