"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.233708336E-3,5.785023936E-1,1.494221461E0,-2.775381640E-1,1.626158119E0
1.219370833E-2,-5.684187971E-2,1.835521100E0,-4.164112169E-1,1.883020714E0
2.215370833E-2,-2.201334167E-1,2.506079791E0,-2.772774513E-1,2.530963735E0
3.211370832E-2,-3.688766427E-1,2.851519259E0,-4.836121700E-1,2.915666783E0
4.207370835E-2,2.963675871E-2,3.141156408E0,-4.400222737E-1,3.171964930E0
5.203370834E-2,2.359907732E-1,3.269642540E0,-3.342771327E-1,3.295147218E0
6.199370834E-2,5.251288629E-1,3.220118378E0,1.376702806E-1,3.265559033E0
7.195370834E-2,9.527175441E-1,3.114915859E0,5.423759564E-1,3.302202780E0
8.191370833E-2,1.468011902E0,2.992696772E0,9.076879171E-1,3.454734472E0
9.187470833E-2,2.141186345E0,2.917260674E0,1.237323457E0,3.824402978E0
1.018347083E-1,2.886569223E0,2.706035855E0,1.327170019E0,4.173283143E0
1.117947083E-1,3.456027217E0,2.377766737E0,1.144707581E0,4.348362246E0
1.217547083E-1,3.946819110E0,2.077330365E0,6.721994197E-1,4.510491613E0
1.317147083E-1,4.242108763E0,1.660580594E0,8.578800917E-2,4.556355369E0
1.416747083E-1,4.222749801E0,9.026504678E-1,-4.343194842E-1,4.339934005E0
1.516347083E-1,4.054493832E0,8.449811339E-2,-9.169381392E-1,4.157744066E0
1.615947083E-1,3.785595295E0,-5.078131378E-1,-1.410751873E0,4.071710545E0
1.715547083E-1,3.464227937E0,-1.173043261E0,-1.693298689E0,4.030405208E0
1.815157083E-1,3.448167974E0,-1.885345225E0,-1.798463202E0,4.321904543E0
1.914757083E-1,3.753792581E0,-2.392225147E0,-1.601499742E0,4.730592069E0
2.014357083E-1,3.979575212E0,-2.924113610E0,-1.059158796E0,5.050670909E0
