"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.709749977E-3,1.944058140E-1,-7.651081681E-2,-3.450523818E-1,4.033716299E-1
1.466974997E-2,2.560937930E-1,-3.520959377E-2,-2.559104097E-1,3.637497548E-1
2.463074998E-2,-6.516327158E-2,-2.443609893E-1,-1.492507643E-1,2.936568332E-1
3.459075000E-2,-3.510592995E-1,-4.419775826E-1,-1.215747231E-1,5.773796226E-1
4.455075000E-2,-2.214548875E-1,-4.395609283E-1,5.838035524E-2,4.956453801E-1
5.451175000E-2,-8.046865091E-2,-4.621908224E-1,3.066309124E-1,5.604623774E-1
6.447175000E-2,-5.747199029E-2,-4.801324189E-1,4.624843526E-1,6.691202775E-1
7.443174999E-2,-1.142458961E-1,-5.211494672E-1,6.025374466E-1,8.047982769E-1
8.439174999E-2,-1.311652531E-1,-4.946358526E-1,6.048751634E-1,7.923022868E-1
9.435274999E-2,-1.020855148E-1,-3.850619549E-1,3.447389710E-1,5.268198170E-1
1.043127500E-1,-3.180724517E-2,-2.280788326E-1,-1.065830469E-2,2.305325448E-1
1.142727500E-1,-6.250015721E-2,-9.507806540E-2,-3.589091134E-1,3.765127619E-1
1.242337500E-1,-1.083460555E-1,1.602137089E-3,-6.981663197E-1,7.065250488E-1
1.341937500E-1,-1.145044161E-1,6.059118748E-2,-1.046431746E0,1.054420198E0
1.441537500E-1,-6.990667909E-2,1.004767996E-1,-1.281391582E0,1.287224502E0
1.541137500E-1,-7.249933451E-2,1.416640019E-1,-1.322218596E0,1.331760812E0
1.640747500E-1,-8.206333280E-2,1.915670639E-1,-1.253794479E0,1.270996824E0
1.740347500E-1,6.822238863E-3,2.566834116E-1,-1.140825103E0,1.169365141E0
1.839947500E-1,-6.422874033E-3,2.987517893E-1,-9.780713636E-1,1.022701069E0
1.939557500E-1,-9.297124051E-2,3.023986977E-1,-9.713400489E-1,1.021562585E0
2.039157500E-1,-2.096530136E-1,3.296280116E-1,-1.049772846E0,1.120103584E0
2.138757500E-1,-3.286391012E-1,4.123555881E-1,-1.146952985E0,1.262355710E0
2.238357500E-1,-4.333517335E-1,5.829323173E-1,-1.329242272E0,1.514757020E0
2.337967500E-1,-5.287990871E-1,7.995734113E-1,-1.407675068E0,1.703084030E0
2.437567500E-1,-6.343601869E-1,1.071948411E0,-1.349532110E0,1.836497525E0
2.537167500E-1,-6.299486820E-1,1.350353644E0,-1.041200243E0,1.817797637E0
2.636777500E-1,-5.421184596E-1,1.572509247E0,-6.065544838E-1,1.770476235E0
2.736377500E-1,-4.546425420E-1,1.923011819E0,-9.615863085E-2,1.978363156E0
2.835977500E-1,-4.008576963E-1,2.386963238E0,3.185405213E-1,2.441259604E0
2.935587500E-1,-3.434678594E-1,2.824172416E0,4.834279096E-1,2.885762039E0
3.035187500E-1,-2.772384942E-1,3.199683529E0,6.768789464E-1,3.282225004E0
3.134786250E-1,-3.112680468E-1,3.653391210E0,7.739602679E-1,3.747421731E0
3.234386250E-1,-8.745211212E-1,3.920898403E0,5.738562691E-1,4.058021993E0
3.333996250E-1,-5.508257312E-1,4.334126980E0,4.206861162E-1,4.389196108E0
3.433596250E-1,2.180612731E-1,4.744496269E0,3.908699942E-1,4.765561344E0
3.533196250E-1,5.862467384E-1,4.878860607E0,5.494932604E-1,4.944583795E0
3.632806250E-1,7.333210228E-1,5.075773196E0,9.027890468E-1,5.207327656E0
3.732406250E-1,1.121413955E0,5.478845159E0,1.499742987E0,5.790038218E0
3.832006250E-1,1.673114978E0,5.943949065E0,2.410643876E0,6.628804425E0
3.931606250E-1,1.682306655E0,5.858325362E0,3.607664815E0,7.082752088E0
4.031216250E-1,1.868006330E0,5.378707498E0,5.058847260E0,7.616552869E0
4.130816250E-1,2.121621708E0,4.978673748E0,6.552337235E0,8.498328906E0
4.230416250E-1,2.024201248E0,4.280658286E0,7.233839575E0,8.645800197E0
4.330026250E-1,1.453305570E0,3.547325057E0,7.402077418E0,8.335848022E0
4.429626250E-1,9.371022624E-1,2.752552795E0,7.318799034E0,7.875247732E0
4.529226250E-1,7.843881923E-1,1.852439434E0,7.700509365E0,7.958934675E0
4.628826250E-1,1.123588973E0,9.835975671E-1,9.379434428E0,9.497563190E0
4.728436250E-1,1.773047109E0,-2.047168672E-2,1.192714815E1,1.205823279E1
4.828036250E-1,2.032380040E0,-1.382865917E0,1.406069189E1,1.427396032E1
4.927636250E-1,1.973858036E0,-2.966007156E0,1.508134443E1,1.549645972E1
5.027246250E-1,1.926156159E0,-4.215420316E0,1.523117816E1,1.592069830E1
5.126846250E-1,1.999587539E0,-5.226477578E0,1.516651264E1,1.616593714E1
5.226446250E-1,2.308958896E0,-6.395235999E0,1.546640229E1,1.689496773E1
5.326046250E-1,2.667033173E0,-7.635946748E0,1.561994550E1,1.758986771E1
5.425656250E-1,3.119702682E0,-8.906198215E0,1.531253398E1,1.798684543E1
5.525256250E-1,3.784057769E0,-9.926183006E0,1.476974865E1,1.819323164E1
5.624856250E-1,4.350452991E0,-1.089014679E1,1.391288948E1,1.819588503E1
5.724466250E-1,4.538420509E0,-1.193990443E1,1.275084776E1,1.804834334E1
5.824066250E-1,4.630963222E0,-1.304782784E1,1.157022124E1,1.804332706E1
5.923666250E-1,4.766069279E0,-1.396027415E1,1.048924181E1,1.810052111E1
6.023266250E-1,4.606802234E0,-1.470498489E1,9.198822123E0,1.794651877E1
6.122876250E-1,4.326168335E0,-1.505956706E1,8.173090689E0,1.767217315E1
6.222476250E-1,4.257883674E0,-1.552971244E1,7.215396287E0,1.764549476E1
6.322076250E-1,4.362381311E0,-1.599087883E1,6.283733690E0,1.772636131E1
6.421686250E-1,4.405316246E0,-1.587253118E1,4.854105835E0,1.717283904E1
6.521286250E-1,4.242258452E0,-1.559964864E1,2.902285954E0,1.642464789E1
6.620886250E-1,3.445378268E0,-1.531288365E1,1.365326317E0,1.575497233E1
6.720486250E-1,2.154719287E0,-1.504889356E1,1.126238054E-1,1.520278582E1
6.820096250E-1,1.076258686E0,-1.474842853E1,-1.280691671E0,1.484299997E1
6.919696250E-1,7.748218551E-2,-1.432118769E1,-2.498556179E0,1.453771658E1
7.019296250E-1,-5.940430503E-1,-1.325870183E1,-3.575520331E0,1.374519577E1
7.118906250E-1,-1.156327972E0,-1.183337986E1,-4.268658630E0,1.263279145E1
7.218506250E-1,-1.599964410E0,-1.021999974E1,-4.981437142E0,1.148141964E1
7.318106250E-1,-1.740793283E0,-8.992012537E0,-5.207598673E0,1.053592590E1
7.417706250E-1,-1.763710568E0,-8.159107658E0,-5.043439263E0,9.752845345E0
7.517316250E-1,-1.893718438E0,-7.198476784E0,-4.876843902E0,8.898755193E0
7.616916250E-1,-1.730940140E0,-6.682421996E0,-4.332114369E0,8.149732045E0
7.716516250E-1,-1.459797587E0,-6.376455327E0,-3.579726233E0,7.456851309E0
7.816126250E-1,-1.280750728E0,-5.902011080E0,-2.959990371E0,6.725741611E0
7.915726250E-1,-1.024660735E0,-5.503397033E0,-2.406315767E0,6.093247418E0
8.015326250E-1,-8.177038729E-1,-5.191083797E0,-1.856361161E0,5.573335390E0
8.114926250E-1,-6.410850696E-1,-4.725372073E0,-1.455025821E0,4.985702702E0
8.214536250E-1,-3.702342200E-1,-4.117590259E0,-1.451739686E0,4.381685867E0
8.314136250E-1,-1.065740934E-1,-3.455831628E0,-1.734742584E0,3.868263449E0
8.413736250E-1,2.230712771E-4,-2.688049235E0,-2.039228153E0,3.374027297E0
8.513346250E-1,1.187356807E-1,-2.088507317E0,-2.378639141E0,3.167630840E0
8.612946250E-1,2.613478086E-1,-1.730807700E0,-3.051270086E0,3.517704807E0
8.712546250E-1,3.229173815E-1,-1.316110595E0,-3.516668690E0,3.768737376E0
8.812146250E-1,5.066174553E-1,-1.186357956E0,-3.743227832E0,3.959275318E0
8.911756250E-1,7.477810409E-1,-1.208950135E0,-3.863808528E0,4.117007804E0
9.011356250E-1,8.826339137E-1,-1.166608400E0,-3.735190249E0,4.011441634E0
9.110956250E-1,7.654135390E-1,-1.096559342E0,-3.187403791E0,3.456565232E0
9.210566250E-1,6.350193874E-1,-1.188699473E0,-2.437063351E0,2.784875910E0
9.310166250E-1,5.186886665E-1,-1.291461657E0,-1.737056912E0,2.225820716E0
9.409766250E-1,3.244924752E-1,-1.232962604E0,-1.109185234E0,1.689906516E0
9.509366250E-1,1.136420249E-1,-1.155170954E0,-7.471186244E-1,1.380405985E0
