"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.363129158E-2,2.953837931E-1,7.339208740E-1,-1.351658158E0,1.566164490E0
3.359129163E-2,5.683283114E-1,7.922854418E-1,-1.090872340E0,1.463118502E0
4.355029168E-2,9.047373390E-1,7.614168209E-1,-8.793311870E-1,1.473610723E0
5.351029162E-2,1.130377883E0,7.720166534E-1,-9.978712052E-1,1.693963050E0
6.347029167E-2,1.140558470E0,8.639880931E-1,-1.361876167E0,1.975362180E0
7.343029161E-2,1.044082335E0,1.085594058E0,-1.467361107E0,2.102800751E0
8.338929166E-2,9.800149781E-1,1.260173206E0,-1.449534701E0,2.156296991E0
9.334929159E-2,1.183146665E0,1.254855748E0,-1.161199141E0,2.079154257E0
1.033092916E-1,1.050660453E0,9.746890417E-1,-7.388073921E-1,1.612371693E0
1.132692916E-1,8.071771306E-1,4.704362735E-1,-9.077890009E-1,1.302661152E0
1.232292916E-1,7.242788154E-1,6.778981161E-1,-1.151856460E0,1.520164124E0
1.331882917E-1,7.749238890E-1,8.189043063E-1,-1.242202374E0,1.677551202E0
1.431482916E-1,8.468610138E-1,1.084667859E0,-1.595917990E0,2.107280753E0
1.531082917E-1,9.375372952E-1,1.481194157E0,-1.931174532E0,2.608131013E0
1.630682916E-1,1.141845442E0,1.643536253E0,-2.040527405E0,2.858106806E0
1.730282917E-1,1.350950060E0,1.484745464E0,-1.884351198E0,2.753237112E0
1.829872916E-1,1.267700912E0,1.167152484E0,-1.766050331E0,2.467436786E0
1.929472917E-1,9.874567294E-1,8.250459293E-1,-1.329788986E0,1.850435172E0
2.029072916E-1,8.167490226E-1,4.651949756E-1,-1.243591672E-1,9.481300194E-1
2.128672916E-1,4.710622180E-1,2.523082325E-1,4.403725219E-1,6.924500093E-1
2.228272916E-1,2.117317718E-1,2.334657262E-1,7.486611199E-1,8.122992435E-1
2.327862916E-1,6.614370346E-3,3.820753433E-1,6.184085441E-1,7.269487225E-1
2.427462917E-1,6.561014503E-2,5.725055623E-1,2.381775588E-1,6.235349706E-1
2.527062916E-1,3.428058815E-1,6.998352613E-1,-2.870614511E-1,8.304754915E-1
