"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.235041645E-3,1.318618758E-1,2.015102541E-1,-2.743884882E-1,3.650794150E-1
1.719604165E-2,9.286971822E-2,1.429848880E-1,-3.416054481E-1,3.817901844E-1
2.715604164E-2,1.384797545E-1,1.013959819E-1,-3.651054078E-1,4.034349345E-1
3.711704165E-2,1.966744606E-1,1.254578590E-1,-2.280408257E-1,3.262255907E-1
4.707804165E-2,2.378363737E-1,1.455132240E-1,-1.847334230E-1,3.344647614E-1
5.703904165E-2,1.762043819E-1,9.167907894E-2,-3.970627803E-1,4.439728473E-1
6.699904165E-2,-1.470867097E-2,1.029653746E-1,-5.680909145E-1,5.775339821E-1
7.696004165E-2,1.343802716E-1,2.666394657E-1,-4.075240338E-1,5.052034245E-1
8.692104166E-2,-2.058611673E-1,-3.416528106E-3,-2.055512649E-1,2.909326647E-1
9.688204166E-2,-3.909536093E-1,-1.578058255E-1,-9.374840856E-3,4.217052180E-1
1.068420417E-1,-3.023770630E-2,1.209788918E-3,1.500325370E-1,1.530540579E-1
1.168030417E-1,2.087746887E-1,1.252847815E-1,2.884606898E-1,3.774820746E-1
1.267640417E-1,2.202023408E-1,1.548570746E-1,3.084827256E-1,4.094281090E-1
1.367250417E-1,1.830850929E-2,-2.903025627E-2,2.529271603E-1,2.552451874E-1
1.466850417E-1,-8.498080105E-2,-6.119345069E-2,2.572681332E-1,2.777647697E-1
1.566460417E-1,-9.298637018E-2,-5.075500131E-2,3.635494637E-1,3.786697080E-1
1.666070416E-1,-2.955475152E-2,-8.035360694E-2,5.109881759E-1,5.181110898E-1
1.765680416E-1,4.558547795E-2,-1.196714544E-1,5.186258090E-1,5.342022300E-1
1.865280417E-1,3.380421549E-2,-6.528474748E-2,3.432397449E-1,3.510247081E-1
1.964890416E-1,-1.115297914E-2,-2.773568273E-2,1.552675492E-1,1.581191603E-1
2.064500416E-1,-4.114861071E-2,6.402116418E-3,-3.065461278E-2,5.170977222E-2
2.164110416E-1,-3.900136694E-2,6.874045193E-2,-1.669157875E-1,1.846814459E-1
2.263710416E-1,-2.113695368E-2,7.388424754E-2,-2.603373367E-1,2.714427780E-1
2.363320416E-1,-3.296119317E-2,2.583709180E-2,-3.126213849E-1,3.154142131E-1
2.462930417E-1,-1.920956522E-3,-8.675513864E-2,-2.739087242E-1,2.873258313E-1
2.562540417E-1,-8.698595747E-2,-5.384700894E-2,-1.877611113E-1,2.138230391E-1
2.662140417E-1,-2.462766834E-1,1.163122290E-1,-8.547167480E-2,2.854577842E-1
2.761750417E-1,-1.039146701E-1,6.612557709E-2,-3.111537337E-2,1.270394311E-1
2.861354167E-1,9.953262046E-2,-7.608397007E-3,1.518989682E-2,1.009720912E-1
2.960964167E-1,1.523717156E-1,8.460862577E-2,6.586888433E-2,1.863181934E-1
3.060564167E-1,1.622574569E-1,1.261718041E-1,8.072198153E-2,2.208231074E-1
3.160174167E-1,1.079659134E-1,8.290123880E-2,9.440446615E-2,1.656546319E-1
3.259784167E-1,-1.957852453E-2,9.648490548E-3,7.281245291E-2,7.601358623E-2
3.359394167E-1,-1.080189769E-1,-4.300627112E-2,4.046916425E-2,1.231072377E-1
3.458994167E-1,-1.457085210E-1,-4.860498011E-2,3.622759402E-2,1.578158920E-1
3.558604167E-1,-6.430329233E-2,-7.231251597E-3,-3.651878536E-2,7.430226167E-2
3.658214167E-1,1.576950207E-2,3.765723825E-2,-1.417061019E-1,1.474698752E-1
3.757824167E-1,7.358370066E-2,7.376204073E-2,-1.823325562E-1,2.100013351E-1
3.857424167E-1,1.327638088E-1,1.258870447E-1,-1.570456874E-1,2.411164136E-1
3.957034167E-1,1.287638748E-1,1.276347774E-1,-1.574848133E-1,2.401504493E-1
4.056644166E-1,9.710324854E-2,1.037190807E-1,-1.762830269E-1,2.264120009E-1
4.156254166E-1,1.846375287E-2,9.372735858E-2,-1.967734247E-1,2.187361621E-1
4.255854166E-1,-2.191974968E-2,7.096590221E-2,-2.170147312E-1,2.293731201E-1
4.355464166E-1,1.305537075E-3,7.666109025E-2,-1.836201131E-1,1.989848565E-1
4.455074166E-1,3.345425963E-2,1.086202168E-1,-1.340345550E-1,1.757350304E-1
4.554684167E-1,9.814010605E-2,1.234949487E-1,-7.299430132E-2,1.738121135E-1
4.654284166E-1,1.322760049E-1,1.235621917E-1,-1.424381733E-2,1.815693890E-1
4.753894166E-1,1.244268487E-1,1.001183653E-1,4.012651742E-2,1.646689563E-1
4.853504167E-1,1.371500976E-1,5.230217457E-2,8.789709985E-2,1.710893536E-1
4.953114167E-1,1.836610436E-1,3.935176134E-4,1.337439483E-1,2.271981019E-1
5.052714167E-1,1.580379599E-1,-2.738134146E-2,1.546857512E-1,2.228304653E-1
5.152324167E-1,9.855657399E-2,-7.307850122E-2,1.371867889E-1,1.840491257E-1
5.251934167E-1,4.217362761E-2,-1.009422380E-1,1.065386081E-1,1.527037173E-1
5.351544167E-1,8.116812408E-3,-7.911633611E-2,7.171668470E-2,1.070913635E-1
5.451144167E-1,4.718352199E-2,-2.831280291E-2,4.541532397E-2,7.134739804E-2
5.550754167E-1,7.467727616E-2,2.475126386E-3,8.322926760E-3,7.518040260E-2
5.650364167E-1,6.080300286E-2,2.104412913E-2,-3.348817348E-2,7.253494531E-2
5.749974166E-1,3.153695762E-3,1.618158460E-2,-9.264445424E-2,9.409986386E-2
5.849574167E-1,-3.064569578E-2,-1.492209435E-3,-1.733161497E-1,1.760110028E-1
5.949184167E-1,-3.190737873E-2,-2.959041953E-2,-2.019049412E-1,2.065412284E-1
6.048794166E-1,3.748094469E-2,-6.686291099E-3,-7.574483156E-2,8.477503885E-2
6.148404166E-1,1.003247720E-1,-6.652961969E-3,6.551103473E-2,1.200042393E-1
6.248004166E-1,1.330256179E-1,-3.935760856E-2,8.236972690E-2,1.613369402E-1
6.347614166E-1,8.339021221E-2,-3.375129819E-2,2.039450347E-2,9.224431361E-2
6.447224166E-1,2.019642904E-2,-5.485857725E-3,-7.850471735E-2,8.124642163E-2
6.546834167E-1,-5.333099216E-3,3.576566398E-2,-1.535747802E-1,1.577746424E-1
6.646434166E-1,-2.204546481E-2,8.499454200E-2,-1.907069385E-1,2.099504967E-1
6.746044167E-1,-2.643877029E-2,1.159444392E-1,-2.234507614E-1,2.531251950E-1
6.845654167E-1,1.939667612E-3,1.056334591E-1,-2.298218876E-1,2.529432545E-1
6.945264167E-1,2.039289549E-2,7.298611522E-2,-1.472539401E-1,1.656096799E-1
7.044864167E-1,3.357792825E-2,4.435288489E-2,-1.043885869E-1,1.182862322E-1
7.144474167E-1,4.539924413E-2,3.079611540E-2,-9.456994236E-2,1.093296213E-1
7.244084167E-1,5.276293516E-2,4.623334944E-2,-9.670534551E-2,1.194712257E-1
7.343694167E-1,4.542555660E-2,6.131799638E-2,-1.025531459E-1,1.278300653E-1
7.443294167E-1,2.786227494E-2,9.775258183E-2,-1.295029628E-1,1.646295569E-1
7.542904167E-1,1.296707779E-2,8.772343755E-2,-1.106258118E-1,1.417801708E-1
7.642514167E-1,3.523093611E-3,6.503273249E-2,-5.762898803E-2,8.696418081E-2
7.742124166E-1,-1.980451941E-3,3.584810972E-2,1.885317743E-2,4.055183670E-2
7.841724167E-1,-1.450460315E-2,1.937065601E-2,2.806663513E-2,3.705862699E-2
7.941334167E-1,-1.752995253E-3,1.623713315E-2,4.091179848E-2,4.405102428E-2
8.040944166E-1,2.457219288E-2,5.028020740E-3,7.251073658E-2,7.672600977E-2
8.140554166E-1,4.060598910E-2,3.864717185E-2,5.977140784E-2,8.194553947E-2
8.240154166E-1,5.111095056E-2,6.666469038E-2,2.322221696E-2,8.715378116E-2
8.339764166E-1,6.917490005E-2,8.582777023E-2,-7.856903672E-3,1.105138176E-1
8.439374166E-1,9.892377913E-2,8.195866764E-2,2.755091071E-2,1.313856536E-1
8.538984167E-1,6.940089494E-2,5.573039711E-2,3.422960043E-2,9.536260759E-2
8.638584166E-1,4.295306146E-2,2.968631387E-2,4.743319809E-2,7.054183866E-2
8.738194167E-1,5.763132691E-2,3.779932559E-2,5.270914078E-2,8.676642426E-2
8.837804167E-1,5.524098516E-2,2.183233380E-2,7.017828226E-2,9.194133206E-2
8.937414167E-1,4.595867649E-2,1.818893373E-2,1.314044774E-2,5.114399888E-2
9.037014167E-1,8.237981334E-2,6.166999876E-2,-4.115445793E-2,1.108301033E-1
9.136624167E-1,1.158429900E-1,1.041617149E-1,-6.858082294E-2,1.702133674E-1
9.236234167E-1,9.530683771E-2,9.834256589E-2,-1.003107387E-1,1.697554060E-1
9.335844167E-1,3.316774607E-2,6.978768826E-2,-1.784231079E-1,1.944356609E-1
9.435444167E-1,-4.717109665E-2,4.967385113E-2,-2.078632540E-1,2.188600836E-1
9.535054167E-1,-1.887568921E-2,3.887696743E-2,-1.596745956E-1,1.654197289E-1
9.634664167E-1,1.610732496E-2,1.770069122E-2,-1.065655053E-1,1.092198118E-1
9.734274166E-1,2.674150988E-2,2.093420148E-2,-3.703041673E-2,5.024540681E-2
9.833874167E-1,7.894398943E-2,4.097962618E-2,7.713296056E-2,1.177326498E-1
9.933484166E-1,1.245255205E-1,3.347297072E-2,1.446530986E-1,1.937822591E-1
1.003309417E0,1.122608395E-1,7.862166166E-3,1.274301249E-1,1.700080777E-1
1.013270417E0,4.913006008E-2,-4.585971236E-3,4.790156007E-2,6.877029440E-2
1.023230417E0,3.235352129E-2,9.295318723E-3,-2.248897612E-2,4.048342052E-2
1.033191417E0,1.639617741E-2,4.685081542E-2,-1.043523341E-1,1.155562338E-1
1.043152417E0,4.609506279E-3,7.953908980E-2,-1.563943076E-1,1.755189272E-1
1.053113417E0,-3.189115271E-2,8.935890377E-2,-1.380732268E-1,1.675299235E-1
1.063073417E0,-2.712859556E-2,9.273742497E-2,-1.172062683E-1,1.518996380E-1
1.073034417E0,-2.691502601E-2,1.160157752E-1,-1.115666288E-1,1.631906596E-1
1.082995417E0,-8.391397655E-2,1.603096032E-1,-3.620478988E-2,1.845305155E-1
1.092956417E0,-9.127605960E-2,2.841559696E-1,7.709904671E-2,3.082534625E-1
1.102916417E0,-1.106116323E-1,4.211217338E-1,1.719712901E-1,4.681373436E-1
1.112877417E0,-2.030778927E-1,5.883421612E-1,2.366607910E-1,6.658794629E-1
1.122838417E0,-1.916556492E-1,7.170803082E-1,3.186293989E-1,8.077504257E-1
1.132799417E0,-1.973503987E-1,8.589144641E-1,4.272934699E-1,9.794186776E-1
1.142759417E0,-3.342642689E-1,1.072793918E0,5.456300050E-1,1.249132297E0
1.152720417E0,-4.724592640E-1,1.201650764E0,5.797771597E-1,1.415388240E0
1.162681417E0,-5.666649248E-1,1.215793424E0,7.350143033E-1,1.529545296E0
1.172642417E0,-5.639373448E-1,1.275694056E0,1.068620176E0,1.757091270E0
1.182602417E0,-3.586025731E-1,1.261098821E0,1.411514935E0,1.926483961E0
1.192563417E0,-1.003202404E-1,1.256150907E0,1.759739431E0,2.164408029E0
1.202524417E0,1.266717410E-1,1.105452957E0,2.268484907E0,2.526676818E0
1.212485417E0,9.224713594E-2,8.731769925E-1,2.798445836E0,2.932958693E0
1.222445417E0,9.427290380E-2,7.450498796E-1,3.226529265E0,3.312774940E0
1.232406417E0,-6.133685365E-2,5.880439532E-1,3.397130845E0,3.448196032E0
1.242367417E0,-3.144422078E-1,3.988783407E-1,3.482927333E0,3.519767128E0
1.252328417E0,-5.549412574E-1,1.873009354E-1,3.472397959E0,3.521447007E0
1.262288417E0,-7.720648929E-1,1.036477447E-2,3.402022918E0,3.488545766E0
1.272249417E0,-1.040681156E0,-2.526108259E-1,3.182148021E0,3.357513295E0
1.282210417E0,-1.394711207E0,-4.909328109E-1,2.864207717E0,3.223339917E0
1.292171375E0,-1.818803472E0,-8.861829543E-1,2.589150015E0,3.285888631E0
1.302131375E0,-2.257177269E0,-1.472594365E0,2.450257300E0,3.642409124E0
1.312092375E0,-2.692977853E0,-2.389120275E0,2.652661886E0,4.471760335E0
1.322053375E0,-3.196994394E0,-3.077210088E0,2.807147370E0,5.250721040E0
1.332014375E0,-2.957804098E0,-3.243810126E0,2.742850510E0,5.176305452E0
1.341974375E0,-2.261963215E0,-3.538168318E0,2.751395631E0,5.020487083E0
1.351935375E0,-1.726299205E0,-3.841566889E0,2.654523932E0,4.978377488E0
1.361896375E0,-1.446287449E0,-4.248448314E0,2.476883474E0,5.126013286E0
1.371857375E0,-1.492121142E0,-4.714058003E0,2.159415917E0,5.395539404E0
1.381817375E0,-1.434594772E0,-4.907588562E0,1.602121594E0,5.358104260E0
1.391778375E0,-1.178991341E0,-4.947751917E0,9.050986969E-1,5.166185563E0
1.401739375E0,-7.412985983E-1,-4.810589687E0,2.485490575E-1,4.873712484E0
1.411700375E0,-5.517318669E-1,-4.857995403E0,-1.729311106E-1,4.892282959E0
1.421660375E0,-4.613561323E-1,-4.864582291E0,-2.050006033E-1,4.890709110E0
1.431621375E0,-3.077263883E-1,-4.809368788E0,-4.168962434E-2,4.819383954E0
1.441582375E0,-3.195719701E-1,-5.225925601E0,1.665974066E-1,5.238337458E0
1.451543375E0,-3.414218456E-1,-5.793850454E0,3.451650868E-1,5.814156078E0
1.461503375E0,-3.634123465E-1,-6.247898444E0,6.040873973E-1,6.287545235E0
1.471464375E0,-4.106037623E-1,-6.674965042E0,7.402953623E-1,6.728431540E0
1.481425375E0,-3.828844517E-1,-6.989031274E0,8.249947661E-1,7.047962472E0
1.491386375E0,-4.091776264E-1,-7.097872515E0,9.050700456E-1,7.167033721E0
1.501346375E0,-2.233624685E-1,-6.882191534E0,2.424657606E-1,6.890082782E0
1.511307375E0,1.296462196E-1,-6.367934180E0,-1.171775000E0,6.476144726E0
1.521268375E0,5.608280879E-1,-6.264035590E0,-2.805067223E0,6.886295967E0
1.531229375E0,9.279075158E-1,-5.959292743E0,-4.145833772E0,7.318614625E0
1.541189375E0,1.103202363E0,-5.808111813E0,-5.115461757E0,7.817874856E0
1.551150375E0,1.358737966E0,-6.035435185E0,-6.071489117E0,8.668080920E0
1.561111375E0,2.662474684E0,-6.183876110E0,-7.345357672E0,9.964104301E0
1.571072375E0,3.876946052E0,-6.276997113E0,-8.177428738E0,1.101370711E1
1.581032375E0,4.437182402E0,-6.854301485E0,-8.820685025E0,1.201975544E1
1.590993375E0,4.887473556E0,-7.206482792E0,-9.687186252E0,1.302545084E1
1.600954375E0,5.423181421E0,-7.480913672E0,-1.139255827E1,1.466851561E1
1.610915375E0,6.046327963E0,-7.766356030E0,-1.427286630E1,1.733750501E1
1.620875375E0,6.439728633E0,-8.192069582E0,-1.708866316E1,2.001505727E1
1.630836375E0,6.039517711E0,-8.493098862E0,-1.978992009E1,2.236625672E1
1.640797375E0,5.622009557E0,-8.466753647E0,-2.219328710E1,2.440972964E1
1.650758375E0,6.198100047E0,-8.281620274E0,-2.335568317E1,2.554387627E1
1.660718375E0,6.283169433E0,-9.129882281E0,-2.291391901E1,2.545349982E1
1.670679375E0,6.930400658E0,-1.041314848E1,-2.043720686E1,2.396129251E1
1.680640375E0,7.305908262E0,-1.177083921E1,-1.521618123E1,2.057817102E1
1.690601375E0,7.698140073E0,-1.355775416E1,-1.155642532E1,1.940682933E1
1.700561375E0,8.176980257E0,-1.434712126E1,-8.697042142E0,1.866390732E1
1.710522375E0,7.515138595E0,-1.471054676E1,-6.794954585E0,1.786194004E1
1.720483375E0,7.336716657E0,-1.471524909E1,-6.704288828E0,1.775706777E1
1.730444375E0,7.905381768E0,-1.329080421E1,-8.470770099E0,1.763220019E1
1.740404375E0,8.686279757E0,-1.169422081E1,-1.186864559E1,1.879018372E1
1.750365375E0,1.104297196E1,-1.169043181E1,-1.444278288E1,2.161498098E1
1.760326375E0,1.342469609E1,-1.343795290E1,-1.477820840E1,2.406650134E1
1.770287375E0,1.728597628E1,-1.477918839E1,-1.220712336E1,2.581168817E1
1.780247375E0,2.182219239E1,-1.674803712E1,-7.548827328E0,2.852524535E1
1.790208375E0,2.671646392E1,-1.670090856E1,-1.776491704E0,3.155702321E1
1.800169375E0,3.085045708E1,-1.545192693E1,2.454235454E0,3.459098177E1
1.810129375E0,3.182245143E1,-1.166241663E1,3.929188585E0,3.411918668E1
1.820090375E0,3.018408500E1,-7.802304127E0,1.128941807E0,3.119662556E1
1.830051375E0,2.529824983E1,-5.655981880E0,-5.371800767E0,2.647353054E1
1.840012375E0,1.950353048E1,-3.955115139E0,-1.079292865E1,2.263885920E1
1.849972375E0,1.482413243E1,-3.974840137E0,-1.291058316E1,2.005585735E1
1.859933375E0,1.238044068E1,-6.019305641E0,-1.212819881E1,1.834667703E1
1.869894375E0,1.152873057E1,-9.571551130E0,-8.063104563E0,1.701587126E1
1.879855375E0,1.197621915E1,-1.058183831E1,-5.405400038E-1,1.599053816E1
1.889815375E0,1.289453957E1,-9.031442066E0,6.616484115E0,1.707670807E1
1.899776375E0,1.296428282E1,-6.888328772E0,1.162935296E1,1.872868262E1
1.909737375E0,1.106008793E1,-4.253028146E0,1.382921700E1,1.821156325E1
1.919698375E0,8.449531842E0,-2.513830860E0,1.186122664E1,1.477845159E1
1.929658375E0,6.600452803E0,-1.925182597E0,8.306141742E0,1.078259226E1
1.939619375E0,4.751091344E0,-1.373308351E0,5.369206358E0,7.299809703E0
1.949580375E0,3.267891007E0,-9.726790613E-1,3.285484986E0,4.734936936E0
1.959541375E0,2.907569791E0,-1.034750471E0,2.293249328E0,3.844952939E0
1.969501375E0,3.362623794E0,-9.138572413E-1,2.134058881E0,4.086145023E0
1.979462375E0,3.341332620E0,-8.350741965E-1,2.402273587E0,4.199139314E0
1.989423375E0,2.558336650E0,-1.133837388E0,2.594738783E0,3.816194831E0
1.999384375E0,1.776430308E0,-1.511159383E0,2.835355216E0,3.671314005E0
2.009344375E0,1.066774502E0,-1.707717923E0,3.235217643E0,3.810635320E0
2.019305375E0,5.278494993E-1,-1.744746001E0,3.261679217E0,3.736484312E0
2.029266375E0,-1.342155263E-1,-1.604607830E0,2.967112280E0,3.375875498E0
2.039227375E0,-5.898159519E-1,-1.411064699E0,2.879749031E0,3.260665718E0
2.049187375E0,-8.472334814E-1,-1.348656197E0,2.854544023E0,3.268807075E0
2.059148375E0,-7.330759513E-1,-1.044616771E0,2.911524555E0,3.178930604E0
2.069109375E0,-2.746688622E-1,-7.365860349E-1,3.129544423E0,3.226770873E0
2.079070375E0,2.887726387E-1,-4.515459663E-1,3.102953625E0,3.148905301E0
2.089030375E0,5.598513106E-1,-1.760830522E-1,2.899879240E0,2.958671719E0
2.098991375E0,7.155845904E-1,-1.462254149E-1,2.832245082E0,2.924902628E0
2.108952375E0,3.080038387E-1,-2.193495244E-1,2.635965747E0,2.662948741E0
2.118913375E0,-3.262059286E-1,-3.391735911E-1,2.268631380E0,2.316924119E0
2.128873375E0,-8.747835150E-1,-5.598486793E-1,1.959002016E0,2.217287902E0
2.138834375E0,-1.196184202E0,-7.493645400E-1,1.679692218E0,2.194030494E0
2.148795375E0,-1.083860359E0,-7.731170994E-1,1.409884146E0,1.939132959E0
2.158756375E0,-6.956692663E-1,-5.927497923E-1,1.271392259E0,1.565805327E0
2.168716375E0,-3.411259764E-1,-4.176408863E-1,1.175320752E0,1.293124012E0
2.178677375E0,-5.602772802E-2,-3.470421892E-1,1.194462197E0,1.245117395E0
2.188638375E0,2.247254544E-1,-2.963064837E-1,1.198244176E0,1.254626704E0
2.198599375E0,3.675837502E-1,-1.496355110E-1,1.073882085E0,1.144871754E0
2.208559375E0,4.589795315E-1,-9.675621629E-2,9.440317976E-1,1.054144208E0
2.218520375E0,3.047802687E-1,-8.535531521E-2,7.234783316E-1,7.896818589E-1
2.228481375E0,-6.177057087E-2,-4.546736419E-2,2.960831201E-1,3.058563366E-1
2.238442375E0,-4.210729095E-1,-1.476854646E-1,-1.075285417E-1,4.589943125E-1
2.248402375E0,-4.962792125E-1,-1.882715732E-1,-2.397943139E-1,5.824436068E-1
2.258363375E0,-9.745261967E-2,-1.540636075E-1,1.351876259E-3,1.823031426E-1
2.268324375E0,9.589842975E-2,-1.095230269E-1,3.177891541E-1,3.495450596E-1
2.278285375E0,1.582736027E-1,-1.278610647E-1,4.040443558E-1,4.523834950E-1
2.288245750E0,1.725267756E-1,-1.157219526E-1,4.101839322E-1,4.597911666E-1
2.298206750E0,2.125196841E-1,1.286562860E-2,4.285857046E-1,4.785560016E-1
2.308167750E0,3.803628400E-1,1.015123415E-1,4.120766759E-1,5.699015988E-1
