"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.067866667E-2,-8.730358919E-3,-1.134716837E-2,-1.783693135E-2,2.287211220E-2
5.062666667E-2,2.482965309E-4,-4.276171590E-3,-2.038163960E-2,2.082687032E-2
6.057566667E-2,3.878969774E-3,-4.636896830E-3,-2.547105610E-2,2.617865386E-2
7.052366667E-2,6.731479112E-3,-1.074850028E-2,-2.142887592E-2,2.490059824E-2
8.047166667E-2,9.387234212E-3,-2.606141932E-2,-1.559218526E-2,3.178732427E-2
9.042066667E-2,7.878652574E-3,-3.419399865E-2,-1.394560933E-2,3.775953826E-2
1.003686667E-1,2.481489801E-3,-1.991914540E-2,-1.065304220E-2,2.272482020E-2
1.103176667E-1,-1.536355913E-3,-7.246091191E-3,-2.262813985E-2,2.380963965E-2
1.202656667E-1,-5.328700100E-3,1.426336667E-2,-1.289837301E-2,1.995511713E-2
1.302136667E-1,-1.272553754E-2,2.640241249E-2,-2.083187521E-2,3.595822181E-2
1.401626667E-1,-2.867396441E-2,3.197873989E-2,-1.649207175E-2,4.600896076E-2
1.501106667E-1,-3.580223192E-2,3.529856738E-2,-2.502432883E-2,5.616053510E-2
1.600596667E-1,-3.794673024E-2,2.598852555E-2,-3.236024559E-2,5.623649429E-2
1.700076667E-1,-3.470013684E-2,1.635636381E-2,-2.128328025E-2,4.387035619E-2
1.799556667E-1,-3.230355957E-2,8.327995108E-3,-1.739137352E-2,3.762094279E-2
1.899046667E-1,-2.275780186E-2,-2.056486302E-3,-1.334977806E-2,2.646437711E-2
1.998526667E-1,-1.841629449E-2,-4.850982581E-3,-1.619386375E-2,2.499866312E-2
2.098016667E-1,-2.225276688E-3,-1.455406694E-2,-1.290071189E-2,1.957552268E-2
2.197496667E-1,9.976327484E-3,-1.298740600E-2,-2.382857323E-2,2.891367716E-2
2.296976667E-1,1.882829478E-2,-9.716663144E-3,-6.763474345E-3,2.224101644E-2
2.396466667E-1,1.173272600E-2,-1.840034255E-2,-1.334977806E-2,2.558214298E-2
2.495946667E-1,8.160232552E-3,-2.031016652E-2,-1.918822289E-2,2.910807718E-2
2.595436667E-1,-5.374440858E-3,-1.758656317E-2,-1.724168479E-2,2.520808428E-2
2.694916667E-1,-6.884516277E-3,-8.766257626E-3,-2.263047874E-2,2.522662096E-2
2.794396667E-1,-1.960181746E-2,9.259111667E-4,-1.424732566E-2,2.425025459E-2
2.893886667E-1,-2.209105939E-2,4.690974439E-3,-8.109503388E-3,2.399550357E-2
2.993366667E-1,-3.210301378E-2,1.255647763E-2,-2.801868796E-2,4.442201593E-2
3.092856667E-1,-2.519149067E-2,1.712054008E-2,-1.409763694E-2,3.356288817E-2
3.192336667E-1,-2.628625846E-2,3.466243372E-2,-1.754106224E-2,4.690565594E-2
3.291816667E-1,-1.843991633E-2,2.390782356E-2,-2.352861106E-2,3.827806265E-2
3.391306667E-1,-7.962509869E-3,9.535219017E-3,-2.622300804E-2,2.901668685E-2
3.490786667E-1,1.979296203E-3,4.451444163E-3,-1.260074973E-2,1.350969513E-2
3.590276667E-1,5.963867605E-3,-6.123878032E-3,-1.709199607E-2,1.911036182E-2
3.689756667E-1,-2.184711630E-3,-5.214631429E-3,-2.263047874E-2,2.332603511E-2
3.789236667E-1,-6.912094122E-3,-1.679082792E-2,-1.739195824E-2,2.514337206E-2
3.888726667E-1,1.440470712E-4,-1.900525528E-2,-2.173176169E-2,2.887022591E-2
3.988206667E-1,-2.644535755E-3,-1.890998450E-2,-2.397650778E-2,3.065051400E-2
4.087696667E-1,-6.505584726E-3,-1.012184093E-2,-1.319891989E-2,1.786017309E-2
4.187176667E-1,2.494129837E-3,-1.219488901E-2,-1.514487326E-2,1.960365241E-2
4.286656667E-1,-5.400045267E-3,-4.296008726E-3,-1.274868429E-2,1.449638337E-2
4.386146667E-1,-1.830185808E-2,-1.460945103E-3,-1.693938375E-2,2.498069438E-2
4.485626667E-1,-1.988897970E-2,3.170310077E-3,-9.304674268E-3,2.218556609E-2
4.585116667E-1,-2.483376442E-2,-8.512349138E-3,-2.718370557E-3,2.639252700E-2
4.684596667E-1,-2.339194153E-2,-6.607490731E-4,-3.250642598E-2,4.005355475E-2
4.784076667E-1,-1.438614678E-2,6.582171831E-3,-2.921327412E-2,3.322200461E-2
4.883566667E-1,-1.614209305E-2,2.048829418E-2,-1.169910908E-2,2.858682423E-2
4.983046667E-1,-1.405172716E-2,2.753187300E-2,-8.855023384E-3,3.215379458E-2
5.082536667E-1,-1.423433388E-2,2.188982609E-2,-1.334568501E-2,2.932384790E-2
5.182016667E-1,-7.081142608E-3,1.146280162E-2,-1.409471333E-2,1.949870112E-2
5.281496667E-1,-6.838958245E-4,3.921860014E-3,-2.217731953E-2,2.253180421E-2
5.380986667E-1,3.965229909E-3,3.727581706E-3,-2.142829120E-2,2.210858606E-2
5.480466667E-1,-1.390053095E-2,-1.051591585E-2,-2.232583880E-2,2.832405913E-2
5.579956667E-1,-5.734551684E-3,-1.733382412E-2,-2.322338641E-2,2.954102601E-2
5.679436667E-1,-4.933117689E-3,-1.990115379E-2,-1.828424335E-2,2.747189704E-2
5.778916667E-1,-5.097205178E-3,-1.399474650E-2,-1.603832781E-2,2.188749390E-2
5.878406667E-1,-8.185000992E-3,-1.075503500E-2,-1.798428118E-2,2.249665283E-2
5.977886667E-1,-2.012655939E-2,-4.989799135E-4,-1.873214006E-2,2.749946263E-2
6.077376667E-1,-1.762877961E-2,1.006233637E-2,-1.543898821E-2,2.550268301E-2
6.176856667E-1,-8.574877800E-3,6.890009462E-3,-2.427120745E-2,2.664755656E-2
6.276336667E-1,-1.169102347E-2,8.424723130E-3,-2.307428241E-2,2.720438381E-2
6.375826667E-1,-1.816141984E-2,7.507573650E-4,-2.157739520E-2,2.821320242E-2
6.475306667E-1,-1.358865966E-2,8.845558204E-3,-2.277490497E-2,2.795696456E-2
6.574796667E-1,-1.077086359E-2,1.333336474E-3,-2.442148089E-2,2.672448349E-2
6.674276667E-1,-1.241865008E-2,3.693142519E-3,-2.801401019E-2,3.086497916E-2
6.773756667E-1,-8.686212441E-3,2.542419615E-3,-1.708673358E-2,1.933573501E-2
6.873246667E-1,-1.045089756E-2,-2.408280834E-3,-1.753463030E-2,2.055442376E-2
6.972726667E-1,-6.782075800E-3,-1.321581972E-2,-1.349245012E-2,2.006740275E-2
7.072216667E-1,-6.268868423E-3,-9.264342184E-3,-1.409062028E-2,1.799089568E-2
7.171696667E-1,-5.495359451E-3,-1.003950025E-2,-1.708497941E-2,2.056421801E-2
7.271176667E-1,-1.235902675E-2,-1.720048933E-2,-1.274342179E-2,2.471835703E-2
7.370666667E-1,-1.406948808E-2,-3.591727589E-3,-3.115454972E-2,3.437232855E-2
