"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.493333315E-3,4.521501298E-1,3.480116576E-1,-8.248339677E-1,1.002947121E0
1.145433332E-2,2.166306422E-1,3.125237364E-1,-8.711287129E-1,9.505078408E-1
2.141533332E-2,-2.123148854E-1,3.878668642E-1,-7.454814041E-1,8.667530437E-1
3.137533332E-2,-1.784152872E-1,5.525419986E-1,-8.016018105E-1,9.897980286E-1
4.133633332E-2,-3.645305534E-1,5.890087438E-1,-4.465939593E-1,8.241723055E-1
5.129733332E-2,-1.576397938E0,-1.941030014E-1,5.754034424E-1,1.689318074E0
6.125833333E-2,-1.251952606E0,3.920546401E-1,2.955767695E-1,1.344789126E0
7.121933333E-2,-5.571857111E-1,4.710288888E-1,4.786659372E-1,8.726082799E-1
8.117933333E-2,4.563080849E-1,5.627945065E-1,5.284631646E-1,8.967876233E-1
9.114033333E-2,1.345208533E0,8.301490867E-1,2.947418054E-1,1.607982038E0
1.011013333E-1,1.730032067E0,8.511651492E-1,3.596236432E-1,1.961331749E0
1.110623333E-1,1.701958854E0,7.569173884E-1,6.358005023E-1,1.968204805E0
1.210233333E-1,1.484033565E0,6.369775468E-1,8.002604592E-1,1.802363121E0
1.309833333E-1,1.204727422E0,5.120237178E-1,7.748122072E-1,1.521141153E0
1.409443333E-1,8.297000206E-1,3.546815765E-1,6.446414924E-1,1.108947158E0
1.509053333E-1,4.724765863E-1,1.912589157E-1,4.308626103E-1,6.674254164E-1
1.608663333E-1,8.529033802E-2,4.907217264E-2,2.675136975E-1,2.850370121E-1
1.708273333E-1,-1.961880454E-1,-8.472673953E-2,2.245985699E-1,3.100207850E-1
1.807883333E-1,-4.046336089E-1,-2.056109065E-1,1.483357115E-1,4.775015033E-1
1.907483333E-1,-5.093613343E-1,-3.006281608E-1,8.935013294E-2,5.981719704E-1
2.007093333E-1,-4.102268361E-1,-3.405149424E-1,1.163560832E-1,5.456878422E-1
2.106703333E-1,-2.748167237E-1,-3.487671179E-1,1.181827533E-1,4.594887347E-1
2.206313333E-1,-1.524352310E-1,-4.081876928E-1,1.007348080E-1,4.472149301E-1
2.305923333E-1,-1.406280946E-1,-4.109803230E-1,8.263511740E-2,4.421647312E-1
2.405523333E-1,-2.561117732E-1,-4.760224110E-1,-1.543664932E-3,5.405487573E-1
2.505133333E-1,-4.105343266E-1,-5.565730691E-1,-1.377697563E-1,7.051897052E-1
2.604743333E-1,-4.784686667E-1,-5.832544988E-1,-2.572201860E-1,7.970447287E-1
2.704353333E-1,-5.578865730E-1,-5.997728831E-1,-3.619776591E-1,8.955404878E-1
2.803963333E-1,-6.447411143E-1,-5.951857424E-1,-4.059300828E-1,9.668073254E-1
2.903563333E-1,-6.684797135E-1,-6.042881030E-1,-3.582975677E-1,9.697455263E-1
3.003173333E-1,-6.221063963E-1,-5.847215652E-1,-3.258864514E-1,9.138477206E-1
3.102783333E-1,-5.113494607E-1,-5.357517189E-1,-2.688244971E-1,7.878926231E-1
3.202393333E-1,-3.872141688E-1,-5.171447092E-1,-1.239937162E-1,6.578357732E-1
3.302003333E-1,-2.223750930E-1,-4.487428111E-1,8.354501724E-3,5.008897985E-1
3.401603333E-1,-1.065159501E-1,-4.054552889E-1,6.604071938E-2,4.243831000E-1
3.501213333E-1,-1.055681165E-1,-3.899075425E-1,3.407757282E-2,4.053810551E-1
3.600823333E-1,-1.011563192E-1,-3.332304811E-1,-1.344087768E-1,3.732839050E-1
3.700433333E-1,-1.495453177E-1,-3.034634757E-1,-2.905341125E-1,4.459416482E-1
3.800043333E-1,-2.936096017E-1,-2.882022429E-1,-3.793264210E-1,5.596031314E-1
3.899653333E-1,-3.796432670E-1,-2.338658220E-1,-3.913797983E-1,5.932961987E-1
3.999253333E-1,-3.717957189E-1,-2.179233885E-1,-3.836790153E-1,5.770028133E-1
4.098863333E-1,-2.015569588E-1,-1.684606218E-1,-3.696925485E-1,4.535160076E-1
4.198473333E-1,-1.817606986E-2,-5.729394257E-2,-3.143148116E-1,3.200105720E-1
4.298083333E-1,1.474740878E-1,2.211650848E-2,-1.576572331E-1,2.170104828E-1
4.397693333E-1,3.317511356E-1,1.101632971E-1,2.234462298E-2,3.502771048E-1
4.497293333E-1,3.952824493E-1,1.988041627E-1,1.877283669E-1,4.806383771E-1
4.596903333E-1,3.914596859E-1,2.375530761E-1,2.747921654E-1,5.340251715E-1
4.696513333E-1,4.708129804E-1,2.785052204E-1,2.551947105E-1,6.036177272E-1
4.796123333E-1,4.449815896E-1,2.617237115E-1,1.868653909E-1,5.490233060E-1
4.895733333E-1,2.534297284E-1,2.738467437E-1,6.890008092E-2,3.794283693E-1
4.995333333E-1,3.888522662E-2,2.482610822E-1,-1.365324855E-2,2.516585722E-1
5.094943333E-1,-1.107968429E-1,2.124158961E-1,-1.160238882E-1,2.661916526E-1
5.194553333E-1,-1.930877054E-1,1.952215737E-1,-2.145670136E-1,3.484728514E-1
5.294163333E-1,-2.794564893E-1,1.487864953E-1,-1.768758615E-1,3.626546856E-1
5.393773333E-1,-2.319182606E-1,9.778708041E-2,-1.591331434E-1,2.977780214E-1
5.493383333E-1,-8.639962792E-2,1.220623809E-1,-9.845183574E-2,1.790443646E-1
5.592983333E-1,-5.080375247E-2,9.431208014E-2,2.085446008E-1,2.344496539E-1
5.692593333E-1,-5.399318933E-2,6.009417415E-2,4.488673568E-1,4.560794648E-1
5.792203333E-1,-1.546994191E-1,-1.847720146E-3,4.980564737E-1,5.215319505E-1
5.891813333E-1,-2.998049460E-1,-8.996058226E-2,4.118193984E-1,5.172727800E-1
5.991423333E-1,-3.920647996E-1,-1.234651279E-1,2.239064057E-1,4.680732031E-1
6.091023333E-1,-3.801448119E-1,-1.372657263E-1,1.970160842E-2,4.046481324E-1
6.190640416E-1,-2.624598029E-1,-1.429246616E-1,-1.252075251E-1,3.240208811E-1
6.290250416E-1,-1.770590986E-1,-1.357255697E-1,-1.510031017E-1,2.693943047E-1
6.389860417E-1,-1.233078378E-1,-1.169115686E-1,-1.411448423E-1,2.208959127E-1
6.489470417E-1,-2.569785498E-2,-8.619263649E-2,-1.652494041E-1,1.881406811E-1
6.589080417E-1,8.753318377E-2,-7.452276349E-3,-1.942268892E-1,2.131705401E-1
6.688680417E-1,1.385746986E-1,2.219135284E-2,-1.289381218E-1,1.905792289E-1
6.788290417E-1,1.423932959E-1,8.234166026E-2,-3.321218491E-3,1.645206073E-1
6.887900417E-1,1.448998511E-1,1.118163049E-1,1.546932064E-2,1.836794838E-1
6.987510417E-1,1.192673387E-1,1.614024478E-1,-7.818195105E-2,2.153784245E-1
7.087120416E-1,5.295976706E-2,2.976992905E-1,-2.139263780E-1,3.703972188E-1
7.186720417E-1,-1.083592118E-1,4.765036368E-1,-3.224189063E-1,5.854497296E-1
7.286330417E-1,-3.393401637E-1,7.076382244E-1,-4.051184893E-1,8.831900099E-1
7.385940416E-1,-7.104407948E-1,9.652905196E-1,-4.190943579E-1,1.269705474E0
7.485550416E-1,-1.292073276E0,1.193658789E0,-2.452941319E-1,1.776075411E0
7.585160416E-1,-2.100861899E0,1.395420474E0,1.361220840E-1,2.525737168E0
