"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.988363600E-2,-8.535159826E-1,5.291643143E-1,-6.695549488E-1,1.206983112E0
3.668749300E-2,-7.610148191E-1,3.413124084E-1,-1.345355511E-1,8.448298821E-1
5.348935300E-2,-6.534761190E-1,5.140352249E-1,-3.211760521E-2,8.320425417E-1
7.030162000E-2,-2.110484838E-1,1.062968254E0,5.298287868E-1,1.206300756E0
8.710308300E-2,4.625741243E-1,9.702939987E-1,3.443439007E-1,1.128724052E0
1.039100700E-1,1.361819983E0,1.409785271E0,-2.040815353E0,2.829659959E0
1.207149310E-1,1.435111523E0,1.255675316E0,-1.725990772E-1,1.914694760E0
1.375212660E-1,5.716733336E-1,1.386204720E0,1.812787056E-1,1.510376077E0
1.543259350E-1,-3.609468937E-1,-3.599863052E-1,-3.727130890E-1,6.314965136E-1
1.711324120E-1,-5.597170591E-1,-1.397765160E0,2.041123867E0,2.536378771E0
1.879266730E-1,-1.508570313E0,-9.223065376E-1,2.661635876E0,3.195424741E0
2.047439860E-1,-5.888913870E-1,-4.486427307E-1,4.611387253E-1,8.721939517E-1
2.215574630E-1,1.571314931E-1,3.011608124E-1,6.885209084E-1,7.677559393E-1
2.383552540E-1,-2.933502197E-1,-9.026050568E-2,-1.621437073E-2,3.073503150E-1
2.551499420E-1,2.806193233E-1,-9.503364563E-1,-5.947074890E-1,1.155665861E0
2.719667450E-1,1.336426020E0,-4.510059357E-1,-3.080844879E-1,1.443730207E0
2.887691340E-1,1.736398339E0,-1.291956902E0,-6.748836040E-1,2.267090582E0
3.055756420E-1,1.608599424E0,-1.903113365E0,1.347804070E0,2.833021073E0
3.223846030E-1,1.056661367E0,-4.235019684E-1,7.187657356E-1,1.346295415E0
3.391861890E-1,1.017434597E-1,2.179346085E-1,1.202514887E0,1.226331635E0
3.559955040E-1,-6.094541550E-1,1.360746384E0,2.197002649E0,2.655162091E0
3.727984440E-1,-5.064384937E-1,7.754240036E-1,1.823658943E0,2.045359204E0
3.896073730E-1,-7.405844927E-1,2.507038116E-1,5.153138638E-1,9.364113253E-1
4.064118470E-1,9.120786190E-2,-6.941823959E-1,5.146462917E-1,8.689469941E-1
4.232160370E-1,6.069626808E-1,-1.241875648E0,-8.672044277E-1,1.631778889E0
4.400236540E-1,-6.461582184E-1,1.083698273E-1,-3.833633423E0,3.889217104E0
4.568263480E-1,-5.757727623E-1,-9.840497971E-1,-1.095581055E1,1.101497404E1
4.736350550E-1,-1.035029292E0,-1.956197262E0,-2.002236843E-1,2.222179760E0
4.904257150E-1,-6.551703215E-1,-3.002367020E-1,1.023881197E0,1.252087430E0
5.072453250E-1,5.799841285E-1,-8.255672455E-1,-1.655230522E-1,1.022419066E0
5.240500540E-1,6.733697057E-1,-1.079010963E0,3.106993437E0,3.357245841E0
5.408568980E-1,6.542931795E-1,-9.427251816E-1,8.250820637E-1,1.413361505E0
5.576611900E-1,1.717579126E0,5.983200073E-1,1.087776899E0,2.119274279E0
5.744683600E-1,2.027548075E0,-7.181320190E-1,2.378182411E-1,2.164075393E0
5.912714000E-1,1.057072163E0,-2.972611904E0,-1.772300601E0,3.618683809E0
6.080794450E-1,1.006456852E0,-3.329590321E0,-2.870859146E0,4.510095269E0
6.248836150E-1,1.052523851E0,-3.652571678E0,-1.926974058E0,4.261726803E0
6.416903970E-1,1.696369290E0,-3.291814804E0,-1.815441251E0,4.124262408E0
6.584947090E-1,2.562348127E0,-3.009135723E0,-1.151356220E0,4.116569794E0
6.752922250E-1,3.676022053E0,-2.696919918E0,-1.470964074E0,4.790641970E0
6.921062820E-1,4.985708237E0,-1.781303406E0,-1.658595324E0,5.548086778E0
7.089030250E-1,5.702638626E0,-6.784114838E-1,-1.270806551E0,5.881775134E0
7.257177020E-1,6.216117859E0,1.263396263E0,-3.855445385E-1,6.354914314E0
7.425217610E-1,6.783227444E0,3.667496681E0,2.680888176E-1,7.715865348E0
7.593185130E-1,6.524252892E0,6.082831383E0,1.225628376E0,9.003825761E0
7.761354070E-1,5.508113384E0,7.048223495E0,2.060640574E0,9.179488388E0
7.929388860E-1,4.310301304E0,6.910627365E0,1.721480846E0,8.324599943E0
8.097495960E-1,2.519079685E0,6.914909363E0,1.992657423E0,7.624461788E0
8.265487090E-1,1.042386651E0,6.964618683E0,2.934794664E0,7.629253112E0
8.433608120E-1,-1.234560907E-1,7.131547928E0,3.780019999E0,8.072345907E0
8.601620520E-1,-1.483468652E0,6.853557587E0,4.097009659E0,8.121417301E0
8.769685610E-1,-2.893229961E0,5.446659088E0,4.201595306E0,7.462591906E0
8.937767480E-1,-4.127823353E0,4.284538269E0,3.725073099E0,7.019427570E0
9.105718950E-1,-4.715678692E0,3.154561996E0,2.746974945E0,6.303551242E0
9.273855840E-1,-5.133723736E0,2.493447304E0,2.254022121E0,6.136205226E0
9.441845770E-1,-5.394148827E0,1.978848457E0,2.735683680E0,6.363697665E0
9.609963140E-1,-5.434433937E0,1.513246536E0,3.063116789E0,6.419164413E0
9.778010420E-1,-5.402539253E0,5.531368256E-1,3.204886198E0,6.305924696E0
9.946104400E-1,-5.396352768E0,-5.560569763E-1,2.096962214E0,5.816104631E0
1.011415189E0,-5.406871319E0,-1.001192093E0,1.925544143E0,5.826179135E0
1.028218920E0,-5.261182785E0,-7.428932190E-1,2.885441303E0,6.046296895E0
1.045026142E0,-4.871021271E0,-7.411270142E-1,3.381189585E0,5.975664020E0
1.061830596E0,-4.742614269E0,-1.389313698E0,3.519819498E0,6.067265608E0
1.078638029E0,-4.600374222E0,-2.479580402E0,3.340685368E0,6.202575326E0
1.095441132E0,-4.565222263E0,-2.768560410E0,2.950358868E0,6.100065451E0
1.112249013E0,-4.287305355E0,-3.551413059E0,2.614989281E0,6.150747179E0
1.129051717E0,-4.198413849E0,-3.815589428E0,2.371122837E0,6.148790535E0
1.145860230E0,-3.630492926E0,-4.115783215E0,2.394613743E0,5.987848139E0
1.162664074E0,-2.792782068E0,-4.026822090E0,2.249386311E0,5.392092970E0
1.179471040E0,-2.306101799E0,-4.337669373E0,1.987847328E0,5.299529988E0
1.196265809E0,-2.106569290E0,-4.681901455E0,1.813502312E0,5.444871536E0
1.213082726E0,-1.436882257E0,-4.836138725E0,1.450317621E0,5.249408499E0
1.229871127E0,-1.122619510E0,-5.488699436E0,1.235456944E0,5.736937330E0
1.246693352E0,-8.913684487E-1,-6.054673195E0,1.050966859E0,6.209519832E0
1.263488458E0,-1.059405506E-1,-6.320880890E0,8.608320951E-1,6.380108974E0
1.280307622E0,3.093871176E-1,-6.391417503E0,1.169597507E0,6.504913252E0
1.297107090E0,5.701076984E-1,-6.600897789E0,1.766258001E0,6.856860924E0
1.313914037E0,1.283683062E0,-6.174508095E0,1.551342249E0,6.494540414E0
1.330723903E0,2.114097118E0,-5.621412754E0,9.410878420E-1,6.079089924E0
1.347524053E0,2.641580582E0,-5.533036232E0,9.578258395E-1,6.205631979E0
1.364336351E0,3.174001217E0,-5.149293900E0,1.238945723E-1,6.050195142E0
1.381126288E0,3.643450260E0,-4.266792297E0,4.413993955E-1,5.628061810E0
1.397946133E0,3.600379229E0,-3.486063480E0,5.830844641E-1,5.045330185E0
1.414750314E0,3.355783701E0,-3.213861465E0,9.068300128E-1,4.734187411E0
1.431554512E0,3.265957355E0,-3.171756268E0,4.256689250E-1,4.572494866E0
1.448361702E0,3.416508675E0,-2.667577744E0,-4.156793356E-1,4.354456551E0
1.465166279E0,3.658543587E0,-2.335268974E0,-1.465839148E-2,4.340349897E0
1.481973297E0,3.659832239E0,-2.218599319E0,9.729604721E-1,4.388987017E0
1.498777180E0,4.373217583E0,-1.732674599E0,7.849066854E-1,4.768990647E0
1.515583810E0,5.146449089E0,-4.990968704E-1,8.147835732E-1,5.234396640E0
1.532389120E0,5.313100815E0,4.429378510E-1,1.337570786E0,5.496756300E0
1.549193594E0,5.578359604E0,9.585695267E-1,1.647292852E0,5.894957604E0
1.566000295E0,6.008072853E0,7.584733963E-1,1.339976311E0,6.202238129E0
1.582806490E0,5.849178791E0,1.204115868E0,1.117042303E0,6.075407069E0
1.599611218E0,5.354270458E0,1.781714439E0,1.484205961E0,5.834859537E0
1.616417706E0,5.515845776E0,1.836084366E0,1.249158859E0,5.946104462E0
1.633222538E0,5.843411922E0,1.842328072E0,1.075300455E0,6.220603402E0
1.650029016E0,6.058375359E0,2.171285629E0,1.416476011E0,6.589749431E0
1.666833632E0,5.795002937E0,2.598750114E0,1.536881924E0,6.534337552E0
1.683633111E0,5.314834118E0,3.167675018E0,9.211649895E-1,6.255411390E0
1.700444950E0,5.211991310E0,2.961055756E0,-1.536576748E-1,5.996358502E0
1.717251357E0,4.974862099E0,2.699010849E0,-1.032931805E-1,5.660793402E0
1.734056168E0,4.683409214E0,2.619550705E0,1.578807831E-2,5.366247947E0
1.750852789E0,4.208864689E0,3.564774513E0,1.435008049E-1,5.517495064E0
1.767667100E0,4.061484337E0,4.117541313E0,-4.149675369E-1,5.798448029E0
1.784474423E0,3.823487282E0,4.393392563E0,-2.464094162E-1,5.829379968E0
1.801276496E0,3.398252487E0,4.602809906E0,8.220193386E-1,5.780112005E0
1.818088711E0,2.638010263E0,5.701307297E0,1.497746706E0,6.458114914E0
1.834887368E0,1.503522992E0,6.570010185E0,2.369552851E0,7.144256150E0
1.851699430E0,4.509431124E-1,6.807028770E0,2.727390289E0,7.346948221E0
1.868499602E0,-8.009690642E-1,6.963888168E0,3.728379965E0,7.939654087E0
1.885301289E0,-2.154288769E0,6.605834007E0,4.537451744E0,8.298582491E0
1.902114501E0,-3.585678339E0,6.311414719E0,5.815530777E0,9.301152784E0
1.918919687E0,-4.650124550E0,5.069820404E0,6.331085205E0,9.349298216E0
1.935724019E0,-5.253162384E0,3.679818153E0,5.969214439E0,8.761751977E0
1.952531454E0,-5.423381329E0,2.811692238E0,5.866755962E0,8.469799513E0
1.969335084E0,-5.135987282E0,2.334293365E0,5.802086353E0,8.092681689E0
1.986143851E0,-5.191303253E0,1.613657951E0,5.560476303E0,7.776401364E0
2.002943860E0,-5.671559811E0,5.183849335E-1,5.472824097E0,7.898551590E0
2.019753837E0,-6.006374836E0,-8.489885330E-1,4.490320206E0,7.547204499E0
2.036558026E0,-5.898543358E0,-1.678166389E0,3.782493114E0,7.205297380E0
2.053364881E0,-5.244472504E0,-1.843358994E0,3.841803312E0,6.757360203E0
2.070169173E0,-4.863123417E0,-2.495037079E0,3.508503437E0,6.494980813E0
2.086976199E0,-4.965529919E0,-3.332040310E0,3.738829136E0,7.052504754E0
2.103780318E0,-5.146948338E0,-3.882445812E0,4.111469269E0,7.646479074E0
2.120587265E0,-5.044601440E0,-4.356171131E0,4.114758492E0,7.832973130E0
2.137398463E0,-4.607838631E0,-4.512990952E0,3.127762794E0,7.168135341E0
2.154198828E0,-4.175866604E0,-4.494864464E0,2.908174515E0,6.789635296E0
2.171003119E0,-3.332292557E0,-4.165597916E0,3.003799915E0,6.122025287E0
2.187809332E0,-2.597706795E0,-4.769933701E0,2.521840334E0,5.988324204E0
2.204614967E0,-2.400604248E0,-5.252771854E0,2.396373272E0,6.252768808E0
2.221421089E0,-2.050273180E0,-5.590369701E0,1.990564704E0,6.278391621E0
2.238216896E0,-1.492231131E0,-5.427433968E0,1.504156828E0,5.826343706E0
2.255032073E0,-7.760558128E-1,-5.007692337E0,1.495238543E0,5.283463208E0
2.271837350E0,-5.311940610E-2,-4.797717571E0,1.391493201E0,4.995715053E0
2.288646208E0,1.686139107E-1,-4.751586914E0,1.255720496E0,4.917605395E0
2.305446055E0,5.128707290E-1,-5.359301090E0,1.295259237E0,5.537403819E0
2.322250783E0,7.530790567E-1,-5.581527710E0,9.193701148E-1,5.706647094E0
2.339061635E0,1.025694609E0,-5.572133541E0,9.783978462E-1,5.749607289E0
2.355863118E0,1.307784796E0,-5.865144253E0,1.366242766E0,6.162534988E0
