"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.482486500E-2,2.492124796E0,7.157530785E0,7.868797302E0
1.688431000E-2,2.477767944E0,7.167101860E0,7.883154392E0
1.895361200E-2,2.520838737E0,7.210172653E0,7.896913052E0
2.105676500E-2,2.583650351E0,7.238288403E0,7.901698589E0
2.315842300E-2,2.626721144E0,7.319644451E0,7.934001446E0
2.524778500E-2,2.670390129E0,7.342974663E0,7.962715626E0
2.734581800E-2,2.689532757E0,7.376473904E0,7.990831375E0
2.944524300E-2,2.703889608E0,7.424330235E0,8.023732185E0
3.154575800E-2,2.709273338E0,7.448258877E0,8.057231903E0
3.363941700E-2,2.690130949E0,7.467401028E0,8.075776100E0
3.574680900E-2,2.632703066E0,7.472187042E0,8.099704742E0
3.784747700E-2,2.460419893E0,7.310671329E0,8.178668022E0
3.995099100E-2,2.283350945E0,7.205985546E0,8.313861847E0
4.204783400E-2,2.288734913E0,7.258627415E0,8.332406998E0
4.414125900E-2,2.268994093E0,7.296912670E0,8.217551231E0
4.625308600E-2,2.134397745E0,7.259225845E0,8.132007599E0
4.835177000E-2,2.090728760E0,7.283154011E0,7.950153351E0
5.045498900E-2,1.998006940E0,7.331010342E0,7.615158081E0
5.255248300E-2,1.899901152E0,7.365108013E0,6.998407841E0
5.465100500E-2,1.813161373E0,7.408777237E0,5.812764645E0
5.674420500E-2,1.648056626E0,7.442874908E0,5.387440205E0
5.885485200E-2,1.515254974E0,7.418946743E0,5.589035511E0
6.095532600E-2,1.406381488E0,7.376473904E0,5.919245243E0
6.305924800E-2,1.311266780E0,7.286144733E0,6.087938786E0
6.515896000E-2,1.234696507E0,7.233502865E0,6.145965099E0
6.726820300E-2,1.187438250E0,7.128817081E0,6.314060688E0
6.935829000E-2,1.106082320E0,7.028916359E0,6.348756790E0
7.145782900E-2,1.033699393E0,6.976274490E0,6.320641041E0
7.355557600E-2,9.427721500E-1,6.919445038E0,6.393023968E0
7.565872700E-2,8.225327730E-1,6.824330330E0,6.275177479E0
7.776023800E-2,7.082754970E-1,6.887141705E0,6.384648800E0
7.986143400E-2,5.934200287E-1,6.906284332E0,6.456433773E0
8.196060600E-2,5.270192027E-1,6.849454880E0,6.562315941E0
8.406107000E-2,4.983053207E-1,6.811169624E0,6.591628075E0
8.616167600E-2,4.414757788E-1,6.801598549E0,6.687341213E0
8.825963800E-2,3.942175210E-1,6.830312252E0,6.854240417E0
9.035266500E-2,3.750749528E-1,6.844669342E0,6.902096748E0
9.246330200E-2,2.572284341E-1,7.007380962E0,7.111468792E0
9.456433500E-2,2.147558331E-1,7.069594383E0,7.268796921E0
9.666639700E-2,2.003988922E-1,7.065407276E0,7.254439831E0
9.876131700E-2,2.045863420E-1,7.041478634E0,7.173682213E0
1.008559720E-1,2.231307179E-1,7.036693096E0,7.030112743E0
1.029666180E-1,2.799602449E-1,6.988836765E0,6.886543751E0
1.050674290E-1,3.367897868E-1,6.954739094E0,6.734001160E0
1.071695710E-1,3.792623878E-1,6.935596466E0,6.643074036E0
1.092706960E-1,3.888336718E-1,6.906882763E0,6.614958286E0
1.113803760E-1,3.930211067E-1,6.882954121E0,6.571887493E0
1.134704430E-1,3.786641955E-1,6.849454880E0,6.605985165E0
1.155694120E-1,3.690928817E-1,6.826124668E0,6.634698868E0
1.176670280E-1,3.122633696E-1,6.854838848E0,6.749554634E0
1.197702270E-1,2.985046208E-1,6.859624386E0,6.802196503E0
1.218715570E-1,2.650051117E-1,6.869195461E0,6.859025955E0
1.239719500E-1,2.608176768E-1,6.878767014E0,6.897311211E0
1.260720780E-1,2.895315289E-1,6.878767014E0,6.945167542E0
1.281728670E-1,2.991028428E-1,6.893123627E0,6.911668301E0
1.302742360E-1,3.661018610E-1,6.887740135E0,6.892525673E0
1.323721470E-1,4.372883439E-1,6.873383045E0,6.859025955E0
1.344655000E-1,4.851447940E-1,6.872784615E0,6.768098831E0
1.365756590E-1,5.521438122E-1,6.882356167E0,6.781857491E0
1.386752990E-1,6.281159520E-1,6.863213539E0,6.725028038E0
1.407783570E-1,6.664010882E-1,6.863213539E0,6.667002201E0
1.428753820E-1,7.567301393E-1,6.833901405E0,6.619743824E0
1.449739030E-1,8.141579032E-1,6.786045074E0,6.571887493E0
1.470769910E-1,8.183453679E-1,6.738188744E0,6.491129398E0
1.491703140E-1,8.518448472E-1,6.675975323E0,6.491727829E0
1.512796480E-1,8.416753411E-1,6.570691109E0,6.483353138E0
1.533764810E-1,8.129615188E-1,6.475576401E0,6.455237389E0
1.554723160E-1,8.410771489E-1,6.332006931E0,6.461219311E0
1.575813150E-1,8.171489239E-1,6.189035892E0,6.520441532E0
1.596815030E-1,8.027920127E-1,6.050251961E0,6.593422890E0
1.617841760E-1,7.836494446E-1,5.897709846E0,6.695117950E0
1.638825240E-1,7.890332937E-1,5.778068542E0,6.801598549E0
1.659809530E-1,7.842476368E-1,5.649454117E0,6.907480717E0
1.680820480E-1,7.794619799E-1,5.544169903E0,6.999604225E0
1.701836600E-1,7.794619799E-1,5.458028316E0,7.071987152E0
1.722846240E-1,7.992027402E-1,5.391029358E0,7.163512707E0
1.743825550E-1,8.231309652E-1,5.338387489E0,7.202396393E0
1.764726730E-1,8.757730722E-1,5.285745144E0,7.278966427E0
1.785764440E-1,8.428717852E-1,5.304887772E0,7.326822758E0
1.806875470E-1,8.333004713E-1,5.314459324E0,7.331608772E0
1.827896590E-1,8.374879360E-1,5.324030399E0,7.288537979E0
1.848905610E-1,8.093722463E-1,5.371886730E0,7.297510624E0
1.869854500E-1,7.998009920E-1,5.462814331E0,7.311269760E0
1.890769830E-1,7.812566161E-1,5.544169903E0,7.367500782E0
1.911893480E-1,7.435696125E-1,5.625525951E0,7.409973621E0
1.932896080E-1,7.250252366E-1,5.711069584E0,7.485945702E0
1.953910490E-1,6.873382926E-1,5.849853039E0,7.637889862E0
1.974836090E-1,6.789634228E-1,5.969494343E0,7.751548767E0
1.995991990E-1,7.226324677E-1,6.088537216E0,7.855038643E0
2.016915150E-1,7.710871100E-1,6.155536175E0,7.959724426E0
2.037922330E-1,8.147560954E-1,6.226722717E0,8.020741463E0
2.058914060E-1,8.871390224E-1,6.241079807E0,8.106883049E0
2.079937620E-1,9.349954724E-1,6.254838467E0,8.130212784E0
2.100928920E-1,9.349954724E-1,6.312266350E0,8.148757935E0
2.121848630E-1,9.254241586E-1,6.345765591E0,8.096115112E0
2.142967810E-1,9.493523836E-1,6.374479294E0,8.119445801E0
2.163956280E-1,9.882357717E-1,6.384050846E0,8.129016876E0
2.184989910E-1,9.930213690E-1,6.441478729E0,8.123632431E0
2.205924860E-1,1.031306505E0,6.474380016E0,8.132605553E0
2.226807840E-1,1.055234790E0,6.550950050E0,8.093722343E0
2.247965980E-1,1.045663476E0,6.622735023E0,8.016553879E0
2.268970110E-1,1.031306505E0,6.680162430E0,7.987242222E0
2.290023580E-1,1.002592683E0,6.747161865E0,7.991429329E0
2.311011530E-1,9.643075466E-1,6.828517437E0,8.000402451E0
2.332010980E-1,9.026923180E-1,6.909873486E0,8.018946648E0
2.353014100E-1,8.500502706E-1,7.010372162E0,8.008777618E0
2.374011420E-1,7.782655358E-1,7.086942673E0,7.998608112E0
2.395020930E-1,7.208378315E-1,7.125227451E0,7.965108395E0
2.416041040E-1,6.586244106E-1,7.134799004E0,7.912466049E0
2.437094610E-1,5.862415433E-1,7.173682213E0,7.831110477E0
2.458041060E-1,5.282155871E-1,7.164111137E0,7.740781307E0
2.479050690E-1,4.510470629E-1,7.135995388E0,7.635497093E0
2.500031920E-1,3.978067636E-1,7.083353043E0,7.526623726E0
2.521053140E-1,3.876372576E-1,7.021139622E0,7.426723480E0
2.542030310E-1,4.157529473E-1,6.958926678E0,7.278966427E0
2.562963750E-1,4.247260094E-1,6.911668301E0,7.183851719E0
2.584072560E-1,4.289134443E-1,6.873383045E0,7.088737011E0
2.605073220E-1,4.235295951E-1,6.859025955E0,7.002595425E0
2.626105640E-1,4.618147612E-1,6.863811970E0,6.930810928E0
2.647087290E-1,4.809573591E-1,6.868597507E0,6.921239376E0
2.668084810E-1,5.144568682E-1,6.863213539E0,6.921239376E0
2.689105930E-1,5.431707501E-1,6.906284332E0,6.930212498E0
2.710110260E-1,5.718846321E-1,6.973283291E0,6.920042992E0
2.731108690E-1,5.964110494E-1,7.020541668E0,6.948158741E0
2.752085570E-1,6.011967063E-1,7.101897717E0,6.970890522E0
2.773017780E-1,5.970092416E-1,7.207181931E0,6.989434719E0
2.794128190E-1,5.258227587E-1,7.331608772E0,7.040880680E0
2.815138940E-1,5.024927258E-1,7.469794273E0,7.077969551E0
2.836156500E-1,4.211367965E-1,7.622934818E0,7.115057945E0
2.857127470E-1,3.547359705E-1,7.761718273E0,7.123433113E0
2.878131910E-1,2.877369225E-1,7.905287743E0,7.098308563E0
2.899155460E-1,2.117647976E-1,8.024929047E0,7.097710133E0
2.920158580E-1,1.686939895E-1,8.134998322E0,7.067800045E0
2.941165460E-1,1.160518974E-1,8.216354370E0,7.071987152E0
2.962171220E-1,4.486542568E-2,8.312067986E0,7.071389198E0
2.983157860E-1,2.093719877E-2,8.355138779E0,7.118647575E0
3.004076630E-1,4.007977992E-2,8.335995674E0,7.095317364E0
3.025185130E-1,2.572284266E-2,8.350353241E0,7.080362320E0
3.046193330E-1,4.486542568E-2,8.340781212E0,7.070790768E0
3.067226670E-1,1.256231815E-1,8.206783295E0,7.043273449E0
3.088177190E-1,1.776670814E-1,8.072785378E0,6.943971157E0
3.109111830E-1,2.057827413E-1,7.982456207E0,6.859025955E0
3.130217180E-1,2.769692242E-1,7.838887215E0,6.841079712E0
3.151226910E-1,3.481557071E-1,7.700103283E0,6.808776855E0
3.172246100E-1,3.337987661E-1,7.609176159E0,6.766304016E0
3.193254790E-1,3.044866920E-1,7.518846989E0,6.748358250E0
3.214345590E-1,2.518445849E-1,7.470990658E0,6.787241459E0
3.235244650E-1,2.566302419E-1,7.356134892E0,6.811768055E0
3.256245020E-1,2.422732860E-1,7.270591736E0,6.841678143E0
3.277223720E-1,2.039881349E-1,7.227520943E0,6.879963398E0
3.298257130E-1,9.391828626E-2,7.247261524E0,6.904489517E0
3.319247020E-1,4.606183618E-2,7.228118896E0,6.966702938E0
3.340165410E-1,3.649054468E-2,7.189833641E0,6.991229534E0
3.361275140E-1,1.256231871E-2,7.175477028E0,6.952944279E0
3.382285470E-1,7.776673418E-3,7.185048103E0,6.909873486E0
3.403308620E-1,4.067798331E-2,7.180262566E0,6.876374245E0
3.424275100E-1,9.332008660E-2,7.180262566E0,6.857231617E0
3.445239060E-1,2.033899277E-1,7.155735970E0,6.823731899E0
3.466304630E-1,3.463610709E-1,7.079165936E0,6.747161865E0
3.487314970E-1,4.564309120E-1,7.068996429E0,6.656234264E0
3.508324480E-1,5.515456200E-1,7.078567505E0,6.541378975E0
3.529317130E-1,6.466603279E-1,7.058826923E0,6.421737671E0
3.550308130E-1,7.411768436E-1,7.025327206E0,6.254240036E0
3.571312670E-1,8.075776696E-1,7.025327206E0,6.067600250E0
3.592319550E-1,8.877372146E-1,6.967301369E0,5.843272686E0
3.613340770E-1,9.445667267E-1,6.905087948E0,5.666802406E0
3.634370840E-1,9.720842242E-1,6.962515831E0,5.436492920E0
3.655425230E-1,1.004985452E0,6.938587666E0,5.288736343E0
3.676229270E-1,9.996016622E-1,6.972086906E0,5.202594757E0
