"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.315842300E-2,-4.280638099E-1,7.040221691E-1,-8.384125680E-2
2.524778500E-2,-4.647157490E-1,7.490735054E-1,-1.029307917E-1
2.734581800E-2,-4.975497425E-1,7.965682745E-1,-1.232420653E-1
2.944524300E-2,-5.280929804E-1,8.463537693E-1,-1.398881376E-1
3.154575800E-2,-5.574145317E-1,8.998045325E-1,-1.589776874E-1
3.363941700E-2,-5.818491578E-1,9.532552361E-1,-1.744020283E-1
3.574680900E-2,-6.024658680E-1,1.011592865E0,-1.886046380E-1
3.784747700E-2,-6.207917929E-1,1.072373986E0,-2.003637999E-1
3.995099100E-2,-6.366742849E-1,1.140332699E0,-2.073887438E-1
4.204783400E-2,-6.499606371E-1,1.210734963E0,-2.105957866E-1
4.414125900E-2,-6.560692787E-1,1.279915452E0,-2.151772827E-1
4.625308600E-2,-6.597344875E-1,1.340543747E0,-2.185370475E-1
4.835177000E-2,-6.620252132E-1,1.392772794E0,-2.231185287E-1
5.045498900E-2,-6.620252132E-1,1.436449647E0,-2.229658216E-1
5.255248300E-2,-6.571382880E-1,1.449888706E0,-2.229658216E-1
5.465100500E-2,-6.426302195E-1,1.413389444E0,-2.196060568E-1
5.674420500E-2,-6.195700765E-1,1.333366156E0,-2.176207453E-1
5.885485200E-2,-5.952881575E-1,1.256855249E0,-2.145664245E-1
6.095532600E-2,-5.685628057E-1,1.198517561E0,-2.125810981E-1
6.305924800E-2,-5.369505286E-1,1.158505917E0,-2.069306076E-1
6.515896000E-2,-5.041165352E-1,1.123228431E0,-1.988366395E-1
6.726820300E-2,-4.676173329E-1,1.096350431E0,-1.882992089E-1
6.935829000E-2,-4.309654236E-1,1.076955438E0,-1.751656085E-1
7.145782900E-2,-3.956879675E-1,1.059851170E0,-1.634064466E-1
7.355557600E-2,-3.627012372E-1,1.051299095E0,-1.527163088E-1
7.565872700E-2,-3.347541690E-1,1.043968678E0,-1.432479024E-1
7.776023800E-2,-3.127630055E-1,1.045037746E0,-1.360702366E-1
7.986143400E-2,-2.933680415E-1,1.054811597E0,-1.337794960E-1
8.196060600E-2,-2.750420868E-1,1.076650023E0,-1.325577646E-1
8.406107000E-2,-2.567161322E-1,1.099557400E0,-1.290452778E-1
8.616167600E-2,-2.383901626E-1,1.132391453E0,-1.229366288E-1
8.825963800E-2,-2.200642079E-1,1.177137375E0,-1.131627858E-1
9.035266500E-2,-1.992947906E-1,1.230435371E0,-1.009454802E-1
9.246330200E-2,-1.783726513E-1,1.291063666E0,-8.002334833E-2
9.456433500E-2,-1.598939747E-1,1.369712591E0,-4.688390717E-2
9.666639700E-2,-1.437060535E-1,1.450957656E0,-7.635815535E-3
9.876131700E-2,-1.299615800E-1,1.522428870E0,2.916881628E-2
1.008559720E-1,-1.149953827E-1,1.575574160E0,6.597344577E-2
