"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.484750055E-3,4.332647927E-1,1.640681934E-1,2.378004134E-2,4.638989578E-1
1.844474999E-2,7.365271242E-1,9.079059452E-2,2.581031156E-1,7.857050051E-1
2.840475005E-2,1.086121769E0,8.544536233E-3,5.134089231E-1,1.201383465E0
3.836474998E-2,1.339845905E0,-8.350350201E-2,8.344117069E-1,1.580633664E0
4.832475004E-2,1.472012275E0,-2.175699243E-1,1.161851690E0,1.887870800E0
5.828474998E-2,1.252283851E0,-5.573767689E-1,1.400364295E0,1.959567264E0
6.824575004E-2,9.962043833E-1,-5.925550801E-1,1.709475011E0,2.065393306E0
7.820574997E-2,1.137099696E0,3.192272767E-1,1.753333222E0,2.114019668E0
8.816575003E-2,6.685048565E-1,5.950971571E-1,1.386949612E0,1.650657020E0
9.812574997E-2,1.092782406E0,2.088006796E0,2.086469563E0,3.147586536E0
1.080857500E-1,1.891624696E0,2.242569755E0,2.591479545E0,3.914476891E0
1.180457500E-1,2.878406803E0,2.099759553E0,3.148001159E0,4.754379791E0
1.280057500E-1,3.749593695E0,2.209157449E0,4.074528147E0,5.961678383E0
1.379667500E-1,4.030266186E0,1.997070021E0,4.726901413E0,6.524946832E0
1.479267500E-1,3.822809314E0,1.371447913E0,4.185916436E0,5.832378317E0
1.578867499E-1,3.722692703E0,7.101118889E-1,2.483907149E0,4.531279574E0
1.678467500E-1,3.008757612E0,-2.608179778E-1,9.203458965E-1,3.157164068E0
1.778067501E-1,9.826459327E-1,-2.464585025E0,-4.260468435E-1,2.687245484E0
1.877667500E-1,1.607077986E-1,-1.714708562E0,1.676577991E-1,1.730364582E0
1.977267500E-1,3.101968369E-1,9.403901517E-2,1.426857444E0,1.463211393E0
2.076877500E-1,-1.567751952E0,-3.650878662E-1,2.359071434E0,2.855933011E0
2.176477500E-1,-5.540210518E-1,4.085741937E-1,1.268009645E0,1.442816917E0
2.276077500E-1,2.870661288E-1,4.309748769E-1,-3.966984987E-2,5.193457459E-1
2.375677500E-1,1.671581545E-1,6.970196807E-1,-8.519942844E-1,1.113405831E0
2.475277500E-1,-2.693326932E-1,8.280028662E-1,-1.497204711E0,1.731978866E0
2.574877500E-1,-1.397977754E0,5.173908770E-1,-1.060604228E0,1.829457965E0
2.674477500E-1,-2.661853709E0,-1.906367719E-2,-4.100862837E-1,2.693324962E0
2.774077500E-1,-3.065139681E0,-4.132928967E-1,3.330860549E-1,3.110761740E0
2.873687500E-1,-3.758715644E0,-4.968013689E-1,1.104139672E0,3.948908623E0
2.973287500E-1,-5.750552992E0,-5.404791927E-1,7.021628916E-1,5.818419905E0
3.072887500E-1,-5.953805716E0,-8.846740803E-1,-9.126854593E-1,6.087975483E0
3.172487500E-1,-4.146262081E0,-1.505154293E0,-2.607586870E0,5.124108505E0
