"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.556124935E-3,4.390177220E-2,1.879406208E-1,-2.718382251E-1,3.333842575E-1
1.251612499E-2,-1.168836482E-1,9.463250756E-2,-1.197077072E-1,1.922161124E-1
2.247712493E-2,-1.191152380E-1,5.020477831E-2,-1.734985828E-2,1.304223036E-1
3.243712499E-2,2.939841159E-1,8.568685234E-2,-5.624729097E-2,3.113400951E-1
4.239712493E-2,5.671075590E-1,3.198871350E-1,-2.207119256E-1,6.874972849E-1
5.236024992E-2,5.499285856E-1,5.256056303E-1,-2.684690595E-1,8.066959549E-1
6.232024997E-2,8.791601560E-1,5.534032935E-1,-2.478699034E-1,1.067996851E0
7.228025002E-2,1.551624893E0,5.330403650E-1,-1.564212048E-1,1.648071428E0
8.224024996E-2,1.918933532E0,6.064925033E-1,-2.019961578E-1,2.022607600E0
9.220125002E-2,1.518192999E0,6.151224089E-1,-1.503149575E-1,1.644955971E0
1.021612500E-1,9.417624933E-1,3.601370287E-1,3.181645453E-2,1.008775277E0
1.121212500E-1,3.891317631E-1,6.744997144E-2,2.527698702E-1,4.688983205E-1
1.220812500E-1,3.941837575E-1,-5.793538213E-2,5.557597214E-1,6.838173814E-1
1.320412500E-1,5.048776893E-1,-1.418148601E-1,7.975186998E-1,9.544888748E-1
1.420012499E-1,1.275812315E0,-3.241152567E-1,8.197346109E-1,1.550713576E0
1.519612500E-1,2.172023537E0,-5.857921904E-1,7.078995949E-1,2.358380922E0
1.619222499E-1,2.384776671E0,-2.562360996E-1,9.127252203E-1,2.566297730E0
1.718822500E-1,2.668607828E0,-2.084918296E-1,1.015121661E0,2.862762402E0
1.818422499E-1,2.620306903E0,-3.294081563E-1,9.182900155E-1,2.796028353E0
1.918022500E-1,2.567445150E0,-4.757651335E-1,6.665475011E-1,2.694886386E0
2.017622499E-1,2.301042497E0,-6.267104208E-1,3.043177539E-1,2.404198789E0
