"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.908499980E-3,9.629457861E-2,4.311198878E-1,9.823790073E-2,4.525347376E-1
1.186850003E-2,-2.072340935E-2,5.300851822E-1,1.896819216E-1,5.633817458E-1
2.182849997E-2,1.149018806E-1,7.328119496E-1,5.593885034E-1,9.290485958E-1
3.178950003E-2,5.397126228E-1,1.205710778E0,1.072427883E0,1.701508084E0
4.174949997E-2,1.082660218E0,1.709434665E0,1.883372959E0,2.764310714E0
5.170950003E-2,1.541059705E0,2.072507581E0,2.809452635E0,3.816173057E0
6.166949996E-2,1.676180965E0,2.208065920E0,3.211891930E0,4.242804203E0
7.162950002E-2,1.430432139E0,2.038626767E0,3.124770756E0,3.995788718E0
8.158949995E-2,9.222681686E-1,1.688081511E0,2.952173814E0,3.523567509E0
9.155050002E-2,3.372589204E-1,1.188609719E0,2.761511899E0,3.025307358E0
1.015105000E-1,-2.647016984E-1,4.998275954E-1,2.423073887E0,2.488208528E0
1.114705000E-1,-9.373604169E-1,-3.150333613E-1,1.805734799E0,2.058778457E0
1.214304999E-1,-1.424092296E0,-1.103217858E0,6.982300544E-1,1.932007691E0
1.313915000E-1,-1.575446596E0,-1.629735654E0,-2.405181992E-1,2.279455918E0
1.413514999E-1,-1.362196887E0,-2.028126630E0,-1.099481780E0,2.679130114E0
1.513115000E-1,-6.089723074E-1,-2.108974911E0,-2.262626290E0,3.152475245E0
1.612715001E-1,-1.793782505E-1,-2.281261951E0,-3.322362206E0,4.034157071E0
1.712315000E-1,-4.444983172E-1,-2.773674400E0,-4.594718086E0,5.385376748E0
1.811915000E-1,-7.821490011E-1,-3.242862000E0,-6.172547715E0,7.016285078E0
1.911525000E-1,-8.193343690E-1,-3.443339928E0,-7.704244566E0,8.478400970E0
2.011125000E-1,-3.783437964E-1,-3.469022654E0,-8.748233346E0,9.418537512E0
2.110725000E-1,4.240698999E-1,-3.364272124E0,-9.160671964E0,9.768115122E0
2.210325000E-1,1.843475214E0,-3.123270653E0,-8.630390316E0,9.361455946E0
2.309935000E-1,3.078674524E0,-2.978256781E0,-6.853272960E0,8.081806762E0
2.409535000E-1,3.932495770E0,-3.066943255E0,-5.189337233E0,7.197213685E0
2.509135000E-1,4.698488622E0,-2.964165576E0,-4.012011471E0,6.852613293E0
2.608735000E-1,5.475230995E0,-2.627521783E0,-3.382673312E0,6.951582835E0
2.708335000E-1,6.418458216E0,-2.230486777E0,-3.034752286E0,7.441867949E0
2.807945000E-1,7.433546548E0,-1.554387118E0,-2.560899192E0,8.014483032E0
2.907545000E-1,8.753369540E0,-8.780681884E-1,-1.897954745E0,8.999706343E0
3.007145000E-1,1.011957732E1,-1.872857326E-1,-8.700499016E-1,1.015863711E1
3.106745000E-1,1.124167204E1,6.555126357E-1,-8.695511341E-2,1.126110333E1
3.206345000E-1,1.184275178E1,1.385951054E0,4.692788172E-1,1.193280573E1
3.305955000E-1,1.219839230E1,1.991260520E0,1.078628855E0,1.240682608E1
3.405555000E-1,1.216253132E1,2.501052940E0,2.062998254E0,1.258723146E1
3.505154999E-1,1.195140240E1,2.987294822E0,3.354710172E0,1.276769478E1
3.604755000E-1,1.181253921E1,3.144139950E0,5.078971038E0,1.323698023E1
3.704355001E-1,1.155437412E1,3.120822716E0,7.027973145E0,1.387931923E1
3.803965000E-1,1.110814619E1,2.871491593E0,8.729596515E0,1.441673441E1
3.903565001E-1,1.041028451E1,2.272201982E0,1.020832636E1,1.475624792E1
