"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.962625008E-3,3.984213808E-1,5.832363725E-1,-4.921999025E-1,8.609094069E-1
1.792262506E-2,1.094129531E0,7.807079548E-1,-6.019299209E-1,1.472733503E0
2.788262500E-2,2.128329780E0,1.025765932E0,-8.615632528E-1,2.514811054E0
3.784262505E-2,3.045970462E0,1.181973714E0,-1.104290530E0,3.448833932E0
4.780362500E-2,3.724222334E0,1.497391237E0,-1.123742462E0,4.168310165E0
5.776362505E-2,3.784858545E0,1.768101534E0,-1.810470459E0,4.552926589E0
6.772362499E-2,3.333199143E0,1.726130220E0,-2.699268873E0,4.623396426E0
7.768362504E-2,2.661263725E0,1.626481971E0,-3.369144024E0,4.591176284E0
8.764362498E-2,1.769095269E0,1.243586994E0,-3.736563175E0,4.317187863E0
9.760362504E-2,9.397554365E-1,6.648781210E-1,-3.641900847E0,3.819508473E0
1.075636250E-1,3.770822597E-1,2.336249167E-1,-3.272452712E0,3.302380715E0
1.175236250E-1,-2.922087550E-2,-1.376393634E-1,-2.634109256E0,2.637864671E0
1.274836251E-1,-3.075483406E-1,-5.386034060E-1,-1.594707032E0,1.711072800E0
1.374436250E-1,-8.697575408E-1,-9.157178253E-1,-5.251846308E-1,1.367785148E0
1.474036251E-1,-1.833500302E0,-1.384162245E0,-1.048125100E-1,2.299698707E0
1.573646250E-1,-2.282672592E0,-1.821433403E0,2.385976812E-1,2.930041409E0
1.673246251E-1,-2.448013139E0,-2.097754689E0,1.394290646E0,3.512462024E0
1.772846250E-1,-2.700360840E0,-2.361326705E0,2.778134363E0,4.537162441E0
1.872446251E-1,-3.058359250E0,-2.758521633E0,4.064435268E0,5.786418318E0
1.972046250E-1,-2.980579587E0,-2.905436434E0,5.305305646E0,6.743269500E0
2.071646251E-1,-1.454968810E0,-2.378142128E0,6.432466391E0,7.010643201E0
2.171246250E-1,7.118312627E-2,-1.953882778E0,7.116315218E0,7.380018105E0
2.270846250E-1,7.086562246E-2,-1.897504510E0,8.309698019E0,8.523885644E0
2.370446250E-1,6.339206225E-1,-2.059061324E0,1.077803228E1,1.099124964E1
2.470046250E-1,3.065508640E0,-2.136671417E0,1.389200557E1,1.438577515E1
2.569646250E-1,6.418768119E0,-1.874585178E0,1.636083099E1,1.767459885E1
2.669256250E-1,9.479715346E0,-1.700921119E0,1.777273828E1,2.021455816E1
2.768856250E-1,1.169608607E1,-1.194158142E0,1.810745044E1,2.158944660E1
2.868456250E-1,1.342358863E1,-1.670426720E-1,1.625303991E1,2.108036862E1
2.968056251E-1,1.316955985E1,6.144090486E-1,1.310802142E1,1.859126221E1
3.067656250E-1,1.202352664E1,9.410900635E-1,9.418498507E0,1.530225334E1
3.167256251E-1,1.204717278E1,1.301634643E0,6.295354446E0,1.365503981E1
3.266856250E-1,1.244014543E1,1.959151704E0,4.282724108E0,1.330177505E1
3.366456251E-1,1.209264306E1,1.964867358E0,3.023094692E0,1.261870919E1
3.466056250E-1,1.170151579E1,1.293560223E0,1.681438197E0,1.189226657E1
3.565656251E-1,1.094717352E1,1.193878645E-1,-6.736796424E-2,1.094803178E1
3.665256250E-1,1.027959924E1,-1.343344586E0,-2.152617359E0,1.058813000E1
3.764866251E-1,9.883557973E0,-2.895169308E0,-3.701028184E0,1.094368919E1
3.864466250E-1,9.917001708E0,-4.087198479E0,-4.843957407E0,1.176928365E1
3.964066250E-1,1.065142369E1,-4.487730412E0,-5.619563667E0,1.285192774E1
4.063666250E-1,1.097629733E1,-4.800468741E0,-7.212927593E0,1.398391675E1
4.163266250E-1,1.038811889E1,-4.787189130E0,-9.257620554E0,1.471508519E1
4.262866250E-1,8.907389293E0,-4.902709646E0,-1.134056015E1,1.523110142E1
4.362466250E-1,7.425526507E0,-5.103196637E0,-1.354129308E1,1.626492171E1
4.462066250E-1,6.239673166E0,-5.256526419E0,-1.492800588E1,1.701205310E1
4.561666250E-1,4.991279175E0,-6.444656666E0,-1.522549467E1,1.727026796E1
4.661266251E-1,5.319242485E0,-7.133038840E0,-1.505153533E1,1.748494494E1
4.760876250E-1,3.272063287E0,-7.960155560E0,-1.515977314E1,1.743241797E1
4.860476251E-1,2.014079571E0,-8.529431705E0,-1.345500923E1,1.605755259E1
4.960076250E-1,5.617035623E-1,-7.815526435E0,-1.100808162E1,1.351206222E1
5.059676251E-1,-6.551961552E-1,-7.710329179E0,-9.193361993E0,1.201650377E1
5.159276250E-1,-1.532297360E0,-7.450031603E0,-8.577565985E0,1.146409806E1
5.258876251E-1,-2.406319129E0,-6.509774183E0,-8.180742356E0,1.072809756E1
5.358476250E-1,-2.741353038E0,-5.098086755E0,-8.562350360E0,1.033534464E1
5.458076251E-1,-2.588225277E0,-4.045776803E0,-9.705051835E0,1.082844639E1
5.557676250E-1,-2.427856910E0,-4.547011238E0,-1.075141108E1,1.192319758E1
