"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.235396400E-2,-2.044338137E-1,6.018648148E-1,8.169126511E-1,1.035075224E0
3.915618000E-2,-5.378171206E-1,7.100601196E-1,1.340784073E0,1.609700146E0
5.596089900E-2,-7.617444396E-1,3.075441360E0,5.753006935E-1,3.220180902E0
7.276509700E-2,-1.631942987E0,1.842133999E0,7.967233658E-1,2.586786366E0
8.956894100E-2,-4.742755592E-1,1.092389584E0,-5.806956291E-1,1.324937629E0
1.063737610E-1,-2.219282985E-1,3.365693092E-1,1.561956406E-1,4.323518795E-1
1.231771980E-1,7.175526619E-1,9.955072403E-2,1.303009510E0,1.490847394E0
1.399829840E-1,8.111574650E-1,-3.588442802E-1,1.231265068E-1,8.954919247E-1
1.567765230E-1,1.198442221E0,-8.414158821E-1,-1.773104668E-1,1.475019812E0
1.735918210E-1,1.046251178E0,-1.277905941E0,-1.082195282E0,1.974545960E0
1.903957870E-1,8.839645386E-1,-1.805027008E0,-1.642224789E0,2.595461050E0
2.072004540E-1,-5.603398085E-1,-2.917116165E0,-1.358802795E0,3.266480133E0
2.240043900E-1,6.730316877E-1,-2.561342239E0,-4.088253975E-1,2.679661159E0
2.408075720E-1,-1.642898321E0,-3.397612572E-1,4.782147408E-1,1.744489021E0
2.576137860E-1,-1.135953665E-1,7.956504822E-1,-1.411987782E0,1.624707079E0
2.744185860E-1,4.198133945E-2,-9.352779388E-2,8.498349190E-1,8.559960693E-1
2.912347890E-1,-9.621939063E-1,6.531715393E-3,-1.423603535E0,1.718286007E0
3.080265470E-1,-4.392058849E-1,-6.074285507E-2,-4.376358986E-1,6.229901151E-1
3.248211650E-1,-1.242686510E-1,-1.019979954E0,4.175424576E-2,1.028370177E0
3.416361170E-1,-1.334215403E-1,-8.165607452E-1,2.099976540E-1,8.536227344E-1
3.584401230E-1,4.717471600E-1,-1.112137794E0,-8.771934509E-1,1.492938112E0
3.752405280E-1,8.343119621E-1,2.485736847E0,-2.420717478E0,3.568590370E0
3.920516050E-1,3.346407652E0,2.655761242E0,-3.420867443E0,5.473010690E0
4.088544510E-1,3.050362110E0,1.331845284E0,-3.558510542E0,4.872526874E0
4.256569220E-1,2.596439362E0,4.771037102E-1,-4.722807884E0,5.410548920E0
4.424527290E-1,2.838498831E0,5.368151665E-1,-5.447083950E0,6.165709180E0
4.592692060E-1,3.103639841E0,9.430923462E-1,-4.818352699E0,5.808487425E0
4.760685240E-1,2.802411079E0,2.308746815E0,-3.892964125E0,5.323437742E0
4.928781860E-1,3.191537619E0,4.758494377E0,-3.209238768E0,6.567221222E0
5.096798620E-1,2.873137474E0,6.719283104E0,-2.527650833E0,7.732574158E0
5.264842960E-1,2.163923025E0,7.225729465E0,-1.701939106E0,7.732420442E0
5.432889140E-1,1.774762154E0,8.200208664E0,-7.201614380E-1,8.420916537E0
5.600928280E-1,2.206476688E0,9.542544365E0,8.263397217E-1,9.829116424E0
5.768981150E-1,2.985451937E0,1.097222519E1,3.429763794E0,1.187711786E1
5.937017360E-1,3.764967680E0,9.479513168E0,7.495440483E0,1.265771621E1
