"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.709583310E-3,2.928662744E-1,1.963091558E-1,-3.789352423E-1,5.175904338E-1
1.366958336E-2,4.491436377E-1,2.635842955E-1,-4.134545723E-1,6.649446379E-1
2.363058331E-2,4.994969353E-1,3.185422754E-1,-3.472371939E-1,6.866877299E-1
3.359058336E-2,5.782793954E-1,3.273435044E-1,-4.357020584E-1,7.946050042E-1
4.355058330E-2,6.631800896E-1,3.894719249E-1,-5.194719011E-1,9.280879632E-1
5.351158336E-2,7.561028713E-1,4.828133672E-1,-6.904243138E-1,1.132027399E0
6.347158330E-2,9.330501419E-1,7.889870274E-1,-9.454269433E-1,1.544964466E0
7.343158335E-2,8.674440899E-1,7.158880609E-1,-8.871740574E-1,1.432491806E0
8.339258330E-2,8.966091245E-1,7.373952895E-1,-7.115915269E-1,1.361624852E0
9.335258335E-2,1.239302447E0,7.859903294E-1,-5.382087189E-1,1.563112273E0
1.033125833E-1,1.756296006E0,8.740400416E-1,-6.906552789E-1,2.079789982E0
1.132725833E-1,2.364467537E0,1.279134557E0,-1.213485528E0,2.949481154E0
1.232335833E-1,2.964884491E0,1.606721891E0,-1.359623235E0,3.636024012E0
1.331935833E-1,3.122367258E0,1.684079384E0,-1.628782266E0,3.903617852E0
1.431535833E-1,3.067454009E0,1.711697538E0,-2.028577742E0,4.056391280E0
1.531145833E-1,3.004738820E0,1.763778688E0,-2.392783264E0,4.226675098E0
1.630745833E-1,2.907225097E0,1.819486865E0,-2.505365846E0,4.247275391E0
1.730345833E-1,2.833240278E0,1.953561181E0,-2.670981798E0,4.356351171E0
1.829955833E-1,3.132483526E0,2.492615408E0,-2.894950622E0,4.940275672E0
1.929555833E-1,3.324089473E0,3.112729585E0,-2.792640428E0,5.342049874E0
2.029155833E-1,3.441493962E0,3.533936688E0,-2.511325913E0,5.535282021E0
2.128755833E-1,3.615054526E0,4.040207915E0,-2.362017261E0,5.913630421E0
2.228365833E-1,3.623675953E0,4.327937703E0,-2.282905018E0,6.088819877E0
2.327955833E-1,3.243403160E0,4.481282102E0,-1.987001115E0,5.877901562E0
2.427555834E-1,3.185427432E0,4.260247995E0,-7.036325893E-1,5.365795349E0
2.527165833E-1,3.509739740E0,3.381548892E0,2.253832662E0,5.369628257E0
2.626765834E-1,4.252556568E0,2.442781343E0,6.359456302E0,8.030822032E0
2.726365833E-1,5.215954344E0,1.706930888E0,1.065156753E1,1.198230711E1
2.825975834E-1,4.997260292E0,5.053473669E-1,1.382722660E1,1.471122639E1
2.925575833E-1,4.009448344E0,-7.216271031E-1,1.539582406E1,1.592569685E1
3.025175834E-1,3.026811182E0,-1.612984259E0,1.575476826E1,1.612377211E1
3.124775833E-1,2.586758503E0,-2.504681137E0,1.572778219E1,1.613467941E1
3.224385834E-1,3.167091441E0,-3.208878275E0,1.615849979E1,1.677571112E1
3.323985833E-1,3.369953571E0,-4.318138354E0,1.645145465E1,1.733935599E1
3.423585834E-1,2.885412644E0,-5.610826172E0,1.645594063E1,1.762398816E1
3.523195833E-1,2.356881944E0,-7.264711120E0,1.640734442E1,1.809784162E1
3.622795834E-1,2.080246663E0,-8.979062124E0,1.593241603E1,1.840632672E1
3.722395833E-1,2.250092929E0,-1.055189823E1,1.484483625E1,1.835142060E1
3.822005833E-1,3.175288068E0,-1.188359809E1,1.329119129E1,1.810961413E1
3.921605833E-1,4.654837111E0,-1.265761273E1,1.136129672E1,1.763410706E1
4.021205833E-1,4.196194087E0,-1.335042944E1,9.586915859E0,1.696322395E1
4.120805833E-1,2.699703613E0,-1.436428634E1,7.251299361E0,1.631571219E1
4.220415833E-1,1.697129054E0,-1.502164202E1,4.693999422E0,1.582920107E1
4.320015833E-1,9.529395922E-1,-1.522515319E1,2.721211427E0,1.549575346E1
4.419615833E-1,1.118842057E0,-1.542062093E1,1.448571079E0,1.552886718E1
4.519225833E-1,1.175031899E0,-1.534263545E1,3.049755657E-1,1.539058714E1
4.618825833E-1,7.465688400E-1,-1.539123751E1,-1.175739997E0,1.545412313E1
4.718425833E-1,3.110212943E-1,-1.512381393E1,-2.554554963E0,1.534119399E1
4.818035833E-1,-1.975952509E-1,-1.412946684E1,-4.430466290E0,1.480911573E1
4.917635833E-1,-8.090327445E-1,-1.322451432E1,-6.380428510E0,1.470551533E1
5.017235833E-1,-1.259965192E0,-1.256825441E1,-8.190221277E0,1.505417736E1
5.116835833E-1,-1.547664720E0,-1.166224589E1,-9.783650107E0,1.530108018E1
5.216445833E-1,-1.712751060E0,-1.113630755E1,-1.090155003E1,1.567783962E1
5.316045833E-1,-1.547318273E0,-1.096619334E1,-1.144685669E1,1.592740149E1
5.415645833E-1,-1.223495961E0,-1.046725628E1,-1.185214825E1,1.585981761E1
5.515255833E-1,-7.935385732E-1,-9.610230462E0,-1.228062286E1,1.561409398E1
5.614855833E-1,-4.073415276E-1,-8.770911187E0,-1.255793057E1,1.532306857E1
5.714455834E-1,-1.841109869E-1,-8.040549513E0,-1.281825914E1,1.513248495E1
5.814065833E-1,4.456937805E-2,-7.101016563E0,-1.341239706E1,1.517625835E1
5.913665834E-1,6.714889830E-1,-6.008282470E0,-1.410957812E1,1.535026223E1
6.013265833E-1,1.430376152E0,-5.140998886E0,-1.457663383E1,1.552269626E1
6.112865834E-1,1.971078562E0,-4.905335045E0,-1.447264461E1,1.540794939E1
6.212475833E-1,2.236697104E0,-5.107939314E0,-1.381939835E1,1.490200083E1
6.312075834E-1,2.098726496E0,-5.197228636E0,-1.226751925E1,1.348732245E1
6.411675833E-1,1.875587245E0,-5.277295729E0,-1.019161970E1,1.162913539E1
6.511285834E-1,1.723101655E0,-5.089831071E0,-8.139234726E0,9.753081645E0
6.610885833E-1,1.546652859E0,-4.648842838E0,-6.432757582E0,8.086052492E0
6.710485833E-1,1.272697065E0,-3.689191373E0,-5.171831254E0,6.479022251E0
6.810095833E-1,1.250392423E0,-2.487224860E0,-4.270322748E0,5.097590125E0
6.909695833E-1,1.551807180E0,-1.136771813E0,-3.615195444E0,4.095118286E0
7.009295833E-1,1.902948267E0,2.389289260E-2,-3.437549138E0,3.929189109E0
7.108895833E-1,1.830659287E0,1.988521099E-1,-3.570134169E0,4.017052846E0
7.208505833E-1,1.186148333E0,-2.927589780E-1,-3.152704659E0,3.381153998E0
7.308105833E-1,8.779190844E-1,-8.277476352E-1,-1.803651728E0,2.170038623E0
7.407705833E-1,6.095187297E-1,-1.200612883E0,2.609216197E-1,1.371519037E0
7.507315833E-1,1.506241290E0,-8.203702033E-1,2.488958559E0,3.022694957E0
7.606915833E-1,3.489183269E0,-2.092677552E-1,5.653196851E0,6.646565091E0
7.706515833E-1,4.445762314E0,4.230489761E-1,9.281349725E0,1.029986532E1
7.806125833E-1,4.921875064E0,7.371146232E-1,1.172492804E1,1.273743026E1
7.905725833E-1,6.196031887E0,4.202013820E-1,1.370412634E1,1.504561262E1
8.005325833E-1,6.521534103E0,-9.913603306E-2,1.729413432E1,1.848316306E1
8.104935833E-1,5.763266008E0,-1.034878818E0,2.085918170E1,2.166544877E1
8.204535833E-1,4.547485448E0,-2.067805250E0,2.316942128E1,2.370184645E1
