"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.609115800E-2,6.879727840E-1,1.497564316E-1,-1.327648163E-1,7.164914771E-1
3.290058600E-2,8.282586336E-1,1.873912811E-1,-7.504129410E-2,8.525016435E-1
4.970506000E-2,6.957243681E-1,2.975254059E-1,-2.379283905E-1,7.931983879E-1
6.650935200E-2,3.273599148E-1,5.243568420E-1,-8.071708679E-2,6.234018445E-1
8.331439500E-2,2.516443729E-1,9.110813141E-1,-3.802456856E-1,1.018813444E0
1.001171100E-1,5.344270468E-1,1.051578522E0,-3.167657852E-1,1.221380456E0
1.169262220E-1,5.547850728E-1,4.544982910E-1,1.642546654E-1,7.357545573E-1
1.337269130E-1,7.161421776E-1,4.725542068E-1,1.078120708E0,1.377864783E0
1.505194950E-1,1.022345424E0,4.431486130E-1,9.356126785E-1,1.454971458E0
1.673407440E-1,9.941833019E-1,1.197570801E0,4.252038002E-1,1.613497608E0
1.841422080E-1,5.052344203E-1,1.254534721E0,-1.901464462E-1,1.365750657E0
2.009474650E-1,6.771882772E-1,9.823970795E-1,-5.424075127E-1,1.310684514E0
2.177512270E-1,7.658211589E-1,8.084988594E-1,-3.079800606E-1,1.155423806E0
2.345565660E-1,9.665443301E-1,5.736956596E-1,-1.135417938E0,1.597657206E0
2.513606950E-1,6.374854445E-1,-2.138953209E-1,-8.234872818E-1,1.063141667E0
2.681663480E-1,1.212052822E0,-4.443712234E-1,-1.468283176E0,1.955094196E0
2.849573760E-1,6.043133736E-1,-9.178485870E-1,-1.783813477E0,2.095144673E0
3.017667940E-1,-1.879644156E0,-3.572788239E0,-1.319262981E0,4.247155844E0
3.185715530E-1,1.178326368E0,-1.465067387E0,-1.011683464E0,2.135036044E0
3.353849270E-1,2.116636276E0,8.773946762E-2,2.322503567E0,3.143544203E0
3.521884970E-1,3.883743286E-1,-1.675559521E0,-1.998154879E0,2.636466811E0
3.689941000E-1,2.071592808E-1,-1.504913807E0,-4.533476830E-1,1.585309009E0
3.857981570E-1,7.701420784E-1,-1.366897106E0,2.469201088E-1,1.588236777E0
4.025999260E-1,5.969893932E-1,-7.470569611E-1,1.246441364E0,1.571020851E0
4.194072790E-1,1.117095709E0,-3.365745068E0,-1.022870779E0,3.690854551E0
4.362131260E-1,8.805058002E-1,-2.225195885E0,-4.192109585E0,4.827066393E0
4.530155250E-1,4.175047874E-1,-4.414671898E0,-4.812381744E0,6.543902220E0
4.698217900E-1,1.417749405E0,-2.897448063E0,-1.763245463E0,3.676173720E0
4.866232020E-1,1.934280872E0,-1.536877155E0,4.574661255E-1,2.512510525E0
5.034478390E-1,2.445079803E0,-5.075812340E-1,3.050679684E0,3.942423175E0
5.202372280E-1,3.441206932E0,3.634428978E-1,4.321245193E0,5.535987347E0
5.370478450E-1,2.205838203E0,7.912755013E-1,4.683843613E0,5.237387716E0
5.538420060E-1,1.869721413E0,-7.338061333E-1,4.168035030E0,4.626753248E0
5.706530810E-1,9.830145836E-1,-6.126751900E-1,1.776591897E0,2.120841184E0
5.874525610E-1,1.368932724E-1,4.490690231E-1,-9.851915836E-1,1.091331852E0
6.042608910E-1,1.672449112E-1,3.681626320E-1,-4.527035236E0,4.545059143E0
6.210608690E-1,1.099701881E0,-1.033797264E-1,-8.307723045E0,8.380828944E0
6.378713960E-1,2.687622070E0,7.300143242E-1,-1.456945610E1,1.483324929E1
6.546706930E-1,4.740031242E0,3.309414387E-1,-1.887588692E1,1.946475084E1
6.714811180E-1,6.701378822E0,-3.288107872E0,-1.863582420E1,2.007521047E1
6.882817260E-1,7.624597549E0,-5.184720993E0,-1.951841164E1,2.158666747E1
7.050877170E-1,8.236893654E0,-3.771094799E0,-1.944427109E1,2.145104313E1
7.218914170E-1,1.055148411E1,-1.437878370E0,-1.619699860E1,1.938411913E1
7.386970100E-1,1.255451298E1,-6.574500084E0,-4.366168022E0,1.482913587E1
7.555008940E-1,1.146907997E1,-1.440808296E1,1.165453148E1,2.179359433E1
7.723050640E-1,7.561298370E0,-1.420169258E1,2.502446747E1,2.975038281E1
7.891099960E-1,3.930446148E0,-1.291049576E1,2.923439407E1,3.219905440E1
8.059157620E-1,2.921423912E-1,-1.037928200E1,2.701732254E1,2.894392094E1
8.227191790E-1,-1.787950993E0,-7.081328869E0,2.040043640E1,2.166840540E1
8.395250870E-1,-3.933796883E-1,2.897222996E0,-1.312279344E0,3.204797301E0
8.563292050E-1,2.105622292E0,9.530490875E0,-2.356772804E1,2.550885546E1
8.731342200E-1,4.609529495E0,9.223060608E0,-3.122179604E1,3.288028523E1
8.899380220E-1,8.762811661E0,3.860941887E0,-3.016084099E1,3.164443189E1
9.067440930E-1,1.349113846E1,-5.251841545E-1,-2.021817017E1,2.431174696E1
9.235475510E-1,1.587384605E1,-6.014971256E0,-7.731984138E0,1.865321545E1
9.403527060E-1,1.480889320E1,-4.707648754E0,-2.520576477E0,1.574225462E1
9.571484530E-1,1.304260445E1,-6.665828228E0,-1.034555793E0,1.468377003E1
9.739629270E-1,1.270397663E1,-1.181974411E1,-1.804214716E0,1.744570331E1
9.907668720E-1,1.061050892E1,-1.657465172E1,4.482505322E-1,1.968509354E1
1.007571549E0,7.296494484E0,-1.597450638E1,5.710507393E0,1.846709453E1
1.024381294E0,4.819510460E0,-1.571515274E1,5.793476105E0,1.742865664E1
1.041179624E0,2.520458698E0,-1.317245007E1,5.846020699E0,1.463017808E1
1.057993649E0,1.906351805E0,-1.040087128E1,3.825571537E0,1.124487875E1
1.074788399E0,7.722620964E-1,-9.791563034E0,3.462991238E0,1.041457650E1
1.091594368E0,1.215491891E0,-1.097040844E1,3.345902443E0,1.153353133E1
1.108399809E0,-8.213812113E-2,-1.108501816E1,3.042833328E0,1.149535597E1
1.125203775E0,-1.974905729E-1,-6.297809124E0,-2.169186592E0,6.663840691E0
1.142005014E0,-1.143513322E0,-2.311207771E0,-1.484502316E0,2.975407737E0
1.158816325E0,-5.030512810E-1,-3.553881168E0,6.669878960E-1,3.650754005E0
1.175615640E0,4.315249920E-1,-6.824306488E0,3.089347363E0,7.503428549E0
1.192412415E0,-1.408049941E0,-4.422125340E0,5.201348782E0,6.970783765E0
1.209217937E0,-3.057136059E0,-3.958690643E0,6.765040398E0,8.413268335E0
1.226022086E0,-2.734472275E0,-3.905186176E0,6.518687725E0,8.075958603E0
1.242839357E0,-1.543095112E0,-3.562477112E0,1.618666172E0,4.206241300E0
1.259641156E0,-2.130317926E0,-3.929561615E0,-1.652203560E0,4.765447047E0
1.276446139E0,-2.018186808E0,-4.530093193E0,-5.086786747E-1,4.985336129E0
1.293249861E0,-3.661558628E-1,-5.084794044E0,1.738236904E0,5.386155227E0
1.310055657E0,-6.453247070E-1,-2.869301319E0,9.018743038E-1,3.076152028E0
1.326859968E0,-1.687379122E0,-4.092311859E-2,-2.661700964E0,3.151757450E0
1.343664728E0,-2.483574629E0,6.581268311E-1,-3.132090092E0,4.051081609E0
1.360468836E0,-1.256448865E0,7.633495331E-2,-7.133921981E-1,1.446865303E0
1.377271723E0,-1.545928717E0,-2.293805122E0,2.464166403E0,3.704531495E0
1.394080685E0,-2.505367994E-1,-4.376986027E0,2.462055445E0,5.028169884E0
1.410883398E0,-6.598824263E-1,-1.524212837E0,-7.600013018E-1,1.826546350E0
1.427690039E0,-1.454763174E0,5.745563507E-1,-3.568784475E0,3.896495031E0
1.444490476E0,-1.497258782E0,-4.827260971E-1,-1.996251225E0,2.541619032E0
1.461296872E0,1.226840019E-1,-4.887271404E0,2.068762183E-1,4.893186172E0
1.478092120E0,-4.089015126E-1,-3.715466022E0,1.477373123E0,4.019268535E0
1.494906127E0,-1.137668788E-1,-1.503677368E0,7.789945602E-2,1.509985714E0
1.511705340E0,1.413713396E-1,-7.648992538E-1,-1.609617710E0,1.787715273E0
1.528515715E0,3.745637834E-1,-9.829034805E-1,-5.772354603E-1,1.199832512E0
1.545329742E0,1.677501202E0,-2.288180351E0,1.693363309E0,3.304127555E0
1.562124562E0,-3.560113907E-1,-1.543490410E0,1.363619208E0,2.090111026E0
1.578919912E0,1.016409993E0,-2.365233421E0,5.500900745E-2,2.574964932E0
1.595733510E0,1.057667494E0,-2.444499016E0,-1.862823963E-1,2.670006947E0
1.612549134E0,2.602729082E0,-3.593061447E0,-6.462855339E-1,4.483522525E0
1.629343660E0,2.769915104E0,-1.331814766E0,-6.714264154E-1,3.145945595E0
1.646149374E0,3.570920229E0,-1.828812599E0,1.738135695E0,4.372315462E0
1.662952791E0,3.785577297E0,-1.164115429E0,2.305895090E0,4.582893450E0
1.679758141E0,4.003987789E0,1.770973206E-3,3.821115494E-1,4.022179830E0
1.696563245E0,4.090442657E0,-3.866558075E-1,5.410598516E-1,4.144148840E0
1.713366398E0,4.409688473E0,-3.022734165E0,2.614563942E0,5.951320767E0
1.730171462E0,3.502647400E0,-5.418229103E0,3.291004181E0,7.242682786E0
1.746976688E0,3.747485161E0,-6.103852272E0,5.011235476E-1,7.179956991E0
1.763780929E0,4.249568939E0,-3.513886690E0,-4.741037369E0,7.272116004E0
1.780586706E0,4.503524780E0,-1.825454712E0,-8.132833481E0,9.474017141E0
1.797390274E0,5.444147110E0,-2.635911465E0,-1.141904449E1,1.292212615E1
1.814195715E0,7.322094917E0,-4.753283024E0,-1.659052849E1,1.874706401E1
1.830999406E0,8.795300484E0,-8.039249420E0,-2.130354881E1,2.440958897E1
1.847802395E0,9.398918152E0,-7.005939007E0,-2.556488037E1,2.812447248E1
1.864610421E0,9.635413170E0,-5.104113579E0,-2.593882179E1,2.813744193E1
1.881403776E0,9.450461388E0,-3.015902996E0,-2.170241928E1,2.386214353E1
1.898217954E0,1.012163925E1,-2.015580416E0,-1.658498192E1,1.953386216E1
1.915023874E0,1.219034576E1,-4.646236420E0,-8.625577927E0,1.563945770E1
1.931827717E0,1.469670582E1,-1.237531567E1,2.509598970E0,1.937626607E1
1.948632892E0,1.373586845E1,-1.893176079E1,1.372553062E1,2.711965781E1
1.965436869E0,1.058485222E1,-2.023974609E1,2.536717606E1,3.413473362E1
1.982242605E0,9.112340927E0,-1.449843025E1,3.402686691E1,3.809287215E1
1.999035705E0,6.370662689E0,-1.259333515E1,2.837268829E1,3.168890775E1
2.015851329E0,2.258902550E0,-1.116282177E1,2.187185669E1,2.465946767E1
2.032652956E0,1.280251980E0,-5.492377281E0,8.818638802E0,1.046774301E1
2.049451875E0,9.480600357E-1,-9.714174271E-2,-7.592259407E0,7.651840122E0
2.066254691E0,1.414777756E0,1.532659531E0,-1.866882324E1,1.878498343E1
2.083060367E0,1.883077621E0,4.841280937E0,-3.144501495E1,3.187119307E1
2.099865156E0,5.066640854E0,9.306602478E0,-3.800252151E1,3.945219057E1
2.116671003E0,1.136109734E1,6.535672188E0,-2.888723183E1,3.172162837E1
2.133476170E0,1.653744316E1,5.796952248E-1,-1.541720772E1,2.261666126E1
2.150287459E0,1.883370781E1,-6.736302853E0,-5.982329369E0,2.087760979E1
2.167094121E0,1.731976700E1,-4.242204666E0,-2.272224665E0,1.797591817E1
2.183893754E0,1.685060501E1,-4.096827507E0,-1.009621918E-1,1.734177264E1
2.200705633E0,1.587466812E1,-1.047699165E1,1.938633084E0,1.911885824E1
2.217502895E0,1.245441818E1,-1.294357872E1,3.265685558E0,1.825687445E1
2.234315721E0,9.060348511E0,-1.206915474E1,2.866176128E0,1.536129477E1
2.251114651E0,7.529131889E0,-1.131218338E1,3.155901432E0,1.395037755E1
2.267923439E0,6.136287212E0,-1.111491585E1,4.287392616E0,1.340063844E1
2.284726011E0,4.236475468E0,-1.133737183E1,4.067435741E0,1.276823237E1
2.301530159E0,2.068506002E0,-1.099625683E1,3.458172798E0,1.171133384E1
2.318335844E0,3.862087727E-1,-1.019305515E1,2.938505173E0,1.061519398E1
2.335139871E0,8.500875831E-1,-1.030871964E1,1.941578865E0,1.052435641E1
2.351941273E0,1.136486292E0,-8.418655396E0,1.883935452E0,8.701412101E0
2.368748259E0,-2.619848251E-1,-6.329580784E0,-1.799597740E-1,6.337555875E0
2.385554667E0,-1.267116070E0,-5.505734444E0,5.942635536E-1,5.680831283E0
2.402357962E0,-1.458667994E0,-7.505082607E0,9.060845375E-1,7.699023733E0
2.419163656E0,-1.307504177E-1,-5.761344910E0,-1.041044712E0,5.856104928E0
2.435965800E0,-2.193249464E0,-5.170816422E0,9.626593590E-1,5.698631302E0
2.452772778E0,-1.225260258E0,-5.220329762E0,1.689464569E0,5.622045540E0
2.469577048E0,1.398668289E-1,-5.680389404E0,2.401542187E0,6.168775518E0
2.486377200E0,3.538665771E-1,-5.212985039E0,1.826830149E0,5.535137122E0
2.503189375E0,-2.014476776E0,-3.041490078E0,9.639573097E-1,3.773326420E0
2.519991804E0,-2.828127146E0,-1.684404373E0,-1.931520700E0,3.816581384E0
2.536795281E0,-1.283349991E0,-3.715603828E0,-1.451563358E0,4.190433771E0
2.553593744E0,-1.032552242E0,-3.666944981E0,4.814080000E-1,3.839844175E0
2.570404444E0,-3.400480747E-1,-4.012067318E0,2.534961939E0,4.757977395E0
2.587202498E0,3.828272820E-1,-4.156343937E0,3.626186132E0,5.529102777E0
2.604014033E0,6.844095588E-1,-2.514103413E0,8.546919823E-1,2.742194522E0
2.620810034E0,7.129162550E-2,-3.785133362E-1,-1.449326634E0,1.499634134E0
2.637623561E0,1.021425247E0,-1.238487244E0,-9.305205345E-1,1.855539990E0
2.654418596E0,4.369279742E-1,-2.346776962E0,1.821799755E0,3.002869047E0
2.671232144E0,4.007202685E-1,-4.929167747E0,4.311624050E0,6.561049715E0
2.688036913E0,1.613432884E0,-4.520811081E0,2.771364450E0,5.542685217E0
2.704841164E0,1.902320743E0,-1.593331337E0,-7.624573708E-1,2.595933397E0
2.721650165E0,4.386476278E-1,-2.688247204E0,-2.260512352E0,3.539632871E0
2.738448872E0,1.325280309E0,-2.835951805E0,-6.785168648E-1,3.203026018E0
