"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.790250001E-3,1.899418303E-1,4.386645502E-1,-7.426592454E-1,8.832028314E-1
1.275025005E-2,2.820848858E-1,6.669661617E-1,-7.354119140E-1,1.032107759E0
2.271075000E-2,3.220979673E-1,7.649508780E-1,-4.551756254E-1,9.466159708E-1
3.267075005E-2,4.179820713E-1,8.115391535E-1,-1.668146306E-1,9.279719449E-1
4.263075010E-2,4.955035794E-1,7.542446262E-1,1.858908793E-1,9.213925180E-1
5.259075004E-2,4.495175672E-1,5.479226983E-1,5.785062674E-1,9.148523530E-1
6.255075010E-2,2.292637709E-1,2.744150931E-1,1.003480732E0,1.065288270E0
7.251075003E-2,4.742091894E-4,8.582309246E-2,1.260683376E0,1.263601362E0
8.247075009E-2,2.953457862E-1,-6.870478392E-3,1.831099728E0,1.854778302E0
9.243075002E-2,9.379246733E-1,1.802328211E-1,3.024223497E0,3.171453030E0
1.023917501E-1,1.325303003E0,1.542401934E-1,3.848176289E0,4.072920186E0
1.123517500E-1,9.436268780E-1,-6.305052638E-3,4.091483611E0,4.198893851E0
1.223117501E-1,2.643619752E-1,-2.106231397E-1,4.080927632E0,4.094901672E0
1.322717500E-1,-7.124879050E-1,-1.607638734E0,4.236305401E0,4.586766265E0
1.422317501E-1,-1.449346420E-1,-1.194382675E0,4.548787622E0,4.705212520E0
1.521917500E-1,1.043561933E0,-6.063445687E-1,4.920012141E0,5.065885383E0
1.621517501E-1,1.045191260E0,-1.343256878E0,5.771946200E0,6.017651264E0
1.721117500E-1,6.476095390E-1,-1.678260820E0,6.501057739E0,6.745347227E0
1.820717501E-1,-2.864024699E-2,-2.575906656E0,6.525089210E0,7.015190986E0
1.920327500E-1,-8.695221904E-1,-3.309883078E0,6.130218551E0,7.020753116E0
2.019927501E-1,-1.385954124E0,-3.806076629E0,5.148516067E0,6.550901146E0
2.119527500E-1,-1.578580119E0,-4.070967777E0,4.114904925E0,5.999761360E0
2.219127500E-1,-1.593833750E0,-4.393863305E0,3.313565070E0,5.729402607E0
2.318727501E-1,-1.896949024E0,-4.892537829E0,2.564124516E0,5.840383253E0
2.418327500E-1,-2.173590737E0,-5.384571671E0,1.866311953E0,6.099281030E0
2.517927501E-1,-2.261240207E0,-5.819950086E0,7.210587537E-1,6.285296493E0
2.617527500E-1,-1.848201372E0,-5.600610502E0,-7.451679933E-1,5.944574135E0
2.717127501E-1,-1.301988107E0,-5.183928559E0,-2.698879448E0,5.987673890E0
2.816727500E-1,-1.500728535E0,-4.918128753E0,-4.339459056E0,6.728378815E0
2.916337501E-1,-2.495710631E0,-5.412611994E0,-5.715038173E0,8.257517876E0
3.015937500E-1,-3.038008016E0,-5.634618493E0,-7.702888012E0,1.001563288E1
3.115537501E-1,-3.436958277E0,-5.697519330E0,-1.030565444E1,1.226706656E1
3.215137500E-1,-4.134367383E0,-5.263819651E0,-1.324092863E1,1.483654211E1
3.314737501E-1,-4.319013097E0,-4.685823553E0,-1.537544535E1,1.664377169E1
3.414337500E-1,-4.643849900E0,-4.977850460E0,-1.659550782E1,1.793753654E1
3.513937501E-1,-4.620558102E0,-5.770998366E0,-1.754483486E1,1.903878172E1
3.613537500E-1,-4.617850841E0,-6.986484811E0,-1.800668537E1,1.985890819E1
3.713137500E-1,-3.786285558E0,-7.893782061E0,-1.803023328E1,2.004337960E1
3.812747500E-1,-2.046623127E0,-8.365338954E0,-1.794059079E1,1.990056180E1
3.912347500E-1,2.996867591E-1,-8.337595670E0,-1.843695742E1,2.023676635E1
4.011947501E-1,4.280396916E0,-7.617090062E0,-1.928985217E1,2.117640799E1
4.111547500E-1,6.688973801E0,-6.762521249E0,-1.998970073E1,2.213734852E1
4.211147501E-1,8.414110579E0,-5.925086532E0,-1.978599777E1,2.230223341E1
4.310747500E-1,9.658823748E0,-5.745234364E0,-1.843992312E1,2.159470673E1
4.410347501E-1,1.093824131E1,-5.824446010E0,-1.601555057E1,2.025011492E1
4.509947500E-1,1.248247693E1,-6.013237985E0,-1.354678478E1,1.937747763E1
4.609547501E-1,1.383500808E1,-7.015615640E0,-1.149095171E1,1.930461816E1
4.709157500E-1,1.572881949E1,-7.683925492E0,-8.253378223E0,1.935346805E1
4.808757501E-1,1.939723746E1,-6.478034327E0,-5.482682687E0,2.117256619E1
4.908357500E-1,2.355260336E1,-4.188656441E0,-5.855802289E0,2.462844673E1
5.007957501E-1,2.541828615E1,-2.942154025E0,-8.676037189E0,2.701886679E1
5.107557500E-1,2.659415888E1,-3.878297929E0,-1.056758982E1,2.887844241E1
5.207157501E-1,2.855366843E1,-6.686158367E0,-7.486594827E0,3.026657888E1
5.306757500E-1,2.690103713E1,-9.098672183E0,2.670746740E0,2.852340306E1
5.406357500E-1,2.082495678E1,-9.606558995E0,1.433003335E1,2.704283004E1
5.505957501E-1,1.397287607E1,-7.513093824E0,2.216375866E1,2.725655962E1
5.605557500E-1,8.976404564E0,-5.446707108E0,2.428173244E1,2.645458349E1
5.705167501E-1,1.083577353E1,-3.357317446E0,2.148792812E1,2.429849015E1
5.804767500E-1,1.487857235E1,-1.936410713E0,1.914010264E1,2.432005614E1
5.904367501E-1,1.417946054E1,-2.784723006E0,1.690375783E1,2.223845345E1
6.003967500E-1,1.035813905E1,-5.327074830E0,1.493108619E1,1.893689799E1
6.103567501E-1,5.487500793E0,-8.203425459E0,1.341232104E1,1.665230344E1
6.203167500E-1,8.061553296E-1,-1.020776035E1,1.145292376E1,1.536286824E1
6.302767501E-1,-1.616436162E0,-1.092588497E1,8.468699015E0,1.391785513E1
6.402367500E-1,-1.800808374E0,-1.132183152E1,6.085006710E0,1.297898634E1
6.501967501E-1,-2.219984008E0,-1.119025397E1,4.049892658E0,1.210585575E1
6.601577500E-1,-3.202375879E0,-1.149189311E1,1.538625509E0,1.202855714E1
6.701177501E-1,-5.101026735E0,-1.159573732E1,-1.294145822E0,1.273406499E1
6.800777500E-1,-7.167073728E0,-1.147405209E1,-3.810412340E0,1.405489450E1
6.900377501E-1,-8.814377634E0,-1.104733398E1,-6.062703676E0,1.537833596E1
6.999977500E-1,-9.526535171E0,-1.086615099E1,-7.576884608E0,1.631677940E1
7.099577500E-1,-9.515732440E0,-1.061604803E1,-7.968546315E0,1.633240246E1
7.199177501E-1,-8.739660743E0,-1.037553568E1,-7.656175191E0,1.557724074E1
7.298777500E-1,-7.150595105E0,-9.915991309E0,-7.150885127E0,1.416308766E1
