"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.519555100E-2,-7.430551052E-1,4.724712372E-1,-2.634666920E0,2.777918238E0
3.200989200E-2,-4.402422905E-1,5.766677856E-1,-2.689106464E0,2.785256287E0
4.880278900E-2,5.063338280E-1,5.442914963E-1,-1.207624674E0,1.418091863E0
6.561892200E-2,1.347605944E0,1.221546173E0,-1.079612970E0,2.115131438E0
8.242328500E-2,2.659620047E-1,9.839782715E-1,-4.595527649E-1,1.118095600E0
9.922689400E-2,8.606747985E-1,1.523891449E0,-1.190750837E0,2.116812182E0
1.160324880E-1,8.851881027E-1,1.399344444E0,-5.158591270E-1,1.734310667E0
1.328414780E-1,-3.510224819E-1,-4.723148346E-1,1.897656441E0,1.986805993E0
1.496386580E-1,-1.107755661E0,2.117576599E-1,2.255292892E0,2.521568944E0
1.664467140E-1,3.127166033E-1,5.362882614E-1,2.495010853E0,2.571084582E0
1.832492550E-1,1.798785448E0,8.135604858E-2,6.116504669E-1,1.901674049E0
2.000595890E-1,3.687598228E0,-5.793952942E-2,-1.421561241E-1,3.690792062E0
2.168603400E-1,4.402396679E0,-6.707201004E-1,-2.110891342E-1,4.458197012E0
2.336663200E-1,1.635354519E0,-8.433604240E-1,2.441644669E0,3.057330518E0
2.504701330E-1,3.219108582E-1,-1.552606106E0,2.940522194E0,3.340790789E0
2.672756640E-1,-1.346110463E0,-1.200208664E-1,1.933934689E0,2.359347742E0
2.840792850E-1,-7.513737679E-2,4.814863205E-1,-5.452904701E-1,7.313114241E-1
3.008849900E-1,5.094344616E-1,-3.438606262E-1,-7.437324524E-2,6.191082139E-1
3.176886390E-1,2.688765526E-3,6.128978729E-2,3.791042089E0,3.791538447E0
3.344946510E-1,4.115415812E-1,-7.123346329E-1,3.155706406E0,3.261176171E0
3.512980570E-1,-1.305022955E0,3.269624710E-1,-3.031407118E0,3.316537122E0
3.681025510E-1,-2.537583828E0,7.460489273E-1,-6.418544292E0,6.942163317E0
3.849075850E-1,-2.077858448E0,-8.053531647E-1,-6.738406658E0,7.097338497E0
4.017131380E-1,-1.953018665E0,-1.139329433E0,-7.125493050E0,7.475627376E0
4.185169400E-1,-1.178002357E0,-3.089218140E-1,2.038657427E0,2.374709739E0
4.353213040E-1,-1.987766027E-1,-1.160145283E0,4.598695755E0,4.746941316E0
4.521261440E-1,2.188496590E-1,-9.654693604E-1,8.629903793E-1,1.313308286E0
4.689215540E-1,1.359392405E0,-1.201204777E0,2.313214779E0,2.939694412E0
4.857355000E-1,1.068607211E0,-3.856153488E-1,-3.534223080E0,3.712324521E0
5.025412560E-1,-3.760875463E-1,1.138436317E0,7.453579903E-1,1.411749845E0
5.193446510E-1,8.654453754E-1,9.579296112E-1,1.359183311E0,1.874567713E0
5.361509470E-1,7.069069743E-1,1.198183060E0,1.149970055E0,1.804935246E0
5.529542000E-1,-6.003131866E-1,8.755178452E-1,6.213107109E-1,1.230013991E0
5.697503320E-1,-1.191547990E0,4.035081863E-1,1.706480980E-2,1.258132217E0
5.865635860E-1,-2.143604755E0,3.122987747E-1,-1.206215858E0,2.479421015E0
6.033700030E-1,-3.550862074E0,7.515459061E-1,3.011543751E-1,3.641996249E0
6.201720560E-1,-4.041504860E0,1.252196312E0,9.513754845E-1,4.336689111E0
6.369804070E-1,-4.493700027E0,1.292418480E0,9.345107079E-1,4.768332594E0
6.537790320E-1,-5.397896767E0,4.366397858E-2,2.708909035E0,6.039651000E0
6.705921620E-1,-5.445897102E0,-1.453965664E0,2.392227888E0,6.123280630E0
6.873789260E-1,-5.391204834E0,-1.878242016E0,9.428730011E-1,5.786353958E0
