"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.489458309E-3,-8.243246752E-1,5.043749750E-2,2.752950990E-1,8.705414998E-1
1.744945836E-2,-1.068267004E0,-1.607159847E-1,3.079117450E-1,1.123313697E0
2.741045831E-2,-1.351152081E0,-1.307478350E-1,4.098485944E-1,1.417985477E0
3.737045836E-2,-1.807317348E0,2.538393259E-2,6.026913746E-1,1.905328642E0
4.733145831E-2,-2.575443264E0,1.791972792E-1,7.599485850E-1,2.691197043E0
5.729145836E-2,-3.419848447E0,4.296440506E-1,8.815180457E-1,3.557672199E0
6.725245831E-2,-4.336938029E0,4.109364688E-1,8.378753051E-1,4.436207308E0
7.721245836E-2,-5.253729111E0,4.195295370E-1,1.346025243E0,5.439619339E0
8.717345831E-2,-5.409404211E0,6.178828794E-1,1.936246991E0,5.778623156E0
9.713345836E-2,-4.499364325E0,5.866201562E-1,1.877742967E0,4.910633481E0
1.070934583E-1,-3.870428453E0,4.997790635E-1,1.859494392E0,4.322928975E0
1.170544584E-1,-3.657700608E0,5.835760957E-1,1.820622687E0,4.127226886E0
1.270144583E-1,-3.790922400E0,6.110498232E-1,2.091196744E0,4.372365304E0
1.369754584E-1,-4.028825140E0,4.054699069E-1,2.563036057E0,4.792180264E0
1.469354583E-1,-4.296683750E0,-1.153070927E-2,2.830017292E0,5.144960844E0
1.568964584E-1,-4.193651717E0,-4.461150724E-1,2.913627799E0,5.125910683E0
1.668564583E-1,-2.525674396E0,-1.046034721E0,1.836042379E0,3.293064137E0
1.768174584E-1,-1.551010789E0,-1.457675779E0,1.327198962E0,2.508368041E0
1.867774583E-1,-1.240279225E0,-1.411268182E0,1.791600325E0,2.596112894E0
1.967384584E-1,-1.493150836E-1,-2.022400451E0,1.999165955E0,2.847641673E0
2.066984583E-1,1.489936622E0,-2.955967487E0,1.696459694E0,3.719627725E0
2.166594584E-1,3.306704532E0,-3.842582843E0,1.066744097E0,5.180509698E0
