"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.453416681E-3,-4.443496152E-1,1.202327871E0,-5.748380166E-1,1.404805195E0
1.441341668E-2,-4.787896423E-1,1.627338004E0,-7.709588921E-1,1.863289058E0
2.437441668E-2,4.269267764E-2,1.753947764E0,-9.645824949E-1,2.002142556E0
3.433441668E-2,2.779866820E-1,2.015396072E0,-1.015288964E0,2.273743522E0
4.429441667E-2,7.254579064E-1,2.291302789E0,-7.885017816E-1,2.529445138E0
5.425441667E-2,1.025632031E0,2.311509597E0,-5.299665568E-1,2.583768998E0
6.421441666E-2,1.240370733E0,2.249954789E0,-3.569906420E-1,2.593888669E0
7.417541667E-2,1.639508983E0,2.110999217E0,3.200122654E-2,2.673075285E0
8.413541666E-2,1.981154631E0,1.828705001E0,7.038824847E-1,2.786500709E0
9.409541669E-2,2.374013555E0,1.505468581E0,1.353261464E0,3.119886632E0
1.040554167E-1,2.779773923E0,1.194479738E0,1.748401680E0,3.494400283E0
1.140154167E-1,3.266690866E0,8.449016118E-1,1.767216266E0,3.808960656E0
1.239754167E-1,3.776254368E0,5.280702317E-1,1.415488703E0,4.067255031E0
1.339364167E-1,4.044826046E0,9.547626078E-2,9.538767546E-1,4.156875548E0
1.438964167E-1,4.236881937E0,-4.091823041E-1,5.965779644E-1,4.298197759E0
1.538564167E-1,4.453548466E0,-9.037526679E-1,3.373317182E-1,4.556825157E0
1.638164167E-1,4.585090353E0,-1.446297097E0,-1.871109009E-3,4.807788716E0
1.737764167E-1,4.737456806E0,-1.899107816E0,-4.274455341E-1,5.121798236E0
1.837364167E-1,4.838927925E0,-2.356098125E0,-8.650791836E-1,5.451126840E0
1.936974167E-1,4.631314347E0,-2.837922143E0,-1.353049210E0,5.597643865E0
2.036574167E-1,4.198352294E0,-3.306911523E0,-1.798604704E0,5.638865550E0
2.136174167E-1,3.642899259E0,-3.787498856E0,-2.223853987E0,5.706258770E0
2.235774167E-1,3.093988089E0,-4.344657231E0,-2.499623880E0,5.890409858E0
2.335374167E-1,2.612490345E0,-4.858430436E0,-2.412610295E0,6.020808960E0
2.434974167E-1,2.053921037E0,-5.373074875E0,-2.112181524E0,6.127792101E0
2.534584167E-1,1.585764008E0,-5.800060782E0,-1.838955170E0,6.287854060E0
2.634184167E-1,1.220643909E0,-6.256388016E0,-1.661672269E0,6.587375600E0
2.733784167E-1,7.211856383E-1,-6.770743019E0,-1.483812833E0,6.968842822E0
2.833384167E-1,3.312429395E-1,-7.291456284E0,-1.286775699E0,7.411534816E0
2.932984167E-1,-3.856560320E-2,-7.699093754E0,-1.208421839E0,7.793446944E0
3.032594167E-1,-3.142382862E-1,-8.015762581E0,-1.097722353E0,8.096677703E0
3.132194167E-1,-7.354747716E-1,-8.175320233E0,-1.038120514E0,8.273722152E0
3.231794167E-1,-1.475202369E0,-8.117849119E0,-9.065914911E-1,8.300458089E0
3.331394167E-1,-2.421600389E0,-7.923179523E0,-5.661572768E-1,8.304303478E0
3.430994167E-1,-3.478763823E0,-7.684405548E0,3.091247499E-2,8.435214398E0
3.530594167E-1,-4.751202148E0,-7.407472644E0,9.484791168E-1,8.851225082E0
3.630204167E-1,-5.984275557E0,-7.001951866E0,2.128230084E0,9.453478046E0
3.729804167E-1,-7.112192346E0,-6.575409179E0,3.290455120E0,1.022968136E1
3.829404167E-1,-8.304681108E0,-5.955030123E0,4.137597969E0,1.102496390E1
3.929004167E-1,-9.265766895E0,-5.204644659E0,4.457119069E0,1.152426451E1
4.028604167E-1,-9.917627360E0,-4.646002260E0,4.126397043E0,1.170349614E1
4.128204167E-1,-1.006604022E1,-3.887954605E0,3.556550502E0,1.136179599E1
4.227814167E-1,-9.654803202E0,-2.963212187E0,2.826027153E0,1.048724372E1
4.327414167E-1,-9.338130282E0,-2.100970073E0,1.983513836E0,9.774920948E0
4.427014167E-1,-9.266677306E0,-1.437306418E0,1.492836548E0,9.495563122E0
4.526614167E-1,-9.384020399E0,-8.822898781E-1,1.330816050E0,9.518894140E0
4.626214167E-1,-9.653421505E0,-4.713598412E-1,1.373840155E0,9.762077833E0
4.725814167E-1,-9.695841300E0,-1.399905288E-1,1.601290997E0,9.828177284E0
4.825424167E-1,-9.290058568E0,2.569284099E-1,2.132660812E0,9.535168721E0
4.925024167E-1,-8.935885699E0,5.873288387E-1,3.064618402E0,9.465035358E0
5.024624167E-1,-8.318912061E0,9.619903511E-1,4.627727957E0,9.567945933E0
5.124224167E-1,-7.176592995E0,1.585457906E0,6.669930589E0,9.924975458E0
