"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.696958349E-3,4.928811306E-2,-2.182900089E-1,-3.452874398E-1,4.114647763E-1
1.465795835E-2,-2.550640435E-1,-2.243284285E-1,-3.680021185E-1,5.008058200E-1
2.461895836E-2,-6.347289269E-1,-2.637602967E-1,-4.625122730E-1,8.284732389E-1
3.457895835E-2,-4.539043676E-1,-3.660128957E-1,-5.880139862E-1,8.281032923E-1
4.453995836E-2,-7.241042943E-2,-3.927206379E-1,-9.514921139E-1,1.031896319E0
5.450095833E-2,-1.973234285E-3,-4.206317371E-1,-5.159717578E-1,6.657039933E-1
6.446095835E-2,2.133316979E-1,-4.716592187E-1,-6.269852400E-2,5.214440879E-1
7.442195833E-2,3.593108902E-1,-4.635619944E-1,-4.739913806E-2,5.884222266E-1
8.438195835E-2,4.344570034E-1,-3.642242324E-1,-1.755625038E-1,5.934933631E-1
9.434295836E-2,3.019944724E-1,-3.701825452E-1,-2.507174975E-1,5.395322434E-1
1.043039583E-1,-2.114656687E-1,-4.029257834E-1,-2.834461176E-1,5.361050434E-1
1.142639584E-1,-7.345382669E-1,-4.372851920E-1,-3.054585457E-1,9.077828638E-1
1.242249583E-1,-1.156484824E0,-3.741966587E-1,-4.186716042E-1,1.285599548E0
1.341859583E-1,-1.426942521E0,-3.249718738E-1,-5.347799116E-1,1.558127476E0
1.441459583E-1,-1.587869883E0,-2.248435682E-1,-4.817018116E-1,1.674491573E0
1.541069583E-1,-1.711558374E0,-8.571959674E-2,-2.637410009E-1,1.733879821E0
1.640669583E-1,-1.725333830E0,1.611714828E-1,1.931861579E-2,1.732953052E0
1.740279583E-1,-1.649936323E0,4.116539222E-1,2.260995501E-1,1.715479474E0
1.839889583E-1,-1.540919080E0,5.620384616E-1,3.873517245E-1,1.685336821E0
1.939489583E-1,-1.449492601E0,6.951222593E-1,4.650816858E-1,1.673476838E0
2.039099583E-1,-1.479982029E0,9.599677992E-1,5.948390025E-1,1.861644011E0
2.138709583E-1,-1.535529993E0,1.065548633E0,7.089759211E-1,1.998973013E0
2.238309583E-1,-1.685449094E0,1.262546006E0,7.077013743E-1,2.221621548E0
2.337919583E-1,-1.931967853E0,1.438716182E0,7.682175712E-1,2.528351691E0
2.437519583E-1,-2.183381753E0,1.454046997E0,9.215053993E-1,2.780392194E0
2.537129583E-1,-2.403677796E0,1.605026783E0,1.058419708E0,3.077991260E0
2.636739583E-1,-2.500616738E0,1.753779949E0,1.232834550E0,3.293737877E0
2.736336250E-1,-2.385310083E0,1.902885702E0,1.240279225E0,3.293777580E0
2.835946250E-1,-2.052157809E0,2.194896821E0,1.057302744E0,3.185406225E0
2.935556250E-1,-1.687014833E0,2.532106918E0,8.842976658E-1,3.168527552E0
3.035156250E-1,-1.444824768E0,2.863982014E0,8.656551343E-1,3.322539751E0
3.134766250E-1,-1.336648794E0,3.240656138E0,8.781868869E-1,3.613819920E0
3.234366250E-1,-1.293295490E0,3.545652754E0,7.586101574E-1,3.849643626E0
3.333976250E-1,-1.345614622E0,3.796812885E0,5.748305614E-1,4.069016708E0
3.433586250E-1,-1.334023686E0,3.709323336E0,4.437418337E-1,3.966813031E0
3.533186250E-1,-1.018939162E0,3.674848738E0,3.126547140E-1,3.826291054E0
3.632796250E-1,-3.426114616E-1,4.049223152E0,3.139223903E-1,4.075799064E0
3.732406250E-1,3.046422013E-1,4.527233616E0,7.174182773E-1,4.593837184E0
3.832006250E-1,7.032908195E-1,4.838579723E0,1.425900255E0,5.093099572E0
3.931616250E-1,6.378879583E-1,4.886529815E0,2.426609114E0,5.493041641E0
4.031226250E-1,8.320496511E-2,4.612284876E0,3.438034165E0,5.753275047E0
4.130826250E-1,-3.445273018E-1,4.172821012E0,3.980125435E0,5.776896462E0
4.230436250E-1,-5.582892634E-1,3.774771221E0,3.895369459E0,5.452933880E0
4.330036250E-1,-8.126498321E-1,3.399309810E0,3.500602296E0,4.946708337E0
4.429646250E-1,-9.516792248E-1,3.061985693E0,3.092195333E0,4.454561898E0
4.529256250E-1,-8.052267918E-1,2.706135258E0,2.769488086E0,3.954949112E0
4.628856250E-1,-2.777337534E-1,2.444893942E0,2.682205528E0,3.639899575E0
4.728466250E-1,5.319842117E-1,2.161468874E0,2.675922110E0,3.480734698E0
4.828076250E-1,1.446647930E0,1.791944726E0,2.631856323E0,3.497216585E0
4.927676250E-1,2.340310935E0,1.235171097E0,2.400968488E0,3.573143237E0
5.027286250E-1,3.177683672E0,8.115391535E-1,1.805852913E0,3.743978373E0
5.126886250E-1,3.950068700E0,4.077193308E-1,1.094390682E0,4.119098051E0
5.226496250E-1,4.561690089E0,1.548518121E-2,6.693049749E-1,4.610555867E0
5.326106250E-1,5.135103139E0,-2.602683395E-1,6.317600763E-1,5.180361440E0
5.425706250E-1,5.517560744E0,-3.919295096E-1,8.136200313E-1,5.590980491E0
5.525316250E-1,5.381198412E0,-6.714848900E-1,9.889395833E-1,5.512366988E0
5.624926250E-1,5.156006935E0,-1.060132942E0,1.102458451E0,5.378076236E0
5.724526250E-1,4.814000660E0,-1.469939144E0,1.191249737E0,5.172465503E0
5.824136250E-1,4.543053258E0,-2.004206255E0,1.159874893E0,5.099165166E0
5.923736250E-1,4.390960162E0,-2.521497729E0,9.313164425E-1,5.148381519E0
6.023346250E-1,4.308651539E0,-2.846396513E0,8.113549662E-1,5.227307918E0
6.122956250E-1,4.218947649E0,-3.277125807E0,9.515736826E-1,5.426284668E0
6.222556250E-1,4.329271745E0,-3.667179530E0,1.227721159E0,5.805006356E0
6.322166250E-1,4.566419901E0,-3.866003573E0,1.494884828E0,6.167078319E0
6.421776250E-1,4.576350812E0,-4.042818112E0,1.637286164E0,6.322030609E0
6.521376250E-1,4.547462059E0,-4.151090419E0,1.478840068E0,6.332292696E0
6.620986250E-1,4.314643473E0,-4.277265732E0,9.455050036E-1,6.148587655E0
6.720586250E-1,3.805678141E0,-4.386614512E0,3.958006588E-1,5.820844539E0
6.820196250E-1,3.279344240E0,-4.396365913E0,-8.718169302E-2,5.485410881E0
6.919806250E-1,2.589955176E0,-4.518853971E0,-2.460683763E-1,5.214255333E0
7.019406250E-1,1.883174884E0,-4.656394517E0,-3.191012692E-1,5.032910009E0
7.119016250E-1,1.329971420E0,-4.828845279E0,-3.067832324E-1,5.018036135E0
7.218626250E-1,1.003201088E0,-5.143033133E0,-3.542120451E-1,5.251920449E0
7.318226250E-1,9.373348354E-1,-5.296060613E0,-5.146935564E-1,5.402940317E0
7.417836250E-1,7.688641271E-1,-5.345381877E0,-6.346047467E-1,5.437553002E0
7.517436250E-1,6.092952199E-1,-5.383594016E0,-5.413323015E-1,5.444939473E0
7.617046250E-1,6.530765395E-1,-5.317330445E0,-1.298263139E-1,5.358858731E0
7.716656250E-1,7.389354461E-1,-5.371453443E0,5.341975290E-1,5.448293740E0
7.816256250E-1,1.087706511E0,-5.395853873E0,1.203605196E0,5.634448504E0
7.915866250E-1,1.276023254E0,-5.351395739E0,1.546368100E0,5.714623872E0
8.015476250E-1,1.062045274E0,-5.443886996E0,1.675886850E0,5.794173153E0
8.115076250E-1,8.452056670E-1,-5.459651674E0,1.397889753E0,5.698795029E0
8.214686250E-1,6.686940140E-1,-5.426219049E0,8.059661722E-1,5.526353800E0
8.314286250E-1,3.739811157E-1,-5.213171069E0,2.277434948E-1,5.231527652E0
8.413896250E-1,-1.660613631E-1,-5.130803681E0,-9.067978978E-2,5.134291150E0
8.513506250E-1,-6.095387565E-1,-5.043474931E0,-1.733670205E-1,5.083132203E0
8.613106250E-1,-1.137914140E0,-4.998988729E0,-1.587253001E-1,5.129320679E0
