"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.352513000E-3,-1.289719343E-1,3.916225433E-1,-1.581478119E-1,4.416024306E-1
2.415554300E-2,-9.146882296E-1,5.474586487E-1,8.443870544E-1,1.359909933E0
4.095943800E-2,-1.007396817E0,1.215740204E0,2.057979107E0,2.593867883E0
5.776640400E-2,-4.805887938E-1,1.264334679E0,2.189925671E0,2.573962356E0
7.457279200E-2,-3.385278583E-1,7.943391800E-1,1.586803436E0,1.806521793E0
9.136715400E-2,-2.068220377E-1,1.095478058E0,7.734069824E-1,1.356836722E0
1.081829800E-1,-5.340361595E-1,1.598035812E0,1.500865459E0,2.256437503E0
1.249877400E-1,-4.297770560E-1,1.028806686E0,1.795896530E0,2.113858052E0
1.417937500E-1,-1.591640115E-1,6.360492706E-1,-3.847470284E-1,7.602119001E-1
1.585992720E-1,4.580458999E-1,3.970613480E-1,-2.055331945E0,2.142860977E0
1.754045500E-1,1.934764683E-1,-3.103718758E-1,-2.522006273E0,2.548387625E0
1.921983430E-1,-8.397907019E-1,-2.638988018E0,-1.658321857E0,3.227930849E0
2.090158790E-1,-9.474328160E-1,-3.230796814E0,-1.821381569E0,3.827937802E0
2.258217460E-1,-3.382505178E-1,-1.486474037E0,-1.327006102E0,2.021129306E0
2.426251430E-1,1.695236444E0,1.064329147E0,-1.671403885E0,2.607722010E0
2.594341950E-1,1.722300649E-1,-1.033298492E0,-7.354016304E-1,1.279915828E0
2.762372750E-1,-9.486448169E-1,-1.146147728E0,-2.230945349E0,2.681547828E0
2.930436220E-1,-1.037271976E0,-1.892515659E0,-2.211832047E0,3.090266926E0
3.098496930E-1,-8.232343793E-1,-2.644330978E0,3.664635181E0,4.593446656E0
3.266534550E-1,-1.050202131E0,-2.737865448E0,2.610182762E-1,2.943970494E0
3.434602800E-1,1.447673887E-1,-2.771582127E0,-2.960696220E-1,2.791107720E0
3.602543570E-1,1.129829049E0,-2.355004787E0,-1.099573612E0,2.834011884E0
3.770698280E-1,2.162965775E0,-3.328151226E0,-2.435862064E0,4.657084444E0
3.938769270E-1,1.143204808E0,-1.957045555E0,-4.133183956E0,4.713825851E0
4.106811570E-1,2.439751625E0,-3.276250362E0,-3.528682470E0,5.397944461E0
