"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.270875012E-3,-1.148495846E-1,4.126493376E-2,2.733181554E-1,2.993259693E-1
1.422187503E-2,5.475026672E-2,-1.722795297E-3,-9.684626341E-2,1.112643630E-1
2.417187500E-2,1.114415349E-1,-1.546596306E-2,-1.863320518E-1,2.176649839E-1
3.412287502E-2,6.730942356E-2,1.112743411E-2,2.720124722E-3,6.827720973E-2
4.407287503E-2,4.529880450E-2,1.077990394E-2,9.582007706E-2,1.065348543E-1
5.402387501E-2,1.145877755E-1,-2.673207211E-2,-5.281205177E-2,1.289731553E-1
6.397387502E-2,1.159279391E-1,-4.781018362E-2,-6.404747665E-2,1.408090195E-1
7.392487500E-2,6.013771306E-2,-3.802323283E-2,6.033274055E-2,9.328638887E-2
8.387487501E-2,7.773733425E-2,-5.199135394E-2,-2.243459702E-2,9.617434775E-2
9.382587502E-2,7.225288351E-2,-4.568426392E-2,-9.592181861E-2,1.284855106E-1
1.037758750E-1,1.703901482E-3,-9.497458795E-3,7.807787061E-3,1.241235443E-2
1.137258750E-1,-4.187613225E-2,1.858071545E-2,3.669654071E-2,5.869829247E-2
1.236768750E-1,-3.422286243E-2,2.080943651E-2,-6.254181862E-2,7.426786679E-2
1.336268750E-1,-4.772591976E-2,4.120982832E-2,-2.661944926E-2,6.844419950E-2
1.435778750E-1,-6.549854087E-2,5.548078038E-2,1.439526021E-2,8.703677019E-2
1.535278750E-1,-3.232804935E-2,4.782815924E-2,-4.802084327E-2,7.509085816E-2
1.634788750E-1,-1.126110238E-2,4.314930864E-2,-1.135003030E-2,4.601628462E-2
1.734288750E-1,5.167115950E-3,2.128137077E-2,1.978230000E-2,2.951161165E-2
1.833798750E-1,4.815881472E-2,1.637490816E-2,-3.739645243E-2,6.313401386E-2
1.933298750E-1,8.568364550E-2,-8.056261749E-3,-3.110952616E-2,9.151171006E-2
2.032808750E-1,9.899310518E-2,-3.343391772E-2,-1.172951460E-3,1.044932416E-1
2.132308750E-1,1.021710121E-1,-6.037223209E-2,-2.668669224E-3,1.187048605E-1
2.231818750E-1,9.302401163E-2,-8.360670537E-2,-2.167738259E-2,1.269387917E-1
2.331318750E-1,6.147212533E-2,-8.688264448E-2,-1.164648414E-2,1.070656654E-1
2.430828750E-1,4.499849059E-2,-4.293869924E-2,-2.331986547E-2,6.642599019E-2
2.530328750E-1,2.353100477E-2,-1.208879859E-3,-3.274967015E-2,4.034489399E-2
2.629838750E-1,-6.535894317E-3,4.697392215E-2,-1.418885350E-2,4.950344271E-2
2.729338750E-1,-2.682093152E-2,7.202574659E-2,-2.077749610E-2,7.961642345E-2
2.828848750E-1,-3.236236063E-2,7.410355467E-2,-2.047870338E-2,8.341484576E-2
2.928348750E-1,-3.463158737E-2,5.173224463E-2,-1.030162454E-2,6.310067707E-2
3.027848750E-1,-2.341891638E-2,2.567876930E-2,-1.164999247E-2,3.665470177E-2
3.127358750E-1,-1.325794479E-2,5.777400811E-3,-1.614123881E-2,2.167235683E-2
3.226858750E-1,1.867279083E-2,-2.074569273E-2,-1.614240825E-2,3.224335944E-2
3.326368750E-1,4.688935222E-2,-2.403196954E-2,-1.374855816E-2,5.445337238E-2
3.425868750E-1,6.580449186E-2,-2.565816700E-2,-1.344918072E-2,7.189890921E-2
3.525378750E-1,8.439057944E-2,-2.645514250E-2,-1.853918195E-2,9.036230260E-2
3.624878750E-1,8.988909091E-2,-3.130235180E-2,-1.314921856E-2,9.608739689E-2
3.724388750E-1,9.066330794E-2,-4.341699234E-2,-2.242816508E-2,1.029946271E-1
3.823888750E-1,7.033917205E-2,-6.277762586E-2,-9.851973653E-3,9.479288380E-2
3.923398750E-1,4.195309165E-2,-7.305389724E-2,-7.007887959E-3,8.453427881E-2
4.022898750E-1,1.723699789E-2,-7.868667539E-2,-2.332337379E-2,8.386111581E-2
4.122408750E-1,-1.134844516E-2,-6.371392041E-2,-2.047811866E-2,6.787933562E-2
4.221908750E-1,-7.487473846E-3,-3.473465368E-2,-1.793048680E-2,3.980026115E-2
