"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.910791660E-3,-8.856727117E-1,-6.361449033E-1,-2.997885007E-1,1.130915397E0
1.587079166E-2,-1.391259741E0,-7.345506191E-1,-1.336562401E-1,1.578933903E0
2.583179166E-2,-1.678348236E0,-5.310324311E-1,-6.939370286E-1,1.892193659E0
3.579279166E-2,-1.992406428E0,-5.499703932E-1,-1.198595667E0,2.389305836E0
4.575279166E-2,-2.356361250E0,-5.907693404E-1,-1.364899762E0,2.786466959E0
5.571379166E-2,-2.431297704E0,-1.899468005E-1,-1.672543412E0,2.957142164E0
6.567479167E-2,-2.292572659E0,8.040447772E-2,-1.779943900E0,2.903541727E0
7.563479166E-2,-2.053842099E0,6.676152027E-1,-1.769330034E0,2.791864287E0
8.559579166E-2,-1.956156176E0,1.048506923E0,-1.440149335E0,2.645740701E0
9.555679167E-2,-2.069915364E0,1.277278651E0,-8.269611847E-1,2.569018328E0
1.055167917E-1,-2.054401093E0,1.673609945E0,-1.023992910E-1,2.651795564E0
1.154777917E-1,-1.819001985E0,2.423172120E0,3.879820544E-1,3.054678612E0
1.254387917E-1,-1.692166961E0,2.908588668E0,7.976045807E-1,3.458249576E0
1.353987917E-1,-1.925680488E0,2.932503195E0,1.260726938E0,3.727901922E0
1.453597917E-1,-2.118383520E0,3.157713969E0,1.540920249E0,4.102821158E0
1.553207916E-1,-1.928495045E0,3.761043128E0,1.699334185E0,4.555466521E0
1.652807917E-1,-1.484311454E0,4.280609170E0,1.591616194E0,4.802086782E0
1.752417916E-1,-1.003426133E0,4.298902184E0,1.711184152E0,4.734508971E0
1.852017917E-1,-2.349137161E-1,4.594563720E0,1.612434620E0,4.874950834E0
1.951627916E-1,4.911463805E-1,4.997980084E0,1.332715518E0,5.195879169E0
2.051237916E-1,1.075354195E0,4.982186170E0,1.295045416E0,5.258869490E0
2.150837917E-1,1.410992194E0,4.903622396E0,1.500727074E0,5.318702222E0
2.250447916E-1,1.421274961E0,4.849875959E0,1.697717430E0,5.331375414E0
2.350057916E-1,1.637062654E0,4.723662640E0,2.081798807E0,5.415426958E0
2.449657916E-1,1.695638599E0,4.548071923E0,2.705699641E0,5.557063885E0
2.549267916E-1,2.023270663E0,4.290052423E0,2.790719326E0,5.503297950E0
2.648877917E-1,2.759020692E0,4.088543923E0,2.786667205E0,5.665147898E0
2.748477916E-1,3.193428177E0,3.747347780E0,2.768358403E0,5.648398636E0
