"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.516833309E-3,3.740760782E-2,-3.226035641E-2,-1.081465924E-1,1.188938399E-1
1.246683332E-2,1.915198157E-2,-4.812501507E-2,-6.023684621E-2,7.944364741E-2
2.241683332E-2,-2.940930431E-2,-5.612277725E-2,7.568285108E-2,9.870444394E-2
3.236583332E-2,-1.251176470E-2,-8.088455239E-2,3.151766181E-2,8.770529105E-2
4.231583333E-2,3.264321656E-2,-1.047775912E-1,-8.509043634E-2,1.388679429E-1
5.226583334E-2,2.775468618E-2,-9.858943717E-2,-3.374077320E-2,1.078361697E-1
6.221483334E-2,1.278523395E-2,-7.276517726E-2,4.559424877E-2,8.681629311E-2
7.216483331E-2,2.095263391E-2,-5.343144093E-2,3.228832483E-3,5.748353771E-2
8.211483332E-2,4.350257182E-2,-3.999566312E-2,-6.128525198E-2,8.513523908E-2
9.206383332E-2,2.875610408E-2,6.899977138E-3,-2.251178026E-2,3.716589104E-2
1.020138333E-1,-5.365204085E-3,4.722659038E-2,3.077740431E-2,5.662494918E-2
1.119628333E-1,-2.289586467E-2,6.651712584E-2,-1.443092823E-2,7.181225758E-2
1.219164167E-1,-2.829613149E-2,8.469780494E-2,-4.616435230E-2,1.005262983E-1
1.318664167E-1,-4.141878862E-2,9.026489329E-2,-4.250341058E-3,9.940489128E-2
1.418154167E-1,-5.302335553E-2,8.824705571E-2,9.070785642E-3,1.033503664E-1
1.517654167E-1,-4.250615146E-2,6.168416913E-2,-1.952092946E-2,7.741302422E-2
1.617154166E-1,-2.260621965E-2,6.536029533E-2,-1.203532398E-2,7.019870651E-2
1.716644166E-1,-1.647657891E-2,6.492853328E-2,-8.143417239E-3,6.747968087E-2
1.816144167E-1,4.141105476E-3,4.523923142E-2,-1.248555958E-2,4.711290706E-2
1.915644167E-1,2.613775061E-2,8.765876186E-3,-2.461151540E-2,3.695604528E-2
2.015134167E-1,3.861387927E-2,-1.788014136E-2,-1.757497609E-2,4.603923231E-2
2.114634167E-1,4.648295703E-2,-5.088378623E-2,-5.599293709E-3,6.914605618E-2
2.214134166E-1,3.400740167E-2,-8.700537206E-2,-1.158684254E-2,9.413125440E-2
2.313624166E-1,3.328276263E-2,-9.175912184E-2,-9.583586454E-4,9.761350921E-2
2.413124166E-1,2.592365572E-2,-7.526099274E-2,-5.092924833E-4,7.960221312E-2
2.512624167E-1,1.050262714E-2,-4.367639858E-2,-1.338193774E-2,4.687226502E-2
2.612114167E-1,-5.158132708E-3,-1.885297186E-2,-2.454661131E-3,1.969939700E-2
2.711614167E-1,-2.030857681E-2,-8.750858435E-3,-2.341049731E-2,3.220352775E-2
2.811114167E-1,-3.673256276E-2,1.301546807E-2,-2.221181810E-2,4.485586293E-2
2.910604167E-1,-4.366033701E-2,2.563687263E-2,6.678104997E-3,5.106927993E-2
3.010104166E-1,-4.614838209E-2,2.925145918E-2,-1.352987230E-2,5.628835118E-2
3.109604167E-1,-3.713524406E-2,5.301076117E-2,-7.541738749E-3,6.516168333E-2
3.209094167E-1,-2.694846021E-2,6.568568375E-2,-9.637380838E-3,7.164989649E-2
3.308594167E-1,-1.337531623E-2,6.395900097E-2,-1.906893969E-2,6.806818162E-2
3.408094167E-1,3.787559064E-3,7.295020966E-2,-8.441040516E-3,7.353454874E-2
3.507584167E-1,3.205507575E-2,5.510181229E-2,-1.921921313E-2,6.658164726E-2
3.607084166E-1,3.227758743E-2,3.117844108E-2,-1.113543749E-2,4.623781792E-2
3.706584167E-1,3.257698771E-2,2.157665973E-3,-8.441040516E-3,3.372190409E-2
3.806074166E-1,3.573989512E-2,-2.890388104E-2,-9.190068841E-3,4.687463928E-2
3.905574167E-1,3.585777818E-2,-3.852268098E-2,2.486236095E-3,5.268736638E-2
4.005074167E-1,2.873097248E-2,-3.093823015E-2,-1.697271287E-2,4.550511890E-2
4.104564167E-1,2.650916072E-2,-3.241490563E-2,-5.895747542E-3,4.228736866E-2
4.204064167E-1,1.200903435E-2,-2.561057844E-2,-1.487765551E-2,3.196033897E-2
4.303564166E-1,2.481460108E-3,-2.429680501E-2,-1.727267504E-2,2.991383761E-2
4.403054166E-1,-1.440342348E-2,-1.876402795E-2,-4.549133778E-3,2.408821228E-2
4.502554167E-1,-2.476870272E-2,-8.191522008E-3,-1.682302415E-2,3.104196851E-2
4.602054167E-1,-3.345947188E-2,-6.601474495E-3,-5.296407938E-3,3.451329687E-2
4.701544167E-1,-3.824978046E-2,-7.575501851E-4,-6.643606424E-3,3.882984798E-2
