"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.049625015E-3,-2.296084642E-1,2.245968157E-1,-4.840196478E-1,5.808948235E-1
1.401062496E-2,-3.278393483E-1,2.115095776E-1,-4.068404943E-1,5.636790998E-1
2.397062501E-2,-3.989790590E-1,2.871918440E-1,-2.405111825E-1,5.472742217E-1
3.393062495E-2,-5.417170483E-1,4.756569600E-1,-1.449255788E-1,7.353300806E-1
4.389062501E-2,-6.316768996E-1,7.703507817E-1,-3.150865710E-1,1.044861512E0
5.385062494E-2,-6.410089096E-1,9.264480507E-1,-3.477672440E-1,1.179042183E0
6.381062500E-2,-7.475026403E-1,1.065424672E0,7.164300978E-2,1.303465631E0
7.377162494E-2,-8.763897452E-1,1.067813845E0,2.268380535E-1,1.399907459E0
8.373162500E-2,-9.416850176E-1,9.323326886E-1,3.583080196E-1,1.372734334E0
9.369162493E-2,-8.730457225E-1,7.975222081E-1,6.035583705E-1,1.327604313E0
1.036516250E-1,-8.692318761E-1,6.379440916E-1,5.107969719E-1,1.193084349E0
1.136116250E-1,-9.534575093E-1,5.262143254E-1,2.056465745E-1,1.108274899E0
1.235726250E-1,-9.299930714E-1,5.208629537E-1,-3.973066092E-2,1.066660140E0
1.335326250E-1,-8.363244773E-1,5.233959675E-1,-2.771246928E-1,1.024782936E0
1.434926250E-1,-8.736517134E-1,5.716004133E-1,-2.768720931E-1,1.080116894E0
1.534526250E-1,-7.353627974E-1,7.459906965E-1,-2.503643256E-1,1.077006434E0
1.634126250E-1,-5.381138478E-1,6.161181897E-1,-4.831045586E-1,9.500306055E-1
1.733736250E-1,-3.646110988E-1,2.721545595E-1,-6.069327986E-1,7.585359449E-1
1.833336250E-1,-6.336364478E-2,1.098171419E-1,-6.085746968E-1,6.216413095E-1
1.932936250E-1,3.687007146E-1,-2.620909166E-1,-5.655228174E-1,7.241877674E-1
2.032536250E-1,4.751737607E-1,-5.772920930E-1,-4.346305561E-1,8.648467979E-1
