"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.651110000E-3,-4.129322767E-1,-7.798314095E-1,3.273158073E-1,9.411619043E-1
2.650464000E-2,-2.006803751E-1,-6.257176399E-1,5.224833488E-1,8.395141617E-1
4.331928800E-2,1.998701096E-1,4.198942184E-1,4.560441971E-1,6.513336511E-1
6.012158500E-2,-4.847955704E-2,1.923993111E0,-3.137288094E-1,1.950006544E0
7.692294600E-2,-1.137317419E-1,1.211502075E0,-5.038466454E-1,1.317016943E0
9.372078700E-2,1.335203648E-1,-4.268460274E-1,-4.968256950E-1,6.684766190E-1
1.105356690E-1,3.433140516E-1,-1.169843674E-1,3.107595444E-2,3.640269155E-1
1.273301540E-1,7.651774883E-1,1.310241699E0,6.186490059E-1,1.638583685E0
1.441327560E-1,1.032584429E0,1.483054161E0,1.080968857E0,2.105747828E0
1.609394690E-1,1.097283840E0,8.472852707E-1,1.652992725E0,2.157384784E0
1.777388560E-1,6.199804544E-1,4.716339111E-1,2.164554596E-2,7.792835425E-1
1.945131180E-1,3.772854805E-3,2.204418182E-1,-5.016684532E-1,5.479781625E-1
2.113329630E-1,-2.376484871E-1,-6.240396500E-1,-7.107720375E-1,9.752431376E-1
2.281348030E-1,-3.042885065E-1,2.146949768E-1,-4.189953804E-1,5.605734181E-1
2.449384940E-1,-1.937917471E-1,1.332197189E-1,-7.754571438E-1,8.103311154E-1
2.617409950E-1,-5.880538821E-1,8.538990021E-1,-7.280328274E-1,1.266879107E0
2.785438720E-1,-7.526541352E-1,1.839351654E-1,-4.009430408E-1,8.723965350E-1
2.953513670E-1,-9.220714569E-1,-1.128582478E0,-3.514127731E-1,1.499134790E0
3.121600640E-1,-1.047102571E0,-1.331216335E0,-5.760800838E-1,1.788974284E0
3.289635210E-1,-5.880297422E-1,-7.244453430E-1,-1.768159866E-1,9.496651652E-1
3.457646980E-1,-2.566077709E-1,-4.358482361E-2,2.010788918E-1,3.289071383E-1
3.625734770E-1,-3.984441161E-1,1.479902267E-1,3.611836433E-1,5.577745468E-1
3.793714610E-1,-2.351161242E-1,-8.279113770E-1,6.880064011E-1,1.101848287E0
3.961720280E-1,-4.159309864E-1,-6.352300644E-1,5.171637535E-1,9.186806671E-1
4.129777950E-1,-6.824381948E-1,-2.642526627E-1,2.448558807E-1,7.716901980E-1
4.297781800E-1,-5.419442058E-1,2.657318115E-2,1.137056351E-1,5.543813016E-1
4.465770790E-1,-1.018131971E-1,1.107912064E-1,2.977972031E-1,3.336522032E-1
4.633863960E-1,1.357927322E0,-8.948302269E-1,7.035927773E-1,1.771928482E0
4.801863130E-1,-6.376966238E-1,4.502801895E-1,7.940473557E-1,1.113517147E0
4.969856300E-1,2.711717486E-1,-1.474723816E-1,-6.435298920E-2,3.153149660E-1
5.137922710E-1,7.923805714E-2,-1.360225677E-1,-5.348606110E-1,5.575452285E-1
5.305985660E-1,1.118209958E-1,3.943014145E-1,-6.252825260E-1,7.476334516E-1
5.473853090E-1,4.314466715E-1,5.459661484E-1,-2.838592529E-1,7.515326613E-1
5.642075650E-1,1.110754013E0,5.871973038E-1,3.057756424E-1,1.293086963E0
5.809887350E-1,3.686633706E-1,7.598552704E-1,6.021745205E-1,1.037259305E0
5.978048460E-1,2.267031670E-1,6.984701157E-1,2.530965805E-1,7.767320693E-1
6.145995640E-1,-1.503955722E-1,2.897357941E-1,-2.544116974E-1,4.138731331E-1
6.314393790E-1,-2.356349826E-1,-1.231355667E-1,-9.333233833E-1,9.704528586E-1
6.482130190E-1,-6.481379271E-1,6.420135498E-2,-6.622936726E-1,9.288904646E-1
6.650199250E-1,-5.532215834E-1,3.460226059E-1,-1.030260324E0,1.219517159E0
6.818193750E-1,-5.403999090E-1,6.309309006E-1,-1.339196086E0,1.575928939E0
6.986041150E-1,-2.368745208E-1,6.024608612E-1,-1.680878758E0,1.801227922E0
7.154132470E-1,-4.068118334E-2,5.820884705E-1,-1.715494871E0,1.812016722E0
7.322138870E-1,-1.539518833E-1,3.140335083E-1,-2.007888794E0,2.038120614E0
7.490167950E-1,-2.852634192E-1,8.785247803E-3,-1.979640961E0,2.000107680E0
7.658181560E-1,-1.630960107E-1,-8.415374756E-1,-7.369360924E-1,1.130424892E0
7.826210950E-1,1.399481297E-2,-1.854455471E0,6.974494457E-1,1.981321952E0
7.994390570E-1,-1.967068911E-1,-1.673972607E0,5.837032795E-1,1.783700481E0
8.162275700E-1,3.515640497E-1,-1.231290817E0,5.023064613E-1,1.375494871E0
8.330434380E-1,3.217484951E-1,-1.286056519E0,3.589527607E-1,1.373430212E0
8.498441380E-1,1.764606237E-1,-1.702922821E0,1.607751369E0,2.348605746E0
8.666472490E-1,-3.227921426E-1,-1.941746712E0,2.027445316E0,2.825793618E0
8.834390800E-1,-1.824243665E-1,-2.544134617E0,2.588037014E0,3.633708186E0
9.002515590E-1,1.068413854E-1,-2.250902176E0,2.617049456E0,3.453537830E0
9.170536950E-1,6.716768742E-1,-1.128231049E0,2.754185677E0,3.051162707E0
9.338588900E-1,2.933058739E-1,-2.777013779E-1,1.579054832E0,1.629895872E0
9.506589300E-1,-5.441230536E-2,8.126926422E-2,-1.857218742E-1,2.098999925E-1
9.674624480E-1,-4.399610162E-1,4.189653397E-1,-8.857531548E-1,1.074083937E0
9.842658940E-1,-4.341536760E-1,1.668004990E-1,-1.357498169E-1,4.844995703E-1
1.001056138E0,-5.284442902E-1,-1.575336456E-1,9.432454109E-1,1.092603369E0
1.017870073E0,-4.357402623E-1,3.279466629E-1,1.004382610E0,1.142892391E0
1.034674292E0,-2.812003791E-1,8.012857437E-1,7.686183453E-1,1.145384938E0
1.051477414E0,-1.685172915E-1,6.819925308E-1,3.225677013E-1,7.730212233E-1
1.068275561E0,-9.411752224E-3,5.133123398E-1,2.882628441E-1,5.887899511E-1
1.085085334E0,2.420607209E-1,4.168472290E-1,3.967578411E-1,6.243170584E-1
1.101874683E0,2.983396649E-1,3.385305405E-1,3.245153427E-1,5.558054427E-1
1.118687255E0,5.629014969E-2,3.931093216E-1,-3.199949265E-1,5.100002673E-1
1.135488891E0,2.206479907E-1,4.985961914E-1,-7.491436005E-1,9.265526601E-1
1.152279480E0,7.572394609E-2,4.721698761E-1,-2.923552990E-1,5.604909712E-1
1.169082154E0,-1.571776271E-1,-1.071224213E-1,-6.808876991E-2,2.020299487E-1
1.185892222E0,-1.857576966E-1,-4.210662842E-1,-4.648876190E-2,4.625623661E-1
1.202693432E0,-1.218103766E-1,-2.506713867E-1,-2.156717777E-1,3.524035012E-1
1.219488099E0,-4.143893719E-2,7.174682617E-1,-4.753866196E-1,8.616671806E-1
1.236295146E0,1.504231691E-1,8.732929230E-1,1.303892136E-1,8.956947059E-1
1.253095736E0,1.858366728E-1,1.190815926E0,-8.605980873E-2,1.208298030E0
1.269897840E0,2.685635090E-1,2.146159172E0,-1.504932404E0,2.634947265E0
1.286698855E0,-2.108973265E-1,3.215677261E0,-3.494592667E0,4.753654998E0
1.303518732E0,-8.697792888E-1,4.503624916E0,-6.417150497E0,7.887900475E0
1.320317488E0,1.794079542E-1,2.710998535E0,-4.268527031E0,5.059844196E0
1.337106327E0,3.035099983E0,1.596529007E0,3.542201996E0,4.930307471E0
