"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.808858000E-3,-7.669113874E-1,7.572431564E-1,2.637119293E-1,1.109555882E0
2.361228400E-2,-9.314182401E-1,6.222858429E-1,9.551963806E-1,1.472134414E0
4.041737900E-2,4.151964486E-1,9.416809082E-1,1.241288185E-1,1.036609371E0
5.721259600E-2,-6.566391587E-1,7.896652222E-1,1.973283291E0,2.224543345E0
7.402638800E-2,2.025678605E-1,1.163594246E0,1.595432758E0,1.985041812E0
9.081690700E-2,-1.954553723E-1,1.224822044E0,1.434064865E0,1.896031086E0
1.076364250E-1,-1.935875714E-1,5.478925705E-1,5.947594643E-1,8.315054040E-1
1.244374920E-1,2.707675099E-1,-1.820468903E-1,9.328250885E-1,9.882402342E-1
1.412459140E-1,1.238001823E0,-5.023784637E-1,-1.372560978E0,1.915451976E0
1.580416490E-1,1.519462347E0,-8.266115189E-1,-1.662793875E0,2.399361560E0
1.748559190E-1,7.374086380E-1,-1.422458172E0,-2.061480045E0,2.610911474E0
1.916616960E-1,-2.717908323E-1,-2.529702187E0,-2.870527029E0,3.835777474E0
2.084628030E-1,-7.433362007E-1,-2.812908649E0,-3.861488342E0,4.834883245E0
2.252733400E-1,-8.868378401E-2,1.724241257E0,3.178163528E0,3.616848924E0
2.420721890E-1,1.852014899E0,2.356678963E0,4.299422264E0,5.241080683E0
2.588822590E-1,-2.952390313E-1,1.213956833E0,-2.785290003E0,3.052654202E0
2.756841890E-1,6.129057407E-1,1.503773689E0,-1.791028500E0,2.417596294E0
2.924907990E-1,1.886252880E0,4.276599884E-1,-5.029281139E0,5.388368192E0
3.092935250E-1,1.265092850E0,-2.209320545E0,-5.467116833E0,6.030831091E0
3.261005420E-1,-1.966809034E-1,-2.663583755E0,-3.592002630E0,4.476141720E0
3.429042640E-1,-2.168332338E-1,-1.222149372E0,-1.619761944E0,2.040660308E0
3.597094400E-1,-8.449274898E-1,3.000607491E-1,-3.392428398E0,3.508918545E0
3.765143210E-1,-3.422778845E-1,-1.856350899E-1,-5.819964409E0,5.832975249E0
3.933194560E-1,2.678270340E-1,-1.261760235E0,-4.641276360E0,4.817179305E0
4.101312860E-1,8.291295767E-1,-6.688089371E-1,-6.094036102E-1,1.227246515E0
4.269288730E-1,1.840325356E0,-2.443733215E-1,3.113688469E0,3.625130565E0
4.437322490E-1,2.212526798E0,-5.430538654E-1,4.402658463E0,4.957174989E0
4.605389000E-1,1.362119198E0,2.647885323E0,3.196418762E0,4.368496114E0
4.773419300E-1,9.619684219E-1,2.968835592E0,2.294299126E0,3.873393408E0
4.941493240E-1,1.353505135E0,3.845184803E0,4.822133064E0,6.314300405E0
5.109533000E-1,3.759102821E0,6.015695572E0,8.968608856E0,1.143483240E1
5.277578650E-1,6.208434582E0,8.217350006E0,9.919375420E0,1.429907374E1
5.445625930E-1,6.756246567E0,4.310441971E0,9.784892082E0,1.264795994E1
5.613660210E-1,6.160801888E0,3.415465355E-2,1.134859943E1,1.291306918E1
5.781621230E-1,5.475381851E0,-3.860965252E0,1.370590878E1,1.525577905E1
5.949775120E-1,4.838341713E0,-7.079553604E0,1.420198917E1,1.658994051E1
6.117820380E-1,4.476248741E0,-1.044996548E1,1.350747681E1,1.765475888E1
6.285867870E-1,3.014447212E0,-1.197297955E1,1.095948410E1,1.650907093E1
6.453924200E-1,1.493042707E0,-1.317399597E1,8.444324493E0,1.571909547E1
6.621972310E-1,4.449799061E-1,-1.421619606E1,5.681808472E0,1.531604339E1
6.790036380E-1,-5.589873195E-1,-1.521031570E1,3.214690685E0,1.555636226E1
6.958067280E-1,-1.519473672E0,-1.625570679E1,1.189381123E0,1.636983295E1
7.126116200E-1,-2.117264271E0,-1.669320297E1,-5.999147892E-1,1.683762843E1
7.294139270E-1,-2.144585848E0,-1.729888916E1,-2.106394291E0,1.755812380E1
7.462231210E-1,-2.023720741E0,-1.658263016E1,-4.106079102E0,1.720287633E1
7.630198040E-1,-1.511460066E0,-1.401680279E1,-6.135034561E0,1.537510719E1
7.798230980E-1,-1.435967684E0,-1.235905647E1,-6.356383801E0,1.397182505E1
7.966375920E-1,-1.281466246E0,-1.022364616E1,-7.514707565E0,1.275287914E1
8.134408560E-1,-9.783671498E-1,-8.593479156E0,-8.905895233E0,1.241450991E1
8.302428890E-1,-6.978184581E-1,-7.487907887E0,-9.517744064E0,1.213025833E1
8.470524790E-1,4.471611977E-1,-6.191619396E0,-9.332067490E0,1.120819287E1
8.638554790E-1,1.543020010E0,-2.984346867E0,-9.955006599E0,1.050663568E1
8.806582240E-1,2.666160583E0,-5.786886215E-1,-1.087001991E1,1.120716850E1
8.974643880E-1,3.733377695E0,6.853952408E-1,-1.090806675E1,1.154962319E1
9.142694720E-1,5.411614418E0,2.647558212E0,-9.238748550E0,1.102948820E1
9.310745770E-1,6.864541054E0,5.353708267E0,-6.668179035E0,1.096579809E1
9.478784210E-1,7.620979309E0,7.358234406E0,-3.507579565E0,1.115912423E1
9.646846540E-1,7.452689171E0,7.758760452E0,-4.892888069E-1,1.076941703E1
9.814893430E-1,6.794855595E0,7.627293587E0,1.635878086E0,1.034513253E1
9.982938580E-1,5.651701927E0,7.530239105E0,3.486004829E0,1.003984389E1
1.015098972E0,4.700967789E0,7.033607006E0,4.264340401E0,9.473928685E0
1.031901087E0,3.293003082E0,6.106782913E0,4.350083351E0,8.189010441E0
1.048710587E0,2.151927471E0,4.255523205E0,4.893828392E0,6.832995384E0
1.065513178E0,1.739389658E0,4.220996857E0,7.084118843E0,8.427753593E0
1.082316168E0,9.642534256E-1,2.459282875E-1,8.398916245E0,8.457662767E0
1.099122758E0,-4.286990166E-1,-6.140098572E-1,6.839222908E0,6.880098905E0
1.115927364E0,-9.336267710E-1,-1.452326298E0,5.730412960E0,5.984859507E0
1.132722348E0,-1.116505742E0,-2.524926662E0,5.134293079E0,5.829477262E0
1.149536873E0,-1.770015717E0,-2.116304398E0,4.200880051E0,5.025842530E0
1.166330849E0,-1.955329776E0,-2.602146626E0,2.976211548E0,4.410478066E0
1.183147071E0,-1.326519012E0,-3.323225498E0,1.698898315E0,3.961027125E0
1.199935098E0,-5.218511820E-1,-4.263919353E0,1.251207829E0,4.474243840E0
1.216758534E0,-7.742996216E-1,-3.985039234E0,1.143669605E0,4.217589094E0
1.233548685E0,-7.542196512E-1,-3.770475864E0,1.261930466E0,4.046949966E0
1.250363576E0,-6.155718565E-1,-3.422842979E0,8.214101791E-1,3.573443361E0
1.267173767E0,-5.727638006E-1,-3.018130779E0,-6.204009056E-1,3.134018037E0
1.283976288E0,-8.406146765E-1,-1.535074234E0,-1.994695902E0,2.653657416E0
1.300781068E0,-6.076925993E-1,-6.781983376E-1,-2.996332407E0,3.131653106E0
1.317584739E0,-1.866304874E-1,-7.668104172E-1,-2.449495077E0,2.573490876E0
1.334391816E0,7.236278057E-2,-9.041600227E-1,-1.496794939E0,1.750181936E0
1.351192426E0,-6.937634945E-2,-1.009626389E-1,-6.276502609E-1,6.394930667E-1
1.368003299E0,1.373081207E-1,1.920528412E-1,-3.796133995E-1,4.470393125E-1
1.384805422E0,4.934639931E-1,1.362524033E-1,-2.010097504E-1,5.499784992E-1
