"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.058958338E-3,1.835897807E-3,-9.771794850E-3,-2.138092875E-2,2.357970758E-2
1.800895834E-2,2.614614456E-3,-1.205252872E-2,-3.799579203E-2,3.994721354E-2
2.795795834E-2,1.018814744E-2,-1.508482624E-2,2.487405539E-2,3.082318871E-2
3.790795835E-2,1.865730941E-2,-5.935797543E-3,-4.607956767E-2,5.006651020E-2
4.785795833E-2,1.194206089E-2,9.241512918E-4,-4.245078564E-4,1.198528601E-2
5.780795834E-2,5.462208479E-3,9.766790456E-3,-2.820112109E-3,1.154031844E-2
6.775795834E-2,5.396326804E-3,2.296820569E-2,-3.335602641E-2,4.085686373E-2
7.770795835E-2,1.536264550E-5,2.470775235E-2,1.671134233E-3,2.476420707E-2
8.765795833E-2,9.954208564E-3,3.726690006E-2,-3.021256328E-2,4.899701101E-2
9.760795833E-2,1.459528524E-2,5.054075110E-2,-1.733933330E-2,5.538991201E-2
1.075579583E-1,1.421390060E-2,6.236613720E-2,7.735866308E-4,6.397005921E-2
1.175079583E-1,1.705507182E-2,6.852602357E-2,-3.545225322E-2,7.901616062E-2
1.274579584E-1,1.344168898E-2,6.555976305E-2,-6.113263965E-3,6.720218396E-2
1.374069584E-1,1.761148464E-2,5.381002074E-2,-2.422442973E-2,6.158332338E-2
1.473569583E-1,1.181540472E-2,2.782424063E-2,-1.898532450E-2,3.569642422E-2
1.573069583E-1,4.753987323E-3,-2.421246349E-3,3.245204687E-4,5.344917482E-3
1.672569583E-1,-5.141630312E-3,-1.950200366E-2,-2.317660868E-2,3.072327618E-2
1.772069584E-1,-6.800394030E-3,-3.311917306E-2,-2.048104227E-2,3.952971130E-2
1.871569583E-1,-1.008489840E-2,-5.059725896E-2,-2.068744898E-3,5.163397617E-2
1.971069583E-1,-8.984036716E-3,-5.043143101E-2,-1.583952248E-2,5.361839817E-2
2.070569583E-1,-1.172697471E-2,-3.256372869E-2,-2.332454324E-2,4.173670662E-2
2.170069584E-1,-1.116677491E-2,-2.662244596E-2,-1.973259866E-2,3.496894251E-2
2.269569583E-1,-2.478456558E-3,-4.827204285E-3,-1.913267434E-2,1.988727924E-2
2.369069583E-1,8.012923831E-4,5.809080843E-3,-8.055124283E-3,9.963559451E-3
2.468569583E-1,-8.554143026E-3,1.794081650E-2,-1.000049293E-2,2.224985659E-2
2.568059583E-1,-1.754621509E-5,3.784090020E-2,-1.329364479E-2,4.010804193E-2
2.667559583E-1,9.307808010E-3,4.406937716E-2,-2.032901466E-2,4.941673937E-2
2.767059583E-1,1.718949383E-2,3.959331987E-2,-1.404150367E-2,4.539023575E-2
2.866559583E-1,1.629248526E-2,5.642946828E-2,4.070831537E-3,5.887530583E-2
2.966059583E-1,2.369455322E-2,5.546144346E-2,-1.808309913E-2,6.296349765E-2
3.065559583E-1,3.249966513E-2,4.811506110E-2,-2.107745826E-2,6.177011077E-2
3.165059584E-1,2.962308628E-2,5.749943566E-2,-1.269488990E-2,6.591564739E-2
3.264559583E-1,1.875078263E-2,5.705363114E-2,-2.197559059E-2,6.395025612E-2
3.364059583E-1,2.029482215E-2,2.915966931E-2,-1.613773048E-2,3.902041089E-2
3.463559583E-1,1.037793070E-2,1.462414673E-2,-2.482026100E-2,3.062045835E-2
3.563059584E-1,-3.464324526E-3,7.853911542E-3,-5.958312750E-3,1.044925652E-2
3.662559583E-1,-8.182557039E-3,-1.100148828E-2,1.377019286E-3,1.377981010E-2
3.762049583E-1,-1.234050752E-2,-1.656238794E-2,-1.014901221E-2,2.301311081E-2
3.861549583E-1,-8.428638023E-3,-1.650522570E-2,-1.284399390E-2,2.254844992E-2
3.961049583E-1,-1.526747293E-2,-2.228642263E-2,-1.449056983E-2,3.065545591E-2
4.060549584E-1,-9.132688469E-3,-2.700420518E-2,-8.353332281E-3,2.970540787E-2
4.160049583E-1,-6.036711121E-3,-2.027051966E-2,-9.101191163E-3,2.302536708E-2
4.259549583E-1,-3.193333489E-3,-1.696013908E-2,-1.913092017E-2,2.576501121E-2
4.359049583E-1,-3.987129559E-3,4.699848045E-4,-7.455199957E-3,8.467472718E-3
4.458549584E-1,2.362023876E-3,6.232760724E-3,-1.359243751E-2,1.513871925E-2
4.558049583E-1,1.658690628E-5,2.056280279E-2,-1.209555030E-2,2.385647649E-2
4.657549583E-1,-3.670457150E-3,4.495443547E-2,-7.304341793E-3,4.569165059E-2
4.757049583E-1,1.525608456E-2,8.148258551E-2,-3.335076392E-2,8.935565629E-2
4.856549583E-1,2.422928109E-2,9.575211232E-2,-1.329247534E-2,9.966049857E-2
4.956039583E-1,3.138382453E-2,8.898027828E-2,-2.841103613E-2,9.853741086E-2
5.055539583E-1,4.181220573E-2,6.555617706E-2,-7.455199957E-3,7.811179748E-2
5.155039583E-1,2.620442942E-2,5.475539674E-2,-9.251464605E-3,6.140370665E-2
5.254539583E-1,1.356459014E-2,2.413059790E-2,-2.826193213E-2,3.956034212E-2
5.354039583E-1,1.306276656E-2,-6.975109291E-3,-5.209284425E-3,1.569791910E-2
5.453539584E-1,-6.546099535E-3,-4.326983894E-2,-1.239317358E-2,4.548319615E-2
5.553039583E-1,-1.585663472E-2,-6.264088324E-2,-8.052785397E-3,6.511651458E-2
5.652539583E-1,-2.095506416E-2,-6.576923041E-2,4.794716835E-4,6.902851785E-2
5.752039583E-1,-2.206790807E-2,-6.728180917E-2,-2.002788305E-2,7.358634732E-2
5.851539584E-1,-2.113727802E-2,-5.565239159E-2,-1.778255224E-2,6.213044645E-2
5.951039583E-1,-1.313658309E-2,-2.288509529E-2,-2.152418554E-2,3.405272331E-2
6.050539583E-1,5.499626091E-3,-9.605639137E-4,-2.361982763E-2,2.427065774E-2
6.150039583E-1,8.599445242E-3,2.095391984E-2,-1.942795873E-2,2.984062324E-2
6.249529583E-1,1.088953923E-2,3.959227833E-2,-2.481675267E-2,4.797918071E-2
6.349029584E-1,1.789745917E-2,6.063458478E-2,-1.179383397E-2,6.431147981E-2
6.448529583E-1,2.641478301E-2,7.554939752E-2,-1.523667455E-2,8.147151942E-2
6.548029583E-1,1.715553886E-2,7.118069145E-2,-2.062663794E-2,7.606879480E-2
6.647529583E-1,1.684348484E-2,6.783188598E-2,-1.448940039E-2,7.137794100E-2
6.747029583E-1,2.076938309E-2,5.508943263E-2,-7.303172350E-3,5.932578856E-2
6.846529583E-1,1.076249933E-2,4.341016298E-2,-1.119507909E-2,4.610426702E-2
6.946029583E-1,1.060487576E-2,2.891440146E-2,-1.149445653E-2,3.287291488E-2
7.045529583E-1,8.478325652E-4,1.009544509E-2,-8.801229000E-3,1.342007688E-2
7.145029583E-1,-6.671924307E-3,-2.052644955E-2,-1.463908911E-2,2.607973610E-2
7.244529584E-1,-1.336183794E-2,-3.225684580E-2,-9.999323487E-3,3.631844276E-2
7.344029583E-1,-1.200305009E-2,-4.132222277E-2,-1.449115455E-2,4.540476700E-2
7.443529583E-1,-2.036266813E-2,-4.518165005E-2,-1.703527808E-2,5.240439346E-2
7.543019583E-1,-7.192495521E-3,-4.021254458E-2,-5.658935308E-3,4.124080845E-2
