"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.026208333E-2,-7.715387349E-3,-3.342985664E-2,5.492874384E-3,3.474556355E-2
5.021008333E-2,2.372982837E-3,-2.031298050E-2,-5.134440064E-3,2.108579377E-2
6.015808333E-2,1.316456293E-2,-9.072593196E-4,-1.875845253E-2,2.293487253E-2
7.010608334E-2,3.017576693E-2,1.526247539E-2,4.028731585E-4,3.381837328E-2
8.004966666E-2,3.138990472E-2,2.185959188E-2,-1.786032021E-2,4.221562404E-2
8.999766667E-2,3.084095167E-2,3.404014151E-2,-6.184015274E-3,4.634800512E-2
9.994666667E-2,2.701259685E-2,4.542979126E-2,2.520149946E-4,5.285461034E-2
1.098946667E-1,4.900967139E-3,3.727377282E-2,-2.025650918E-2,4.270456396E-2
1.198426667E-1,-1.529229619E-3,3.781709564E-2,-1.845381260E-3,3.789296370E-2
1.297906667E-1,7.176753720E-3,2.618874016E-2,-3.941023350E-3,2.743879680E-2
1.397386667E-1,5.907784584E-3,2.760643870E-2,-2.504771769E-2,3.774129751E-2
1.496866667E-1,3.197746309E-3,2.668787082E-2,-5.589353442E-3,2.745375934E-2
1.596346667E-1,1.943472871E-3,2.634608279E-2,-1.442157269E-2,3.009775613E-2
1.695836667E-1,1.488805715E-2,3.178137295E-3,-9.780637622E-3,1.809463110E-2
1.795316667E-1,5.420533363E-3,-8.005546861E-3,-3.941608071E-3,1.044065308E-2
1.894796667E-1,1.269004311E-2,-1.836727152E-2,-1.531853557E-2,2.707492178E-2
1.994276667E-1,-2.293890109E-4,-1.546965411E-2,-1.052791178E-2,1.871362456E-2
2.093756667E-1,-8.835384962E-3,-2.159122752E-2,-1.397133708E-2,2.719270845E-2
2.193236667E-1,-2.972907163E-3,-3.001069958E-2,-1.441923380E-2,3.342745233E-2
2.292726667E-1,-4.239062327E-3,-4.307195523E-3,-3.193164468E-3,6.835048061E-3
2.392206667E-1,5.510525666E-3,1.391198556E-2,-1.052849650E-2,1.829640604E-2
2.491686667E-1,1.491995189E-2,2.126931089E-2,-7.983788252E-3,2.717957735E-2
2.591166667E-1,2.290126878E-2,3.402222984E-2,-1.067818522E-2,4.237928591E-2
2.690646667E-1,1.801559119E-2,3.351871377E-2,-1.726507366E-2,4.178694135E-2
2.790126667E-1,1.546622344E-2,2.666272779E-2,-3.791919351E-3,3.105613906E-2
2.889616667E-1,1.556647121E-2,2.903187111E-2,-1.292234659E-2,3.538575430E-2
