"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.396157270E-1,-1.827661693E-1,8.365249634E-2,1.530077457E-1,2.526115260E-1
1.564180940E-1,-1.568908393E-1,4.057254791E-1,2.227282524E-2,4.355731610E-1
1.732246520E-1,-9.233123064E-2,2.340011597E-1,1.922535896E-1,3.166118153E-1
1.900085260E-1,-2.265319675E-1,1.035394669E-1,1.112771034E-2,2.493210369E-1
2.068313190E-1,-3.422163725E-1,-6.185054779E-2,-2.425048351E-1,4.239647756E-1
2.236230960E-1,-5.159406662E-1,-2.477731705E-1,-3.553509712E-1,6.736917899E-1
2.404397250E-1,-6.054333448E-1,-2.819099426E-1,-4.287219048E-1,7.936152862E-1
2.572358060E-1,-4.824261963E-1,-1.838331223E-1,-3.481841087E-1,6.227052475E-1
2.740487710E-1,-3.656600714E-1,-4.321861267E-2,-2.326140404E-1,4.355277581E-1
2.908548010E-1,-4.017320871E-1,7.596111298E-2,-1.890945435E-1,4.504614377E-1
3.076555410E-1,-4.552009404E-1,7.896900177E-2,-2.078976631E-1,5.066215922E-1
3.244666350E-1,-5.554448366E-1,-1.551723480E-1,-1.716177464E-1,6.017059705E-1
3.412668150E-1,-5.727016926E-1,-2.265310287E-1,-3.613450527E-1,7.140544677E-1
3.580563240E-1,-4.166842699E-1,-2.047767639E-1,-5.288751125E-1,7.037529314E-1
3.748642650E-1,-2.091358900E-1,-1.749420166E-2,-5.116612911E-1,5.530290629E-1
3.916687080E-1,3.001020849E-2,3.141727448E-1,-3.353536129E-1,4.605075155E-1
4.084730170E-1,4.281544685E-2,3.247003555E-1,-5.588126183E-2,3.322441855E-1
4.252771840E-1,-2.472297661E-2,6.440353394E-2,-2.215647697E-2,7.245654027E-2
4.420817190E-1,-1.387139857E-1,2.193450928E-5,-2.244451046E-1,2.638506685E-1
4.589006660E-1,-1.772136688E-1,-8.773803711E-2,-9.859848022E-2,2.209622318E-1
4.757003070E-1,-2.012114525E-1,-2.300310135E-1,4.159164429E-2,3.084318088E-1
4.925054920E-1,-1.698090434E-1,-2.846260071E-1,2.370142937E-2,3.322782462E-1
5.093164440E-1,-1.454078108E-1,-2.387733459E-1,-5.698847771E-2,2.853135622E-1
5.261140920E-1,-1.299799979E-1,-2.517127991E-2,-7.861685753E-2,1.539772823E-1
5.429197750E-1,-1.081170067E-1,1.106233597E-1,4.493951797E-3,1.547482163E-1
5.597231080E-1,-1.571055055E-1,1.546278000E-1,-1.008806229E-1,2.424227639E-1
5.765308050E-1,-1.743542701E-1,1.729040146E-1,-3.612248898E-1,4.367821319E-1
5.933275660E-1,-1.141085178E-1,7.231426239E-2,-3.458499908E-1,3.712981585E-1
6.101362300E-1,3.273240104E-2,-5.035114288E-2,-6.448340416E-2,8.811785903E-2
6.269404390E-1,1.087732613E-2,2.265424728E-1,-9.890699387E-2,2.474316101E-1
6.437456030E-1,-1.713917553E-1,3.905153275E-1,-1.633875370E-1,4.566977578E-1
6.605465360E-1,-3.569952548E-1,3.004875183E-1,-3.022255898E-1,5.559484398E-1
6.773545690E-1,-4.791956842E-1,1.336917877E-1,-4.116001129E-1,6.456908322E-1
6.941568740E-1,-4.486057460E-1,-1.857471466E-1,-2.297952175E-1,5.371731191E-1
7.109488140E-1,-3.621617854E-1,-3.707008362E-1,-1.864385605E-2,5.185825509E-1
7.277663600E-1,-2.885752618E-1,-2.393455505E-1,-9.331893921E-2,3.863552753E-1
7.445439350E-1,-1.407772601E-1,8.284568787E-3,-1.567187309E-1,2.108260697E-1
7.613750810E-1,-3.280538693E-2,1.090040207E-1,-1.640448570E-1,1.996716932E-1
7.781660220E-1,4.324977100E-2,1.829261780E-1,-1.439940929E-1,2.367843493E-1
7.949778200E-1,6.230374798E-2,2.399978638E-1,-1.815264225E-1,3.072988345E-1
8.117824870E-1,1.043568850E-1,1.922807693E-1,-9.999155998E-2,2.405422328E-1
8.285914950E-1,4.966440424E-2,2.222061157E-4,-1.756212711E-1,1.825087212E-1
8.453933340E-1,-7.784859836E-2,6.274223328E-3,-4.028639793E-1,4.103646622E-1
8.621925170E-1,-1.255886853E-1,1.071519852E-1,-4.751286507E-1,5.029923463E-1
8.789902140E-1,-7.326377183E-2,2.052650452E-1,-4.062294960E-1,4.610029528E-1
