"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.001791684E-3,-2.452704598E-2,2.986279014E-2,1.005428731E-2,3.993057617E-2
1.595179166E-2,-2.603974351E-2,6.536403664E-3,-4.667773783E-2,5.384797140E-2
2.590079169E-2,-1.116188243E-2,-1.394783630E-2,1.971096396E-3,1.797261745E-2
3.585079167E-2,-3.224648070E-5,-4.266428210E-2,-2.826660991E-2,5.117854279E-2
4.580079167E-2,1.375830200E-2,-3.997209610E-2,-2.437353373E-2,4.879680817E-2
5.575079168E-2,1.328284114E-2,-4.271329821E-2,1.694055319E-2,4.783139194E-2
6.569979168E-2,2.964661676E-3,-5.944560830E-2,-4.308462381E-2,7.347689687E-2
7.564979169E-2,-6.287510991E-3,-5.167697931E-2,-7.758085728E-3,5.263298280E-2
8.559979167E-2,-2.691975860E-3,-4.312894388E-2,-1.688792825E-2,4.639563185E-2
9.554979167E-2,-2.090951983E-2,-2.823422410E-2,-3.110718727E-2,4.692586206E-2
1.054997917E-1,-2.387082393E-2,-1.520592413E-2,-1.449115455E-2,3.179669675E-2
1.154487917E-1,-2.678013805E-2,9.234946221E-3,-3.814255714E-2,4.751120596E-2
1.253987917E-1,-1.696588351E-2,2.576685898E-2,-2.302458107E-2,3.849550050E-2
1.353487917E-1,-6.645360589E-3,4.041911574E-2,-1.703820169E-2,4.436401753E-2
1.452987917E-1,-2.383841299E-3,5.403200023E-2,-2.571956277E-2,5.988852692E-2
1.552487917E-1,-9.367317134E-3,4.561820408E-2,-4.313490987E-3,4.676936367E-2
1.651977917E-1,-3.596503576E-3,2.457248524E-2,-1.209671974E-2,2.762376689E-2
1.751477917E-1,-3.939502160E-3,6.289795060E-3,-2.227496803E-2,2.347882876E-2
1.850977917E-1,-1.414080583E-3,-1.836153623E-2,-8.353332281E-3,2.022186432E-2
1.950477917E-1,5.254833321E-3,-2.470962529E-2,-2.272286475E-2,3.397804346E-2
2.049977917E-1,2.165000117E-3,-3.098447568E-2,-1.987819433E-2,3.687638226E-2
2.149467917E-1,1.014725348E-2,-2.220256305E-2,-2.451795995E-2,3.459842366E-2
2.248967917E-1,1.819831212E-2,-2.306060084E-2,-2.900803685E-2,4.128481654E-2
2.348467917E-1,1.994394353E-2,-1.252907337E-2,7.806032896E-4,2.356582069E-2
2.447967917E-1,1.300562830E-2,-3.379402854E-3,-1.089570165E-2,1.729979900E-2
2.547467917E-1,1.505699144E-3,2.636559787E-3,-1.089511693E-2,1.131026747E-2
2.646957917E-1,-9.287557458E-3,-8.865102979E-3,-9.996399879E-3,1.627196315E-2
2.746457917E-1,-2.009857498E-2,-2.253709688E-2,-2.047402561E-2,3.648368370E-2
2.845957917E-1,-3.317266138E-2,-2.309873108E-2,-1.044546604E-2,4.175026469E-2
2.945451250E-1,-3.130908980E-2,-9.624985198E-3,-1.313927829E-2,3.529220988E-2
3.044951250E-1,-2.935415091E-2,-1.274313628E-2,-3.050316989E-2,4.420969431E-2
3.144441250E-1,-2.159836295E-2,-4.708961479E-3,-2.017523289E-2,2.992830804E-2
3.243941250E-1,-1.506549274E-2,1.018583825E-2,-1.867776096E-2,2.606873850E-2
3.343441250E-1,-7.014447805E-3,1.778495965E-2,-1.448706150E-2,2.398712610E-2
3.442941250E-1,4.531688062E-3,1.887892345E-2,-1.074542820E-2,2.219040727E-2
