"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.082499898E-4,-3.108032662E-3,-9.820464926E-3,-1.912799656E-2,2.172513869E-2
1.025724999E-2,-1.530867753E-2,-8.381981354E-3,4.822783470E-3,1.810724881E-2
2.020725000E-2,-9.641304868E-3,-1.699203153E-2,-3.020379245E-2,3.597155784E-2
3.015725000E-2,-4.067108505E-3,1.248106454E-4,-8.349823952E-3,9.288514914E-3
4.010625000E-2,-5.640818076E-3,1.812154229E-2,-1.044488132E-2,2.166344084E-2
5.005624998E-2,-7.338602822E-3,4.876374572E-3,-2.810815036E-2,2.945678593E-2
6.000624999E-2,-7.036986994E-3,2.580641219E-3,9.314614534E-3,1.195579102E-2
6.995524999E-2,-7.923191912E-3,7.990179076E-3,-1.613246799E-2,1.966917525E-2
7.990524999E-2,1.378791723E-3,-8.593831002E-4,-1.313869357E-2,1.323876409E-2
8.985525000E-2,-9.683628660E-4,3.363343568E-3,-6.253012419E-3,7.165889401E-3
9.980425000E-2,-2.371630669E-3,1.517197145E-3,-1.792873263E-2,1.814844272E-2
1.097542500E-1,-1.064558700E-4,-2.537616219E-3,-8.648031950E-3,9.013283837E-3
1.197042500E-1,-9.410230215E-3,-1.434860126E-2,-1.703060031E-2,2.417594130E-2
1.296532500E-1,-2.570454273E-3,-1.960758017E-2,-1.298900485E-2,2.365964248E-2
1.396032500E-1,-1.447391440E-3,-2.200862964E-2,-2.359351516E-3,2.218200307E-2
1.495532500E-1,-6.467006807E-3,-2.061411439E-2,-2.406421602E-2,3.233961010E-2
1.595022500E-1,-8.439382282E-3,-2.031918860E-2,-1.927359223E-2,2.925002489E-2
1.694522500E-1,-1.288754195E-2,-1.081762990E-2,-6.848258972E-3,1.816613622E-2
1.794022500E-1,-1.011166312E-2,-1.567734447E-3,-1.373394012E-2,1.712672279E-2
1.893512500E-1,-5.949139930E-3,-1.282451993E-3,-1.732705414E-2,1.836474215E-2
1.993012500E-1,-7.290788130E-3,-1.390595790E-3,-2.346429169E-2,2.461020790E-2
2.092502500E-1,-4.122570259E-3,3.089006371E-3,-2.076931000E-2,2.139863976E-2
2.192002500E-1,-7.203312870E-3,1.032592703E-2,-2.091958344E-2,2.441600820E-2
2.291502500E-1,-2.569526942E-3,-4.846928359E-3,-1.912390351E-2,1.989519713E-2
2.390992500E-1,2.056808355E-3,1.231768511E-3,-1.029343843E-2,1.056894456E-2
2.490492500E-1,-8.449226618E-4,4.082898272E-3,-5.653672814E-3,7.024810951E-3
2.589992500E-1,-2.794955377E-3,3.627023301E-3,-9.546748996E-3,1.058808245E-2
2.689482500E-1,3.404523041E-3,-2.715227678E-3,-1.493495822E-2,1.555687036E-2
2.788982500E-1,-2.337876703E-3,-3.301365366E-3,-2.182063937E-2,2.219245330E-2
2.888482500E-1,-1.030638910E-2,-1.592871993E-2,-1.029519260E-2,2.158556846E-2
2.987972500E-1,2.619643975E-4,-8.747544251E-3,-1.792873263E-2,1.995062930E-2
3.087472500E-1,-1.307383059E-2,-1.365419187E-2,-1.403741062E-2,2.354593168E-2
3.186972500E-1,-1.062888589E-2,-1.360904725E-2,-9.546748996E-3,1.973118848E-2
3.286462500E-1,-7.783164801E-3,-4.628845488E-3,-1.942620456E-2,2.143318195E-2
3.385962500E-1,-1.012828657E-2,-1.457771162E-2,-9.546748996E-3,2.015520482E-2
3.485462500E-1,-1.087478415E-2,-5.702725472E-3,-1.014491916E-2,1.592800655E-2
3.584952500E-1,-1.348424118E-2,-5.154375415E-3,-1.014608860E-2,1.764470062E-2
3.684452500E-1,-8.496273863E-3,-9.391494000E-3,-1.328955173E-2,1.835753291E-2
3.783952500E-1,-1.416884049E-2,-7.166559922E-3,-9.097682834E-3,1.829982117E-2
3.883442500E-1,-1.800060770E-3,-5.971064705E-3,-1.388772190E-2,1.522375289E-2
3.982942500E-1,-4.495914979E-3,-1.094318972E-2,-1.478526950E-2,1.893596702E-2
4.082442500E-1,-3.144312808E-3,-5.971254283E-3,-1.792814791E-2,1.915622792E-2
4.181896250E-1,-7.988657886E-3,-2.510856071E-3,-1.628215671E-2,1.830933314E-2
4.281396250E-1,-2.180737350E-3,-4.037310546E-3,-7.000286579E-3,8.370155556E-3
4.380896250E-1,-4.447584087E-3,-1.027663683E-2,-1.433444917E-2,1.818974166E-2
4.480386250E-1,5.571848340E-4,-1.060168491E-2,-1.418534517E-2,1.771807539E-2
4.579886250E-1,-6.452146657E-3,8.502502518E-3,-1.238908052E-2,1.635273866E-2
4.679386250E-1,-9.457231779E-3,6.439885776E-4,-1.373686373E-2,1.668997841E-2
4.778876250E-1,-5.495756879E-3,-1.115110848E-2,-2.197032809E-2,2.524372953E-2
4.878376250E-1,-8.805417982E-3,1.180018368E-3,-1.732997775E-2,1.947449506E-2
4.977876250E-1,-8.718975121E-3,7.676245265E-3,-6.103323698E-3,1.312234082E-2
5.077366250E-1,-1.173072059E-2,-7.384517170E-3,-1.688091159E-2,2.184275796E-2
5.176866250E-1,-9.998478382E-3,-6.356174662E-4,-2.122246921E-2,2.346842089E-2
5.276366250E-1,-8.235931154E-3,3.422891521E-3,-7.899588346E-3,1.191428741E-2
5.375856250E-1,1.190593606E-4,-1.006969793E-2,-1.867717624E-2,2.121909290E-2
5.475356250E-1,-4.098117021E-3,-3.010671954E-3,-1.149153292E-2,1.256638522E-2
5.574856250E-1,-3.016555714E-3,-6.245833591E-3,-7.301418185E-3,1.007078712E-2
5.674346250E-1,-6.151914974E-3,-7.465268131E-3,-1.568340182E-2,1.842675714E-2
5.773846250E-1,-9.727103622E-3,-7.480708435E-3,-9.546164274E-3,1.554692239E-2
5.873346250E-1,-8.358969362E-3,-8.170079172E-3,-7.300248742E-3,1.378100846E-2
5.972836250E-1,-1.358038219E-2,-9.043682883E-3,-2.376600802E-2,2.882773175E-2
6.072336250E-1,-1.043165199E-2,-4.779482097E-3,-2.511320651E-2,2.761043197E-2
6.171836250E-1,-5.078763608E-3,-3.609260099E-3,-1.328721285E-2,1.467551101E-2
6.271326250E-1,2.804872803E-3,-5.513508660E-3,-7.899003625E-3,1.003296304E-2
6.370826250E-1,-1.152358297E-3,-1.039114632E-2,-2.659313679E-3,1.078776162E-2
6.470326250E-1,-1.018760383E-2,-8.699955682E-3,-9.694098830E-3,1.653638572E-2
6.569816250E-1,-7.347903550E-3,-2.189215813E-3,-2.107044160E-2,2.242203964E-2
6.669316250E-1,-3.643555390E-3,-4.290376212E-3,-1.792639375E-2,1.878931656E-2
6.768816250E-1,4.280696330E-3,1.392746697E-2,-1.927359223E-2,2.416133388E-2
6.868306250E-1,1.240290371E-2,2.142646623E-2,-1.553195894E-2,2.922613940E-2
6.967806250E-1,1.773464619E-2,5.672192043E-3,-1.837662935E-2,2.616088577E-2
7.067306250E-1,-2.817978789E-3,7.866617816E-3,-2.167036593E-2,2.322562033E-2
7.166796250E-1,-7.456360264E-3,-1.999800287E-3,-1.852690279E-2,2.007094011E-2
7.266296250E-1,-1.290501965E-2,-1.491596619E-2,-1.508347750E-2,2.483016055E-2
7.365796250E-1,-6.942563597E-3,-2.223532345E-2,-1.388596773E-2,2.711879234E-2
7.465286250E-1,-4.949403098E-3,-2.158102459E-2,-1.149094820E-2,2.494552272E-2
7.564786250E-1,-8.519936814E-3,-2.658116370E-2,-2.002379000E-2,3.435258000E-2
7.664286250E-1,-6.223502252E-3,-2.198507176E-2,-6.251842976E-3,2.368883494E-2
7.763786250E-1,-4.934780491E-3,-2.720793497E-2,-5.354295373E-3,2.816544448E-2
7.863276250E-1,-7.674242137E-4,-1.447902386E-2,-1.283873141E-2,1.936657162E-2
7.962776250E-1,3.079326488E-3,-1.582788287E-2,-1.867717624E-2,2.467470445E-2
8.062276250E-1,5.356780440E-3,1.762063005E-3,-1.688091159E-2,1.779789703E-2
8.161766250E-1,6.480889376E-3,1.439959081E-3,-9.696437716E-3,1.175143879E-2
8.261266250E-1,-6.141316895E-3,1.130129742E-2,-1.343865573E-2,1.860195055E-2
8.360766250E-1,-4.401651467E-3,3.911337310E-3,-1.014608860E-2,1.173099352E-2
8.460256250E-1,-7.106742449E-3,5.120845288E-3,-4.009435773E-3,9.633505069E-3
8.559756250E-1,-4.291097978E-3,1.353717447E-2,-1.508581638E-2,2.071836071E-2
8.659256250E-1,-6.187651511E-3,9.655502639E-3,-1.194176853E-2,1.655661795E-2
8.758746250E-1,-1.209991744E-2,3.232123826E-3,-5.953634977E-3,1.386724183E-2
8.858246250E-1,-1.157448116E-2,-4.973022651E-3,-1.612077355E-3,1.270032920E-2
8.957746250E-1,-1.052208741E-2,-1.078164896E-2,-1.119157076E-2,1.876724630E-2
9.057236250E-1,-1.908892072E-3,-1.279013556E-2,-1.238908052E-2,1.790867815E-2
9.156736250E-1,-1.807643878E-3,-1.303542854E-2,-1.029343843E-2,1.670762845E-2
9.256236250E-1,-3.001476293E-3,-1.351311409E-2,-4.005927444E-3,1.441043257E-2
9.355726250E-1,-1.944391066E-3,-2.000230605E-2,-8.496589065E-3,2.181891220E-2
9.455226250E-1,-6.590323672E-3,-1.174470822E-2,-5.503984094E-3,1.454868992E-2
9.554726250E-1,7.025548378E-3,-1.919703939E-2,-6.850597858E-3,2.155957658E-2
9.654216250E-1,2.896564454E-3,-1.674471486E-2,3.328819871E-3,1.731636807E-2
9.753716250E-1,-2.176904683E-3,-8.018225154E-3,-1.044195771E-2,1.334411217E-2
9.853216250E-1,-1.603206033E-3,-6.215361832E-4,-1.717853487E-2,1.726437479E-2
9.952706250E-1,-8.497840734E-3,3.891653207E-3,-1.283756196E-2,1.587958624E-2
1.005220625E0,2.342307796E-3,1.556654430E-3,-5.503399372E-3,6.180370820E-3
1.015170625E0,-6.784140598E-4,1.103705352E-3,-2.316725314E-2,2.320344865E-2
1.025119625E0,-1.845490895E-3,8.021059684E-3,-7.600210905E-3,1.120296572E-2
1.035069625E0,-7.003630456E-3,9.434395661E-3,-1.163595915E-4,1.175041278E-2
1.045019625E0,-8.358032894E-3,5.913243508E-3,-8.947994113E-3,1.359741745E-2
1.054968625E0,-3.920900705E-3,4.009328422E-3,-9.546748996E-3,1.107197332E-2
1.064918625E0,-9.276584792E-3,-1.645230611E-3,-2.362859845E-3,9.713131103E-3
1.074868625E0,3.206786653E-4,-1.815956974E-2,-1.358892918E-2,2.268329351E-2
1.084818625E0,-4.696310023E-3,-1.762299178E-2,-6.403285861E-3,1.932943964E-2
1.094767625E0,-4.869259698E-3,-2.568182310E-2,-7.002625465E-3,2.706108814E-2
1.104717625E0,-5.061916318E-3,-1.637538782E-2,-8.200719953E-3,1.900074027E-2
1.114667625E0,-2.598022982E-3,-2.848802295E-2,-4.309397936E-3,2.892901805E-2
1.124616625E0,-4.550970169E-3,-2.283529346E-2,-6.554144025E-3,2.418922819E-2
1.134566625E0,5.476497612E-3,-2.041021101E-2,-1.104480565E-2,2.384442223E-2
1.144516625E0,-9.714152953E-3,-6.205129204E-3,-9.547918439E-3,1.496766991E-2
1.154465625E0,-2.804553034E-3,-2.221638167E-3,-2.751056492E-2,2.774224894E-2
1.164415625E0,-7.333290079E-3,-4.665472812E-3,-2.287021458E-2,2.446610911E-2
1.174365625E0,-2.333536972E-3,5.195755886E-3,-7.003210187E-3,9.026972192E-3
1.184314625E0,-1.596815666E-2,1.029666354E-2,-1.179383397E-2,2.236286714E-2
1.194264625E0,-2.118356239E-2,1.436631193E-2,-1.942795873E-2,3.213377995E-2
1.204214625E0,-7.819856079E-3,2.968718181E-3,-1.014667332E-2,1.314984472E-2
1.214163625E0,-3.773313328E-3,2.465528729E-3,-1.733056247E-2,1.790712487E-2
1.224113625E0,-5.999384872E-3,-2.795585780E-4,-1.179207981E-2,1.323343939E-2
1.234063625E0,-1.478879610E-3,-2.849683946E-3,-1.029460788E-2,1.078363273E-2
1.244013625E0,-3.820109325E-3,-1.274258354E-2,-1.239024997E-2,1.817924544E-2
1.253962625E0,-6.151015051E-3,-1.430497098E-2,-4.905229211E-3,1.632569921E-2
1.263912625E0,-1.593562695E-3,-1.631081035E-2,-7.600210905E-3,1.806502649E-2
1.273862625E0,2.041555345E-3,-2.722824719E-2,-1.747908175E-2,3.242011246E-2
1.283811625E0,-2.310038474E-3,-2.302784272E-2,-1.912565768E-2,3.002346749E-2
1.293761625E0,-1.423407349E-2,-1.146639218E-2,-1.014374971E-2,2.090413012E-2
1.303711625E0,-1.327987185E-2,-7.079799576E-3,-7.000871301E-3,1.659791425E-2
1.313660625E0,-7.797353435E-3,-3.398351488E-3,-1.568106294E-2,1.783937354E-2
1.323610625E0,-8.006400531E-3,-9.901809746E-3,-6.250088811E-3,1.418491790E-2
1.333560625E0,-3.372208038E-3,1.113748630E-2,-1.238732636E-2,1.699591841E-2
1.343509625E0,-1.224569583E-2,6.819616752E-3,-8.644523621E-3,1.646790903E-2
1.353459625E0,-9.214777895E-3,1.056958461E-2,-1.163712859E-2,1.822226694E-2
1.363409625E0,-5.498301331E-3,1.006774048E-2,-1.463090301E-2,1.859177341E-2
1.373359625E0,-8.297966458E-3,-5.666070739E-3,-1.163712859E-2,1.537476396E-2
1.383308625E0,-1.078003641E-2,-1.035005821E-2,-2.355843186E-3,1.512887594E-2
1.393258625E0,-1.811006027E-3,-7.942167954E-3,-5.050240159E-3,9.584503133E-3
1.403208625E0,-1.482922412E-3,-5.737758516E-3,-1.253409147E-2,1.386450074E-2
1.413157875E0,-2.307868609E-3,-2.193949088E-2,-1.462973356E-2,2.647067475E-2
1.423107875E0,-5.988946678E-3,-1.980030531E-2,-1.028876066E-2,2.310363973E-2
1.433057875E0,5.595602654E-4,-1.564380978E-2,-1.388187468E-2,2.092243620E-2
1.443006875E0,-3.934385846E-3,-1.762469341E-2,-9.988798499E-3,2.063698876E-2
1.452956875E0,2.450399059E-3,-1.507030984E-2,-1.163478971E-2,1.919601588E-2
1.462906875E0,-8.090499938E-3,-1.705631892E-2,-5.199344158E-3,1.958079120E-2
1.472855875E0,-1.179726007E-3,-7.374855559E-3,-5.349032879E-3,9.186533661E-3
1.482805875E0,-1.047301191E-2,-4.005765275E-3,-1.088751554E-2,1.562907958E-2
1.492755875E0,1.942783082E-3,-2.299223409E-3,-2.205569744E-3,3.731671514E-3
1.502705875E0,-9.440457579E-3,5.076141497E-3,-1.567696989E-2,1.899096724E-2
1.512654875E0,-6.983946352E-3,-4.321818701E-3,-9.389458895E-3,1.247459666E-2
1.522604875E0,-2.269546506E-3,8.652666325E-3,-3.552183509E-3,9.624836807E-3
1.532554875E0,-1.799366414E-3,6.651662334E-3,-7.893156409E-3,1.047779793E-2
1.542503875E0,-8.640412297E-3,6.397052638E-3,-5.047901273E-3,1.187688151E-2
1.552453875E0,-6.140681924E-3,-1.942584368E-3,-1.268144131E-2,1.422324021E-2
1.562403875E0,-5.290935310E-3,-1.277022991E-2,-9.536808729E-3,1.679355499E-2
1.572352875E0,-1.639618655E-3,-1.228935580E-2,-1.537583828E-2,1.975178519E-2
1.582302875E0,-2.480119360E-3,-9.707465200E-3,-9.238600731E-3,1.362855884E-2
1.592252875E0,-5.077927639E-3,-1.719527709E-2,-1.282996058E-2,2.204701322E-2
1.602201875E0,-9.414748102E-4,-1.783819215E-2,-3.848637342E-3,1.827291667E-2
1.612151875E0,-1.218012479E-2,-1.939800545E-2,-1.103369594E-2,2.542401427E-2
1.622101875E0,-1.115625906E-3,-9.988154392E-3,-1.902683973E-3,1.022878564E-2
1.632051875E0,-6.158397160E-3,-6.290295271E-3,-8.936884403E-3,1.254438412E-2
1.642000875E0,-7.769972021E-3,-1.441591962E-2,-2.136104822E-2,2.691626989E-2
1.651950875E0,-1.158910376E-2,-3.921081147E-3,-1.402630091E-2,1.861234323E-2
1.661900875E0,5.071089137E-5,1.141433597E-3,-1.303344369E-3,1.733248048E-3
1.671849875E0,-3.631321918E-3,-6.764447358E-3,-5.494043827E-3,9.440803171E-3
1.681799875E0,-2.186406408E-3,2.717699041E-3,-8.188440800E-3,8.900383351E-3
1.691749875E0,-7.960819658E-3,4.205520779E-3,-1.612077355E-2,1.846457134E-2
1.701698875E0,-3.012279938E-3,7.042902731E-4,-7.138865590E-3,7.780312148E-3
1.711648875E0,-2.226327360E-3,-9.811056848E-4,1.542495489E-3,2.880693356E-3
1.721598875E0,2.435237411E-3,1.717567064E-3,-1.731711388E-2,1.757164907E-2
1.731547875E0,-5.510585052E-3,-3.550577809E-3,-1.656925499E-2,1.781890461E-2
1.741497875E0,1.555898404E-3,-8.444256485E-3,-1.103077233E-2,1.397870615E-2
1.751447875E0,-1.254542959E-3,-1.257402841E-2,-2.049449086E-3,1.280157452E-2
1.761397875E0,9.501725435E-4,-1.264102243E-2,-6.240733266E-3,1.412957988E-2
1.771346875E0,-3.988664453E-3,-1.458441307E-2,-8.186686635E-3,1.719407999E-2
1.781296875E0,-5.852660872E-3,-2.018378216E-2,-7.886724472E-3,2.244636105E-2
1.791246875E0,-7.749017975E-3,-1.490827573E-2,-1.671777427E-2,2.370206618E-2
1.801195875E0,-6.581182829E-3,-1.808739318E-2,-1.552143395E-2,2.472611314E-2
1.811145875E0,-9.246275201E-3,-1.206811635E-2,-1.088108361E-2,1.869574866E-2
1.821095875E0,-7.351425583E-3,-1.386423025E-2,-2.106050134E-2,2.626414010E-2
1.831045875E0,-7.008500090E-3,-9.438246600E-3,-1.252882898E-2,1.718054504E-2
1.840994875E0,-3.664198802E-3,-2.378782087E-3,-4.446222782E-3,6.233285980E-3
1.850944875E0,-5.794407986E-4,7.477583829E-5,-1.702007532E-2,1.703010003E-2
1.860894875E0,-1.654497078E-3,1.209683166E-2,-1.926482141E-2,2.280798195E-2
1.870843875E0,4.958461714E-3,1.021967901E-2,-4.595326781E-3,1.225337545E-2
1.880793875E0,-3.705974417E-3,9.046195359E-3,-1.043318689E-2,1.429752725E-2
1.890743875E0,-2.129880278E-3,2.246379198E-3,-1.162952721E-2,1.203447185E-2
1.900692875E0,-5.598197356E-3,3.272636351E-4,-7.287969589E-3,9.195728131E-3
1.910642875E0,-8.859477318E-3,-1.153739474E-2,-1.177863121E-2,1.871731735E-2
1.920592875E0,-1.150156455E-3,-1.107936360E-2,-1.237680137E-2,1.665113720E-2
1.930542875E0,-7.130789123E-3,-6.035297283E-3,-1.117987633E-2,1.456923476E-2
1.940491875E0,-4.186245524E-3,-1.860917723E-2,-1.177921593E-2,2.241820815E-2
1.950441875E0,-5.433543418E-3,-2.027893645E-2,-2.061085045E-2,2.942049990E-2
1.960391875E0,-4.271592032E-3,-1.089841740E-2,-1.267676353E-2,1.725463225E-2
1.970340875E0,-1.653546905E-3,-1.356791803E-2,-1.492150962E-2,2.023546556E-2
1.980290875E0,-5.737831607E-3,-1.570113305E-2,-5.640224218E-3,1.764257407E-2
1.990240875E0,-8.166445219E-3,-5.683907031E-3,-1.598628759E-3,1.007736278E-2
2.000189875E0,-3.893738561E-3,-6.369230398E-3,-9.532130957E-3,1.210742815E-2
2.010139875E0,-1.143678380E-2,-2.168688888E-3,-1.806438804E-2,2.149012216E-2
2.020089875E0,-5.249136854E-3,3.493037552E-3,-8.634583354E-3,1.069162190E-2
2.030039875E0,-7.970842151E-3,4.762879203E-3,-1.252707481E-2,1.559316986E-2
2.039988875E0,-8.165481342E-3,1.578145232E-3,-1.956302941E-2,2.125741630E-2
2.049938875E0,4.557237653E-3,2.186835813E-3,-1.896427453E-2,1.962636936E-2
2.059888875E0,-9.476600681E-5,-3.322166379E-3,-1.192890465E-2,1.238323610E-2
2.069837875E0,-1.080768278E-2,-9.009047267E-3,-1.627104700E-2,2.151083239E-2
2.079787875E0,-2.601280063E-3,-7.744797016E-3,-7.589101195E-3,1.115091905E-2
2.089737875E0,-8.745315000E-3,-2.006881813E-2,1.692768931E-3,2.195685456E-2
2.099687875E0,-1.196920476E-2,-1.417901145E-2,1.097405434E-2,2.155773868E-2
2.109636875E0,6.922189705E-4,-1.400531032E-2,-5.940771103E-3,1.522894105E-2
2.119586875E0,2.237578682E-3,-1.992349198E-2,1.843042374E-3,2.013328330E-2
2.129536875E0,3.754661623E-3,-2.199035024E-2,-1.477240562E-2,2.675625077E-2
2.139485875E0,-1.440781346E-3,-1.451029961E-2,-4.743261337E-3,1.533372668E-2
2.149435875E0,1.729103895E-3,-9.149611134E-3,-2.520149946E-4,9.314971591E-3
2.159385875E0,5.026385346E-3,-2.708953342E-3,-1.956185997E-2,2.037815848E-2
2.169334875E0,2.051787972E-3,-4.579744865E-3,-2.048279643E-3,5.420271802E-3
2.179284875E0,-2.729822877E-3,1.081460807E-4,-1.598628759E-3,3.165318692E-3
2.189234875E0,6.328957700E-3,2.611743382E-3,-1.297497153E-2,1.467060992E-2
2.199184875E0,1.815884798E-3,-1.388083315E-3,-1.581964195E-2,1.598390704E-2
2.209133875E0,-3.140055304E-3,5.525253341E-4,-1.986065269E-2,2.011493864E-2
2.219083875E0,2.281053644E-4,-4.398750700E-4,-1.566995323E-2,1.567778544E-2
2.229033875E0,-7.960371980E-3,-6.319042558E-3,-3.395478129E-3,1.071574042E-2
2.238982875E0,-7.362896176E-3,-8.941269815E-3,-1.522147179E-2,1.912725148E-2
2.248932875E0,-3.827148825E-3,-1.267284636E-2,-1.162777305E-2,1.761968243E-2
2.258882875E0,-5.465524946E-3,-9.562374309E-3,-8.484309912E-3,1.390303852E-2
2.268832875E0,-4.246988045E-3,-2.070111228E-2,-9.998738766E-4,2.115591418E-2
2.278781875E0,-3.172891075E-3,-1.703567551E-2,1.545419097E-3,1.739740780E-2
2.288731875E0,-1.168058985E-3,-9.688153400E-3,-7.286215425E-3,1.217840767E-2
2.298681875E0,-4.950618222E-3,-1.549785323E-2,-3.843959570E-3,1.671729944E-2
2.308630875E0,-7.162245316E-4,-9.106615826E-3,-5.789328218E-3,1.081479314E-2
2.318580875E0,-6.087851417E-3,-2.902146718E-3,-9.830923676E-3,1.192188956E-2
