"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.564166673E-3,5.261543915E-1,3.615947396E-1,8.262349606E-2,6.437513817E-1
7.396833331E-3,5.864593577E-1,5.753970104E-1,-3.497219682E-1,8.929287502E-1
1.735883334E-2,3.420667934E-1,6.519815022E-1,-5.602971607E-1,9.252148284E-1
2.732083335E-2,3.696580499E-2,5.788304955E-1,-6.983312112E-1,9.077872514E-1
3.728183333E-2,6.831594408E-2,5.116243529E-1,-6.249936783E-1,8.105822874E-1
4.724383334E-2,1.286422819E0,7.618372357E-1,-8.734442103E-1,1.731526619E0
5.720583335E-2,1.303166614E0,1.875021381E0,-6.266846931E-1,2.367843345E0
6.716683335E-2,1.596809398E0,1.906192303E0,-2.471618056E-2,2.486760993E0
7.712883333E-2,2.268303644E0,1.848559222E0,6.811000514E-1,3.004375126E0
8.709083335E-2,2.645901920E0,2.100136845E0,1.392034936E0,3.653646535E0
9.705183335E-2,3.604152977E0,2.284864420E0,1.824269888E0,4.640957307E0
1.070138333E-1,4.552723091E0,2.842429762E0,2.025076722E0,5.736517256E0
1.169758333E-1,5.396558463E0,3.395578117E0,1.999567659E0,6.682145225E0
1.269368333E-1,6.103095072E0,3.863577563E0,1.637647814E0,7.406543823E0
1.368988333E-1,6.372503779E0,4.203132393E0,8.534011245E-1,7.681368355E0
1.468608333E-1,6.149672238E0,4.368200460E0,8.410751939E-2,7.543654152E0
1.568218333E-1,5.786057285E0,4.365769773E0,-3.949314702E-1,7.259089163E0
1.667838334E-1,5.243238037E0,4.317490482E0,-8.889492720E-1,6.849999999E0
1.767458333E-1,4.255494501E0,4.261356043E0,-1.331010470E0,6.167655766E0
1.867068333E-1,3.499172067E0,4.118409746E0,-1.533474112E0,5.617565918E0
1.966688333E-1,2.797856145E0,3.671539798E0,-1.269291354E0,4.787410995E0
2.066308333E-1,2.404384432E0,3.184335172E0,-7.299892062E-1,4.056345551E0
2.165918333E-1,2.168129438E0,2.821979710E0,-1.819846469E-1,3.563351393E0
2.265538333E-1,2.066156920E0,2.370585771E0,1.490681849E-1,3.148158611E0
2.365158333E-1,2.026584134E0,1.979183680E0,5.209404293E-1,2.880206629E0
2.464768333E-1,1.788529659E0,1.507087675E0,9.192688394E-1,2.513007521E0
2.564388333E-1,1.120264831E0,3.828300726E-1,1.552764369E0,1.952595540E0
2.664008334E-1,7.900713935E-1,1.746896607E-1,2.165238574E0,2.311490291E0
2.763618333E-1,6.180211660E-1,-5.071465552E-2,2.438447971E0,2.516058554E0
2.863238333E-1,3.759899998E-1,-9.632387316E-1,2.607797370E0,2.805317176E0
2.962858333E-1,5.754753631E-1,-1.143798412E0,2.305205129E0,2.636933331E0
3.062468334E-1,7.761871800E-1,-1.676505486E0,2.033184179E0,2.747175838E0
3.162088333E-1,1.492038111E0,-1.882323384E0,2.060010619E0,3.164326595E0
3.261708333E-1,2.760545939E0,-1.728210660E0,2.049735892E0,3.848212987E0
3.361318333E-1,3.989850524E0,-1.624293358E0,2.209026910E0,4.841181262E0
3.460938333E-1,4.395847850E0,-1.801323075E0,2.582093010E0,5.406981362E0
3.560558333E-1,4.428235577E0,-2.157684556E0,2.862582191E0,5.697301973E0
3.660168333E-1,3.689320889E0,-2.983502610E0,3.022952020E0,5.625887962E0
3.759788333E-1,2.339210489E0,-4.515250332E0,4.037456800E0,6.493107783E0
3.859408333E-1,1.931129069E0,-3.670131789E0,5.353280296E0,6.771760241E0
3.959018333E-1,1.557160598E0,-3.914296896E0,5.612894332E0,7.017909383E0
4.058638334E-1,4.475531951E-2,-4.862460921E0,6.145675081E0,7.836762817E0
4.158254583E-1,-6.104857130E-1,-5.018658763E0,6.655324829E0,8.357809352E0
4.257864583E-1,-5.605437671E-1,-4.863209950E0,6.447391409E0,8.095299643E0
4.357484583E-1,-1.628508031E-1,-4.812154402E0,6.229438199E0,7.873325260E0
4.457104583E-1,9.753176174E-1,-4.521054279E0,6.292789857E0,7.809633822E0
4.556714583E-1,2.287771802E0,-4.182639656E0,6.708469588E0,8.229941587E0
4.656334583E-1,2.989067113E0,-4.202314952E0,7.304551708E0,8.941501486E0
4.755954584E-1,3.296812505E0,-4.534518662E0,8.054785144E0,9.813786013E0
4.855564583E-1,3.330603856E0,-4.903067495E0,9.107862251E0,1.086674504E1
4.955184583E-1,3.371699257E0,-5.467200429E0,1.039172545E1,1.221665234E1
5.054804583E-1,3.185119284E0,-6.037696304E0,1.189436164E1,1.371402933E1
5.154414584E-1,3.144731981E0,-6.612639570E0,1.334848933E1,1.522493050E1
5.254034583E-1,3.211664473E0,-7.380377816E0,1.467673114E1,1.673891282E1
5.353654583E-1,3.281421464E0,-7.978315843E0,1.579084090E1,1.799366297E1
5.453264583E-1,4.309901381E0,-8.535729741E0,1.649135605E1,1.906302065E1
5.552884583E-1,6.459464740E0,-8.717031434E0,1.659491959E1,1.982681714E1
5.652504583E-1,8.713271674E0,-8.596014535E0,1.626592717E1,2.035664403E1
5.752114583E-1,1.088420368E1,-8.490232556E0,1.585999007E1,2.102591791E1
5.851734583E-1,1.266304947E1,-8.506121196E0,1.533238177E1,2.162842691E1
5.951354583E-1,1.385091484E1,-8.615395716E0,1.440627637E1,2.176266721E1
6.050964583E-1,1.433790371E1,-8.830761532E0,1.281010578E1,2.115789786E1
6.150584584E-1,1.401874163E1,-9.196763903E0,1.075620696E1,1.991987880E1
6.250204583E-1,1.311341723E1,-9.741516826E0,8.443782275E0,1.838902718E1
6.349814583E-1,1.231926945E1,-1.006664014E1,6.239152763E0,1.708884638E1
6.449434583E-1,1.228105672E1,-9.808842251E0,4.152323597E0,1.625667653E1
6.549054583E-1,1.311745882E1,-8.990236738E0,2.297203799E0,1.606764537E1
6.648664583E-1,1.431492883E1,-7.902241813E0,8.261896446E-1,1.637208607E1
6.748284583E-1,1.529038707E1,-7.299547076E0,-3.357716811E-1,1.694674207E1
6.847904583E-1,1.579300203E1,-6.842064432E0,-1.564067914E0,1.728233397E1
6.947514583E-1,1.569608560E1,-6.305822132E0,-3.364293759E0,1.724670892E1
7.047134583E-1,1.503336920E1,-5.901829816E0,-4.954400786E0,1.689319010E1
7.146754584E-1,1.397290647E1,-5.768568263E0,-6.165472584E0,1.632579392E1
7.246364583E-1,1.317189640E1,-5.617170401E0,-7.473902861E0,1.615272986E1
7.345984583E-1,1.263660369E1,-5.556040685E0,-8.835545139E0,1.638963693E1
7.445604583E-1,1.220701694E1,-5.018278694E0,-1.008935073E1,1.661292815E1
7.545214584E-1,1.194049383E1,-4.147677400E0,-1.111386477E1,1.683141738E1
7.644834583E-1,1.140213367E1,-3.802605722E0,-1.185194594E1,1.688007953E1
7.744454583E-1,1.032749964E1,-3.868451802E0,-1.250386721E1,1.667239825E1
7.844064583E-1,9.329607380E0,-4.060216502E0,-1.274587996E1,1.630902780E1
7.943684583E-1,8.393520779E0,-4.004279698E0,-1.281246221E1,1.583176032E1
8.043304583E-1,7.528105381E0,-3.906913617E0,-1.305410658E1,1.556746746E1
8.142914583E-1,6.845673918E0,-3.658323629E0,-1.308908112E1,1.521744485E1
8.242534583E-1,6.100969609E0,-3.239491080E0,-1.290452779E1,1.463704103E1
8.342154583E-1,5.140781370E0,-3.130821747E0,-1.255950464E1,1.392734127E1
8.441764583E-1,4.262759959E0,-3.096182841E0,-1.175113994E1,1.287815051E1
8.541384584E-1,3.526507800E0,-3.031061524E0,-1.061450086E1,1.158840885E1
8.641004583E-1,2.905294932E0,-3.093887224E0,-9.294141678E0,1.021733558E1
8.740614583E-1,2.415901693E0,-3.202463003E0,-7.784100575E0,8.756972766E0
8.840234583E-1,2.119300509E0,-3.097667449E0,-6.365520449E0,7.389643352E0
8.939854583E-1,1.943077124E0,-2.817028872E0,-5.238469632E0,6.257216990E0
9.039464583E-1,1.590350271E0,-2.548668571E0,-4.529473684E0,5.435168565E0
9.139084583E-1,1.145568364E0,-2.319111562E0,-4.286655775E0,5.006597952E0
9.238704583E-1,6.606991160E-1,-2.153978883E0,-3.982571325E0,4.575699150E0
9.338314583E-1,-2.036240226E-1,-2.163417166E0,-3.697590314E0,4.288823930E0
9.437934583E-1,-1.020674762E0,-2.218951097E0,-3.399024466E0,4.185557103E0
9.537554584E-1,-1.716516813E0,-2.319697453E0,-3.047831630E0,4.197225738E0
9.637164583E-1,-2.466647338E0,-2.168138208E0,-2.938569974E0,4.406854419E0
9.736784583E-1,-2.689578282E0,-1.966024522E0,-2.797546242E0,4.350327428E0
9.836404583E-1,-2.561524259E0,-1.666235729E0,-2.413227468E0,3.893766152E0
9.936014584E-1,-2.248856682E0,-1.285097840E0,-1.924949293E0,3.227113666E0
1.003563458E0,-1.902362376E0,-8.332560048E-1,-1.719428434E0,2.696244114E0
1.013525458E0,-1.732155191E0,-5.083671615E-1,-1.306289027E0,2.228270585E0
1.023486458E0,-1.665451909E0,-3.901940560E-1,-6.505620906E-1,1.830085380E0
1.033448458E0,-1.619761181E0,-4.251592362E-1,-3.364806560E-1,1.708100083E0
1.043410458E0,-1.614671765E0,-5.585315940E-1,-4.208662105E-1,1.759616668E0
1.053371458E0,-1.605361243E0,-6.255117416E-1,-5.247718173E-1,1.801064996E0
1.063333458E0,-1.530718612E0,-6.034589678E-1,-5.576425248E-1,1.737304631E0
1.073295458E0,-1.343458022E0,-6.096239796E-1,-5.113121116E-1,1.561397108E0
1.083256458E0,-1.228486560E0,-6.426920307E-1,-4.121752015E-1,1.446416493E0
1.093218458E0,-1.310350503E0,-6.915142348E-1,-3.393343896E-1,1.519986252E0
1.103180458E0,-1.315998913E0,-6.360206500E-1,-3.384657857E-1,1.500311466E0
