"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.759250016E-3,2.054597560E-1,1.682366735E-1,-1.305420130E-1,2.959028672E-1
1.372025002E-2,2.218234813E-1,2.243752062E-1,9.153640687E-2,3.285251951E-1
2.368225000E-2,3.988876963E-1,2.794197249E-1,6.440941930E-2,4.912589442E-1
3.364325000E-2,6.056066501E-1,5.099041021E-1,-1.536443621E-1,8.064540892E-1
4.360525002E-2,5.838883370E-1,7.297974175E-1,-1.520194209E-1,9.469106426E-1
5.356725000E-2,7.840584093E-1,8.495945871E-1,-1.245889628E-1,1.162790162E0
6.352825000E-2,9.045239156E-1,7.296904135E-1,2.029130012E-1,1.179739505E0
7.349025001E-2,1.861943498E0,1.240556967E0,-2.760754099E-1,2.254336446E0
8.345125002E-2,2.676149567E0,1.888736025E0,-5.940759408E-1,3.328967783E0
9.341325000E-2,3.070226759E0,2.325927077E0,-1.903958666E-1,3.856485408E0
1.033752500E-1,3.603932537E0,2.630719625E0,1.249032506E-1,4.463699844E0
1.133362500E-1,4.197169402E0,2.714130741E0,3.295636922E-1,5.009126560E0
1.232982500E-1,4.601093890E0,2.802604961E0,-8.160958886E-3,5.387460084E0
1.332592500E-1,4.685731752E0,2.915976625E0,-6.419254607E-1,5.556174046E0
1.432212500E-1,4.537328834E0,2.905772649E0,-1.199691362E0,5.519975272E0
1.531822500E-1,4.140768914E0,2.810374156E0,-1.497955493E0,5.223795628E0
1.631442500E-1,3.639630373E0,2.723068795E0,-1.676018997E0,4.844693240E0
1.731062500E-1,3.189971888E0,2.664856839E0,-1.763371722E0,4.515181331E0
1.830672500E-1,2.747684403E0,2.471993448E0,-1.660123634E0,4.051731934E0
1.930292500E-1,2.224995949E0,2.130631828E0,-1.345518581E0,3.361639364E0
2.029902500E-1,1.770359729E0,1.745219041E0,-8.621089442E-1,2.631196477E0
2.129522500E-1,1.294651898E0,1.484340252E0,-3.996916884E-1,2.009761918E0
2.229142500E-1,8.040868771E-1,1.452844225E0,-3.418647721E-2,1.660867473E0
2.328752500E-1,4.875162828E-1,1.424121532E0,3.301222475E-1,1.541030487E0
2.428372500E-1,3.286410016E-1,1.226861619E0,6.461120671E-1,1.425010576E0
2.527982500E-1,1.752053851E-1,7.932174879E-1,7.465327334E-1,1.103268794E0
2.627602500E-1,-7.415146530E-2,3.659129083E-1,7.110190845E-1,8.030808395E-1
2.727212500E-1,-6.046257797E-1,6.260262966E-2,7.676587967E-1,9.791789677E-1
2.826832500E-1,-1.366965584E0,-2.972975868E-1,1.102326597E0,1.781040338E0
2.926452500E-1,-2.190470771E0,-5.812027109E-1,1.280353263E0,2.602933589E0
3.026062500E-1,-2.711526099E0,-1.041992540E0,1.444940689E0,3.244376031E0
3.125682500E-1,-3.028385253E0,-1.240060539E0,1.630775582E0,3.656268094E0
3.225292500E-1,-3.150072535E0,-1.490219042E0,1.596730753E0,3.833178690E0
3.324912500E-1,-2.509189925E0,-1.680824239E0,1.018539651E0,3.187260144E0
3.424532500E-1,-1.614180014E0,-1.524310064E0,2.769603860E-1,2.237365715E0
3.524142500E-1,-6.901801926E-1,-1.209183732E0,-2.486727262E-1,1.414323909E0
3.623762500E-1,2.014938819E-1,-9.619874275E-1,-5.386905295E-1,1.120806443E0
3.723372500E-1,8.786676742E-1,-8.798533434E-1,-5.945583361E-1,1.378295470E0
3.822992500E-1,9.354100782E-1,-1.010774256E0,-7.177755421E-1,1.553015885E0
