"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.164125093E-3,3.642885518E-1,3.508446336E-1,6.575544834E-2,5.100214553E-1
1.212412503E-2,5.443491724E-1,4.320916951E-1,-2.231923145E-1,7.299548368E-1
2.208512509E-2,7.335349578E-1,4.783887792E-1,-5.144503123E-1,1.015671444E0
3.204512503E-2,8.153427672E-1,4.574083847E-1,-8.139332959E-1,1.239553818E0
4.200512508E-2,1.212203234E0,5.501738763E-1,-1.063039008E0,1.703578559E0
5.196612503E-2,1.707623490E0,8.086640775E-1,-1.083642842E0,2.178117854E0
6.192612508E-2,2.480305849E0,1.274781305E0,-1.230048059E0,3.047950575E0
7.188612502E-2,3.765418307E0,1.986050066E0,-1.592158231E0,4.545078407E0
8.184712508E-2,5.011199470E0,2.640117854E0,-1.782749687E0,5.938058509E0
9.180712502E-2,5.605963043E0,3.011403769E0,-1.448530734E0,6.526378443E0
1.017671251E-1,5.852243088E0,3.019436089E0,-1.189732092E0,6.691876113E0
1.117281250E-1,5.471736699E0,2.731667125E0,-1.174183468E0,6.227408338E0
1.216850417E-1,4.753869064E0,2.486732524E0,-1.206250476E0,5.498922615E0
1.316450418E-1,4.183963758E0,2.343372830E0,-1.324106078E0,4.974957874E0
1.416060417E-1,3.800354836E0,2.194972835E0,-1.361033876E0,4.594890188E0
1.515660417E-1,3.962329434E0,2.367128897E0,-1.242154719E0,4.779780550E0
1.615260417E-1,4.883035519E0,2.781430439E0,-1.033621082E0,5.713909669E0
1.714870417E-1,5.534263315E0,3.241575320E0,-3.024244255E-1,6.420852088E0
1.814470417E-1,5.121482635E0,3.419863358E0,4.073936409E-1,6.171792231E0
1.914070417E-1,3.978866822E0,3.361585913E0,7.341094467E-1,5.260281144E0
2.013680417E-1,3.139142627E0,3.678104467E0,1.321837943E0,5.012975609E0
2.113280417E-1,2.623713783E0,4.111224688E0,2.257909926E0,5.374402263E0
2.212880417E-1,1.986378241E0,3.392493126E0,2.705383014E0,4.772190836E0
2.312490417E-1,1.824780642E0,2.815790432E0,3.711532122E0,5.003395931E0
2.412090417E-1,1.668199077E0,2.184476498E0,5.638925552E0,6.273141726E0
2.511690417E-1,1.554815865E0,1.186451511E0,8.240178718E0,8.469100594E0
2.611300417E-1,1.529156821E0,5.807103753E-2,1.098452904E1,1.109060733E1
2.710900417E-1,1.317100236E0,-1.150636731E0,1.311818271E1,1.323425236E1
2.810500417E-1,1.231766994E0,-2.215138713E0,1.454829237E1,1.476742701E1
2.910110417E-1,1.797757443E0,-3.110395376E0,1.513777357E1,1.555823512E1
3.009710417E-1,2.416729658E0,-4.096002631E0,1.559168591E1,1.630087388E1
3.109310417E-1,2.779963372E0,-5.174863036E0,1.648012472E1,1.749576847E1
3.208920417E-1,2.791701073E0,-6.430335665E0,1.699207885E1,1.838133715E1
3.308520417E-1,2.728373973E0,-7.576639025E0,1.651651428E1,1.837511163E1
3.408120418E-1,3.128560336E0,-8.673575512E0,1.538518213E1,1.793662820E1
3.507730417E-1,3.468851330E0,-9.673473946E0,1.419868267E1,1.752745325E1
3.607330418E-1,3.464856513E0,-1.089664656E1,1.300544956E1,1.731715494E1
3.706930417E-1,3.462956752E0,-1.195005169E1,1.157443358E1,1.699303732E1
3.806540418E-1,2.615474472E0,-1.300459236E1,9.586952112E0,1.636672783E1
3.906140417E-1,1.455265264E0,-1.383438710E1,7.210693957E0,1.566850889E1
4.005740418E-1,3.886805043E-1,-1.454691009E1,5.015041675E0,1.539202094E1
4.105350417E-1,-2.544480211E-1,-1.454469400E1,3.156963771E0,1.488553954E1
4.204950418E-1,-4.477705653E-1,-1.425139415E1,1.586550751E0,1.434642384E1
4.304550417E-1,-7.179595833E-1,-1.360124107E1,-4.730806768E-2,1.362025928E1
4.404160418E-1,-9.793022025E-1,-1.299718160E1,-1.993973628E0,1.318566241E1
4.503760417E-1,-1.206608545E0,-1.257488750E1,-3.917889426E0,1.322624502E1
4.603360418E-1,-1.464354469E0,-1.218499282E1,-5.539266193E0,1.346483769E1
4.702970417E-1,-1.546093866E0,-1.165215126E1,-6.850296142E0,1.360476359E1
4.802570418E-1,-1.527050361E0,-1.117164111E1,-7.850764096E0,1.373943029E1
4.902170417E-1,-1.319972973E0,-1.051752128E1,-8.334943957E0,1.348450493E1
5.001780418E-1,-9.769120069E-1,-1.003684975E1,-8.384328371E0,1.311448330E1
5.101380417E-1,-6.292163913E-1,-9.795303608E0,-8.960728179E0,1.329054309E1
5.200980417E-1,-5.429357542E-1,-9.625879365E0,-1.015883787E1,1.400551033E1
5.300590417E-1,-6.744637540E-1,-9.396925789E0,-1.172299963E1,1.503947592E1
5.400190417E-1,-9.364845040E-1,-8.977761118E0,-1.359063422E1,1.631510149E1
5.499790417E-1,-1.198533321E0,-8.434265932E0,-1.494788758E1,1.720501866E1
5.599400417E-1,-1.356099995E0,-8.160889304E0,-1.583423660E1,1.786511041E1
5.699000417E-1,-1.242521339E0,-7.979603984E0,-1.594841869E1,1.787652085E1
5.798600417E-1,-8.674782231E-1,-7.448778545E0,-1.477649984E1,1.657050898E1
5.898210417E-1,-4.280543388E-1,-6.892981986E0,-1.275606347E1,1.450563982E1
5.997810417E-1,3.691851564E-2,-6.198607585E0,-1.048955639E1,1.218420667E1
6.097410417E-1,5.311730567E-1,-5.178206474E0,-8.248368913E0,9.753540733E0
6.197020417E-1,1.061936589E0,-3.897186189E0,-6.320208036E0,7.500719908E0
6.296620417E-1,1.460384648E0,-2.696004372E0,-4.982465667E0,5.850309993E0
6.396220417E-1,1.437251016E0,-1.572516848E0,-4.145471830E0,4.660840741E0
6.495830417E-1,1.407577858E0,-1.469019377E-1,-3.820364301E0,4.074069096E0
6.595430417E-1,1.448686416E0,1.325389541E0,-3.951322051E0,4.412289170E0
6.695030418E-1,1.612455816E0,2.379341392E0,-4.109267040E0,5.014713833E0
6.794640417E-1,1.486272318E0,2.697118852E0,-3.976766794E0,5.029724609E0
6.894240418E-1,8.806555083E-1,2.450502006E0,-3.318703018E0,4.218329519E0
6.993840417E-1,4.372311053E-1,2.027492207E0,-2.273616716E0,3.077536135E0
7.093450418E-1,2.163456635E-1,1.659055055E0,-7.852050483E-1,1.848192655E0
7.193050417E-1,2.070612352E-1,1.652108563E0,9.947461608E-1,1.939550717E0
7.292650418E-1,7.360133732E-1,2.233251048E0,2.455486173E0,3.399785033E0
7.392260417E-1,2.410174052E0,2.897648528E0,3.679556916E0,5.267299597E0
7.491860418E-1,3.934271862E0,3.204703948E0,5.386601239E0,7.400276711E0
7.591460417E-1,4.804844797E0,3.109673830E0,6.847735062E0,8.924577319E0
7.691070418E-1,5.044684719E0,2.045917953E0,8.160716811E0,9.809787106E0
7.790670417E-1,4.986556379E0,5.416632539E-1,1.068960718E1,1.180791451E1
7.890270418E-1,5.027977470E0,-7.969982976E-1,1.434575769E1,1.522223792E1
7.989880417E-1,4.747130732E0,-1.455604695E0,1.801810265E1,1.868973136E1
