"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.388735000E-3,-6.995810270E-1,4.887475967E-1,-3.059082031E-1,9.065691675E-1
2.521439000E-2,-5.616310835E-1,2.079515457E-1,-1.598172665E0,1.706701258E0
4.201956600E-2,-1.235837460E0,2.831306458E-1,-8.029373884E-1,1.500721706E0
5.884157800E-2,-1.058261156E0,1.102560997E0,2.533929348E-1,1.549117622E0
7.562580800E-2,-8.155435324E-2,8.161525726E-1,1.432820320E0,1.650978560E0
9.242129100E-2,2.175126374E-1,7.557802200E-1,1.579577923E0,1.764534472E0
1.092481240E-1,3.052476645E-1,3.033676147E-1,1.172257423E0,1.248757588E0
1.260408590E-1,1.000029325E0,-1.127958298E-1,1.358974457E0,1.691033153E0
1.428609900E-1,1.696540236E0,2.104291916E-1,6.466007233E-1,1.827736774E0
1.596858090E-1,1.177690744E0,2.897939682E-1,2.629394531E-1,1.240996853E0
1.764630920E-1,1.492707133E0,2.243611336E0,5.443379879E-1,2.749230848E0
1.932772610E-1,-1.613856435E0,5.609827042E-1,-7.671800852E-1,1.872912029E0
2.100761710E-1,-1.327299833E0,-1.345293999E0,-2.890412807E-1,1.911827830E0
2.268821300E-1,5.193339586E-1,-1.003933907E0,-1.000305176E0,1.509371225E0
2.436850780E-1,2.935213149E-1,-2.153348446E0,3.661155701E-3,2.173264295E0
2.604936420E-1,-4.027848542E-1,-1.833942890E0,-1.311382771E0,2.290263508E0
2.772926940E-1,5.269353837E-2,-4.424428940E-1,-1.832103372E0,1.885506586E0
2.941050620E-1,-8.697603345E-1,-5.791940689E-1,-4.221427441E-1,1.127010783E0
3.109056100E-1,-1.903447509E-2,-1.245619774E0,-1.023034334E0,1.611995714E0
3.277082940E-1,3.244214356E-1,2.021722794E-1,3.864061832E-1,5.435371532E-1
3.445163900E-1,-1.839658618E-2,1.103037834E0,7.949557304E-1,1.359774066E0
3.613190740E-1,3.672443032E-1,7.557992935E-1,-2.423212528E-1,8.745401877E-1
3.781261010E-1,1.537823677E-2,1.198834419E0,-1.331905246E0,1.792041305E0
3.949220000E-1,-2.319415808E-1,2.885332108E-1,-7.571672201E-1,8.428229410E-1
4.117324870E-1,-1.923841834E-1,-6.777944565E-1,-3.540537357E-1,7.885246014E-1
4.285368380E-1,-1.653434038E-1,-1.136507034E0,-1.478457451E-2,1.148566613E0
4.453394710E-1,4.474519491E-1,-1.994642258E0,8.564984798E-1,2.216393609E0
4.621559810E-1,1.200317740E-1,-1.379082203E0,5.376396179E-1,1.485035928E0
4.789418900E-1,5.725038052E-1,-1.078262329E0,-1.115700722E0,1.653843511E0
4.957506970E-1,-8.997368813E-2,2.299871445E-1,-1.244866848E-1,2.765615408E-1
5.125460980E-1,6.510812044E-2,4.390716553E-1,-2.193877697E-1,4.951302650E-1
5.293546820E-1,-5.654731393E-1,1.639928818E-1,-2.049088478E-1,6.234109178E-1
5.461579560E-1,-1.332953930E0,2.556514740E-1,-8.314695358E-1,1.591686352E0
5.629781160E-1,-1.260766387E-1,-3.703775406E-1,-1.837575436E-1,4.322518666E-1
5.797699970E-1,5.627015233E-1,1.292839050E-1,5.018978119E-1,7.650155201E-1
5.965860980E-1,1.056830406E0,-4.659919739E-1,-1.741425991E-1,1.168060218E0
6.133829140E-1,-3.643777966E-2,-5.508909225E-1,-1.294915676E-1,5.670772314E-1
6.301938160E-1,1.605817974E-1,-9.957599640E-2,1.123638153E0,1.139414144E0
6.469879340E-1,-2.237893641E-1,4.619617462E-1,1.310456753E0,1.407404432E0
6.638086960E-1,1.562857509E0,-1.249255657E0,5.044732094E-1,2.063408953E0
6.806101790E-1,6.168735027E-1,-1.158962250E0,4.842786789E-1,1.399375666E0
6.974119870E-1,3.848638237E-1,1.093358994E-1,4.086315632E-1,5.718865762E-1
7.142211010E-1,-1.077873230E0,1.073032379E0,-1.845743656E-1,1.532082531E0
7.310249650E-1,-1.276999116E0,6.114168167E-1,-5.872526169E-1,1.532782731E0
7.478265910E-1,-1.422615945E-1,-8.619318008E-1,-1.508502960E0,1.743199923E0
7.646359270E-1,3.612972736E0,-2.050405979E0,3.291812420E0,5.300355241E0
7.814236070E-1,-6.609553099E-1,1.442653656E0,2.808455229E0,3.225760727E0
7.982421190E-1,-1.432733059E0,2.972545624E0,1.395583391E0,3.582792836E0
8.150508960E-1,1.025626659E0,1.778184891E0,-1.691244245E0,2.659729055E0
