"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.021315600E-2,-8.673739433E-2,3.872346878E-1,-6.606445312E-1,7.706654759E-1
2.686373200E-2,-1.461575031E-1,4.786205292E-1,-1.635303497E-1,5.264805808E-1
4.367980300E-2,1.083147526E-1,5.362920761E-1,-5.114059448E-1,7.489174300E-1
6.048501100E-2,-2.440767288E-1,7.362642288E-1,-1.466822624E-1,7.894138017E-1
7.728670700E-2,8.737564087E-3,6.286640167E-1,1.705303192E-1,6.514410033E-1
9.409526100E-2,3.595844507E-1,4.290242195E-1,1.051216125E-1,5.695729203E-1
1.108974260E-1,8.082963824E-1,2.946729660E-1,2.369656563E-1,8.923720754E-1
1.277049630E-1,1.196860790E0,5.755438805E-1,1.630579948E0,2.102978240E0
1.445057440E-1,-3.415530920E-1,1.672242165E0,-7.768535614E-2,1.708533695E0
1.613123540E-1,7.759979963E-1,1.053536892E0,-3.972125053E-1,1.367439449E0
1.781171440E-1,1.071810126E0,7.880115509E-2,-4.044027328E-1,1.148271805E0
1.949211090E-1,1.359811425E0,-1.073920727E0,-6.475992203E-1,1.849804744E0
2.117264690E-1,1.343447924E0,-1.432320595E0,-1.286900043E0,2.347872725E0
2.285290010E-1,1.546830177E0,-1.675942898E0,-1.647160053E0,2.813290677E0
2.453356520E-1,-1.684599817E-1,-1.819311142E0,-9.284901619E-1,2.049479392E0
2.621396980E-1,-1.273111582E0,3.628888130E-1,-4.225435257E-1,1.389620244E0
2.789446310E-1,1.333773613E0,-8.317751884E-1,-2.326763153E0,2.807958117E0
2.957485250E-1,7.110235691E-1,-8.535223007E-1,1.150798798E-1,1.116825059E0
3.125544950E-1,5.477113724E-1,-1.858906746E0,7.806525230E-1,2.089243978E0
3.293578500E-1,-3.449404240E-1,-1.497885704E0,2.015205383E0,2.534501571E0
3.461630870E-1,-2.125563145E0,2.233791351E-1,-3.917280436E0,4.462398787E0
3.629666970E-1,5.483269691E-1,-8.657097816E-1,-3.888998032E-1,1.096065212E0
3.797733900E-1,1.697276592E0,-8.907198906E-1,1.480521202E0,2.421997685E0
3.965767450E-1,-1.707694530E-1,3.985948563E-1,2.287042141E0,2.327789041E0
4.133710460E-1,1.280349016E0,-1.658055782E0,-6.948108673E-1,2.207080588E0
4.301861310E-1,1.650590658E0,-1.590550423E0,-4.149214745E0,4.740283026E0
4.469833000E-1,1.930408955E0,-2.370889664E0,-5.103086948E0,5.948873249E0
4.637947940E-1,8.858194351E-1,-4.311444283E0,-5.163693428E-1,4.431688749E0
4.805987100E-1,1.818620682E0,-1.120815754E0,1.055545092E0,2.382810227E0
4.974037940E-1,1.399859428E0,1.255195141E0,2.214371204E0,2.904920152E0
5.142095290E-1,2.438049316E-1,1.228013039E0,9.940123558E-1,1.598598584E0
5.310135970E-1,8.680105209E-2,2.727567196E0,-1.700847626E0,3.215593239E0
5.478236860E-1,3.137512207E-1,2.916138172E0,-1.463439703E0,3.277797650E0
5.646229320E-1,5.589809418E-1,1.270586967E0,1.381752014E0,1.958593772E0
5.814283210E-1,4.306278229E-1,-2.697639465E-1,3.740029335E0,3.774391651E0
5.982318500E-1,-2.100462914E-1,-9.041175842E-1,2.917905807E0,3.061980136E0
6.150375050E-1,-9.960341454E-1,-8.656105995E-1,1.253118873E0,1.819800164E0
6.318389370E-1,-1.221742153E0,1.972174644E-1,-6.575384140E-1,1.401394086E0
6.486483950E-1,-6.380691528E-1,-5.409750938E-1,-1.209878683E0,1.470915607E0
6.654489030E-1,3.961820602E-1,-2.247506857E0,-2.517026424E0,3.397597580E0
6.822450250E-1,1.493891716E0,-2.576858521E0,-9.690065384E0,1.013751841E1
6.990567330E-1,2.699468613E0,-3.058468819E0,-1.846970749E1,1.891484753E1
7.158680630E-1,3.741798401E0,-2.717588902E0,-2.414012337E1,2.457909479E1
7.326687530E-1,5.485420227E0,-3.648173809E0,-2.507743645E1,2.592830164E1
