"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.883580900E-2,-1.665945053E-1,2.241802216E-2,-7.390921116E-1,7.579666525E-1
3.563661100E-2,-6.757408381E-1,3.107786179E-1,-5.017056465E-1,8.971719931E-1
5.245518500E-2,-8.638774157E-1,8.504285812E-1,5.817270279E-2,1.213629690E0
6.927101200E-2,-6.526221037E-1,9.700298309E-1,5.794343948E-1,1.304843937E0
8.606489600E-2,7.096350789E-1,3.354825974E-1,8.674027920E-1,1.169836793E0
1.028696560E-1,1.415004134E-1,5.798101425E-1,1.394856215E0,1.517176993E0
1.196907920E-1,4.165890813E-1,5.212593079E-1,7.555906773E-1,1.008055058E0
1.364667630E-1,4.785919189E-1,2.789306641E-1,1.566045046E0,1.661129021E0
1.532866080E-1,6.439130306E-1,1.107351303E0,1.351701498E0,1.862242691E0
1.700736270E-1,8.593599796E-1,8.980464935E-2,2.045903206E-1,8.879311059E-1
1.868932370E-1,7.406748533E-1,-1.368188858E-1,-4.604694843E-1,8.828084684E-1
2.037016900E-1,8.683304191E-1,-1.051263809E-1,-5.299925804E-2,8.762751817E-1
2.205002840E-1,2.576706707E-1,9.968404770E-1,-2.045445442E-1,1.049725479E0
2.373102000E-1,-8.557295203E-1,-5.330572128E-1,-1.371815205E-1,1.017468316E0
2.541085410E-1,-1.263477325E0,-1.053477287E0,6.171417236E-2,1.646207152E0
2.709008700E-1,-8.024942875E-1,-8.094511032E-1,-1.544573307E-1,1.150245729E0
2.877289430E-1,-3.184497952E-1,-1.909313202E0,-6.808235645E-1,2.051927850E0
3.045264100E-1,3.197515011E-1,-1.239028931E0,-9.008786678E-1,1.564933253E0
3.213346260E-1,2.251599729E-1,4.034328461E-2,-1.063414812E0,1.087738781E0
3.381358050E-1,-1.828737259E-1,-6.477203369E-1,6.156535149E-1,9.121478415E-1
3.549460160E-1,-8.766815662E-1,-2.692956924E-1,8.370292187E-1,1.241655609E0
3.717379990E-1,4.964689910E-2,3.584432602E-1,3.872680664E-1,5.300216417E-1
3.885510690E-1,2.144836485E-1,-2.653627396E-1,-2.101433277E-1,4.007253888E-1
4.053545060E-1,3.444843888E-1,-1.786699295E-1,-5.322437286E-1,6.586925114E-1
4.221575970E-1,5.449216366E-1,4.305839539E-1,-2.645742893E-1,7.431969362E-1
4.389498230E-1,9.132683277E-1,1.202275276E0,-3.007690430E0,3.365371688E0
4.557584280E-1,6.657435894E-1,1.488215446E0,-2.441233158E0,2.935578150E0
4.725604910E-1,1.337778687E0,6.003942490E-1,-8.204965591E-1,1.680279642E0
4.893561660E-1,1.083844066E0,-4.726762772E-1,-7.949645519E-1,1.424819097E0
5.061717690E-1,6.456245184E-1,5.311222076E-1,-2.306994200E-1,8.672623828E-1
5.229748300E-1,4.459784329E-1,5.820055008E-1,8.962264061E-1,1.157950317E0
5.397912870E-1,7.079153061E-1,-9.846305847E-2,1.435693741E0,1.603762941E0
5.565977440E-1,3.907312453E-1,-6.989841461E-1,1.476338983E0,1.679531641E0
5.734151800E-1,9.449887276E-1,-1.550803185E0,3.509487391E0,3.951518184E0
5.902075990E-1,-8.295165896E-1,-8.364162445E-1,-1.263380170E0,1.727373544E0
6.070092050E-1,-1.273696423E0,-6.590394974E-1,-5.637726784E-1,1.540933246E0
6.238147470E-1,-1.106220603E0,-1.163098335E0,7.907756567E-1,1.789370811E0
6.406234940E-1,-1.127814293E0,-1.506996155E-2,9.039645195E-1,1.445456342E0
6.574241630E-1,-8.722935915E-1,5.122509003E-1,4.526057243E-1,1.108218858E0
6.742268280E-1,-6.501668692E-1,-4.449367523E-2,3.360263109E-1,7.332191531E-1
6.910234280E-1,-5.676773787E-1,-5.682306290E-1,-6.861307025E-1,1.056370671E0
7.078398550E-1,-5.962373614E-1,-1.918983459E-1,-1.091705799E0,1.258628427E0
7.246456320E-1,-7.071750164E-1,-4.344043732E-1,-6.810172200E-1,1.073586567E0
7.414449590E-1,6.912875175E-2,-8.229589462E-1,-2.009537220E-1,8.499544752E-1
7.582564920E-1,-1.088739872E0,1.605673790E0,-8.767076731E-1,2.128886839E0
7.750523000E-1,5.469912291E-2,-1.122283936E-1,-2.410551906E-1,2.714678826E-1
7.918635290E-1,-7.463443279E-2,-3.068971634E-1,8.162204623E-1,8.751982693E-1
