"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.162500358E-5,2.486627585E-2,-3.248636957E-2,-3.666145742E-2,5.493412730E-2
9.888375003E-3,2.198846817E-2,-2.273396989E-2,-4.578896105E-2,5.565029266E-2
1.983837501E-2,2.103793931E-2,-1.066522085E-2,-5.814471245E-3,2.429300109E-2
2.978937500E-2,-1.404574290E-3,-9.095572354E-4,-4.233384132E-4,1.726076103E-3
3.973937500E-2,-1.542805666E-2,6.177770630E-3,2.591719866E-2,3.078783800E-2
4.968937501E-2,-7.310216418E-3,7.934609971E-3,-4.921016693E-3,1.185806497E-2
5.963937499E-2,1.812696238E-3,2.734745730E-2,-5.955389142E-2,6.555787727E-2
6.958937499E-2,-1.099203452E-3,1.430600567E-2,-1.209847391E-2,1.876814102E-2
7.954037501E-2,-1.477990194E-2,1.888203664E-2,1.095125020E-2,2.636108286E-2
8.949037499E-2,-1.229543371E-2,2.891029014E-2,-7.297325134E-4,3.142475259E-2
9.944037499E-2,4.357564375E-3,3.228845046E-2,-2.303393662E-2,3.990106059E-2
1.093903750E-1,3.930178592E-3,4.055065982E-2,-3.395828962E-2,5.303741839E-2
1.193413750E-1,3.020255906E-3,2.555859532E-2,1.371172071E-3,2.577292869E-2
1.292913750E-1,-9.358843239E-3,2.111292756E-2,1.379358172E-2,2.689993595E-2
1.392413750E-1,-7.707013953E-3,9.201811238E-3,-1.360120833E-2,1.814012850E-2
1.491913750E-1,1.986664608E-3,5.367031340E-3,-2.258194685E-2,2.329584051E-2
1.591423750E-1,1.171646800E-2,-6.573981161E-3,-2.257902324E-2,2.627365870E-2
1.690923750E-1,9.576916974E-4,-1.141127989E-2,-6.262367964E-3,1.305188625E-2
1.790423750E-1,4.808992264E-3,-3.729715026E-3,9.215211868E-4,6.155191473E-3
1.889923750E-1,1.458047991E-2,-4.747347536E-3,-2.168089092E-2,2.655538992E-2
1.989423750E-1,1.323215766E-2,-2.137177878E-3,-1.733757913E-2,2.191458819E-2
2.088933750E-1,1.922219612E-2,1.185639918E-2,-5.061349869E-3,2.314485445E-2
2.188433750E-1,1.792895190E-2,1.464637529E-2,-8.953256607E-3,2.482185386E-2
2.287933750E-1,1.601377408E-2,1.517507778E-2,-1.808543801E-2,2.852730296E-2
2.387433750E-1,6.289603198E-3,3.023269277E-2,-2.317543924E-2,3.860927097E-2
2.486943750E-1,1.243249610E-2,2.942400914E-2,-2.033018410E-2,3.786364561E-2
2.586443750E-1,3.483524406E-3,1.935589408E-2,-2.665160894E-3,1.984662844E-2
2.685943750E-1,3.378365887E-4,2.009352490E-2,-6.407378912E-3,2.109308847E-2
2.785443750E-1,-1.598540138E-2,9.958749292E-3,-1.538928688E-2,2.432159319E-2
2.884943750E-1,-5.357049960E-3,6.441169423E-3,-1.942971289E-2,2.115893170E-2
2.984453750E-1,-1.591926845E-2,-7.021772813E-3,-1.972792089E-2,2.630435827E-2
3.083953750E-1,-1.919635874E-2,-9.326724666E-3,-9.549087882E-3,2.338104063E-2
3.183453750E-1,-1.808570753E-2,-1.410050344E-2,-1.673356175E-2,2.838889049E-2
3.282953750E-1,-2.287141143E-2,-6.297912640E-3,-1.343982518E-2,2.726525381E-2
3.382463750E-1,-4.541427330E-3,-6.469713429E-3,-2.511963844E-3,8.294077188E-3
3.481963750E-1,2.601449084E-3,-1.183003189E-2,-9.846711159E-3,1.561009009E-2
3.581463750E-1,1.241714259E-2,-5.471707920E-3,-1.029636204E-2,1.703349902E-2
3.680963750E-1,2.490142310E-2,-4.834806807E-3,-7.901927233E-3,2.656871625E-2
3.780473750E-1,2.109217223E-2,4.514619217E-3,-1.643476903E-2,2.711758008E-2
3.879973750E-1,2.273291008E-2,1.212693797E-2,-4.609360099E-3,2.617430087E-2
3.979473750E-1,2.373153229E-2,2.360536947E-2,-1.823161840E-2,3.811549557E-2
4.078973750E-1,1.249545874E-2,2.203705030E-2,-1.463967383E-2,2.925898366E-2
4.178473750E-1,1.601071799E-2,1.753542059E-2,-1.853158057E-2,3.012064980E-2
4.277983750E-1,-1.542614261E-4,1.782184051E-2,-2.646449804E-2,3.190629174E-2
4.377483750E-1,-1.274636367E-2,2.197046285E-2,-9.847880602E-3,2.724246276E-2
4.476983750E-1,-1.302506573E-2,1.778655850E-2,-8.350993395E-3,2.357441603E-2
4.576483750E-1,-1.850507624E-2,1.466016421E-2,-7.752823234E-3,2.484883356E-2
4.675993750E-1,-1.525527143E-2,9.143451001E-3,-1.149445653E-2,2.117660345E-2
4.775493750E-1,-1.083646204E-2,1.210156654E-2,-2.272111058E-2,2.793073018E-2
4.874993750E-1,-3.185659018E-3,6.574632120E-3,-6.405040026E-3,9.715901843E-3
4.974493750E-1,4.611411192E-3,3.096338231E-3,-1.793165624E-2,1.877223266E-2
5.073993750E-1,8.934910968E-3,-5.621565662E-3,-1.359126806E-2,1.720921852E-2
5.173503750E-1,1.291543500E-2,-2.113115215E-2,-2.017874122E-2,3.194551063E-2
5.273003750E-1,2.320405405E-2,-1.122546177E-2,-2.212469459E-2,3.396971043E-2
5.372503750E-1,2.209403325E-2,-1.251902804E-2,-3.264500499E-3,2.560330705E-2
5.472003750E-1,2.692215230E-2,-9.424133340E-3,-8.204228282E-3,2.968039649E-2
5.571513750E-1,1.937399075E-2,-3.659847651E-3,-6.108001471E-3,2.064106791E-2
5.671013750E-1,7.301920680E-3,7.332312497E-3,-2.364614010E-3,1.061471863E-2
5.770513750E-1,-2.103672875E-4,1.827881868E-2,-1.299251318E-2,2.242687819E-2
5.870013750E-1,2.830280783E-3,2.181792818E-2,-1.119566381E-2,2.468552952E-2
5.969523750E-1,-1.100617291E-2,2.915106066E-2,-1.942854345E-2,3.672040959E-2
6.069023750E-1,-1.835385262E-2,1.935802283E-2,-2.840986669E-2,3.897072593E-2
6.168523750E-1,-2.111671683E-2,2.136896937E-2,-2.047636449E-2,3.635698124E-2
6.268023750E-1,-2.105346641E-2,2.177240213E-2,-1.823161840E-2,3.535078290E-2
6.367523750E-1,-1.274843761E-2,1.361137472E-2,-6.107416749E-3,1.962377952E-2
6.467033750E-1,-1.190424585E-2,1.557182964E-2,-6.108001471E-3,2.053048050E-2
6.566533750E-1,3.949163770E-3,5.402100929E-3,-1.613714576E-2,1.746957533E-2
6.666033750E-1,7.813524641E-3,2.059204343E-3,-1.074718237E-2,1.344594432E-2
6.765533750E-1,2.603616666E-2,-3.570707305E-4,-9.998154044E-3,2.789215943E-2
6.865040000E-1,2.571261006E-2,-3.908884220E-3,-7.602549791E-3,2.709642883E-2
6.964540000E-1,2.268748452E-2,-7.535156063E-3,-1.598511815E-2,2.875803424E-2
7.064040000E-1,1.065504304E-2,-5.684498604E-3,-1.179324925E-2,1.687969770E-2
7.163540000E-1,1.019143650E-2,-1.401837976E-3,-2.513133287E-3,1.058991816E-2
7.263050000E-1,6.846788032E-3,-5.743244849E-3,-1.463791966E-2,1.715027871E-2
7.362550000E-1,3.155943286E-4,1.490338782E-3,-1.733114719E-2,1.739797036E-2
7.462050000E-1,-7.133648777E-3,1.149336474E-2,-7.451106906E-3,1.544361914E-2
7.561550000E-1,-1.443240831E-2,3.016697327E-2,-1.747908175E-2,3.773405603E-2
7.661050000E-1,-1.589988585E-2,2.338754699E-2,-5.803361535E-3,2.886975457E-2
7.760560000E-1,-1.272395239E-2,2.345811329E-2,-7.300248742E-3,2.766723107E-2
7.860060000E-1,-1.308346936E-2,2.939880445E-2,-8.048107624E-3,3.316984941E-2
7.959560000E-1,-7.770355744E-3,2.554483380E-2,-2.648788691E-4,2.670181873E-2
8.059060000E-1,-7.724181013E-3,1.485913856E-2,-6.253012419E-3,1.787616109E-2
8.158570000E-1,6.467902162E-3,7.010617421E-3,-1.927593112E-2,2.150683695E-2
8.258070000E-1,1.512908578E-2,-2.085000614E-3,-1.762350798E-3,1.537342982E-2
8.357570000E-1,1.018569892E-2,-7.408157280E-3,-1.718028903E-2,2.130238456E-2
8.457070000E-1,1.703846207E-2,-2.595647093E-2,-1.373803318E-2,3.395263066E-2
8.556580000E-1,1.653281953E-2,-1.605326105E-2,-2.360520959E-3,2.316491682E-2
8.656080000E-1,1.895997591E-2,-1.300115153E-2,-5.653088093E-3,2.367420606E-2
8.755580000E-1,1.093786555E-2,-2.862611774E-3,-8.197796345E-3,1.396550443E-2
8.855080000E-1,7.296708436E-3,1.103616273E-3,-1.193767548E-2,1.403452951E-2
8.954580000E-1,-4.766759835E-4,7.816994141E-3,-1.508055389E-2,1.699281386E-2
9.054090000E-1,-9.568918166E-3,1.396795209E-2,-1.448121428E-2,2.227944002E-2
