"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.745249986E-3,-3.571059783E-1,1.994233829E-1,1.022566921E-1,4.216050242E-1
1.470725000E-2,-3.827489425E-1,2.671698081E-1,1.637647229E-1,4.946669019E-1
2.466825000E-2,-2.840464805E-1,3.283457172E-1,2.008910340E-1,4.783832362E-1
3.462924997E-2,6.451189175E-2,4.570329934E-1,2.598397386E-1,5.296769119E-1
4.459124999E-2,3.676625414E-1,5.312750906E-1,1.541074616E-1,6.642123726E-1
5.455224999E-2,2.762562351E-1,5.801829565E-1,3.752573436E-1,7.441423549E-1
6.451324999E-2,3.644256690E-1,4.827151340E-1,7.447914326E-1,9.594447597E-1
7.447425000E-2,4.990779823E-1,5.107811844E-1,5.593575132E-1,9.071146997E-1
8.443624998E-2,4.162287837E-1,3.468714505E-1,5.164974225E-1,7.485558035E-1
9.439724998E-2,3.436731698E-1,5.599977833E-1,7.779153246E-1,1.018263727E0
1.043582500E-1,3.696745683E-1,5.779148215E-1,8.359343219E-1,1.081402339E0
1.143202500E-1,3.816694003E-1,4.822268915E-1,8.557791871E-1,1.053836953E0
1.242812500E-1,1.890479372E-1,4.276928347E-1,8.377832115E-1,9.594482753E-1
1.342422500E-1,4.079792395E-2,4.284333846E-1,8.249930120E-1,9.305015343E-1
1.442042500E-1,6.188327596E-2,4.003448224E-1,9.327630436E-1,1.016932845E0
1.541652500E-1,2.067984760E-2,3.072530562E-1,1.084800006E0,1.127662693E0
1.641262500E-1,9.662377685E-2,2.891991931E-1,1.066874197E0,1.109591312E0
1.740882500E-1,6.744017735E-2,3.993285763E-1,1.106270397E0,1.178068623E0
1.840492500E-1,1.131893773E-1,4.957327902E-1,1.102578465E0,1.214183720E0
1.940102500E-1,-9.992920786E-2,5.107238817E-1,1.195280222E0,1.303656220E0
2.039712500E-1,-2.127956727E-1,4.794506335E-1,1.243035017E0,1.349181590E0
2.139332500E-1,-4.525785846E-1,4.755862087E-1,1.344318148E0,1.496061797E0
2.238942500E-1,-7.591864005E-1,5.323626727E-1,1.431333488E0,1.705429435E0
2.338552500E-1,-9.648057854E-1,4.410309184E-1,1.671262287E0,1.979514109E0
2.438172500E-1,-1.259992235E0,-1.818694568E-1,2.327925071E0,2.653279493E0
2.537782500E-1,-1.333168385E0,-1.012355343E0,3.312764586E0,3.711685666E0
2.637392500E-1,-5.815500355E-1,4.048670590E-2,4.591078779E0,4.627941656E0
2.737012500E-1,-8.079030624E-1,-2.958164871E-1,5.600830357E0,5.666525870E0
2.836622500E-1,2.338886261E-6,-5.592850077E-1,6.599017312E0,6.622675381E0
2.936232500E-1,-2.437081477E-1,-1.016821446E0,7.153502340E0,7.229516944E0
3.035852500E-1,-7.842268091E-1,-1.733578988E0,7.483815646E0,7.721904196E0
3.135462500E-1,-1.748262224E0,-2.559573044E0,7.774984181E0,8.370078493E0
3.235072500E-1,-1.715839705E0,-1.961138003E0,6.035574349E0,6.574064640E0
3.334692500E-1,-1.377034781E0,-1.954141225E0,4.472102559E0,5.070955927E0
3.434302500E-1,-1.068302964E0,-2.620492845E0,4.539387054E0,5.349232543E0
3.533912500E-1,-8.918836972E-1,-3.079668843E0,4.941283143E0,5.890339193E0
3.633532500E-1,-6.936999241E-1,-3.272873127E0,4.574130625E0,5.667061766E0
3.733142500E-1,-4.186831525E-1,-3.622717302E0,4.035382792E0,5.439089125E0
3.832752500E-1,-6.901059330E-2,-4.150283504E0,3.743544751E0,5.589610266E0
3.932372500E-1,2.979325944E-1,-4.621192524E0,3.500774204E0,5.805136020E0
4.031982500E-1,9.099527630E-1,-5.082764127E0,3.305828034E0,6.131150315E0
4.131592500E-1,1.008384207E0,-5.692329342E0,2.530025893E0,6.310347301E0
4.231202500E-1,9.486943674E-1,-6.236121567E0,1.066296492E0,6.397360503E0
4.330822500E-1,5.387297058E-1,-6.265402669E0,-3.203417560E-1,6.296675245E0
4.430432500E-1,4.215871722E-1,-6.167669383E0,-1.568443970E0,6.377922691E0
4.530042500E-1,6.028377011E-1,-6.005478145E0,-2.917465911E0,6.703789107E0
4.629662500E-1,5.572016448E-1,-5.724474410E0,-3.865915280E0,6.930034769E0
4.729272500E-1,4.248794469E-1,-5.559757175E0,-4.321175982E0,7.054359238E0
4.828910000E-1,1.168653756E-1,-5.538679132E0,-4.704916466E0,7.268209064E0
4.928530000E-1,-4.444176257E-3,-5.726807449E0,-4.932621077E0,7.558246754E0
5.028140000E-1,7.575681835E-2,-5.867513092E0,-5.113606435E0,7.783470932E0
5.127750000E-1,3.728167158E-1,-5.985402900E0,-5.354771336E0,8.039752250E0
5.227370000E-1,5.750122637E-1,-6.217502863E0,-5.551642994E0,8.355161332E0
5.326980000E-1,8.746399659E-1,-6.351937952E0,-5.663199098E0,8.554760946E0
5.426590000E-1,1.138123105E0,-6.585813130E0,-5.832791156E0,8.870722149E0
5.526210000E-1,1.217663364E0,-6.864674445E0,-6.129453151E0,9.283138221E0
5.625820000E-1,1.109014496E0,-6.690049104E0,-6.857284150E0,9.644118211E0
5.725430000E-1,9.206938058E-1,-6.278773497E0,-7.844801105E0,1.009017235E1
5.825050000E-1,3.450623220E-1,-6.271346948E0,-8.745983337E0,1.076759421E1
5.924660000E-1,-2.342827284E-1,-6.397932150E0,-9.788561769E0,1.169633984E1
6.024270000E-1,-3.913453728E-1,-6.549172137E0,-1.049458148E1,1.237663312E1
6.123880000E-1,-4.051243365E-1,-6.976399534E0,-1.093012187E1,1.297311991E1
6.223500000E-1,-4.999825466E-1,-7.091110210E0,-1.174253050E1,1.372664741E1
6.323110000E-1,-1.088195484E0,-7.075960659E0,-1.333102720E1,1.513174395E1
6.422720000E-1,-2.275309485E0,-7.687823830E0,-1.534849085E1,1.731634603E1
6.522340000E-1,-3.257825317E0,-8.809070116E0,-1.719178466E1,1.959006385E1
6.621950000E-1,-3.416819297E0,-1.018987255E1,-1.811710069E1,2.106507759E1
6.721560000E-1,-2.937275693E0,-1.166351240E1,-1.820867627E1,2.182248843E1
6.821180000E-1,-1.608695911E0,-1.286900829E1,-1.808721440E1,2.225638339E1
6.920790000E-1,1.947169590E-1,-1.441785269E1,-1.801637772E1,2.307601042E1
7.020400000E-1,3.120357862E0,-1.582628205E1,-1.782007967E1,2.403670269E1
7.120020000E-1,7.396647109E0,-1.687746173E1,-1.715990330E1,2.517978126E1
7.219630000E-1,1.284557382E1,-1.685495580E1,-1.501017914E1,2.596928531E1
7.319240000E-1,1.813202863E1,-1.500145042E1,-1.179493091E1,2.632364663E1
7.418860000E-1,2.212919694E1,-1.178788384E1,-9.906856788E0,2.695925396E1
7.518470000E-1,2.582956527E1,-8.240026106E0,-1.021612187E1,2.897298083E1
7.618080000E-1,2.895675443E1,-6.691288129E0,-1.114143556E1,3.173954238E1
7.717700000E-1,3.169926697E1,-6.922482943E0,-1.093344308E1,3.423893214E1
7.817310000E-1,2.993849726E1,-5.371651078E0,-9.296878760E0,3.180566315E1
7.916920000E-1,2.464706881E1,-4.350936848E0,-1.052373102E1,2.715064580E1
8.016540000E-1,1.925694521E1,-5.402829017E0,-1.383042737E1,2.431668607E1
8.116150000E-1,1.516117881E1,-7.315754389E0,-1.555396786E1,2.291958816E1
8.215760000E-1,1.579210858E1,-9.608663408E0,-1.297209236E1,2.258300879E1
8.315370000E-1,1.857224094E1,-1.207097094E1,-5.268055374E0,2.276815496E1
8.414990000E-1,1.603478440E1,-1.104354966E1,6.677348367E0,2.058303382E1
8.514600000E-1,1.026558113E1,-8.375171632E0,1.695884679E1,2.152041217E1
8.614210000E-1,4.691738012E0,-4.573476906E0,2.163403601E1,2.260443785E1
8.713830000E-1,2.735587099E0,-1.606651724E0,2.011901542E1,2.036761026E1
8.813440000E-1,3.144250462E0,-9.269614363E-1,1.452133437E1,1.488672967E1
8.913050000E-1,1.621131915E0,-6.276939225E-1,9.428809487E0,9.587727399E0
9.012670000E-1,7.292303838E-2,-7.838894248E-1,5.734206516E0,5.787998338E0
9.112280000E-1,1.326711304E-2,-7.527366292E-1,3.206433554E0,3.293630912E0
9.211890000E-1,7.302391016E-1,-3.084932506E-1,1.266601635E0,1.494221180E0
9.311510000E-1,7.405003072E-1,-3.343186480E-1,1.242141563E-1,8.219116863E-1
