"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.937749989E-3,2.154924086E-1,1.878751320E-1,-2.913550615E-2,2.873724432E-1
1.289874999E-2,3.071337730E-1,2.661202329E-1,-1.504412574E-1,4.333401721E-1
2.285975000E-2,2.612398544E-1,2.635176373E-1,-3.028208667E-1,4.789449697E-1
3.282075000E-2,2.635524282E-1,2.656846154E-1,-3.788674146E-1,5.325304828E-1
4.278274998E-2,3.051778793E-1,2.995762467E-1,-3.054035819E-1,5.255005361E-1
5.274374998E-2,4.216278103E-1,1.141967064E-1,-1.490104437E-2,4.370731510E-1
6.270474999E-2,-8.454050571E-2,3.556685865E-1,2.712932646E-1,4.552441938E-1
7.266675000E-2,-9.543036014E-2,1.334539264E-1,3.640599257E-1,3.993200892E-1
8.262774997E-2,2.198532620E-1,3.338608110E-1,1.020446720E0,1.095951644E0
9.258874998E-2,6.538499799E-1,5.222247702E-1,1.507177137E0,1.723897163E0
1.025497500E-1,6.992310977E-1,6.913782871E-1,1.174131428E0,1.531506668E0
1.125117500E-1,8.250082147E-1,8.393713152E-1,1.333988457E0,1.778962608E0
1.224727500E-1,9.959158963E-1,9.387067384E-1,1.678819814E0,2.165976634E0
1.324337500E-1,9.706471539E-1,1.029871262E0,1.940065808E0,2.401384195E0
1.423957500E-1,7.435380819E-1,9.490071934E-1,2.242089114E0,2.545668307E0
1.523567500E-1,4.221870965E-1,7.778825802E-1,2.640859281E0,2.785225484E0
1.623177500E-1,8.212531328E-2,5.216517431E-1,3.126175842E0,3.170463768E0
1.722787500E-1,-3.184618762E-1,2.758523387E-1,3.656795459E0,3.680987029E0
1.822407500E-1,-4.838068092E-1,7.000871301E-2,4.480014426E0,4.506606207E0
1.922017500E-1,-5.271747306E-1,-1.466984546E-1,5.534002529E0,5.560990706E0
2.021627500E-1,-5.489231569E-1,-3.788405174E-1,6.493442910E0,6.527605809E0
2.121247500E-1,-4.599481228E-1,-5.795900488E-1,7.126781150E0,7.165088028E0
2.220857500E-1,-6.582576111E-1,-8.592150110E-1,7.221931136E0,7.302591516E0
2.320467500E-1,-8.287168112E-1,-1.089516955E0,6.881311528E0,7.016143321E0
2.420087500E-1,-8.538908288E-1,-1.219409927E0,6.323799981E0,6.496655779E0
2.519697500E-1,-9.173886672E-1,-1.277222518E0,5.699536035E0,5.912496118E0
2.619307500E-1,-1.216351249E0,-1.513652344E0,4.987281434E0,5.351974391E0
2.718917500E-1,-1.647589835E0,-1.986188645E0,4.435506590E0,5.131590037E0
2.818537500E-1,-2.004321007E0,-2.383336794E0,3.814478493E0,4.924209901E0
2.918147500E-1,-2.173888506E0,-2.680454287E0,3.019929594E0,4.585913342E0
3.017757500E-1,-2.238542924E0,-3.032862466E0,2.325494968E0,4.429137163E0
3.117377500E-1,-2.106965223E0,-3.390124419E0,1.754072310E0,4.359932992E0
