"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.964500036E-3,3.549458706E-1,2.441990215E-1,-7.024831729E-1,8.240766599E-1
1.392549998E-2,4.415627226E-1,3.516199744E-1,-7.016635394E-1,9.005253838E-1
2.388550004E-2,6.234742793E-1,2.609290749E-1,-8.240760224E-1,1.065788652E0
3.384549997E-2,1.156296251E0,4.503700912E-1,-5.207408930E-1,1.345743407E0
4.380550003E-2,1.843657793E0,7.835988182E-1,8.374440730E-2,2.005022267E0
5.376649997E-2,2.523020637E0,8.795902187E-1,5.934573054E-1,2.737061136E0
6.372650003E-2,3.005540474E0,9.897769046E-1,9.076463288E-1,3.291922496E0
7.368649996E-2,3.132917974E0,9.986886460E-1,1.032624570E0,3.446573305E0
8.364750003E-2,3.108002403E0,1.051491927E0,1.109846554E0,3.463679198E0
9.360749996E-2,2.977011909E0,9.856090093E-1,1.156178576E0,3.342270773E0
1.035675000E-1,2.892799724E0,9.792530859E-1,1.371108336E0,3.347710399E0
1.135285000E-1,2.909933820E0,8.511844450E-1,1.903395579E0,3.579824651E0
1.234885000E-1,2.720006608E0,6.496660048E-1,2.667003352E0,3.864376889E0
1.334485000E-1,2.258518182E0,3.512387359E-1,3.211937538E0,3.942184138E0
1.434085000E-1,1.581950746E0,-3.463890553E-3,3.553174027E0,3.889424871E0
1.533695000E-1,7.063547605E-1,-4.500835776E-1,3.880212307E0,3.969579300E0
1.633295000E-1,-3.539758176E-1,-9.810815102E-1,3.968956961E0,4.103710414E0
1.732894999E-1,-1.222021294E0,-1.504308493E0,3.804745803E0,4.269938022E0
1.832505000E-1,-1.950105038E0,-2.093845825E0,3.639154994E0,4.629314104E0
1.932104999E-1,-2.677156457E0,-2.562193766E0,3.403893442E0,5.031748618E0
2.031705000E-1,-3.106339163E0,-2.962524555E0,2.905737566E0,5.183551440E0
2.131304999E-1,-3.560406741E0,-3.605748097E0,2.550290589E0,5.672909094E0
2.230915000E-1,-4.683843101E0,-3.963705284E0,2.310112551E0,6.556368337E0
2.330514999E-1,-5.476958848E0,-4.331120342E0,1.953536623E0,7.250654245E0
2.430115000E-1,-5.753035719E0,-4.956456082E0,1.602735259E0,7.760968831E0
2.529724999E-1,-5.792498578E0,-5.778651202E0,1.401858843E0,8.301268439E0
2.629325000E-1,-5.523040169E0,-6.491854806E0,1.016581711E0,8.583798105E0
2.728925000E-1,-5.120925395E0,-7.037568426E0,1.904215213E-1,8.705602024E0
2.828525000E-1,-5.202417455E0,-7.462814201E0,-1.093043265E0,9.162613533E0
2.928135000E-1,-5.728058753E0,-7.907118976E0,-2.571495516E0,1.009682013E1
3.027735000E-1,-6.746023915E0,-8.676473392E0,-4.184233607E0,1.176001021E1
3.127335000E-1,-7.461386311E0,-9.716890692E0,-7.172808677E0,1.419645853E1
3.226945000E-1,-6.155401340E0,-1.066304094E1,-1.120795700E1,1.664955578E1
