"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.799999926E-4,-2.800468662E-2,2.251420137E-2,2.130959272E-2,4.177619512E-2
1.053000000E-2,1.226906642E-2,1.994439578E-3,-8.927528858E-3,1.530387375E-2
2.048000001E-2,5.421862691E-3,-3.561219284E-3,-4.125853837E-2,4.176536682E-2
3.043000001E-2,2.975716568E-3,-8.291475135E-3,-2.164990067E-2,2.337352451E-2
4.037999999E-2,-2.157855551E-3,-1.685221912E-2,-3.238772750E-3,1.729575898E-2
5.033000000E-2,-3.532549655E-3,-1.127583462E-2,-3.931316972E-2,4.105056232E-2
6.027900000E-2,7.242233399E-4,-1.240237380E-2,2.899049520E-3,1.275726709E-2
7.022900000E-2,-1.713598724E-2,3.641714430E-3,-3.512247026E-2,3.924910266E-2
8.017900001E-2,-5.019208803E-3,-3.072652440E-3,-3.661877275E-2,3.708865281E-2
9.012900002E-2,5.043502157E-3,8.875433821E-4,-4.884763956E-3,7.077115667E-3
1.000790000E-1,4.463910609E-3,5.399844269E-3,-3.018215775E-2,3.098463269E-2
1.100290000E-1,2.799683399E-3,5.123979030E-3,-6.231962442E-3,8.539949890E-3
1.199780000E-1,1.238897089E-3,-3.851949242E-3,-2.599204302E-2,2.630510747E-2
1.299280000E-1,1.269110749E-3,-6.974006086E-3,-2.359760821E-2,2.463928806E-2
1.398780000E-1,1.508335873E-2,-7.956420542E-3,-4.138074517E-3,1.754810528E-2
1.498280000E-1,5.483116843E-3,4.929417497E-3,-2.479628742E-2,2.586927902E-2
1.597780000E-1,9.624544373E-3,4.246581481E-3,-1.356963336E-2,1.716974835E-2
1.697280000E-1,1.699703364E-3,1.203950839E-3,-1.746270955E-2,1.758649237E-2
1.796770000E-1,3.056380735E-3,3.325864286E-3,-1.581613362E-2,1.644849291E-2
1.896270000E-1,4.278983278E-3,2.385695963E-3,-7.882631421E-3,9.281008633E-3
1.995770000E-1,2.131999894E-3,1.456756121E-3,-3.422784626E-2,3.432510775E-2
2.095270000E-1,-9.028466418E-4,4.682495976E-3,-1.970862508E-2,2.027734704E-2
2.194770000E-1,2.716273782E-3,-8.826431413E-3,-1.417072713E-2,1.691429993E-2
2.294260000E-1,-2.461929037E-3,-1.383406912E-2,-2.884022176E-2,3.208116199E-2
2.393763333E-1,-1.315184981E-3,-5.850486439E-3,-1.012971640E-2,1.177153590E-2
2.493263333E-1,-3.109631510E-3,-2.727995622E-3,-1.970920980E-2,2.013863747E-2
2.592763333E-1,-6.443759557E-3,-5.471175732E-3,-2.824205160E-2,2.947998100E-2
2.692263333E-1,5.582711371E-3,3.306093388E-3,-4.889441729E-3,8.124257514E-3
2.791763333E-1,4.734801147E-3,-3.477722872E-3,-1.925955892E-2,2.013562783E-2
2.891253333E-1,9.364178823E-4,-5.678875227E-3,-1.970804036E-2,2.053127753E-2
2.990753333E-1,1.647823029E-3,6.625265353E-3,-1.881107748E-2,2.001164905E-2
3.090253334E-1,2.597228126E-3,9.412422921E-3,-2.390049398E-2,2.581807335E-2
3.189753333E-1,1.216411804E-2,3.566564005E-3,-8.333451748E-3,1.517012078E-2
3.289253333E-1,1.260950228E-2,-7.207972370E-3,-2.704512656E-2,3.069842478E-2
3.388753333E-1,5.596493441E-3,-1.105449467E-2,-1.656633139E-2,2.068733735E-2
3.488243333E-1,-8.603972266E-3,-7.948695822E-3,-5.639054775E-3,1.300034779E-2
3.587743333E-1,4.300444387E-3,-6.210007975E-3,-2.075703084E-2,2.208873809E-2
3.687243333E-1,2.651511300E-3,-5.946915247E-3,-1.461979330E-2,1.600420786E-2
3.786743333E-1,-9.615928866E-6,-5.031593023E-3,-2.165457845E-2,2.223145943E-2
3.886243333E-1,-3.333945321E-3,-9.514607582E-3,-1.881049275E-2,2.134192087E-2
3.985743333E-1,6.260590958E-3,-8.990468653E-3,-2.674399495E-2,2.890094794E-2
4.085233333E-1,2.534950711E-4,-7.048270293E-4,-9.680650234E-3,9.709584432E-3
4.184733333E-1,-4.720635354E-3,7.287425981E-3,-9.381857514E-3,1.278320093E-2
4.284233333E-1,7.361269919E-3,-1.097198040E-3,-2.015944541E-2,2.148942478E-2
4.383733333E-1,-8.499339083E-4,-1.166464705E-3,-1.342462242E-2,1.350198188E-2
4.483233333E-1,-3.351231152E-4,6.968574570E-3,-1.641839683E-2,1.783920103E-2
4.582723333E-1,-4.602580983E-4,6.814486734E-3,-2.165691733E-2,2.270839350E-2
4.682223334E-1,3.724872801E-3,1.112396233E-3,-1.911220908E-2,1.950355452E-2
4.781723333E-1,4.397403100E-3,-1.485782065E-2,-1.911279380E-2,2.460469215E-2
