"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.666374999E-3,-4.430629720E-1,-3.932427943E-1,-9.229777282E-1,1.096737243E0
8.293624996E-3,-2.719126309E-1,-3.798783982E-1,-1.136620370E0,1.228881582E0
1.825462500E-2,-4.735832450E-1,-5.871405584E-1,-1.341318526E0,1.538879630E0
2.821462502E-2,-3.265313262E-1,-4.481276840E-1,-1.475420324E0,1.576168221E0
3.817462502E-2,-6.723157793E-2,-3.991835654E-1,-1.852953989E0,1.896656555E0
4.813562502E-2,-3.360533707E-1,-5.434372991E-1,-2.187073247E0,2.278496292E0
5.809562502E-2,-7.567467959E-1,-4.006646651E-1,-2.455620074E0,2.600628354E0
6.805662502E-2,-1.035116507E0,1.066017580E-1,-2.878186070E0,3.060520409E0
7.801662502E-2,-1.043412098E0,6.800463831E-1,-3.190163677E0,3.424662929E0
8.797762502E-2,-8.576469339E-1,9.015242940E-1,-3.341078559E0,3.565264401E0
9.793762502E-2,-6.559264724E-1,8.611293894E-1,-3.652619378E0,3.809647186E0
1.078976250E-1,-3.685536571E-1,8.173752594E-1,-4.088597133E0,4.185756876E0
1.178586250E-1,-2.332147345E-1,9.192173839E-1,-4.535353060E0,4.633441171E0
1.278186250E-1,-3.054550374E-1,9.901862097E-1,-4.873565953E0,4.982511075E0
1.377796250E-1,-3.226095986E-1,1.051052801E0,-4.594600557E0,4.724314048E0
1.477396250E-1,-1.733453858E-1,1.227316532E0,-3.438127720E0,3.654733467E0
1.577006250E-1,5.234164327E-2,1.327860867E0,-1.929377682E0,2.342744623E0
1.676606250E-1,3.205563489E-1,1.502854291E0,-7.039077008E-1,1.690211065E0
1.776206250E-1,6.363097948E-1,1.829729141E0,-7.642544746E-2,1.938721159E0
1.875816250E-1,1.559784975E0,1.904638405E0,7.793724507E-1,2.582246704E0
1.975416250E-1,1.390253143E0,2.823229260E0,1.702403389E0,3.577933000E0
2.075026250E-1,1.292756085E0,3.963531329E0,2.749257304E0,4.993917762E0
2.174626250E-1,1.530039897E0,4.408178458E0,2.962531571E0,5.527174026E0
2.274236250E-1,1.735360050E0,4.206665280E0,2.645024838E0,5.263426990E0
2.373836250E-1,1.759768375E0,4.033391815E0,2.306264060E0,4.968288255E0
2.473436250E-1,1.539831498E0,4.150815015E0,2.332214003E0,5.003955285E0
