"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.791508900E-2,5.537142754E-1,3.897762299E-1,8.271739483E-1,1.068990996E0
3.471408200E-2,5.362715721E-1,3.205013275E-2,1.681213379E0,1.764962559E0
5.151602200E-2,1.016537189E0,6.572866440E-1,5.421144962E-1,1.326371636E0
6.831775000E-2,8.853127956E-1,1.433993340E0,-7.716965675E-2,1.687030172E0
8.512216400E-2,6.351120472E-1,9.384803772E-1,6.657505035E-2,1.135140946E0
1.019277770E-1,7.163667679E-2,1.920108795E-1,9.088120461E-1,9.316326134E-1
1.187379680E-1,-1.902706623E-1,-3.642816544E-1,2.699067593E-1,4.916845608E-1
1.355433890E-1,-2.158603668E-1,-5.713624954E-1,8.820286989E-1,1.072858530E0
1.523300910E-1,-3.185691833E-1,-1.101343632E0,1.671275735E0,2.026723144E0
1.691342100E-1,-3.302745819E-1,-1.025608540E0,1.031584024E0,1.491683537E0
1.859518880E-1,-5.029971600E-1,-5.327501297E-1,5.528255701E-1,9.178480019E-1
2.027516940E-1,-8.116278648E-1,-1.008880615E0,9.831560850E-1,1.625784664E0
2.195535830E-1,-1.146861315E0,-2.011137486E0,8.567976952E-1,2.468616445E0
2.363420670E-1,-1.379904747E0,-2.062646866E0,5.529535413E-1,2.542519778E0
2.531608530E-1,-1.546616554E0,-2.227976799E0,7.688630223E-1,2.819051920E0
2.699612590E-1,-1.596929550E0,-2.163451195E0,5.588865280E-1,2.746463037E0
2.867654390E-1,-1.546486616E0,-1.828533649E0,-2.699553967E-3,2.394820129E0
3.035667590E-1,-1.613577127E0,-1.674837589E0,2.928909659E-1,2.344034389E0
3.203697070E-1,-1.878287554E0,-1.843962669E0,-1.906453073E-1,2.639035448E0
3.371486790E-1,-2.122496367E0,-1.663262367E0,-1.245979667E0,2.970504647E0
3.539732640E-1,-1.937700272E0,-1.742221832E0,-1.170826197E0,2.856720714E0
3.707670170E-1,-1.403226972E0,-1.485923767E0,-6.370500922E-1,2.140758790E0
3.875772080E-1,-8.807318211E-1,-1.032468796E0,-1.412326694E-1,1.364414534E0
4.043857010E-1,-4.616281986E-1,-2.629785538E-1,-1.311964989E-1,5.472392848E-1
4.211842240E-1,-3.403067589E-1,6.489276886E-2,-3.631767631E-1,5.019134615E-1
4.379848220E-1,3.253936768E-2,2.095851898E-1,-4.924870133E-1,5.362165799E-1
4.547879040E-1,3.826987743E-1,1.894578934E-1,-5.218868852E-1,6.743282332E-1
4.715952460E-1,8.041124344E-1,6.441507339E-1,-7.485886812E-1,1.273543085E0
4.883926200E-1,1.067110300E0,8.560981750E-1,-5.979782343E-2,1.369380976E0
5.051817030E-1,1.085959673E0,8.866033554E-1,4.735496640E-1,1.479737546E0
5.219881510E-1,1.103011370E0,6.878862381E-1,4.629790783E-1,1.379917094E0
5.387882000E-1,9.157195091E-1,6.973114014E-1,6.493315697E-1,1.321520676E0
5.556054010E-1,6.817889214E-1,3.834581375E-1,1.266152382E0,1.488293698E0
5.723932020E-1,4.944243431E-1,2.362575531E-1,1.068538070E0,1.200852476E0
5.891964970E-1,3.366954327E-1,4.990310669E-1,2.497971654E-1,6.517625672E-1
6.060151520E-1,2.296910286E-1,8.008947372E-1,1.791532040E-1,8.522242776E-1
6.228143870E-1,3.972506523E-2,9.221544266E-1,-3.988990188E-1,1.005518421E0
6.396165510E-1,7.231473923E-3,6.451740265E-1,-3.610106707E-1,7.393446578E-1
6.564208640E-1,-1.078844070E-2,1.309480667E-1,-2.186428905E-1,2.550852802E-1
6.732205260E-1,-1.135456562E-1,-1.517677307E-1,-1.992767453E-1,2.750223288E-1
6.900233820E-1,-6.639409065E-2,-1.113357544E-1,-2.296064794E-1,2.636720707E-1
7.068424350E-1,6.098508835E-2,1.247701645E-1,-2.905040681E-1,3.219928393E-1
7.236319350E-1,-9.815049171E-2,-1.706027985E-2,-3.926533461E-2,1.070809912E-1
7.404309870E-1,-1.145281792E-1,-5.384159088E-2,-1.869481504E-1,2.257548043E-1
7.572330210E-1,-2.065484524E-1,-5.735874176E-2,-1.107204556E-1,2.412701965E-1
7.740377390E-1,-1.293332577E-1,3.946208954E-2,-2.373835146E-1,2.731945846E-1
7.908356820E-1,-1.802392006E-1,-6.813526154E-2,2.690307498E-1,3.309171008E-1
8.076426480E-1,-1.345100403E-1,-5.109786987E-2,3.898124099E-1,4.155209479E-1
8.244236660E-1,-6.362032890E-2,-9.649753571E-2,3.294576406E-1,3.491441789E-1
8.412459310E-1,-8.714032173E-2,9.260559082E-2,7.539796829E-2,1.478312712E-1
8.580679520E-1,-1.037564278E-1,9.612941742E-2,-2.401320338E-1,2.786927607E-1
8.748530700E-1,7.852149010E-2,1.298818588E-1,-2.328706831E-1,2.779634449E-1
8.916544610E-1,2.118923664E-1,-9.339523315E-2,2.207454145E-1,3.199212130E-1
9.084526890E-1,2.799878120E-1,3.756904602E-2,8.346119523E-2,2.945681232E-1
9.252507750E-1,3.572034836E-1,8.143234253E-2,-4.034072161E-3,3.663902685E-1
9.420594100E-1,3.437216282E-1,1.740741730E-2,2.234646976E-1,4.103462525E-1
9.588660000E-1,3.431999683E-1,-1.048183441E-2,5.933341384E-2,3.484487640E-1
1.042863277E0,4.417455196E-1,1.153573990E-1,-2.531119585E-1,5.220269123E-1
1.059669845E0,4.694905281E-1,1.036262512E-1,-6.872721910E-1,8.387507499E-1
1.076468716E0,5.949029922E-1,1.468162537E-1,-1.244623065E0,1.387281931E0
