"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.258624998E-3,-2.155163547E-2,-1.573128047E-2,9.942020774E-3,2.847437364E-2
7.691374980E-3,-1.918095041E-2,-3.308970858E-2,-2.688198924E-2,4.674910714E-2
1.764037498E-2,4.301161584E-3,-4.445810279E-2,1.708556414E-3,4.469834516E-2
2.759037499E-2,1.006408597E-2,-5.206670537E-2,-2.044595897E-2,5.683541917E-2
3.753937499E-2,3.401881744E-2,-2.183591065E-2,-9.070200920E-3,4.142892080E-2
4.748937499E-2,3.971706614E-2,-1.912436946E-3,-1.286387444E-3,3.978388556E-2
5.743837499E-2,2.995012836E-2,-2.209507478E-3,-3.706199169E-2,4.770202658E-2
6.738837500E-2,1.369585100E-2,-2.040625272E-2,-5.178294182E-3,2.511585586E-2
7.733737500E-2,-1.813701228E-3,-3.489360202E-2,-5.029190183E-3,3.530078934E-2
8.728737500E-2,-1.140543724E-2,-3.366202308E-2,-2.942903638E-2,4.614416517E-2
9.723637500E-2,-3.259169939E-2,-3.123434594E-2,2.086578906E-2,4.973112093E-2
1.071863750E-1,-3.839075774E-2,-2.510305610E-2,-2.059974074E-2,5.028283032E-2
1.171353750E-1,-3.444988971E-2,-1.182801734E-2,-2.194752395E-2,4.252517728E-2
1.270853750E-1,-3.004698201E-2,-1.331890658E-3,5.295238495E-3,3.053906697E-2
1.370343750E-1,-1.688803331E-2,1.248341713E-2,-1.670900345E-2,2.683714159E-2
1.469843750E-1,-1.522965332E-2,2.041715687E-2,9.485937953E-3,2.718061172E-2
1.569333750E-1,-5.908424123E-3,1.113741092E-2,-2.135052323E-2,2.479508500E-2
1.668833750E-1,-4.676420353E-3,1.414851685E-2,-8.626397252E-3,1.721813480E-2
1.768323750E-1,-4.848497515E-3,1.634853174E-2,4.845587611E-3,1.772744024E-2
1.867823750E-1,1.363131692E-2,1.208117437E-2,-3.602060258E-2,4.036398625E-2
1.967313750E-1,1.904152629E-2,8.233281635E-3,1.292760909E-2,2.444360298E-2
2.066813750E-1,2.002009895E-2,1.646742665E-2,-3.087914586E-3,2.610585602E-2
2.166303750E-1,2.681102780E-2,1.139110242E-2,-1.102141678E-2,3.114578710E-2
2.265803750E-1,2.508050321E-2,5.606068256E-3,-1.291065216E-3,2.573181867E-2
2.365293750E-1,2.111313998E-2,-6.059766510E-3,-2.688842118E-2,3.471991710E-2
2.464793750E-1,1.381843239E-3,-1.896088497E-2,4.845587611E-3,1.961897981E-2
2.564283750E-1,-6.315257857E-3,-3.749781482E-2,-8.476123810E-3,3.895912311E-2
2.663783750E-1,-2.260273187E-2,-5.464952559E-2,-2.060207963E-2,6.262507341E-2
2.763273750E-1,-3.497840035E-2,-5.888700277E-2,-1.292234659E-3,6.850428787E-2
2.862773750E-1,-3.923631538E-2,-5.486386259E-2,-2.359585404E-2,7.145835284E-2
2.962263750E-1,-3.984975682E-2,-4.899360068E-2,5.379438400E-5,6.315361368E-2
3.061763750E-1,-3.136987343E-2,-4.234646766E-2,-1.611317217E-2,5.510831697E-2
3.161253750E-1,-1.938666733E-2,-1.795000645E-2,-2.344850421E-2,3.532531601E-2
3.260753750E-1,-6.745695155E-3,2.685151063E-4,-4.737998843E-3,8.247735236E-3
3.360243750E-1,-1.285969916E-2,9.898212338E-3,-1.955718219E-2,2.541318251E-2
3.459743750E-1,6.341556623E-3,8.079120708E-3,-1.671251178E-2,1.961620712E-2
3.559233750E-1,2.489447496E-3,1.787737763E-2,-8.031150699E-3,1.975594497E-2
3.658733750E-1,2.419714881E-3,2.014783320E-2,-1.207274616E-2,2.361231464E-2
3.758223750E-1,6.491706725E-3,1.419514840E-2,-3.841035962E-3,1.607476443E-2
3.857723750E-1,4.412838835E-3,3.005062281E-3,-1.042733967E-2,1.171464718E-2
3.957213750E-1,9.851293000E-3,5.120827015E-3,-1.641430378E-2,1.981666500E-2
4.056713750E-1,2.637217599E-3,-2.074706317E-3,4.391258955E-3,5.526524964E-3
4.156203750E-1,8.568820450E-3,8.047253382E-3,-1.162543416E-2,1.653280649E-2
4.255703750E-1,1.460090405E-2,3.580766344E-3,-1.880990803E-2,2.407947107E-2
4.355193750E-1,2.069384437E-3,-1.093127373E-2,-1.595705152E-3,1.123927810E-2
4.454693750E-1,-5.312040104E-3,-2.955611282E-2,-1.057761312E-2,3.183814496E-2
4.554183750E-1,-1.100017495E-2,-3.095732496E-2,-7.732942700E-3,3.375141805E-2
4.653683750E-1,-5.756556401E-3,-3.283984518E-2,5.005216599E-4,3.334432328E-2
4.753173750E-1,-1.610073770E-2,-1.924243754E-2,-3.241111636E-3,2.529841816E-2
4.852673750E-1,-2.604554504E-2,-1.539843229E-2,-1.327084064E-2,3.303933027E-2
4.952163750E-1,-2.556956341E-2,1.609326880E-2,-1.551675618E-2,3.396418108E-2
5.051663750E-1,-2.138399397E-2,3.070845284E-2,-7.882046700E-3,3.824148186E-2
5.151153750E-1,-1.676189791E-2,3.747329763E-2,-7.134187818E-3,4.166660405E-2
5.250653750E-1,-1.270350541E-2,4.179871602E-2,-1.267208576E-2,4.548728909E-2
5.350143750E-1,1.996751055E-3,3.287268095E-2,-4.738583565E-3,3.327242615E-2
5.449643750E-1,1.158915401E-2,2.052648610E-2,-1.446835041E-2,2.765824083E-2
5.549133750E-1,1.481920162E-2,1.025546808E-4,-2.493252754E-3,1.502782631E-2
5.648633750E-1,1.180772568E-2,-2.931920009E-2,-1.267208576E-2,3.405318835E-2
5.748123750E-1,1.095351599E-2,-4.485704735E-2,-2.180251300E-2,5.106352694E-2
5.847623750E-1,1.258652912E-2,-5.810927284E-2,5.262494087E-5,5.945680007E-2
5.947113750E-1,1.268665355E-2,-6.034592876E-2,-2.492083311E-3,6.171541765E-2
6.046613750E-1,7.289659800E-3,-4.991186935E-2,-8.928698301E-3,5.122553558E-2
6.146103750E-1,2.880808949E-3,-4.090926316E-2,-5.187065005E-3,4.133730175E-2
6.245603750E-1,-7.941245190E-3,-2.400663922E-2,-1.341994464E-2,2.862650897E-2
6.345093750E-1,-1.904391086E-2,-7.580270986E-3,-1.312173665E-2,2.433744074E-2
6.444593750E-1,-2.364892666E-2,1.682335306E-3,-2.644110918E-3,2.385567662E-2
6.544083750E-1,-2.620522428E-2,1.838623158E-2,-1.087816000E-2,3.380978639E-2
6.643583750E-1,-2.371506872E-2,2.365698942E-2,-2.135637045E-2,3.972596370E-2
6.743073750E-1,-2.140163612E-2,2.668272709E-2,-1.836142659E-2,3.882190027E-2
6.842573750E-1,-1.153417648E-2,2.318847670E-2,-1.506769001E-2,2.996294313E-2
6.942063750E-1,-4.211201258E-3,2.084263774E-2,-1.506710529E-2,2.606084085E-2
7.041563750E-1,3.990066871E-3,9.634393277E-3,-3.690762520E-3,1.106182152E-2
7.141053750E-1,1.194482918E-2,5.186553374E-3,-9.079556465E-3,1.587506301E-2
7.240553750E-1,1.355511582E-2,-6.167163416E-3,-2.090496540E-2,2.566695635E-2
7.340043750E-1,2.092854156E-2,-1.639210263E-2,-5.637300611E-3,2.717506281E-2
7.439543750E-1,1.390579802E-2,-2.574572906E-2,-6.086366773E-3,2.988741614E-2
7.539033750E-1,7.190206884E-3,-3.135090653E-2,-2.330056965E-2,3.971769079E-2
7.638533750E-1,6.993498327E-4,-4.114754634E-2,-9.378933907E-3,4.220869651E-2
7.738023750E-1,-7.157247774E-3,-4.861625427E-2,-1.476655841E-2,5.131098930E-2
7.837523750E-1,-2.512746823E-2,-3.637778067E-2,-1.731126666E-2,4.748065437E-2
7.937013750E-1,-1.585702301E-2,-3.058129418E-2,2.897880077E-3,3.456961732E-2
8.036538750E-1,-1.460658681E-2,-1.733220700E-2,-1.192071855E-2,2.560978931E-2
