"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.261583333E-3,1.041737017E-1,4.922379094E-1,-8.486765742E-2,5.102478211E-1
1.322258331E-2,2.469054052E-1,5.842742532E-1,-1.726706171E-1,6.573840766E-1
2.318258333E-2,3.657871932E-1,6.350631684E-1,-2.847699273E-1,7.862565803E-1
3.314358331E-2,5.050661159E-1,7.047818595E-1,-4.146845341E-1,9.611308515E-1
4.310458331E-2,3.859840608E-1,9.017324549E-1,-6.332832760E-1,1.167541358E0
5.306558331E-2,2.036111587E-1,9.893102968E-1,-7.878403884E-1,1.280970275E0
6.302658332E-2,1.233829746E-1,9.866802192E-1,-8.676367557E-1,1.319679792E0
7.298758332E-2,1.137429625E-1,1.033122899E0,-6.065995073E-1,1.203429827E0
8.294758332E-2,2.379606271E-1,8.916120940E-1,9.213352454E-1,1.304015345E0
9.290858332E-2,4.150891614E-1,4.737858510E-1,2.057655069E0,2.151909948E0
1.028695833E-1,3.680257997E-1,2.279788452E-1,2.071886607E0,2.116632102E0
1.128305833E-1,3.044092628E-1,3.138884765E-1,1.771170153E0,1.824345002E0
1.227915833E-1,1.632259020E-1,3.984474009E-1,1.518124879E0,1.578007026E0
1.327515833E-1,-4.082233608E-3,3.023870033E-1,1.214685377E0,1.251764806E0
1.427125833E-1,-2.078024429E-1,2.596526277E-1,9.136981970E-1,9.723403404E-1
1.526735833E-1,-2.865506968E-1,2.468864018E-1,5.527454817E-1,6.697699342E-1
1.626345833E-1,-2.997528327E-1,2.139203846E-1,2.090011221E-1,4.234325929E-1
1.725955833E-1,-2.359348592E-1,1.245392615E-1,-1.856315553E-2,2.674320029E-1
1.825555833E-1,-8.534274369E-2,7.007712543E-2,-2.338687456E-1,2.586286480E-1
1.925165833E-1,1.768648249E-1,9.859516561E-2,-4.376889423E-1,4.822590415E-1
2.024775833E-1,4.291879678E-1,9.051840663E-2,-8.114765882E-1,9.224370693E-1
2.124385833E-1,5.492965016E-1,-3.905355334E-3,-1.221508785E0,1.339337751E0
2.223995833E-1,4.872359088E-1,1.126875401E-2,-1.416045650E0,1.497568395E0
2.323605833E-1,3.126365876E-1,-1.496010125E-2,-1.297172048E0,1.334399027E0
2.423205833E-1,2.126661569E-1,-1.940614861E-1,-1.017424294E0,1.057373609E0
2.522815833E-1,2.143238425E-2,-3.618543559E-1,-6.363147649E-1,7.323212424E-1
2.622425833E-1,-2.257902324E-1,-5.123008758E-1,-2.502087897E-1,6.132192551E-1
2.722035833E-1,-4.355912536E-1,-7.170551652E-1,-5.637826860E-2,8.408842722E-1
2.821645833E-1,-5.812380865E-1,-8.338620687E-1,8.986878097E-3,1.016486314E0
2.921255833E-1,-6.028941268E-1,-8.521422189E-1,5.880954087E-2,1.045507653E0
3.020855833E-1,-4.416548163E-1,-8.331218112E-1,8.505915374E-2,9.467766308E-1
3.120465833E-1,-3.349998486E-1,-8.008241308E-1,1.004756302E-1,8.738647145E-1
3.220075833E-1,-2.754064885E-1,-7.260189468E-1,9.516694307E-2,7.823100357E-1
3.319685833E-1,-2.191451642E-1,-6.615475470E-1,6.312361658E-2,6.997530642E-1
3.419295833E-1,-2.300931984E-1,-6.544782633E-1,3.538033247E-2,6.946484326E-1
3.518895833E-1,-2.186969751E-1,-5.981859487E-1,8.501266837E-3,6.369670853E-1
3.618505833E-1,-1.456623280E-1,-4.983576053E-1,-2.313158512E-3,5.192139899E-1
3.718115833E-1,-1.206453082E-1,-4.665949452E-1,-1.022707254E-1,4.926717310E-1
3.817725833E-1,-1.312360775E-1,-4.129636985E-1,-2.054448456E-1,4.795513621E-1
3.917335833E-1,-1.597567490E-1,-3.843883556E-1,-2.757351020E-1,4.993059916E-1
4.016945833E-1,-2.082839611E-1,-3.544658142E-1,-2.313442102E-1,4.717503212E-1
4.116545833E-1,-1.926996696E-1,-2.746232539E-1,-1.684848878E-1,3.754174366E-1
4.216155833E-1,-1.574432981E-1,-2.256686103E-1,-1.191896439E-1,2.998681127E-1
4.315765833E-1,-1.421718326E-1,-1.887709254E-1,-3.581653476E-2,2.390190713E-1
4.415375833E-1,-1.317523867E-2,-1.473890108E-1,4.444410145E-2,1.545069111E-1
4.514985833E-1,1.060898343E-1,-1.115625358E-1,-2.606571794E-2,1.561431202E-1
4.614585833E-1,8.637273073E-2,-1.285241389E-1,-6.985756248E-2,1.698787271E-1
4.714195833E-1,4.658739835E-2,-1.545688069E-1,-4.888038397E-2,1.686748164E-1
4.813805833E-1,-3.701959938E-2,-1.892732012E-1,-1.161257029E-2,1.932088177E-1
4.913415833E-1,-1.361407220E-1,-1.833119649E-1,7.121937901E-2,2.391856447E-1
5.013025833E-1,-2.509990409E-1,-2.008886951E-1,1.294544309E-1,3.465764505E-1
5.112635833E-1,-3.165007201E-1,-2.367531770E-1,1.462017336E-1,4.214258174E-1
5.212235833E-1,-3.094232503E-1,-2.289746261E-1,1.249047124E-1,4.046891577E-1
