"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.221666848E-4,4.883510459E-2,3.464366324E-2,-9.530376792E-3,6.062902708E-2
1.027216669E-2,8.755005847E-2,3.164587115E-2,-6.821186364E-2,1.154094114E-1
2.021825002E-2,6.801096610E-2,3.526757029E-2,-6.356917441E-2,9.955065524E-2
3.016725002E-2,6.264357844E-2,4.057943908E-2,3.911436439E-2,8.426649570E-2
4.011725000E-2,7.888715266E-2,3.378835949E-2,-4.575738609E-2,9.725520281E-2
5.006725001E-2,6.954916754E-2,3.411175619E-2,-5.233491898E-2,9.348605436E-2
6.001625000E-2,5.065446574E-2,4.438838388E-2,5.843005657E-2,8.916431480E-2
6.996625001E-2,4.448241899E-2,5.303420029E-2,-2.061143517E-3,6.924998420E-2
7.991625002E-2,7.865771340E-2,2.749816700E-2,-5.385285616E-2,9.921348287E-2
8.986525002E-2,8.359252587E-2,2.892392831E-2,-8.182827473E-2,1.204996704E-1
9.981525003E-2,5.366834910E-2,3.681819934E-2,-1.161666334E-2,6.611216503E-2
1.097642500E-1,5.251620093E-2,3.701702752E-2,6.920296669E-2,9.443125693E-2
1.197142500E-1,6.655848118E-2,2.508222997E-2,-4.037911713E-2,8.179011418E-2
1.296642500E-1,8.849163378E-2,2.494316673E-2,-5.893584073E-2,1.092078941E-1
1.396132500E-1,6.255801723E-2,4.484204559E-2,-9.981781840E-3,7.761411303E-2
1.495632500E-1,4.910676258E-2,3.771000937E-2,2.289769650E-3,6.195774352E-2
1.595132500E-1,6.370473845E-2,3.153305186E-2,1.890053988E-2,7.355173328E-2
1.694622500E-1,7.610867456E-2,3.045007900E-2,-2.750588715E-2,8.646566649E-2
1.794122500E-1,6.569520375E-2,4.093539291E-2,-2.331460297E-2,8.084019359E-2
1.893622500E-1,6.041574360E-2,3.836143030E-2,-5.801607370E-3,7.180055750E-2
1.993112500E-1,6.108630046E-2,4.279084691E-2,-3.289468110E-2,8.151473933E-2
2.092612500E-1,7.684987309E-2,3.475704212E-2,-3.856238723E-3,8.443237263E-2
2.192112500E-1,5.791699081E-2,3.541005277E-2,2.425425053E-3,6.792740499E-2
2.291602500E-1,6.100226501E-2,3.289960555E-2,-1.179792702E-2,7.030541561E-2
2.391102500E-1,6.421823362E-2,4.494747363E-2,-2.032784522E-2,8.097825761E-2
2.490602500E-1,6.324311905E-2,5.195670462E-2,-2.391862035E-2,8.527186911E-2
2.590092500E-1,6.734593668E-2,3.138566092E-2,3.473246098E-3,7.438143812E-2
2.689592500E-1,6.214936995E-2,3.059422657E-2,6.313823462E-3,6.955871801E-2
2.789092500E-1,7.355322205E-2,2.530921614E-2,-2.811750591E-2,8.271171038E-2
2.888582500E-1,6.184646591E-2,3.219278453E-2,-1.988404155E-2,7.250335047E-2
2.988082500E-1,5.756104155E-2,2.905188869E-2,-9.403492212E-3,6.515912374E-2
3.087582500E-1,6.153431595E-2,2.739505957E-2,-1.180085063E-2,6.838290287E-2
3.187072500E-1,5.860871642E-2,3.253746419E-2,-1.150322735E-2,6.801464883E-2
3.286572500E-1,5.751701385E-2,2.971685643E-2,-3.051311016E-2,7.157058285E-2
3.386062500E-1,6.371233069E-2,3.075648681E-2,-1.434614360E-2,7.218749476E-2
3.485562500E-1,6.197227241E-2,4.168729459E-2,-1.509575665E-2,7.619891696E-2
3.585062500E-1,6.177302853E-2,3.755175767E-2,-4.767819643E-3,7.244842070E-2
3.684552500E-1,6.213049441E-2,4.615581902E-2,-5.667121410E-3,7.760589043E-2
3.784052500E-1,5.964895436E-2,4.169952806E-2,-1.674525619E-2,7.468100161E-2
3.883552500E-1,6.269126066E-2,4.275734876E-2,-9.860744476E-3,7.652201851E-2
3.983042500E-1,6.600432046E-2,2.793430990E-2,-1.255631089E-2,7.276370614E-2
4.082542500E-1,7.070134311E-2,3.229357591E-2,-1.540156603E-2,7.923864713E-2
4.182042500E-1,6.002160472E-2,3.571870581E-2,1.637220383E-4,6.984587162E-2
4.281532500E-1,6.081774881E-2,3.903518943E-2,-1.615293324E-2,7.405040065E-2
4.381032500E-1,6.613393678E-2,2.993346836E-2,-8.070327044E-3,7.303999111E-2
4.480532500E-1,6.361907674E-2,2.431349013E-2,-7.022505999E-3,6.846786340E-2
4.580022500E-1,6.284872435E-2,3.362103319E-2,-1.360939443E-2,7.256412090E-2
4.679522500E-1,6.899275929E-2,3.116624872E-2,-1.186984777E-3,7.571489171E-2
4.779022500E-1,7.185003776E-2,3.405501079E-2,-2.663523674E-2,8.385468098E-2
4.878512500E-1,6.430110876E-2,2.313655525E-2,-8.822863698E-3,6.890410511E-2
4.978012500E-1,6.307071755E-2,2.677021149E-2,-1.481099725E-2,7.009939568E-2
5.077512500E-1,5.611651434E-2,3.552374229E-2,-1.286562860E-2,6.765000995E-2
5.177002500E-1,5.255932415E-2,3.545048535E-2,-6.727806330E-3,6.375329674E-2
5.276502500E-1,5.408415922E-2,3.289168440E-2,-1.466247797E-2,6.497651454E-2
5.376002500E-1,6.805744233E-2,3.628350802E-2,-2.469279170E-2,8.098174098E-2
5.475492500E-1,6.295472341E-2,3.495078367E-2,-1.376726925E-2,7.331024609E-2
5.574992500E-1,6.101142869E-2,4.136872184E-2,-2.514536619E-2,7.788488312E-2
5.674492500E-1,6.513007949E-2,3.318215397E-2,-3.142878413E-3,7.316324406E-2
5.773982500E-1,6.200412146E-2,3.566713383E-2,-1.736330688E-2,7.360801545E-2
5.873482500E-1,5.562875605E-2,2.316628469E-2,-1.811291993E-2,6.292307299E-2
5.972982500E-1,6.282355391E-2,3.013207270E-2,-9.578908682E-3,7.033133173E-2
6.072472500E-1,6.494882494E-2,4.388534518E-2,-1.032852173E-2,7.906296063E-2
6.171972500E-1,5.571105561E-2,2.352912041E-2,-8.682530522E-3,6.109605193E-2
6.271462500E-1,6.654193539E-2,2.485449462E-2,-4.643273950E-3,7.118381179E-2
6.370962500E-1,6.010923986E-2,2.141778905E-2,-2.200716555E-2,6.749931659E-2
6.470462500E-1,5.846862079E-2,3.402368708E-2,-1.856549442E-2,7.014890221E-2
6.569952500E-1,6.308347179E-2,2.850320744E-2,-1.183008671E-2,7.022754587E-2
6.669452500E-1,5.766667516E-2,3.237513771E-2,-9.735614061E-3,6.684592095E-2
6.768952500E-1,5.527551114E-2,3.884856275E-2,-3.899508119E-3,6.767421313E-2
6.868442500E-1,5.799164331E-2,3.706573300E-2,-5.098187327E-3,6.901369987E-2
6.967942500E-1,5.724416815E-2,3.665302464E-2,-1.258320808E-2,6.912796921E-2
7.067442500E-1,5.551645297E-2,4.337021462E-2,-1.258437753E-2,7.156408753E-2
7.166932500E-1,6.072380964E-2,3.461921914E-2,-7.047064304E-3,7.025334516E-2
7.266432500E-1,6.259554905E-2,3.018917898E-2,-1.183768809E-2,7.049624208E-2
7.365932500E-1,5.959445648E-2,4.495416138E-2,-4.055628777E-3,7.475843761E-2
7.465422500E-1,5.454828196E-2,3.647836876E-2,-6.900299191E-3,6.598333564E-2
7.564922500E-1,5.938907303E-2,2.805129990E-2,-2.127041638E-2,6.903888784E-2
7.664422500E-1,5.472474910E-2,2.331497299E-2,-1.827664196E-2,6.222878571E-2
