"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.891999979E-3,-1.918801458E-1,-1.314266968E-1,1.132137895E-2,2.328500388E-1
1.385299998E-2,-1.994885611E-1,1.458079237E-1,-3.216401668E-1,4.055958993E-1
2.381399999E-2,7.001408514E-2,9.431558847E-2,-1.713912463E-1,2.077795988E-1
3.377399998E-2,5.763005514E-1,7.787146389E-2,-2.075797005E-1,6.174752000E-1
4.373499998E-2,8.315220860E-1,1.457494515E-1,-3.089692505E-1,8.989626688E-1
5.369599999E-2,9.053149708E-1,6.028186977E-2,-2.281805376E-1,9.355722623E-1
6.365699999E-2,7.009891362E-1,-2.770820081E-2,1.295006239E-1,7.133890418E-1
7.361799999E-2,4.536481499E-1,-7.045719445E-2,5.324941985E-1,7.030724939E-1
8.357900000E-2,3.448810583E-1,-8.455015361E-2,6.581204939E-1,7.478062967E-1
9.353999997E-2,3.521846327E-1,-7.662659168E-2,6.089851348E-1,7.076500155E-1
1.035010000E-1,3.531429548E-1,-3.258477867E-2,4.491222954E-1,5.722609112E-1
1.134620000E-1,2.833375422E-1,2.011793017E-2,2.929630458E-1,4.080591135E-1
1.234230000E-1,8.408819617E-2,-5.060765147E-3,2.357749744E-1,2.503722721E-1
1.333840000E-1,-1.569792850E-1,-1.610323191E-2,1.729898385E-1,2.341522885E-1
1.433440000E-1,-3.092732692E-1,-5.268165886E-2,1.246310262E-1,3.375769614E-1
1.533050000E-1,-3.223426732E-1,-1.306063324E-1,5.233261663E-2,3.517122628E-1
1.632660000E-1,-2.568144440E-1,-1.495583278E-1,7.504280023E-3,2.972838144E-1
1.732270000E-1,-1.873436201E-1,-1.962284642E-1,-1.816148836E-2,2.719063843E-1
1.831880000E-1,-5.770472317E-2,-1.753907418E-1,2.232233047E-2,1.859839612E-1
1.931490000E-1,-1.344278076E-2,-1.332592142E-1,9.353319447E-2,1.633621284E-1
2.031100000E-1,-8.885628076E-2,-1.139587247E-1,1.520545042E-1,2.097679714E-1
2.130710000E-1,-1.154661187E-1,-1.078670955E-1,1.873470918E-1,2.450850213E-1
2.230320000E-1,-1.578857679E-1,-1.305244714E-1,1.830634582E-1,2.747303825E-1
2.329930000E-1,-2.137494815E-1,-1.764180976E-1,9.222575705E-2,2.920920681E-1
2.429540000E-1,-2.035380137E-1,-1.697271287E-1,-7.560559474E-2,2.755925021E-1
2.529150000E-1,-1.332677200E-1,-1.636729217E-1,-2.682760283E-1,3.413519266E-1
2.628750000E-1,-2.307450899E-1,-1.988953793E-1,-3.463878858E-1,4.612886687E-1
2.728360000E-1,-2.808032675E-1,-2.433885974E-1,-3.597510759E-1,5.172130325E-1
2.827970000E-1,-2.562280597E-1,-2.209288573E-1,-4.064036707E-1,5.287970519E-1
2.927580000E-1,-1.619490163E-1,-6.586537600E-2,-4.183600573E-1,4.534212932E-1
3.027190000E-1,-2.007924353E-1,-9.353849351E-2,-3.476777816E-1,4.122461542E-1
3.126800000E-1,-3.179351883E-1,-1.843445832E-1,-3.007327529E-1,4.748746129E-1
3.226410000E-1,-4.397922588E-1,-1.853280848E-1,-3.039008109E-1,5.657909798E-1
3.326018750E-1,-4.951156166E-1,-1.634331858E-1,-3.276440513E-1,6.157925823E-1
3.425628750E-1,-4.133544752E-1,-9.458865345E-2,-3.375117759E-1,5.419622998E-1
3.525238750E-1,-2.688049637E-1,-4.796003222E-2,-2.682269847E-1,3.827557819E-1
3.624848750E-1,-1.477268519E-1,-5.422649324E-2,-1.478047478E-1,2.158934432E-1
3.724458750E-1,-3.617866013E-2,-5.874756038E-2,-4.215020221E-2,8.085054635E-2
3.824058750E-1,6.737362873E-2,-5.687937498E-2,-2.853441238E-4,8.817341191E-2
3.923668750E-1,1.146610027E-1,2.903142571E-3,3.996338010E-2,1.214604690E-1
4.023278750E-1,7.966692455E-2,1.929171860E-2,1.204584897E-1,1.457025635E-1
4.122888750E-1,3.864095919E-2,-6.828378439E-3,1.814952715E-1,1.856886751E-1
4.222498750E-1,1.543882376E-2,1.344391823E-2,1.827278646E-1,1.838710654E-1
4.322108750E-1,-3.054156052E-2,5.256646872E-3,1.556751184E-1,1.587298388E-1
4.421718750E-1,-1.363907453E-1,2.263164818E-2,1.343105618E-1,1.927536094E-1
4.521328750E-1,-2.093378486E-1,9.101015747E-2,8.788717786E-2,2.446003673E-1
4.620938750E-1,-2.049710384E-1,1.615813726E-1,-6.061205473E-3,2.610716468E-1
4.720548750E-1,-2.185525672E-1,2.635497969E-1,-7.713413000E-2,3.509606731E-1
4.820158750E-1,-2.450068874E-1,3.951519102E-1,-4.171049159E-2,4.668117095E-1
4.919768750E-1,-1.909991897E-1,5.476163042E-1,-1.924201727E-2,5.802883441E-1
5.019368750E-1,-1.756986708E-1,6.836856902E-1,-2.990967751E-2,7.065343125E-1
