"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.359947500E-2,8.127166033E-1,8.009815216E-1,2.603828907E-1,1.170418269E0
3.040141500E-2,1.183855057E0,4.739265442E-1,4.082298279E-2,1.275847044E0
4.720696600E-2,1.426913738E0,8.835945129E-1,-3.931028843E-1,1.723760992E0
6.401118400E-2,1.459070086E0,6.250505447E-1,1.760878563E-1,1.597053735E0
8.084169800E-2,1.264637589E0,7.300252914E-1,-9.564399719E-3,1.460252251E0
9.763880500E-2,1.028481722E0,6.931047440E-1,5.410909653E-2,1.241409132E0
1.144138790E-1,6.241917610E-1,7.665128708E-1,3.226866722E-1,1.039848077E0
1.312293490E-1,3.370741606E-1,6.442260742E-1,3.526246548E-1,8.080781965E-1
1.480126620E-1,3.332803249E-1,1.882276535E-1,-3.141559362E-1,4.951761069E-1
1.648178570E-1,8.558940887E-2,2.002029419E-1,-2.507795095E-1,3.321101132E-1
1.816294620E-1,-1.274197698E-1,7.500171661E-2,-2.619838715E-1,3.008265349E-1
1.984382460E-1,-3.318733573E-1,3.608322144E-2,-1.995856762E-1,3.889426260E-1
2.152287730E-1,-3.178188205E-1,8.870506287E-2,-1.889419556E-2,3.305062502E-1
2.320427880E-1,-3.295045495E-1,3.772220612E-1,1.283407211E-1,5.170503576E-1
2.488510850E-1,-3.811499476E-1,8.514118195E-2,1.543558836E-1,4.199405223E-1
2.656511020E-1,-1.558158994E-1,-5.159626007E-1,-2.127043009E-1,5.794299953E-1
2.824662450E-1,-6.191948056E-2,-4.546051025E-1,-7.281374931E-1,8.606300194E-1
2.992702500E-1,-1.509568393E-1,-3.379182816E-1,-5.655144453E-1,6.758574703E-1
3.160834720E-1,-3.462266326E-1,-3.367671967E-1,-9.658082724E-1,1.079847510E0
3.328657060E-1,-4.339300990E-1,-3.878126144E-1,-1.032649875E0,1.185352150E0
3.496911560E-1,-6.555937529E-1,-5.230894089E-1,-4.594706297E-1,9.563153026E-1
3.664934810E-1,-1.995986998E-1,-7.588853836E-1,-3.764965534E-1,8.703426458E-1
3.833018290E-1,-1.924736500E-1,-2.015371323E-1,-4.053468704E-1,4.919038595E-1
4.001016330E-1,-2.288164198E-1,-2.404193878E-1,-2.566211224E-1,4.195388379E-1
4.169074390E-1,-7.940230966E-1,-1.404123306E-1,-3.024268150E-2,8.069094870E-1
4.337106080E-1,-1.007207036E0,-2.270030975E-1,-3.444601297E-1,1.088415913E0
4.505348880E-1,-4.882333279E-1,-7.374114990E-1,-8.866919279E-1,1.252345829E0
4.673242120E-1,-7.506960630E-2,-4.839048386E-1,-1.914957047E0,1.976577807E0
4.841210870E-1,-3.172562122E-1,-3.653049469E-2,-1.711349487E0,1.740891452E0
5.009286930E-1,-7.185629606E-1,-2.924823761E-2,1.482228041E-1,7.342739185E-1
5.177325750E-1,-9.609323740E-1,-2.387428284E-2,1.291954160E0,1.610312566E0
