"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.110000006E-4,-1.516786013E-2,-3.053332874E-2,-1.285101056E-2,3.643482698E-2
1.066099998E-2,-7.564058667E-4,-4.212950398E-2,5.181510150E-2,6.678526783E-2
2.061099999E-2,-6.422083746E-3,-3.331328692E-2,-4.967443585E-2,6.015453285E-2
3.056099999E-2,-2.911410900E-3,-3.485888874E-2,9.153816104E-3,3.615813583E-2
4.051100000E-2,-5.042186533E-3,-2.670802087E-2,7.656928897E-3,2.823775104E-2
5.046100001E-2,-9.654639261E-3,-4.792058179E-3,-4.144097149E-2,4.281973843E-2
6.041099998E-2,-7.983308597E-3,3.055677242E-3,2.681766987E-2,2.814707439E-2
7.036200000E-2,-1.540674173E-2,2.101953428E-2,-4.069252789E-2,4.832256552E-2
8.031200001E-2,-1.080366739E-2,2.918822702E-2,-8.060971498E-3,3.215044459E-2
9.026199998E-2,-6.596577452E-3,2.046992342E-2,1.020046771E-2,2.380298595E-2
1.002120000E-1,-1.606220090E-2,2.327089503E-2,-4.024463117E-2,4.918494883E-2
1.101617500E-1,-1.324895013E-2,2.293506386E-2,1.708556414E-2,3.151933273E-2
1.201117500E-1,-1.404414405E-2,1.537272281E-2,-2.362918317E-2,3.149439452E-2
1.300617500E-1,-1.105221060E-2,7.517198715E-3,-1.869004011E-2,2.297775522E-2
1.400117500E-1,1.392400204E-3,-1.435699293E-2,7.694935799E-4,1.444486569E-2
1.499617500E-1,-9.306515227E-3,-1.055206809E-2,-3.605393171E-2,3.870198133E-2
1.599117500E-1,-5.441935086E-3,-2.070288471E-2,7.506070733E-3,2.268402942E-2
1.698617500E-1,4.400600796E-3,-3.207760123E-2,-4.467857480E-3,3.268485182E-2
1.798117500E-1,-7.020208226E-3,-3.162439177E-2,-6.562914848E-3,3.305234227E-2
1.897627500E-1,-8.487027953E-3,-3.115763321E-2,-3.718829155E-3,3.250626772E-2
1.997127500E-1,-4.011409208E-3,-2.062274131E-2,-2.258136213E-2,3.084326148E-2
2.096627500E-1,-1.345318241E-2,-2.553033682E-2,-1.030688703E-2,3.064340280E-2
2.196127500E-1,-1.201088444E-2,-2.540095347E-2,-4.918093085E-3,2.852468093E-2
2.295627500E-1,-9.946739660E-3,-1.216149593E-2,-3.021665633E-2,3.405709812E-2
2.395127500E-1,-1.296580785E-2,1.791714784E-3,3.164513111E-3,1.346612633E-2
2.494627500E-1,-1.562002806E-2,1.005487660E-2,-1.824097395E-2,2.603495632E-2
2.594127500E-1,-1.631549040E-2,2.705850206E-2,-6.266461015E-3,3.221220723E-2
2.693627500E-1,-2.294950374E-2,1.857209994E-2,4.211749434E-3,2.982182844E-2
2.793127500E-1,-1.705945266E-2,2.238249741E-2,-2.722288191E-2,3.915464743E-2
2.892637500E-1,-8.603830654E-3,2.214809258E-2,-3.870856762E-3,2.407379154E-2
2.992137500E-1,-4.542340958E-3,1.115668846E-2,-1.899058700E-2,2.248881841E-2
3.091637500E-1,-5.547125582E-3,-2.968772999E-3,-1.809186995E-2,1.915463322E-2
3.191137500E-1,-5.111905443E-3,-1.250981639E-2,-1.926072836E-3,1.365052526E-2
3.290637500E-1,-5.846247207E-3,-2.089885323E-2,-2.842097640E-2,3.575881112E-2
3.390137500E-1,3.704311615E-3,-2.739136852E-2,3.761513829E-3,2.789548315E-2
3.489637500E-1,-2.390830549E-3,-2.005967729E-2,-4.771327972E-3,2.075746358E-2
3.589137500E-1,-1.400117158E-2,-3.230494828E-2,-1.450109482E-2,3.807787074E-2
3.688637500E-1,-1.596563048E-2,-1.841221514E-2,4.060306549E-3,2.470621606E-2
3.788137500E-1,-1.509935634E-2,-2.104872468E-2,-8.514130712E-3,2.726774274E-2
3.887637500E-1,-1.719508066E-2,-1.049329901E-2,-2.377477884E-3,2.028379954E-2
3.987137500E-1,-1.120939563E-2,-3.878380484E-3,-7.616583109E-3,1.409626631E-2
4.086647500E-1,-1.934254827E-2,6.617631996E-3,-2.093887925E-2,2.926369578E-2
4.186147500E-1,-1.886679961E-2,1.533635130E-2,-3.724676371E-3,2.459741883E-2
4.285647500E-1,-1.104195056E-2,2.422609710E-2,-1.689786851E-2,3.153357596E-2
4.385147500E-1,-9.391848031E-3,2.480720527E-2,-1.465253770E-2,3.030348336E-2
4.484647500E-1,-5.723556178E-3,1.572860811E-2,-1.569918931E-2,2.294804465E-2
4.584147500E-1,-7.690911270E-3,2.500153839E-2,-2.123825669E-2,3.369407345E-2
4.683647500E-1,-6.254017409E-3,6.325444803E-3,-7.616583109E-3,1.171052193E-2
4.783147500E-1,-7.895006505E-3,-8.182155043E-3,-7.466894388E-3,1.360269461E-2
