"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.177687800E-2,1.777911186E-2,-8.795356750E-2,1.172397614E0,1.175826557E0
2.859594800E-2,9.800106287E-1,4.303379059E-1,7.746362686E-1,1.321239151E0
4.539450100E-2,1.270107150E0,1.324777603E-1,-6.400520802E-1,1.428421925E0
6.220035700E-2,1.036797881E0,2.766323090E-2,-1.293889046E0,1.658271378E0
7.898722000E-2,3.925968409E-1,9.308719635E-2,6.396851540E-1,7.563032472E-1
9.579658700E-2,-2.859817147E-1,-9.123134613E-2,1.977315426E0,1.999971248E0
1.125970400E-1,1.677154303E-1,7.827186584E-2,2.246035576E0,2.253648322E0
1.294044530E-1,-5.362039804E-2,-1.298570633E-1,1.010364532E0,1.020085532E0
1.462001770E-1,-3.453769088E-1,-1.870641708E-1,-1.481943369E0,1.533112638E0
1.630106930E-1,-2.866317630E-1,1.743679047E-1,-1.940641403E-1,3.875858928E-1
1.798177490E-1,1.341494918E-1,-1.145458221E-2,-2.613439560E-1,2.939863210E-1
1.966299220E-1,3.308486938E-1,-3.358602524E-1,-9.089162350E-1,1.023910001E0
2.134303670E-1,-1.541978419E-1,-7.625007629E-1,2.065324783E-2,7.782100903E-1
2.302380850E-1,1.475744486E0,-9.102878571E-1,-7.680718899E-1,1.896412455E0
2.470588220E-1,4.059970379E-1,2.172244072E0,1.092410088E-1,2.212557683E0
2.638320960E-1,-3.383273184E-1,3.472224236E0,1.563539982E0,3.823017629E0
2.806422650E-1,3.790206909E-1,-2.354440689E-1,2.012767315E0,2.061631116E0
2.974536040E-1,-7.540032268E-2,6.508836746E-1,1.361859322E0,1.511289376E0
3.142609160E-1,5.779846311E-1,2.809486389E-1,-2.845976830E0,2.917633028E0
3.310622150E-1,-6.622816920E-1,2.855997086E0,-4.889192581E0,5.700836824E0
3.478700440E-1,5.351505280E-1,2.780151367E-1,2.680925131E0,2.747915221E0
3.646690540E-1,6.151703596E-1,-4.248218536E-1,3.053444147E0,3.143633143E0
3.814777780E-1,-3.844300508E-1,2.804412842E-1,1.530850172E0,1.603102001E0
3.982794230E-1,-2.110733986E-1,-5.293998718E-1,9.238479137E-1,1.085500425E0
4.150867640E-1,-5.195189714E-1,-8.062887192E-1,7.053651810E-1,1.190605518E0
4.318853670E-1,-4.521945715E-1,5.945167542E-1,8.310425282E-1,1.117390614E0
4.486820880E-1,6.335708499E-1,1.787424088E-1,1.376441002E0,1.525762335E0
4.654940490E-1,5.892219543E-1,-3.205814362E-1,-9.460841417E-1,1.159754358E0
4.823060180E-1,7.935715318E-1,-1.587166786E0,-1.917814612E0,2.612827409E0
4.991042950E-1,4.481876194E-1,-2.457189560E-1,-1.522499084E0,1.606005420E0
5.159054420E-1,5.522047877E-1,-1.026515961E-1,3.224723339E-1,6.476541391E-1
5.327119890E-1,8.735272288E-1,7.277212143E-1,-7.378554344E-2,1.139329755E0
5.495141630E-1,1.357685089E0,1.016004562E0,7.107739449E-1,1.838688030E0
5.663111380E-1,1.233855486E0,7.510480881E-1,1.769825816E0,2.284459676E0
5.831127620E-1,9.111114144E-1,4.884061813E-1,8.263120651E-1,1.323425947E0
5.999132480E-1,6.146391630E-1,-4.295368195E-1,-2.609059811E-1,7.939490607E-1
6.167191030E-1,5.004703999E-3,-5.411310196E-1,9.651780128E-3,5.412402279E-1
6.335240650E-1,1.855798960E-1,-2.553033829E-1,4.308733940E-1,5.341082257E-1
6.503253540E-1,7.774376869E-2,-3.625106812E-2,9.545110464E-1,9.583577470E-1
6.671319320E-1,-5.911231041E-1,2.226867676E-1,1.031592965E0,1.209628028E0
6.839476150E-1,-7.772374153E-2,-5.741233826E-1,-5.485685468E-1,7.978634526E-1
7.007589950E-1,1.414085627E-1,-1.471561432E0,-8.701193333E-1,1.715399978E0
7.175541990E-1,-5.782157779E-1,-5.410833359E-1,-1.004093528E0,1.278791803E0
7.343585700E-1,-8.514009714E-1,-2.261676788E-1,-1.030227661E0,1.355508933E0
7.511630230E-1,-6.664522886E-1,-7.314519882E-1,-6.877835989E-1,1.205083791E0
7.679542200E-1,-9.043573141E-1,-8.345375061E-1,-5.433146954E-1,1.345178746E0
7.847722930E-1,-1.984758139E0,3.511571884E-1,-1.372428656E0,2.438470146E0
8.015628090E-1,-1.538458347E0,2.549467087E-1,-1.788036466E0,2.372535840E0
8.183797740E-1,-8.575506210E-1,6.338119507E-3,-1.466385365E0,1.698740497E0
8.351690900E-1,-7.830296159E-1,5.351181030E-1,-3.914432526E-1,1.026018803E0
8.519844670E-1,-3.970125318E-1,2.259044647E-1,2.997672558E-2,4.577667328E-1
8.687824190E-1,-1.220148921E0,4.136466980E-2,3.440188169E-1,1.268394013E0
8.855972170E-1,-8.336358070E-1,-3.746166229E-1,-4.691504240E-1,1.027320979E0
9.023997760E-1,-1.689430475E-1,2.317428589E-4,-8.804389238E-1,8.965012580E-1
9.192012390E-1,1.577007771E-2,-3.592996597E-1,-6.351926327E-1,7.299415192E-1
9.360077150E-1,-3.057982624E-1,-7.521009445E-1,-6.311559677E-2,8.143414435E-1
