"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.181162500E-2,7.830183506E-1,5.111551285E-2,-9.775638580E-3,7.847458800E-1
2.870451000E-2,8.410868645E-1,3.397679329E-1,-1.110025406E0,1.433536105E0
4.551191300E-2,3.744783401E-1,6.803593636E-1,-7.481522560E-1,1.078357403E0
6.231325500E-2,2.552311420E-1,7.080950737E-1,7.467556000E-1,1.060276141E0
7.912183900E-2,6.152579784E-1,9.702253342E-2,1.343327045E0,1.480703651E0
9.592594700E-2,7.799500227E-1,1.204199791E0,1.446595192E0,2.037414249E0
1.127305030E-1,9.335468411E-1,1.701999187E0,1.408791542E0,2.398542171E0
1.295343360E-1,8.499852419E-1,1.092625141E0,1.105916977E0,1.771823064E0
1.463419120E-1,-1.193544865E-1,1.108180523E0,-5.235283375E0,5.352616330E0
1.631450960E-1,-6.223688722E-1,3.270521164E-1,-3.104672432E-1,7.685675045E-1
1.799515950E-1,-1.048125982E0,8.047485352E-1,1.149841309E0,1.751663014E0
1.967536980E-1,-1.221450090E0,1.023736000E0,-6.491622925E-1,1.720868212E0
2.135505430E-1,2.786549330E-1,2.863202095E0,-3.848599434E0,4.804923767E0
2.303652510E-1,2.107455730E0,3.776658058E0,-2.207432985E0,4.855643740E0
2.471718610E-1,9.317642450E-1,3.324018478E0,-3.478221893E-1,3.469620113E0
2.639746770E-1,-3.171548843E-1,1.601754189E0,1.310825348E-3,1.632851928E0
2.807814300E-1,-1.789745569E0,-5.085754395E-2,2.454237938E-1,1.807210151E0
2.975852540E-1,-3.645308018E0,-1.571020126E0,-2.087121010E-1,3.974913272E0
3.143899110E-1,-5.172716618E0,-2.791071892E0,1.483688354E-1,5.879548692E0
3.311921370E-1,-5.551089287E0,-3.718248844E0,1.971759796E-1,6.684223598E0
3.480044140E-1,-5.347050667E0,-4.347464085E0,5.829863548E-1,6.916015319E0
3.648050940E-1,-4.785114765E0,-5.145298004E0,9.577732086E-1,7.091455731E0
3.816113280E-1,-3.417714596E0,-5.978571415E0,1.586986542E0,7.067008950E0
3.984152130E-1,-4.707787037E-1,-6.186389923E0,-5.433180332E-1,6.228021143E0
4.152213550E-1,1.700047731E0,-4.046302319E0,-5.679781437E-1,4.425530919E0
4.320255450E-1,4.454266548E0,-6.748342514E-2,4.544258118E-4,4.454777739E0
4.488315240E-1,6.572161674E0,1.999702930E0,2.348099709E0,7.259868671E0
4.656245640E-1,8.047816277E0,3.977668762E0,2.516486883E0,9.323191612E0
4.824425890E-1,9.375589371E0,2.558859825E0,1.399013996E-1,9.719517069E0
4.992451100E-1,9.705856323E0,2.285118103E0,-2.847717762E0,1.036990396E1
5.160391870E-1,9.320482254E0,1.529525757E0,-2.966839314E0,9.900150201E0
