"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.370071600E-2,2.541346550E-1,-9.270315170E-1,-9.877210855E-1,1.378247002E0
3.049343000E-2,2.020460367E-1,1.106805801E-1,-6.356983185E-1,6.761546745E-1
4.728745500E-2,3.387391567E-1,1.307878494E-1,-4.714628458E-1,5.950856181E-1
6.409988200E-2,8.173769712E-1,3.277273178E-1,-8.709174395E-1,1.238550562E0
8.091795600E-2,1.087518811E0,5.438632965E-1,3.317294121E-1,1.260368539E0
9.770582700E-2,1.361663342E0,1.026551247E0,6.712648869E-1,1.832629550E0
1.145162300E-1,1.355944037E0,1.143764496E0,8.192296028E-1,1.953949487E0
1.313143860E-1,1.367049932E0,1.553075790E0,8.775284290E-1,2.247426544E0
1.481273830E-1,1.557028413E0,1.681910515E0,1.098282814E0,2.541532136E0
1.649341130E-1,1.801626325E0,1.519822121E0,1.156440973E0,2.625466133E0
1.817283230E-1,1.561658859E0,1.059438705E0,4.613718987E-1,1.942692151E0
1.985328350E-1,1.090220332E0,-2.643299103E-2,-1.555058479E0,1.899338293E0
2.153419260E-1,2.918063402E-1,1.143779755E-1,-1.221723199E0,1.261285390E0
2.321496430E-1,-1.446910799E-1,6.277284622E-1,4.866042137E-1,8.073179000E-1
2.489516250E-1,1.930439472E-2,8.063430786E-1,1.376079798E0,1.595041514E0
2.657544190E-1,3.965995014E-1,1.262682915E0,1.019518137E0,1.670651531E0
2.825597450E-1,1.602531672E0,7.865276337E-1,-1.924562454E-1,1.795486810E0
2.993496410E-1,1.535771728E0,5.482215881E-1,-9.413040876E-1,1.882868847E0
3.161467690E-1,7.649141550E-1,4.650878906E-2,1.047039032E-1,7.734465976E-1
3.329639470E-1,-5.760838985E-1,1.652240753E-2,1.607311964E0,1.707512049E0
3.497624390E-1,-1.125934005E0,-3.265953064E-2,2.021294594E0,2.313963237E0
3.665683560E-1,-9.835581183E-1,1.957750320E-1,1.102501750E0,1.490377316E0
3.833739770E-1,-5.096898079E-1,-6.227493286E-1,-4.976766109E-1,9.461936565E-1
4.002038620E-1,-9.326133728E-1,-2.266416550E-1,-1.182798505E0,1.523202694E0
4.169933390E-1,-1.736383796E0,3.104801178E-1,5.224978924E-2,1.764697320E0
4.337961130E-1,-2.210050583E0,-8.270168304E-1,9.916937351E-2,2.361803332E0
4.506021020E-1,-2.165704250E0,-1.482203484E0,-1.224930525E0,2.896145172E0
4.674055870E-1,-1.188356042E0,-1.914180279E0,-2.816443682E0,3.606748014E0
4.842127660E-1,-8.807236552E-1,-1.817665100E0,-3.336523056E0,3.900252130E0
5.010061100E-1,-1.069944263E0,-1.465130806E0,-2.180012703E0,2.836167200E0
5.178172250E-1,-1.310523510E0,-1.258832932E0,-4.902681708E-1,1.882151721E0
5.346258380E-1,-1.120127201E0,-7.226266861E-1,1.742354631E-1,1.344333393E0
5.514272590E-1,-5.810756087E-1,-5.449953079E-1,-3.308987617E-1,8.626486766E-1
5.682331760E-1,-1.540800035E-1,-6.930799484E-1,-1.236242056E0,1.425620876E0
5.850390320E-1,-1.798738241E-1,-5.554046631E-1,-1.238697290E0,1.369379389E0
6.018220820E-1,-2.514809370E-1,-3.270072937E-1,-7.256069779E-1,8.346747380E-1
6.186425450E-1,-2.628219128E-1,-5.375261307E-1,-3.222525120E-1,6.796001622E-1
6.354446880E-1,3.755211830E-3,-3.965187073E-1,-5.713356137E-1,6.954606893E-1
6.522540330E-1,4.220570922E-1,-3.080549240E-1,-7.553940415E-1,9.185043186E-1
6.690641110E-1,3.451203704E-1,1.411437988E-4,-1.147780418E-1,3.637060473E-1
6.858617380E-1,3.832196593E-1,-3.483219147E-1,4.039988518E-1,6.568108828E-1
7.026698420E-1,2.735549212E-1,-2.684516907E-1,-2.820126414E-1,4.758463355E-1
7.194724130E-1,7.841669321E-1,-2.541847229E-1,-1.099066973E0,1.373854381E0
7.362769870E-1,1.059702039E0,-2.072610855E-1,-1.214103818E0,1.624799572E0
7.530781220E-1,8.668376207E-1,1.402349472E-1,-6.654359698E-1,1.101761467E0
7.698907740E-1,4.121925831E-1,1.424217224E-1,2.011729479E-1,4.802678706E-1
7.866863360E-1,1.503313780E-1,-9.444522858E-2,6.960247755E-1,7.183104569E-1
8.034852850E-1,4.350777864E-1,-1.045894623E-1,7.127180099E-1,8.415453628E-1
8.202897680E-1,7.112122774E-1,-1.525087357E-1,-8.170711994E-2,7.319548288E-1
8.370919300E-1,6.087653637E-1,-1.263742447E-1,-7.723031044E-1,9.914725426E-1
8.538979390E-1,1.592988968E-1,-3.293952942E-1,-1.155912280E-1,3.837169925E-1
8.707030940E-1,-1.486980915E-2,-2.152824402E-1,-6.373703480E-2,2.250112217E-1
8.875051150E-1,3.819465637E-3,-1.322603226E-1,-4.228487015E-1,4.430670441E-1
9.043259440E-1,1.810736656E-1,-1.727294922E-1,-6.536340117E-1,6.999004009E-1
9.211298790E-1,3.481656313E-1,-3.024454117E-1,-8.146079779E-1,9.360975865E-1
9.379307490E-1,1.944171190E-1,-1.839704514E-1,-2.268193364E-1,3.508420649E-1
9.547191910E-1,1.272141933E-2,2.912807465E-2,3.120146394E-1,3.136294221E-1
9.715278340E-1,-7.317018509E-2,3.215465546E-1,3.919714093E-1,5.122378827E-1
9.883462930E-1,-1.117817163E-1,1.157245636E-1,-1.263213158E-2,1.613905124E-1
1.005153594E0,7.347917557E-2,1.383686066E-2,-7.938321233E-1,7.973456515E-1
1.021965828E0,1.842135191E-1,1.032619476E-1,-8.145574331E-1,8.414876483E-1
1.038755520E0,1.554237604E-1,1.318416595E-1,-3.908903003E-1,4.408332965E-1
1.055591640E0,1.257193089E-2,2.182140350E-1,6.332266331E-2,2.275635696E-1
1.072367924E0,-2.639842033E-2,1.759548187E-1,3.746002913E-1,4.147075512E-1
1.089196750E0,2.344648838E-1,2.482223511E-1,-1.310139894E-2,3.417012788E-1
1.105981498E0,3.575756550E-1,1.247720718E-1,-5.241359472E-1,6.466427995E-1
1.122769714E0,2.095761299E-1,1.494598389E-1,-3.189645410E-1,4.098765376E-1
1.139582753E0,4.032540321E-2,5.135631561E-2,9.291028976E-2,1.135602538E-1
1.156396116E0,-1.612198353E-2,3.024311066E-1,5.708892345E-1,6.462499599E-1
