"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.870833316E-4,-6.625114605E-3,2.364164048E-3,-8.753281832E-4,7.088555184E-3
1.033708331E-2,-1.857571791E-2,-1.109840360E-3,-1.973610699E-2,2.712568821E-2
2.028708332E-2,-1.794846699E-2,1.932304917E-2,-8.808245659E-3,2.780490762E-2
3.023708332E-2,-1.960407869E-2,1.541088046E-2,-7.760424614E-3,2.611588268E-2
4.018708333E-2,-2.161171562E-2,1.786080900E-2,-1.749077618E-2,3.304545357E-2
5.013708331E-2,-1.070460733E-2,2.482642342E-2,-1.045599103E-2,2.898737081E-2
6.008708332E-2,-5.773120467E-4,1.765776444E-2,-8.808830380E-3,1.974146466E-2
7.003608331E-2,-9.915598668E-4,2.432487164E-2,-1.270190656E-2,2.745944285E-2
7.998608332E-2,-5.167933647E-5,2.041483625E-2,-6.415565014E-3,2.139924495E-2
8.993608333E-2,1.731795898E-2,2.256596065E-2,-2.332980573E-2,3.678877708E-2
9.988608334E-2,1.293849039E-2,1.732387929E-2,-2.223111391E-3,2.173622671E-2
1.098360833E-1,8.833859204E-3,9.730253352E-3,-1.165291607E-2,1.756432042E-2
1.197860833E-1,4.004113893E-3,-3.988682725E-3,-2.138326764E-2,2.211756435E-2
1.297350833E-1,1.036359589E-3,-7.901324239E-3,-1.120384991E-2,1.374886245E-2
1.396850833E-1,-1.050355447E-2,-1.958338960E-2,-1.599388897E-2,2.737952317E-2
1.496350833E-1,-1.608043233E-2,-1.999454936E-2,-2.737023175E-2,3.751655493E-2
1.595850833E-1,-2.527874209E-2,-6.721315007E-3,-1.195287824E-2,2.875868869E-2
1.695350833E-1,-1.875983211E-2,-1.768659624E-2,-1.180377424E-2,2.835623518E-2
1.794850833E-1,-1.727782333E-2,-1.230013432E-2,-1.315155745E-2,2.495555943E-2
1.894340833E-1,-8.144568410E-3,-2.115872314E-2,-1.419996321E-2,2.675190675E-2
1.993840833E-1,-1.002105868E-2,-8.992014967E-3,-1.719432235E-2,2.183855928E-2
2.093340833E-1,-9.704550728E-4,7.503770676E-3,-1.375206649E-2,1.569610430E-2
2.192840833E-1,6.074877908E-3,1.508003769E-2,-1.674642563E-2,2.333997536E-2
2.292340833E-1,-2.277527042E-3,2.270009030E-2,-1.674584091E-2,2.830025471E-2
2.391840833E-1,1.158602941E-3,2.486685600E-2,-1.794393539E-2,3.068693053E-2
2.491340833E-1,7.370118401E-3,2.515294930E-2,-1.195580184E-2,2.880851786E-2
2.590830833E-1,-9.532971494E-4,1.599033953E-2,-1.629735947E-2,2.285177585E-2
2.690330833E-1,3.082304914E-4,8.724440897E-3,-1.554891586E-2,1.783198417E-2
2.789830833E-1,8.107210184E-4,4.222902542E-3,-1.539922714E-2,1.598831983E-2
2.889330833E-1,-1.240703787E-2,-3.064779255E-3,-1.420171738E-2,1.910539811E-2
2.988830833E-1,-1.058575354E-2,-7.803698578E-3,-1.854269028E-2,2.273295520E-2
3.088330833E-1,-8.573489087E-3,-1.239423567E-2,-1.390233994E-2,2.050358136E-2
3.187820833E-1,-1.888103393E-2,-2.398532429E-2,-1.869237900E-2,3.579377398E-2
3.287320833E-1,-1.225559499E-2,-2.571250500E-2,-4.303550720E-4,2.848715021E-2
3.386820833E-1,-1.781889634E-2,-3.171631411E-2,-1.270599961E-2,3.853414166E-2
3.486320833E-1,-5.188892260E-3,-2.197545583E-2,-2.825959325E-3,2.275590710E-2
3.585820833E-1,-8.830227535E-3,-2.101553031E-2,-9.861913919E-3,2.483712501E-2
3.685320833E-1,-8.283933140E-3,-1.178015925E-2,-1.929230332E-2,2.407464782E-2
3.784820833E-1,-8.637520666E-3,-9.447318921E-4,-7.617167830E-3,1.155510828E-2
3.884310833E-1,-9.646042027E-3,6.730270840E-3,-3.725261092E-3,1.233775679E-2
3.983810833E-1,-9.504822632E-3,1.994544645E-2,-9.412847757E-3,2.401591535E-2
4.083310833E-1,-2.493024347E-3,3.527045507E-2,-1.599973619E-2,3.880994369E-2
4.182810833E-1,-6.524642995E-3,3.762707940E-2,-1.525187731E-2,4.112162244E-2
4.282310833E-1,-4.087633146E-3,3.318128831E-2,1.363570690E-3,3.345991577E-2
4.381810833E-1,-1.276524835E-3,2.901578898E-2,-6.570516229E-3,2.977779725E-2
4.481310833E-1,9.324317258E-3,2.452420003E-2,-1.510335803E-2,3.027359746E-2
4.580800833E-1,1.311913281E-2,1.949597372E-2,-2.528920770E-3,2.363472186E-2
4.680300833E-1,1.279721161E-2,6.709853550E-3,-9.713979363E-3,1.741126517E-2
4.779800833E-1,2.540807063E-3,-8.764587971E-3,-7.169271111E-3,1.160483309E-2
4.879300833E-1,-5.356081515E-3,-2.689000861E-2,1.512089968E-3,2.745990874E-2
4.978800833E-1,-2.343946843E-2,-3.649702275E-2,-9.565460086E-3,4.441778221E-2
5.078292083E-1,-2.309078709E-2,-4.789124065E-2,-1.345619738E-2,5.484363798E-2
5.177792083E-1,-2.845159206E-2,-4.200624193E-2,-1.734751940E-2,5.361859641E-2
5.277282083E-1,-2.208787997E-2,-3.879539877E-2,-1.180903673E-2,4.617803326E-2
5.376782083E-1,-1.891934233E-2,-1.543439038E-2,-8.815262318E-3,2.595902098E-2
