"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.349916679E-3,3.905697396E-1,1.191662550E-1,-2.732637763E-1,4.913434738E-1
1.430991667E-2,4.686307995E-1,-4.800564051E-3,-5.437944909E-1,7.178790427E-1
2.427091668E-2,7.488814138E-1,2.453316271E-2,-8.668858270E-1,1.145825591E0
3.423191668E-2,7.246104987E-1,2.433412349E-1,-7.308305474E-1,1.057538945E0
4.419291668E-2,9.605735707E-1,1.739897490E-2,-4.279156867E-1,1.051720564E0
5.415391669E-2,1.249851117E0,3.802795172E-2,-3.779640198E-1,1.306304229E0
6.411391668E-2,1.586026402E0,2.802395046E-1,-5.828047749E-1,1.712797516E0
7.407491669E-2,2.171602684E0,4.788705897E-1,-8.795673414E-1,2.391404183E0
8.403591666E-2,3.417328882E0,9.339190382E-1,-2.626569271E-1,3.552369648E0
9.399691666E-2,4.551695443E0,1.161178091E0,9.682053566E-2,4.698472111E0
1.039569167E-1,4.449938103E0,1.016180007E0,4.900090970E-2,4.564753226E0
1.139179167E-1,4.140049707E0,1.174716734E0,4.911988592E-1,4.331425550E0
1.238789167E-1,4.006232668E0,6.539426583E-1,9.072539806E-1,4.159405123E0
1.338399167E-1,4.124649895E0,8.168098336E-1,6.915139425E-1,4.261232990E0
1.437999167E-1,4.367601705E0,9.460531801E-1,4.955386627E-1,4.496278443E0
1.537609167E-1,4.578150293E0,1.106853365E0,5.927824637E-1,4.747207129E0
1.637219167E-1,4.566963985E0,1.482763258E0,1.000955611E0,4.904860758E0
1.736829167E-1,3.925246977E0,1.853097830E0,1.542144656E0,4.606489503E0
1.836429167E-1,2.465137002E0,1.980830841E0,2.423309530E0,3.984095925E0
1.936039167E-1,5.878842146E-1,2.018655894E0,3.758739910E0,4.306820774E0
2.035649167E-1,-1.912243879E0,2.024257527E0,5.013270553E0,5.734734242E0
2.135259167E-1,-5.216689923E0,1.736472191E0,6.049736305E0,8.174869956E0
2.234859167E-1,-8.703485189E0,1.269911159E0,6.481942606E0,1.092606557E1
2.334469167E-1,-1.254703604E1,5.967025101E-1,6.243082677E0,1.402712546E1
2.434079167E-1,-1.638926600E1,-2.558607084E-1,5.286261849E0,1.722260344E1
2.533689167E-1,-1.880114656E1,-1.041452842E0,3.848711017E0,1.921926931E1
2.633289167E-1,-1.983560555E1,-1.895956167E0,2.141149800E0,2.004071905E1
2.732899167E-1,-1.965494062E1,-2.912577639E0,7.792938057E-1,1.988484594E1
2.832509167E-1,-1.872332129E1,-3.772284400E0,-2.571006104E-1,1.910128243E1
2.932119167E-1,-1.699772025E1,-4.554903810E0,-3.903490072E-1,1.760176169E1
3.031729167E-1,-1.464927496E1,-5.501089722E0,-2.674165606E-2,1.564812960E1
3.131329167E-1,-1.233123987E1,-6.329625562E0,8.989006484E-1,1.388998412E1
3.230939167E-1,-1.014333339E1,-7.003555757E0,2.215305358E0,1.252376075E1
3.330549167E-1,-8.175597975E0,-7.377831938E0,3.297627899E0,1.149552766E1
3.430159167E-1,-6.558900150E0,-7.788205320E0,4.065612605E0,1.096378215E1
3.529759167E-1,-5.341121011E0,-8.350881713E0,4.392514352E0,1.084246196E1
3.629369167E-1,-3.755904595E0,-8.717765259E0,4.215003410E0,1.038616889E1
3.728979167E-1,-2.027793923E0,-8.997661532E0,3.961100934E0,1.003793713E1
3.828589167E-1,1.712088132E-1,-9.172530702E0,3.429054011E0,9.794031006E0
3.928189167E-1,3.616629181E0,-9.199732534E0,2.242873226E0,1.013634873E1
4.027799167E-1,7.735447648E0,-9.045005268E0,3.435133946E-1,1.190660624E1
4.127409167E-1,1.191673426E1,-8.420838386E0,-1.855568279E0,1.470925587E1
4.227019167E-1,1.594658032E1,-7.666590836E0,-3.915856349E0,1.812191960E1
4.326619167E-1,1.969439062E1,-7.026549348E0,-6.179550340E0,2.180431746E1
4.426229167E-1,2.266567898E1,-6.406911135E0,-8.558828582E0,2.506062770E1
4.525844167E-1,2.439902291E1,-6.311085795E0,-1.050833297E1,2.730507617E1
4.625454167E-1,2.533274840E1,-5.889935995E0,-1.242058649E1,2.882204810E1
4.725064167E-1,2.498436194E1,-6.005883942E0,-1.355544217E1,2.905234923E1
4.824664167E-1,2.398521780E1,-6.282995771E0,-1.457308340E1,2.876006725E1
4.924274167E-1,2.279978136E1,-7.121047370E0,-1.519957279E1,2.831194728E1
5.023884167E-1,2.091310239E1,-7.918347968E0,-1.455531254E1,2.668173924E1
5.123494167E-1,1.847493976E1,-9.487084592E0,-1.168289592E1,2.382893682E1
5.223094167E-1,1.595809700E1,-1.079288888E1,-7.887470577E0,2.081728854E1
5.322704167E-1,1.387127719E1,-1.215621516E1,-3.721776444E0,1.881588472E1
5.422314167E-1,1.212301818E1,-1.334505584E1,8.653963950E-1,1.805012455E1
5.521924167E-1,1.047373382E1,-1.428998577E1,5.244664757E0,1.847726446E1
5.621524167E-1,8.954043642E0,-1.511970685E1,8.542307274E0,1.953846069E1
5.721134167E-1,7.177546091E0,-1.560562333E1,1.046803746E1,2.011547801E1
5.820744167E-1,5.045852993E0,-1.606877543E1,1.059998807E1,1.990040008E1
5.920354167E-1,1.250275917E0,-1.684974944E1,9.223554676E0,1.924970667E1
6.019964167E-1,-4.127962343E0,-1.776101812E1,7.785278204E0,1.982686043E1
6.119564167E-1,-1.048787122E1,-1.793039324E1,5.489440899E0,2.148553946E1
6.219174167E-1,-1.832232860E1,-1.693446741E1,3.150266078E0,2.514772530E1
6.318784167E-1,-2.630386801E1,-1.514703088E1,1.641973292E0,3.039773171E1
6.418394167E-1,-3.308142245E1,-1.286638523E1,2.352630141E-1,3.549619316E1
6.517994167E-1,-3.755129371E1,-1.086614865E1,-9.844053599E-1,3.910424401E1
6.617604167E-1,-3.852651807E1,-8.916083518E0,-2.372676443E0,3.961588991E1
6.717214167E-1,-3.747387190E1,-7.248415514E0,-3.154175526E0,3.829855645E1
6.816824167E-1,-3.567848200E1,-6.670908244E0,-2.747660429E0,3.640061445E1
6.916424167E-1,-3.345106238E1,-6.541587714E0,-1.517681368E0,3.411845982E1
