"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.418041647E-3,-1.469013530E-1,2.178614080E-2,-1.426907730E-1,2.059497515E-1
8.541958407E-3,-2.581667040E-1,-1.830704749E-2,-2.776724307E-1,3.795881635E-1
1.850295835E-2,-2.136870807E-1,-3.099141240E-2,-3.635352843E-1,4.228244778E-1
2.846295841E-2,-5.962361947E-2,-3.410856307E-2,-4.059609269E-1,4.117312767E-1
3.842395835E-2,1.767589903E-1,-7.898068070E-2,-4.592052341E-1,4.983484078E-1
4.838395840E-2,4.052719787E-1,-4.815708339E-2,-5.039558758E-1,6.484874757E-1
5.834395834E-2,7.004474647E-1,1.698750633E-1,-4.926548159E-1,8.730366290E-1
6.830495840E-2,8.602906063E-1,-6.130864084E-2,-3.925861520E-1,9.476194191E-1
7.826495834E-2,1.203249539E0,-2.105430329E-1,-3.319936489E-1,1.265842646E0
8.822595840E-2,1.757106284E0,-1.004908329E-1,-3.214676374E-1,1.789095398E0
9.818595834E-2,2.499940215E0,-4.978436351E-2,-2.684329529E-1,2.514803334E0
1.081469584E-1,3.142162129E0,8.210017025E-2,-1.310618305E-1,3.145965748E0
1.181069583E-1,3.461235332E0,1.731483346E-1,-5.997196734E-2,3.466082371E0
1.280679584E-1,3.348436695E0,2.243143952E-1,-7.159784004E-2,3.356705453E0
1.380279583E-1,3.220389396E0,3.268441522E-1,-1.059457004E-2,3.236950294E0
1.479889584E-1,3.153941930E0,4.617113507E-1,9.022019863E-2,3.188834701E0
1.579489583E-1,3.006409662E0,6.295644468E-1,3.842420290E-1,3.095560109E0
1.679099584E-1,2.639530794E0,7.215434879E-1,8.936182737E-1,2.878593656E0
1.778699583E-1,1.471993856E0,8.099042720E-1,1.476687270E0,2.236809365E0
1.878309584E-1,-2.117287751E-1,8.169250238E-1,2.464625371E0,2.605105332E0
1.977909583E-1,-2.192358107E0,9.518126875E-1,3.803552386E0,4.492147840E0
2.077519584E-1,-5.009974478E0,1.105279294E0,5.173046306E0,7.285732267E0
2.177119583E-1,-8.416283405E0,1.028889515E0,6.317141172E0,1.057349103E1
2.276729584E-1,-1.162185800E1,8.558739120E-1,6.757482119E0,1.347084512E1
2.376329583E-1,-1.370343754E1,7.161646342E-1,6.459240791E0,1.516637346E1
2.475939584E-1,-1.427345336E1,1.308332044E-1,5.645793691E0,1.535003500E1
2.575539583E-1,-1.345913853E1,-8.438847810E-1,4.410762928E0,1.418856515E1
2.675149584E-1,-1.202263435E1,-1.507825009E0,3.293395684E0,1.255642179E1
2.774749583E-1,-1.021609848E1,-1.958067631E0,2.764845396E0,1.076322754E1
2.874349584E-1,-7.858881201E0,-2.405029380E0,2.367323610E0,8.552800776E0
2.973959583E-1,-5.062283084E0,-2.393602166E0,1.774005468E0,5.873937075E0
3.073559584E-1,-2.083699444E0,-2.274233598E0,9.497035968E-1,3.227364056E0
3.173169584E-1,8.059272882E-1,-2.204489179E0,5.944074780E-2,2.347940488E0
3.272769584E-1,3.604885048E0,-2.367128897E0,-7.467514193E-1,4.376771997E0
3.372379584E-1,6.179392465E0,-2.464839964E0,-1.637661117E0,6.851442273E0
3.471979584E-1,8.376938660E0,-2.420639107E0,-2.671659490E0,9.119778475E0
3.571589584E-1,1.016905880E1,-2.820837749E0,-3.568418888E0,1.114004021E1
3.671189584E-1,1.163399682E1,-3.461947523E0,-4.369936498E0,1.290082585E1
3.770799584E-1,1.296118146E1,-3.942703255E0,-5.060564003E0,1.446189620E1
3.870399584E-1,1.430384134E1,-4.566267874E0,-5.668672092E0,1.604943995E1
3.970009584E-1,1.552246540E1,-4.974900540E0,-6.162756552E0,1.742630585E1
4.069609584E-1,1.634007104E1,-5.278465757E0,-6.451906629E0,1.834358802E1
4.169219584E-1,1.680876279E1,-5.572595322E0,-6.459386972E0,1.884972163E1
4.268819584E-1,1.685024645E1,-5.973564042E0,-6.329517388E0,1.896515392E1
4.368429584E-1,1.606308142E1,-6.295285449E0,-6.108380370E0,1.830206311E1
4.468029584E-1,1.474579144E1,-6.584727886E0,-5.884651866E0,1.718796480E1
4.567639584E-1,1.306958416E1,-6.847494156E0,-5.606692775E0,1.578408091E1
4.667239584E-1,1.135481566E1,-6.817595004E0,-4.929077665E0,1.413178145E1
4.766849584E-1,9.946747663E0,-6.716464486E0,-3.239862671E0,1.243162879E1
4.866449584E-1,8.619450760E0,-6.857680591E0,-8.271725616E-1,1.104567467E1
4.966059584E-1,7.028899344E0,-6.950831999E0,1.606318140E0,1.001497626E1
5.065659584E-1,5.126372661E0,-7.103363636E0,3.624533447E0,9.480227545E0
5.165269584E-1,2.022187905E0,-7.406997265E0,4.900328367E0,9.108571266E0
5.264869584E-1,-2.201552268E0,-7.558462955E0,5.545235031E0,9.629476942E0
5.364479584E-1,-7.350155897E0,-7.310963765E0,5.470429262E0,1.172179932E1
5.464079584E-1,-1.357424916E1,-6.860686060E0,5.174744922E0,1.606571624E1
5.563679584E-1,-1.965087564E1,-5.939608676E0,4.841598641E0,2.109210615E1
5.663295834E-1,-2.459542620E1,-4.741637565E0,4.206272055E0,2.539903230E1
5.762895833E-1,-2.776204665E1,-3.521382716E0,2.967100586E0,2.814134070E1
5.862505834E-1,-2.808244133E1,-2.253001773E0,1.575350994E0,2.821668405E1
5.962105833E-1,-2.625915318E1,-1.395647931E0,4.555520399E-1,2.630016135E1
6.061715834E-1,-2.374107081E1,-9.445405054E-1,1.724626024E-1,2.376047860E1
6.161315833E-1,-2.136975590E1,-5.894572252E-1,7.061740816E-1,2.138954438E1
6.260925834E-1,-1.946988560E1,-6.549413627E-1,1.676761740E0,1.955292621E1
6.360525833E-1,-1.780536691E1,-1.187170134E0,2.735229249E0,1.805330836E1
6.460135834E-1,-1.605388375E1,-1.766652009E0,3.421773058E0,1.650929355E1
6.559735833E-1,-1.435328188E1,-2.376082739E0,3.682001344E0,1.500731835E1
6.659345834E-1,-1.271296599E1,-2.893346146E0,3.705406287E0,1.355437169E1
6.758945833E-1,-1.093395647E1,-3.265435469E0,3.618269910E0,1.197106303E1
6.858555834E-1,-9.363712435E0,-3.487379403E0,3.605911235E0,1.062278313E1
6.958155833E-1,-7.836432570E0,-3.593290020E0,3.665699015E0,9.367964446E0
7.057765834E-1,-6.335620712E0,-3.733493972E0,3.756949493E0,8.257949899E0
7.157365833E-1,-4.796529180E0,-3.823225343E0,3.910937086E0,7.274556556E0
7.256975834E-1,-2.866746578E0,-3.977794735E0,3.912704115E0,6.272984966E0
7.356575833E-1,-6.760753928E-1,-4.116871929E0,3.618794990E0,5.522806315E0
7.456185834E-1,1.825058092E0,-4.058120860E0,3.391357012E0,5.594683578E0
7.555785833E-1,4.336793603E0,-4.096621851E0,3.294880292E0,6.815154106E0
7.655395834E-1,6.780530673E0,-4.280676413E0,3.180906365E0,8.626584032E0
7.754995833E-1,9.326106652E0,-4.639680251E0,2.817321818E0,1.079074605E1
7.854605834E-1,1.197341015E1,-5.135298436E0,2.107973868E0,1.319762837E1
7.954205833E-1,1.485370999E1,-5.581926309E0,1.082690331E0,1.590480494E1
8.053815834E-1,1.776179112E1,-5.791563023E0,-6.114521116E-2,1.868226873E1
8.153415833E-1,2.087201985E1,-5.763128598E0,-1.457632509E0,2.170206341E1
8.253025834E-1,2.426290441E1,-5.449414954E0,-3.168841805E0,2.506843058E1
8.352625833E-1,2.661728579E1,-5.253822666E0,-4.866457493E0,2.756383435E1
8.452235834E-1,2.726605775E1,-5.345228680E0,-6.349445869E0,2.850131292E1
8.551835833E-1,2.637869834E1,-5.547226008E0,-7.735605522E0,2.804366301E1
8.651445834E-1,2.358464610E1,-5.965211880E0,-8.291260579E0,2.570144522E1
8.751045833E-1,1.985770335E1,-6.551691703E0,-7.774690651E0,2.230916541E1
8.850645834E-1,1.593291655E1,-7.137208489E0,-6.389191732E0,1.859084037E1
8.950255833E-1,1.292420835E1,-7.072063490E0,-4.638085423E0,1.544542261E1
9.049855834E-1,1.079276025E1,-6.942488607E0,-2.371820118E0,1.305018592E1
9.149465833E-1,9.059154360E0,-6.939788947E0,1.979118776E-1,1.141350592E1
9.249065834E-1,7.518067465E0,-6.681177124E0,2.915867282E0,1.047195054E1
9.348675834E-1,6.148691660E0,-6.463196433E0,5.529763298E0,1.049559905E1
9.448275834E-1,4.974882998E0,-6.374806412E0,7.548444335E0,1.106194511E1
9.547885834E-1,3.954763137E0,-6.357564728E0,8.621612476E0,1.141888709E1
9.647485834E-1,3.119150997E0,-6.586272721E0,8.751490245E0,1.138844470E1
9.747095834E-1,1.691794931E0,-7.396726631E0,7.977371517E0,1.100964083E1
9.846695834E-1,-1.322538147E0,-8.261064388E0,6.224659270E0,1.042787970E1
9.946305834E-1,-5.992406110E0,-8.926790355E0,4.307594070E0,1.158239542E1
1.004590583E0,-1.179962505E1,-8.862114303E0,2.664543136E0,1.499559974E1
1.014551583E0,-1.815868725E1,-8.338000297E0,1.282272173E0,2.002259708E1
1.024511583E0,-2.263429346E1,-7.538624521E0,2.342429674E-1,2.385784923E1
1.034472583E0,-2.496806458E1,-6.632834099E0,-1.099256954E0,2.585743806E1
1.044432583E0,-2.557345254E1,-6.070637178E0,-2.745671791E0,2.642712289E1
1.054393583E0,-2.479552260E1,-5.341624457E0,-4.380647428E0,2.573987111E1
1.064353583E0,-2.347632292E1,-4.688101044E0,-5.303263214E0,2.452020861E1
1.074314583E0,-2.189537848E1,-4.361719991E0,-5.182392495E0,2.291919266E1
