"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.944583351E-3,1.102591640E-2,1.686273497E-2,-1.004785538E-2,2.251404141E-2
1.689458336E-2,-1.093047888E-2,-3.682286341E-3,-7.951628566E-3,1.400938964E-2
2.684458334E-2,-2.610891881E-2,-2.936209946E-2,-2.202295303E-2,4.504241320E-2
3.679458334E-2,-2.282243643E-2,-3.946934519E-2,-7.652835846E-3,4.623049547E-2
4.674358334E-2,-1.570036788E-2,-5.556120244E-2,-1.065947413E-3,5.774673161E-2
5.669358335E-2,-1.157587444E-2,-6.758834945E-2,-1.588396132E-2,7.038811034E-2
6.664358336E-2,-9.099724791E-3,-7.044082224E-2,5.971176624E-3,7.127670994E-2
7.659358333E-2,-1.685648576E-2,-8.891751207E-2,-9.145045280E-4,9.050580857E-2
8.654358334E-2,-2.303214591E-2,-9.432902793E-2,4.324015975E-3,9.719641130E-2
9.649358335E-2,-4.092579068E-2,-8.269589189E-2,-2.711353898E-3,9.230862538E-2
1.064425833E-1,-2.265235555E-2,7.333166739E-3,-2.486645401E-2,3.442738853E-2
1.163925834E-1,1.858068347E-2,7.157310815E-2,-1.139505386E-2,7.481843931E-2
1.263425833E-1,1.688125420E-2,9.639018972E-2,-1.034664810E-2,9.840273647E-2
1.362925833E-1,4.735020418E-3,1.113829440E-1,-1.483730972E-2,1.124665568E-1
1.462425833E-1,-1.198309646E-2,1.080856534E-1,-6.168812513E-4,1.087496373E-1
1.561915833E-1,-2.869239227E-2,7.238726897E-2,-2.563419342E-3,7.790854383E-2
1.661415834E-1,-4.862628134E-2,3.996721733E-2,-1.274225235E-2,6.422039157E-2
1.760915833E-1,-4.419522477E-2,1.152033046E-2,-1.902859390E-2,4.947750289E-2
1.860415833E-1,-3.450798728E-2,-5.233443019E-3,-1.528520644E-2,3.810285616E-2
1.959915833E-1,-3.539834464E-2,-1.976415764E-2,-6.902638078E-3,4.112555340E-2
2.059405833E-1,-2.301613916E-2,-2.466855316E-2,-5.255477428E-3,3.414528108E-2
2.158905833E-1,-6.723338692E-4,-3.929175886E-2,-6.451817751E-3,3.982361485E-2
2.258405834E-1,9.991173930E-3,-3.268148842E-2,-1.333691418E-2,3.668482686E-2
2.357905833E-1,6.731885676E-3,-5.007029235E-2,-9.744384885E-3,5.145197273E-2
2.457405833E-1,2.396866429E-2,-5.429914489E-2,-9.294734001E-3,6.007733420E-2
2.556895833E-1,1.498105986E-2,-6.019457723E-2,-9.743800163E-3,6.279140805E-2
2.656395833E-1,1.033974564E-2,-5.363332062E-2,-7.946950793E-3,5.519599123E-2
2.755895834E-1,7.287722910E-3,-3.089314720E-2,-1.588103771E-2,3.549232041E-2
2.855395833E-1,7.269080342E-3,9.266215120E-3,1.333165169E-3,1.185240908E-2
2.954895833E-1,2.972838641E-3,2.918666701E-2,-8.995356560E-3,3.068575794E-2
3.054385833E-1,2.244613613E-3,5.598166293E-2,-4.954930544E-3,5.624532168E-2
3.153885833E-1,-1.197715332E-2,7.328602713E-2,-8.398355842E-3,7.473169579E-2
3.253385834E-1,-3.146543887E-2,6.098026486E-2,-9.146799445E-3,6.922666022E-2
3.352885833E-1,-3.547201042E-2,4.513518753E-2,-6.452402472E-3,5.776748370E-2
3.452385833E-1,-4.984753171E-2,2.104774025E-2,-1.243995130E-2,5.552059235E-2
3.551875833E-1,-5.231787069E-2,-2.497126535E-4,-2.111429572E-3,5.236105504E-2
3.651375833E-1,-4.633738420E-2,-1.624505201E-2,-5.553685427E-3,4.941556750E-2
3.750875834E-1,-3.509135211E-2,-2.122613742E-2,-1.004434705E-2,4.222369963E-2
3.850375834E-1,-1.843903011E-2,-1.416780581E-2,-2.082193494E-2,3.121341903E-2
3.949875833E-1,-1.068971977E-2,-1.861298249E-2,-9.445592165E-3,2.345063831E-2
4.049365833E-1,1.931125196E-3,-2.083847616E-2,-1.303812146E-2,2.465692488E-2
4.148865833E-1,2.035393842E-2,-3.197242672E-2,-1.124127209E-2,3.953334134E-2
4.248365833E-1,2.538801651E-2,-2.984400140E-2,-1.361816525E-3,3.920548872E-2
4.347865834E-1,2.061205644E-2,-3.611170723E-2,-4.655553102E-3,4.184001009E-2
4.447365833E-1,1.865882146E-2,-4.567281616E-2,-6.302129030E-3,4.973805972E-2
4.546855833E-1,3.982593399E-3,-3.414645576E-2,-3.907109499E-3,3.459923404E-2
4.646355833E-1,-8.625410534E-3,-1.761293959E-2,-1.498349011E-2,2.468032260E-2
4.745855833E-1,-1.796882717E-2,3.551655889E-3,-6.151855588E-3,1.932196514E-2
4.845355834E-1,-2.578655450E-2,1.967747038E-2,-1.767788708E-2,3.694126318E-2
