"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.964166633E-4,-8.524918824E-2,2.434190029E-1,-3.323277441E-1,4.206684735E-1
1.025741667E-2,-3.862524480E-2,2.956884331E-1,-4.240623716E-1,5.184134007E-1
2.021841664E-2,-2.927276954E-2,4.342095566E-1,-3.109864668E-1,5.348900977E-1
3.017941664E-2,-5.866204485E-2,4.536340070E-1,-2.978079756E-1,5.458155715E-1
4.013941664E-2,-9.082582399E-2,5.506404841E-1,-6.064392205E-1,8.241497444E-1
5.010041664E-2,2.636459836E-1,5.683534545E-1,-8.001504584E-1,1.016255681E0
6.006141665E-2,8.539514937E-1,5.792672825E-1,-8.563516295E-1,1.340940659E0
7.002241665E-2,1.863737716E0,7.408948481E-1,-6.856340555E-1,2.119560688E0
7.998341665E-2,3.446946491E0,1.164975858E0,-3.066466268E-1,3.651388916E0
8.994441666E-2,4.666796713E0,1.364190495E0,9.050335005E-2,4.862941304E0
9.990541666E-2,5.238374323E0,1.517206281E0,4.586064792E-1,5.472915160E0
1.098664167E-1,5.412289227E0,1.728770238E0,6.933360080E-1,5.723830539E0
1.198264167E-1,5.045312126E0,1.805880979E0,9.354001379E-1,5.439793560E0
1.297874167E-1,4.246321682E0,1.776135609E0,1.133667526E0,4.740369984E0
1.397484167E-1,2.822513853E0,1.857829397E0,1.381407037E0,3.650534197E0
1.497094166E-1,9.275403106E-1,1.629592105E0,2.304163156E0,2.970701820E0
1.596704166E-1,-1.750137718E0,9.390961629E-1,3.871946683E0,4.351649659E0
1.696314166E-1,-5.134761661E0,1.263518983E0,5.066677852E0,7.323488376E0
1.795924167E-1,-7.326745400E0,1.222876741E0,5.942093743E0,9.512365832E0
1.895534167E-1,-9.120455400E0,5.025646770E-1,6.592401187E0,1.126476948E1
1.995134167E-1,-1.107839439E1,1.717140126E-1,6.655183911E0,1.292485129E1
2.094744167E-1,-1.226055288E1,3.157092994E-1,5.693053812E0,1.352152694E1
2.194354167E-1,-1.211563198E1,-5.769430143E-1,4.568637750E0,1.296124424E1
2.293964167E-1,-1.164779157E1,-1.660915639E0,3.751198464E0,1.234913678E1
2.393574167E-1,-1.144858512E1,-1.964401335E0,3.460441865E0,1.212038084E1
2.493184167E-1,-1.111958218E1,-2.886235932E0,3.465255585E0,1.199931089E1
2.592794166E-1,-1.018055443E1,-4.081768169E0,2.709308250E0,1.129800297E1
2.692404166E-1,-9.276684231E0,-4.600208622E0,1.915077439E0,1.053025694E1
2.792004166E-1,-8.194954598E0,-5.385414839E0,1.071157283E0,9.864448884E0
2.891614166E-1,-6.875310531E0,-5.897849032E0,5.722085238E-2,9.058575623E0
2.991224166E-1,-6.017077267E0,-6.091521093E0,-7.429296792E-2,8.562556132E0
3.090834167E-1,-4.656179924E0,-6.754244515E0,-7.233026227E-1,8.235471883E0
3.190444167E-1,-1.932355084E0,-6.769360152E0,-2.353714215E0,7.422816423E0
3.290054167E-1,5.544797659E-1,-6.310599307E0,-3.460706744E0,7.218559592E0
3.389664167E-1,2.832528087E0,-5.910645078E0,-3.668950651E0,7.511334068E0
3.489276667E-1,5.112731692E0,-5.017396933E0,-3.274372938E0,7.876281830E0
3.588886666E-1,7.173131443E0,-4.362163210E0,-2.919921157E0,8.888656936E0
3.688486667E-1,8.327767085E0,-3.997818525E0,-2.984725263E0,9.707875281E0
3.788096666E-1,8.616599073E0,-4.105551719E0,-3.155963897E0,1.005293204E1
3.887706666E-1,9.072028175E0,-4.575450926E0,-3.950827376E0,1.090162755E1
3.987316666E-1,9.995418717E0,-5.147506253E0,-5.515175664E0,1.252287421E1
4.086926666E-1,1.113759043E1,-5.657514435E0,-7.455128036E0,1.454758826E1
4.186536667E-1,1.257120375E1,-5.854550400E0,-9.156403497E0,1.661778111E1
4.286146667E-1,1.418856699E1,-5.726900420E0,-1.031427089E1,1.845256095E1
4.385746667E-1,1.587153014E1,-5.593709618E0,-1.102544318E1,2.011853507E1
4.485356667E-1,1.753338133E1,-5.490011587E0,-1.124534409E1,2.154106432E1
4.584966667E-1,1.886056831E1,-5.572122282E0,-1.131485462E1,2.268910573E1
4.684576667E-1,1.897950301E1,-6.008347959E0,-1.093635149E1,2.271399489E1
4.784186667E-1,1.809273768E1,-7.060416421E0,-9.458460717E0,2.160229423E1
4.883796666E-1,1.621471960E1,-8.398534182E0,-6.858860559E0,1.950631888E1
4.983406666E-1,1.410811515E1,-9.749808177E0,-3.287161383E0,1.746147481E1
5.083016666E-1,1.206532838E1,-1.086992946E1,4.637479359E-1,1.624630966E1
5.182626667E-1,1.013368198E1,-1.176425291E1,3.834711029E0,1.599356638E1
5.282226666E-1,8.438661869E0,-1.233671169E1,6.062473880E0,1.612944695E1
5.381836666E-1,6.598303367E0,-1.274738854E1,6.833007095E0,1.589727989E1
5.481446667E-1,4.312207523E0,-1.305290322E1,6.692056453E0,1.528911495E1
5.581056667E-1,1.816884124E0,-1.333193235E1,5.570165219E0,1.456256258E1
5.680666667E-1,-1.289615399E0,-1.342801029E1,3.951298369E0,1.405657594E1
5.780276667E-1,-4.806829927E0,-1.296392731E1,2.412651372E0,1.403530947E1
5.879886667E-1,-8.479987650E0,-1.192760657E1,1.388274007E0,1.470052019E1
5.979496666E-1,-1.216405160E1,-1.084337258E1,1.832773494E0,1.639822975E1
6.079096667E-1,-1.584265659E1,-9.665542783E0,3.819562647E0,1.894733606E1
6.178706666E-1,-1.981596359E1,-8.168429874E0,6.520410268E0,2.240337942E1
6.278316666E-1,-2.419930775E1,-6.624102452E0,9.158479843E0,2.670885587E1
6.377926666E-1,-2.714948766E1,-5.182555048E0,1.051450646E1,2.957208824E1
6.477536666E-1,-2.716113298E1,-3.745260324E0,9.388161982E0,2.898088516E1
6.577146667E-1,-2.591311730E1,-2.719103798E0,7.149895778E0,2.701858959E1
6.676756667E-1,-2.535621211E1,-2.383221604E0,5.393851787E0,2.603288065E1
6.776366667E-1,-2.534615256E1,-2.200394374E0,4.560037665E0,2.584691720E1
6.875966667E-1,-2.451982171E1,-2.341978269E0,4.212674464E0,2.498906050E1
6.975576667E-1,-2.288306442E1,-2.844110836E0,4.180090270E0,2.343494738E1
7.075186667E-1,-2.064125130E1,-3.567375160E0,4.400216889E0,2.140442312E1
