"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.634708333E-3,5.196720220E-2,2.961211270E-1,-1.301107809E-1,3.275929292E-1
7.326291670E-3,4.490617767E-2,3.883942831E-1,-1.807795358E-1,4.307527417E-1
1.728629167E-2,3.039061830E-1,7.008197862E-1,-1.953823721E-1,7.884678891E-1
2.724729167E-2,2.069306961E-1,2.330934048E-1,-2.529563963E-2,3.127182722E-1
3.720829167E-2,-2.660607375E-1,2.660722858E-1,8.896304727E-2,3.866486791E-1
4.716829167E-2,-1.075993661E-1,3.611959594E-1,3.360576099E-1,5.049503559E-1
5.712929167E-2,3.952005152E-1,4.972852260E-1,4.606550512E-1,7.846522283E-1
6.708929167E-2,8.132265868E-1,7.449229950E-1,3.280694363E-1,1.150598672E0
7.705029167E-2,5.557517546E-1,6.851486635E-1,-7.960311681E-2,8.857908105E-1
8.701129167E-2,8.312393001E-1,1.511073722E0,3.148333865E-1,1.753117973E0
9.697129167E-2,9.501494470E-1,1.438501005E0,5.910365582E-3,1.723979131E0
1.069322917E-1,8.697169027E-1,1.221745305E0,-2.475506455E-1,1.519983685E0
1.168932917E-1,6.004184157E-1,1.294463033E0,-1.297742736E-1,1.432821754E0
1.268532917E-1,2.415353224E-1,1.318483395E0,2.635497969E-1,1.366087944E0
1.368142917E-1,3.205151260E-3,1.440397257E0,7.463821676E-1,1.622294939E0
1.467752917E-1,-1.878783479E-1,1.715454959E0,1.604064039E0,2.356078400E0
1.567352917E-1,-2.287027305E-1,1.667873826E0,2.560440186E0,3.064304486E0
1.666962917E-1,1.089263186E-2,1.203099119E0,3.384981208E0,3.592445395E0
1.766562917E-1,4.346328950E-1,8.165531409E-1,4.407655717E0,4.503675577E0
1.866172917E-1,5.735573302E-1,2.588731939E-1,5.222592688E0,5.260366691E0
1.965782917E-1,1.238259012E-1,-4.480756438E-1,5.563747315E0,5.583134319E0
2.065382917E-1,-9.625088529E-1,-1.179422573E0,5.470232211E0,5.678107197E0
2.164992917E-1,-1.994914883E0,-1.858807636E0,5.359695861E0,6.013417576E0
2.264602917E-1,-2.570465822E0,-2.685329695E0,5.328903839E0,6.497346092E0
2.364202917E-1,-2.712392364E0,-3.513293093E0,5.467622598E0,7.042385787E0
2.463812917E-1,-2.651496536E0,-4.451310444E0,5.540580647E0,7.585686024E0
2.563412917E-1,-2.762969025E0,-5.159930416E0,5.353697203E0,7.932272907E0
2.663022917E-1,-3.109342877E0,-5.854353349E0,4.885116543E0,8.234429543E0
2.762632917E-1,-3.309396005E0,-6.400590295E0,4.057273598E0,8.269288185E0
2.862232917E-1,-2.097693439E0,-6.042352442E0,3.159075493E0,7.133729653E0
2.961842917E-1,-5.249998587E-1,-5.443363670E0,2.318516608E0,5.939810785E0
3.061452917E-1,-1.804339653E-1,-5.395507718E0,1.488756654E0,5.600040743E0
3.161052917E-1,-5.851802793E-1,-5.365717324E0,4.631404102E-1,5.417366279E0
3.260662917E-1,-1.164208703E0,-5.189660000E0,-5.264306724E-1,5.344631144E0
3.360272917E-1,-1.432536260E0,-5.149081492E0,-1.441787871E0,5.535698024E0
3.459872917E-1,-1.241623207E0,-5.374845997E0,-2.058182487E0,5.887844498E0
3.559482917E-1,-1.133900538E0,-5.612162261E0,-2.438770153E0,6.223318691E0
3.659082917E-1,-9.299537489E-1,-5.757755592E0,-2.675416326E0,6.416729381E0
