"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.844583312E-4,3.587638101E-1,4.009008926E-1,-6.955964684E-1,8.793676387E-1
9.776541672E-3,6.189593518E-1,4.406005633E-1,-5.175557685E-1,9.192951153E-1
1.973654167E-2,7.269287735E-1,3.793784612E-1,-4.381855901E-1,9.297096698E-1
2.969754167E-2,8.121332306E-1,4.722807777E-1,-3.579501700E-1,1.005354585E0
3.965854165E-2,8.488408810E-1,5.208272856E-1,-2.762400091E-1,1.033489451E0
4.961954165E-2,7.930596131E-1,4.439404929E-1,-2.871766412E-1,9.531511603E-1
5.958054165E-2,3.628799576E-1,5.164021128E-1,-4.006896619E-1,7.475996328E-1
6.954154166E-2,-6.869016588E-3,4.004611820E-1,-1.282924430E-1,4.205654439E-1
7.950254166E-2,-4.020022157E-1,1.992812955E-1,-2.584551179E-1,5.178009889E-1
8.946354166E-2,-6.058630505E-1,2.635451192E-1,-5.752456407E-1,8.760328835E-1
9.942454167E-2,-5.047252232E-1,3.110923380E-1,-3.708772675E-1,6.993396465E-1
1.093855417E-1,-2.238518804E-1,4.093045110E-1,3.155484279E-1,5.632145749E-1
1.193455417E-1,-3.288181722E-2,5.439945388E-1,7.921714211E-1,9.615335836E-1
1.293065417E-1,1.740833044E-2,6.774513888E-1,8.590109432E-1,1.094140409E0
1.392675417E-1,6.194101721E-2,7.111103010E-1,6.270448816E-1,9.501051696E-1
1.492285416E-1,-3.622072354E-1,6.801352608E-1,3.578683090E-1,8.496162551E-1
1.591895416E-1,-1.399112406E0,8.046394390E-1,4.624549703E-1,1.678935600E0
1.691505417E-1,-2.595226149E0,7.226538742E-1,1.011011507E0,2.877424482E0
1.791115417E-1,-3.914679304E0,4.815106076E-1,1.675642437E0,4.285363940E0
1.890725417E-1,-5.232163410E0,3.695259029E-1,2.258237954E0,5.710667387E0
1.990335417E-1,-6.118125340E0,2.072376019E-1,2.729339933E0,6.702514571E0
2.089935417E-1,-6.809791895E0,1.012737751E-3,3.132770916E0,7.495833528E0
2.189545417E-1,-7.235454576E0,-2.618283767E-1,3.581237154E0,8.077475879E0
2.289155417E-1,-7.190314656E0,-5.087884533E-1,3.696894787E0,8.101019788E0
2.388765417E-1,-6.755603408E0,-8.792610204E-1,3.496346108E0,7.657395997E0
2.488375417E-1,-5.853416040E0,-1.191523971E0,3.175627499E0,6.765117791E0
2.587985416E-1,-5.507157962E0,-9.140841132E-1,3.123306613E0,6.396825993E0
2.687595417E-1,-4.554080522E0,-1.188400973E0,3.270703225E0,5.731443611E0
2.787205417E-1,-3.128310075E0,-1.359920858E0,2.783130809E0,4.402445431E0
2.886815417E-1,-2.510045373E0,-7.795911366E-1,2.419488959E0,3.572396526E0
2.986415417E-1,-2.514148364E0,-5.812015414E-1,2.355858681E0,3.494110381E0
3.086025417E-1,-3.036000082E0,-8.654703623E-1,2.298787664E0,3.905222166E0
3.185635417E-1,-3.481509967E0,-1.392206844E0,2.093631963E0,4.294466946E0
3.285245417E-1,-3.720606709E0,-1.774346945E0,1.564751454E0,4.409043941E0
3.384855417E-1,-3.796651502E0,-2.105402262E0,9.615879165E-1,4.446564138E0
3.484465417E-1,-3.629767874E0,-2.463228471E0,5.691176856E-1,4.423415452E0
3.584075416E-1,-3.220728827E0,-2.762004234E0,5.514558783E-1,4.278535398E0
3.683685416E-1,-2.484583088E0,-2.880999166E0,7.148630440E-1,3.870960925E0
3.783295417E-1,-1.705490718E0,-2.908907926E0,1.174519683E0,3.570705868E0
3.882895416E-1,-8.462955880E-1,-2.989518811E0,1.882404806E0,3.632751959E0
3.982505416E-1,7.098987579E-1,-3.271836416E0,2.094144472E0,3.948963262E0
4.082115417E-1,2.446679097E0,-3.305569003E0,1.595033599E0,4.411026776E0
4.181725417E-1,3.939759182E0,-3.235086080E0,5.963864681E-1,5.132558931E0
4.281335417E-1,5.080075577E0,-3.167622660E0,-4.821049771E-1,6.006115749E0
4.380945417E-1,6.077118816E0,-2.994616705E0,-1.364553315E0,6.910941186E0
4.480555417E-1,6.617392187E0,-2.903437563E0,-1.816591032E0,7.451163132E0
4.580165417E-1,7.004470262E0,-3.008362632E0,-1.846770558E0,7.843686051E0
4.679775416E-1,7.600824278E0,-3.101658174E0,-1.745255001E0,8.392778333E0
4.779375417E-1,8.544267261E0,-3.352093836E0,-1.924040198E0,9.377791147E0
4.878985417E-1,9.817119570E0,-3.554168346E0,-2.573183900E0,1.075310302E1
4.978595416E-1,1.120384523E1,-3.557108911E0,-3.515599527E0,1.226941775E1
5.078205417E-1,1.267675184E1,-3.310159652E0,-4.441863098E0,1.383428140E1
5.177815417E-1,1.433292422E1,-3.396249962E0,-5.037953990E0,1.556753708E1
5.277425417E-1,1.565525800E1,-3.287380069E0,-5.447270780E0,1.689871977E1
5.377035417E-1,1.614089148E1,-2.762299519E0,-5.551921906E0,1.729111082E1
5.476645417E-1,1.608185215E1,-2.781583343E0,-5.118858404E0,1.710455746E1
5.576255417E-1,1.556019514E1,-2.990925943E0,-4.355058843E0,1.643264581E1
5.675855417E-1,1.473728491E1,-3.314583070E0,-3.790988474E0,1.557387624E1
5.775465417E-1,1.361974400E1,-3.900848885E0,-3.311581402E0,1.454924809E1
5.875075417E-1,1.223400652E1,-4.633995880E0,-2.551610598E0,1.332874900E1
5.974685416E-1,1.074562233E1,-5.439413291E0,-1.317145260E0,1.211571244E1
6.074295416E-1,9.219411923E0,-6.316505579E0,5.358973145E-1,1.118852023E1
6.173905417E-1,7.687917970E0,-7.117890458E0,2.692153981E0,1.081739989E1
6.273515417E-1,6.492022621E0,-7.790607356E0,4.560444632E0,1.111924350E1
6.373125417E-1,5.298619355E0,-8.507874191E0,5.941567494E0,1.165167433E1
6.472735417E-1,4.170083930E0,-9.356928495E0,6.533172401E0,1.215006389E1
6.572335417E-1,3.223983972E0,-1.019891469E1,6.152851954E0,1.233975367E1
6.671945417E-1,2.088296818E0,-1.096884213E1,4.963329484E0,1.221929298E1
6.771555417E-1,7.411728832E-1,-1.173627164E1,3.552703911E0,1.228458849E1
6.871165417E-1,-4.506279534E-1,-1.204910002E1,2.145454520E0,1.224691193E1
6.970775417E-1,-1.305463400E0,-1.192778433E1,9.070307632E-1,1.203324472E1
7.070385416E-1,-1.939414720E0,-1.161579210E1,3.284312327E-1,1.178116389E1
7.169995416E-1,-2.445610518E0,-1.124663048E1,2.442922845E-1,1.151205397E1
7.269604167E-1,-3.144663860E0,-1.077766157E1,6.672441968E-1,1.124687132E1
7.369214167E-1,-3.876353729E0,-1.033340298E1,1.537301115E0,1.114309787E1
7.468814166E-1,-4.142776556E0,-9.665617043E0,2.153146825E0,1.073418798E1
7.568424167E-1,-4.012217878E0,-8.848631208E0,2.459161148E0,1.002215746E1
7.668034167E-1,-3.885021057E0,-8.111213699E0,2.485803109E0,9.330830262E0
7.767644167E-1,-4.422556469E0,-7.518104303E0,2.386828898E0,9.043110649E0
7.867254167E-1,-5.381077960E0,-7.007645885E0,2.183556585E0,9.101154883E0
7.966864167E-1,-6.088992172E0,-6.374556152E0,1.758395741E0,8.989034842E0
8.066474167E-1,-6.561889831E0,-5.595293629E0,1.261963331E0,8.715403628E0
8.166084166E-1,-6.742401565E0,-4.918065603E0,7.847147593E-1,8.382310266E0
8.265694166E-1,-7.088606433E0,-4.280916148E0,2.347420272E-1,8.284303715E0
8.365304167E-1,-7.903193740E0,-3.731902360E0,-5.107075095E-2,8.740147295E0
8.464904166E-1,-8.675786929E0,-3.231157336E0,-2.183853185E-1,9.260526373E0
8.564514167E-1,-9.193221075E0,-2.569485828E0,-4.743609247E-1,9.557331711E0
8.664124167E-1,-9.239670771E0,-1.856956993E0,-8.782155383E-1,9.465255822E0
8.763734167E-1,-8.674101176E0,-1.194810106E0,-1.242037336E0,8.843656436E0
8.863344167E-1,-7.867290666E0,-4.721866375E-1,-1.329773784E0,7.992841858E0
8.962954167E-1,-6.865249811E0,5.522578239E-2,-1.117989825E0,6.955904406E0
9.062564167E-1,-6.044585493E0,3.875856131E-1,-8.665595524E-1,6.118673210E0
9.162174167E-1,-5.838958215E0,5.603661579E-1,-5.537392160E-1,5.891864763E0
9.261784166E-1,-5.970705339E0,7.122411525E-1,-1.019099522E-1,6.013900177E0
9.361394166E-1,-6.086930444E0,7.997669542E-1,6.697269246E-2,6.139611939E0
9.460994166E-1,-5.896151000E0,8.586267811E-1,-6.438734606E-2,5.958689646E0
9.560604166E-1,-5.346508051E0,9.700729573E-1,-2.399252915E-1,5.439094964E0
9.660214167E-1,-4.601192123E0,1.010774256E0,-2.291325009E-1,4.716474876E0
9.759824167E-1,-3.734290070E0,1.110770999E0,-7.072200023E-2,3.896631384E0
9.859434167E-1,-2.813096620E0,1.236306041E0,1.115567616E-1,3.074802454E0
9.959044167E-1,-1.919017293E0,1.382059001E0,2.411907752E-1,2.377159533E0
1.005865417E0,-1.142900864E0,1.516701667E0,4.172923923E-1,1.944412321E0
1.015826417E0,-6.711393195E-1,1.592366976E0,7.793391216E-1,1.895634469E0
1.025787417E0,-6.378663236E-1,1.544707491E0,1.097394909E0,1.999317450E0
1.035748417E0,-7.300172728E-1,1.341114458E0,1.331973506E0,2.026244465E0
1.045708417E0,-8.060860401E-1,1.207562299E0,1.304272907E0,1.951693937E0
1.055669417E0,-8.645324689E-1,1.018822364E0,1.123320293E0,1.745641395E0
1.065630417E0,-9.142574832E-1,8.757573688E-1,8.524842811E-1,1.526285414E0
1.075591417E0,-8.251365611E-1,7.006502169E-1,5.061735785E-1,1.194978143E0
1.085552417E0,-8.010834548E-1,5.046562260E-1,1.523058613E-1,9.589628165E-1
1.095513417E0,-6.328459042E-1,3.411967278E-1,-9.136398710E-2,7.247458338E-1
1.105474417E0,-2.301773983E-1,2.348282737E-1,-3.075167656E-1,4.502138535E-1
1.115435417E0,-4.476043582E-4,1.993111163E-1,-3.260664725E-1,3.821576454E-1
1.125396417E0,7.979987562E-3,1.788370907E-1,-1.900228143E-2,1.800207541E-1
1.135357417E0,1.298362541E-1,1.539454937E-1,3.153392803E-1,3.741597649E-1
1.145317417E0,3.416343918E-1,1.233686489E-1,4.057079251E-1,5.445482547E-1
1.155278417E0,5.883184800E-1,1.436333442E-1,4.602834606E-1,7.606642068E-1
1.165239417E0,7.249912986E-1,1.063526666E-1,5.394758471E-1,9.099216792E-1
1.175200417E0,7.321713871E-1,3.872493982E-2,6.115673018E-1,9.547717662E-1
